"","eventID","eventType","game","gameName_short","V5","venueID","lowest_price","highest_price","average_price","listing_count","lowest_price_good_deals","announce_date","created_at","visible_until_utc","status","url"
"1","4109673","ncaa_football","South Alabama Jaguars at Oklahoma State Cowboys Football","South Alabama at Oklahoma State","Boone Pickens Stadium","2785","38","285","74.66","751","39","2017-11-02T00:00:00","2017-11-02T15:00:32","2018-09-09T04:00:00","normal","https://seatgeek.com/south-alabama-jaguars-at-oklahoma-state-cowboys-football-tickets/ncaa-football/2018-09-08-7-pm/4109673"
"2","4347091","nfl","Houston Texans at New England Patriots","Texans at Patriots","Gillette Stadium","33","191","1747","464.47","905","191","2018-04-20T00:00:00","2018-04-20T00:47:49","2018-09-09T21:00:00","normal","https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091"
"3","4346964","nfl","Cincinnati Bengals at Indianapolis Colts","Bengals at Colts","Lucas Oil Stadium","1130","52","1238","178","1239","52","2018-04-20T00:00:00","2018-04-20T00:47:23","2018-09-09T21:00:00","normal","https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964"
"4","4346952","nfl","Jacksonville Jaguars at New York Giants","Jaguars at Giants","MetLife Stadium","1587","134","2522","363.88","986","134","2018-04-20T00:00:00","2018-04-20T00:47:20","2018-09-09T21:00:00","normal","https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952"
"5","4347001","nfl","Pittsburgh Steelers at Cleveland Browns","Steelers at Browns","FirstEnergy Stadium","1123","106","19566","292","745","106","2018-04-20T00:00:00","2018-04-20T00:47:32","2018-09-09T21:00:00","normal","https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001"
"6","4347082","nfl","Tennessee Titans at Miami Dolphins","Titans at Dolphins","Hard Rock Stadium","29","33","1913","143.41","2057","33","2018-04-20T00:00:00","2018-04-20T00:47:47","2018-09-09T21:00:00","normal","https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082"
"7","4347073","nfl","Buffalo Bills at Baltimore Ravens","Bills at Ravens","M&T Bank Stadium","1121","69","1761","235.22","769","69","2018-04-20T00:00:00","2018-04-20T00:47:45","2018-09-09T21:00:00","normal","https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073"
"8","4346974","nfl","Tampa Bay Buccaneers at New Orleans Saints","Buccaneers at Saints","Mercedes-Benz Superdome","128","48","1398","193.18","1165","48","2018-04-20T00:00:00","2018-04-20T00:47:25","2018-09-09T21:00:00","normal","https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974"
"9","4347146","nfl","San Francisco 49ers at Minnesota Vikings","49ers at Vikings","U.S. Bank Stadium","218451","105","1859","322.06","750","105","2018-04-20T00:00:00","2018-04-20T01:04:06","2018-09-09T21:00:00","normal","https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146"
"10","4347113","nfl","Kansas City Chiefs at Los Angeles Chargers","Chiefs at Chargers","StubHub Center","52","90","3723","200.95","588","90","2018-04-20T00:00:00","2018-04-20T00:47:53","2018-09-10T00:05:00","normal","https://seatgeek.com/chiefs-at-chargers-tickets/9-9-2018-carson-california-stubhub-center/nfl/4347113"
