"","date","timestamp","popularity","datetime_utc","datetime_tbd","score","status","type","datetime_local","time_tbd","is_open","description","date_tbd","announce_date","short_title","url","visible_until_utc","created_at","id","title","general_admission","listing_count","average_price","lowest_price_good_deals","lowest_price","highest_price","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","timezone","popularity_venue","display_location","city","name","country","has_upcoming_events","score_venue","postal_code","slug","extended_address","state","num_upcoming_events","address","name_v2","url_venue","id_venue","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"1","2018-09-05","2018-09-05_11.00.08",1.012,"2018-09-07T00:20:00",FALSE,0.909,"normal","nfl","2018-09-06T20:20:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Falcons at Eagles","https://seatgeek.com/falcons-at-eagles-tickets/9-6-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347055","2018-09-07T04:20:00","2018-04-20T00:47:42",4347055,"Atlanta Falcons at Philadelphia Eagles",NA,822,414.08,203,203,1510,FALSE,"2018-08-24T16:51:23Z","QRCODE","America/New_York",0,"Philadelphia, PA","Philadelphia","Lincoln Financial Field","US",TRUE,0.90542686,"19148","lincoln-financial-field","Philadelphia, PA 19148","PA",18,"1020 Pattison Ave","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets",330,39.9046,-75.1675,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
"2","2018-09-05","2018-09-05_11.00.08",0.866,"2018-09-09T00:00:00",FALSE,0.711,"normal","ncaa_football","2018-09-08T19:00:00",FALSE,FALSE,"",FALSE,"2017-11-02T00:00:00","South Alabama at Oklahoma State","https://seatgeek.com/south-alabama-jaguars-at-oklahoma-state-cowboys-football-tickets/ncaa-football/2018-09-08-7-pm/4109673","2018-09-09T04:00:00","2017-11-02T15:00:32",4109673,"South Alabama Jaguars at Oklahoma State Cowboys Football",NA,1077,78.13,31,31,560,NA,NA,NA,"America/Chicago",0,"Stillwater, OK","Stillwater","Boone Pickens Stadium","US",TRUE,0.81559026,"74078","boone-pickens-stadium","Stillwater, OK 74078","OK",6,"422 Aquires","Boone Pickens Stadium","https://seatgeek.com/venues/boone-pickens-stadium/tickets",2785,36.1257,-97.0665,NA,NA,NA
"3","2018-09-05","2018-09-05_11.00.08",0.957,"2018-09-09T17:00:00",FALSE,0.841,"normal","nfl","2018-09-09T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Bengals at Colts","https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964","2018-09-09T21:00:00","2018-04-20T00:47:23",4346964,"Cincinnati Bengals at Indianapolis Colts",NA,1294,190.81,57,57,1336,FALSE,"2018-08-24T16:52:49Z","QRCODE","America/Indiana/Indianapolis",0,"Indianapolis, IN","Indianapolis","Lucas Oil Stadium","US",TRUE,0.9071682,"46225","lucas-oil-stadium","Indianapolis, IN 46225","IN",15,"500 South Capitol Avenue","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets",1130,39.7601,-86.1639,FALSE,"2015-08-22T16:51:43Z","QRCODE_TM"
"4","2018-09-05","2018-09-05_11.00.08",1.014,"2018-09-09T17:00:00",FALSE,0.912,"normal","nfl","2018-09-09T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Texans at Patriots","https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091","2018-09-09T21:00:00","2018-04-20T00:47:49",4347091,"Houston Texans at New England Patriots",NA,1027,497.57,181,181,1866,FALSE,"2018-08-22T15:38:11Z","QRCODE","America/New_York",0,"Foxborough, MA","Foxborough","Gillette Stadium","US",TRUE,0.8983344,"02035","gillette-stadium","Foxborough, MA 02035","MA",14,"1 Patriot Place","Gillette Stadium","https://seatgeek.com/venues/gillette-stadium/tickets",33,42.0906,-71.2674,FALSE,"2018-08-22T15:36:58Z","NONE"
"5","2018-09-05","2018-09-05_11.00.08",1.009,"2018-09-09T17:00:00",FALSE,0.896,"normal","nfl","2018-09-09T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Jaguars at Giants","https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952","2018-09-09T21:00:00","2018-04-20T00:47:20",4346952,"Jacksonville Jaguars at New York Giants",NA,1076,396.94,135,135,2687,FALSE,"2018-08-24T16:52:25Z","QRCODE","America/New_York",0,"East Rutherford, NJ","East Rutherford","MetLife Stadium","US",TRUE,0.94873494,"07073","metlife-stadium","East Rutherford, NJ 07073","NJ",21,"1 MetLife Stadium Drive","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets",1587,40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"6","2018-09-05","2018-09-05_11.00.08",0.964,"2018-09-09T17:00:00",FALSE,0.838,"normal","nfl","2018-09-09T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Titans at Dolphins","https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082","2018-09-09T21:00:00","2018-04-20T00:47:47",4347082,"Tennessee Titans at Miami Dolphins",NA,2046,167.03,45,45,13364,FALSE,"2018-08-24T17:01:07Z","QRCODE","America/New_York",0,"Miami Gardens, FL","Miami Gardens","Hard Rock Stadium","US",TRUE,0.8378203,"33056","hard-rock-stadium","Miami Gardens, FL 33056","FL",39,"347 Don Shula Dr.","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets",29,25.96,-80.24,FALSE,"2017-10-03T18:58:44Z","NONE"
"7","2018-09-05","2018-09-05_11.00.08",0.95,"2018-09-09T17:00:00",FALSE,0.834,"normal","nfl","2018-09-09T12:00:00",FALSE,TRUE,"",FALSE,"2018-04-20T00:00:00","Buccaneers at Saints","https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974","2018-09-09T21:00:00","2018-04-20T00:47:25",4346974,"Tampa Bay Buccaneers at New Orleans Saints",NA,1183,209.47,66,66,1398,FALSE,"2018-05-29T20:38:44Z","QRCODE","America/Chicago",0,"New Orleans, LA","New Orleans","Mercedes-Benz Superdome","US",TRUE,0.8966978,"70112","mercedes-benz-superdome","New Orleans, LA 70112","LA",20,"1500 Sugar Bowl Drive","Mercedes-Benz Superdome","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",128,29.9515,-90.0786,FALSE,"2018-08-27T20:46:59Z","QRCODE_TM"
"8","2018-09-05","2018-09-05_11.00.08",0.96,"2018-09-09T17:00:00",FALSE,0.842,"normal","nfl","2018-09-09T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Bills at Ravens","https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073","2018-09-09T21:00:00","2018-04-20T00:47:45",4347073,"Buffalo Bills at Baltimore Ravens",NA,915,240.85,75,75,836,FALSE,"2018-08-24T16:58:09Z","QRCODE","America/New_York",0,"Baltimore, MD","Baltimore","M&T Bank Stadium","US",TRUE,0.8927189,"21230","m-t-bank-stadium","Baltimore, MD 21230","MD",9,"1101 Russell St","M&T Bank Stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets",1121,39.2774,-76.623,FALSE,"2015-08-04T00:00:00Z","QRCODE_TM"
"9","2018-09-05","2018-09-05_11.00.08",0.996,"2018-09-09T17:00:00",FALSE,0.886,"normal","nfl","2018-09-09T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Steelers at Browns","https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001","2018-09-09T21:00:00","2018-04-20T00:47:32",4347001,"Pittsburgh Steelers at Cleveland Browns",NA,1029,300.57,135,135,4514,FALSE,"2018-08-24T16:53:01Z","QRCODE","America/New_York",0,"Cleveland, OH","Cleveland","FirstEnergy Stadium","US",TRUE,0.86852187,"44114","firstenergy-stadium-15","Cleveland, OH 44114","OH",8,"100 Alfred Lerner Way","FirstEnergy Stadium","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",1123,41.5065,-81.7,FALSE,"2015-11-11T20:55:31Z","NONE"
"10","2018-09-05","2018-09-05_11.00.08",0.998,"2018-09-09T17:00:00",FALSE,0.89,"normal","nfl","2018-09-09T12:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","49ers at Vikings","https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146","2018-09-09T21:00:00","2018-04-20T01:04:06",4347146,"San Francisco 49ers at Minnesota Vikings",NA,861,339.17,115,115,1864,FALSE,"2018-08-24T17:02:13Z","QRCODE","America/Chicago",0,"Minneapolis, MN","Minneapolis","U.S. Bank Stadium","US",TRUE,0.88524246,"55415","u-s-bank-stadium","Minneapolis, MN 55415","MN",14,"401 Chicago Avenue","U.S. Bank Stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets",218451,44.97,-93.26,FALSE,"2018-08-22T15:34:15Z","NONE"
