"","date","timestamp","datetime_tbd","score","url","description","created_at","date_tbd","visible_until_utc","announce_date","status","datetime_utc","type","id","title","popularity","short_title","time_tbd","datetime_local","is_open","general_admission","highest_price","lowest_price","average_price","lowest_price_good_deals","listing_count","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","extended_address","display_location","slug","address","score_venue","url_venue","name","postal_code","state","city","country","id_venue","timezone","num_upcoming_events","popularity_venue","name_v2","has_upcoming_events","lon","lat","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"1","2018-09-07","2018-09-07_08.07.42",FALSE,0.714,"https://seatgeek.com/south-alabama-jaguars-at-oklahoma-state-cowboys-football-tickets/ncaa-football/2018-09-08-7-pm/4109673","","2017-11-02T15:00:32",FALSE,"2018-09-09T04:00:00","2017-11-02T00:00:00","normal","2018-09-09T00:00:00","ncaa_football",4109673,"South Alabama Jaguars at Oklahoma State Cowboys Football",0.852,"South Alabama at Oklahoma State",FALSE,"2018-09-08T19:00:00",FALSE,NA,285,38,74.66,39,751,NA,NA,NA,"Stillwater, OK 74078","Stillwater, OK","boone-pickens-stadium","422 Aquires",0.81559026,"https://seatgeek.com/venues/boone-pickens-stadium/tickets","Boone Pickens Stadium","74078","OK","Stillwater","US",2785,"America/Chicago",6,0,"Boone Pickens Stadium",TRUE,-97.0665,36.1257,NA,NA,NA
"2","2018-09-07","2018-09-07_08.07.42",FALSE,0.915,"https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091","","2018-04-20T00:47:49",FALSE,"2018-09-09T21:00:00","2018-04-20T00:00:00","normal","2018-09-09T17:00:00","nfl",4347091,"Houston Texans at New England Patriots",1.002,"Texans at Patriots",FALSE,"2018-09-09T13:00:00",FALSE,NA,1747,191,464.47,191,905,"QRCODE","2018-08-22T15:38:11Z",FALSE,"Foxborough, MA 02035","Foxborough, MA","gillette-stadium","1 Patriot Place",0.8983344,"https://seatgeek.com/venues/gillette-stadium/tickets","Gillette Stadium","02035","MA","Foxborough","US",33,"America/New_York",14,0,"Gillette Stadium",TRUE,-71.2674,42.0906,"NONE","2018-08-22T15:36:58Z",FALSE
"3","2018-09-07","2018-09-07_08.07.42",FALSE,0.84,"https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964","","2018-04-20T00:47:23",FALSE,"2018-09-09T21:00:00","2018-04-20T00:00:00","normal","2018-09-09T17:00:00","nfl",4346964,"Cincinnati Bengals at Indianapolis Colts",0.944,"Bengals at Colts",FALSE,"2018-09-09T13:00:00",FALSE,NA,1238,52,178,52,1239,"QRCODE","2018-08-24T16:52:49Z",FALSE,"Indianapolis, IN 46225","Indianapolis, IN","lucas-oil-stadium","500 South Capitol Avenue",0.9071682,"https://seatgeek.com/venues/lucas-oil-stadium/tickets","Lucas Oil Stadium","46225","IN","Indianapolis","US",1130,"America/Indiana/Indianapolis",14,0,"Lucas Oil Stadium",TRUE,-86.1639,39.7601,"QRCODE_TM","2015-08-22T16:51:43Z",FALSE
"4","2018-09-07","2018-09-07_08.07.42",FALSE,0.89,"https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952","","2018-04-20T00:47:20",FALSE,"2018-09-09T21:00:00","2018-04-20T00:00:00","normal","2018-09-09T17:00:00","nfl",4346952,"Jacksonville Jaguars at New York Giants",0.993,"Jaguars at Giants",FALSE,"2018-09-09T13:00:00",FALSE,NA,2522,134,363.88,134,986,"QRCODE","2018-08-24T16:52:25Z",FALSE,"East Rutherford, NJ 07073","East Rutherford, NJ","metlife-stadium","1 MetLife Stadium Drive",0.94873494,"https://seatgeek.com/venues/metlife-stadium/tickets","MetLife Stadium","07073","NJ","East Rutherford","US",1587,"America/New_York",21,0,"MetLife Stadium",TRUE,-74.0737,40.8142,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"5","2018-09-07","2018-09-07_08.07.42",FALSE,0.872,"https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001","","2018-04-20T00:47:32",FALSE,"2018-09-09T21:00:00","2018-04-20T00:00:00","normal","2018-09-09T17:00:00","nfl",4347001,"Pittsburgh Steelers at Cleveland Browns",0.972,"Steelers at Browns",FALSE,"2018-09-09T13:00:00",FALSE,NA,19566,106,292,106,745,"QRCODE","2018-08-24T16:53:01Z",FALSE,"Cleveland, OH 44114","Cleveland, OH","firstenergy-stadium-15","100 Alfred Lerner Way",0.86852187,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","FirstEnergy Stadium","44114","OH","Cleveland","US",1123,"America/New_York",8,0,"FirstEnergy Stadium",TRUE,-81.7,41.5065,"NONE","2015-11-11T20:55:31Z",FALSE
"6","2018-09-07","2018-09-07_08.07.42",FALSE,0.833,"https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082","","2018-04-20T00:47:47",FALSE,"2018-09-09T21:00:00","2018-04-20T00:00:00","normal","2018-09-09T17:00:00","nfl",4347082,"Tennessee Titans at Miami Dolphins",0.955,"Titans at Dolphins",FALSE,"2018-09-09T13:00:00",FALSE,NA,1913,33,143.41,33,2057,"QRCODE","2018-08-24T17:01:07Z",FALSE,"Miami Gardens, FL 33056","Miami Gardens, FL","hard-rock-stadium","347 Don Shula Dr.",0.8378203,"https://seatgeek.com/venues/hard-rock-stadium/tickets","Hard Rock Stadium","33056","FL","Miami Gardens","US",29,"America/New_York",39,0,"Hard Rock Stadium",TRUE,-80.24,25.96,"NONE","2017-10-03T18:58:44Z",FALSE
"7","2018-09-07","2018-09-07_08.07.42",FALSE,0.832,"https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073","","2018-04-20T00:47:45",FALSE,"2018-09-09T21:00:00","2018-04-20T00:00:00","normal","2018-09-09T17:00:00","nfl",4347073,"Buffalo Bills at Baltimore Ravens",0.942,"Bills at Ravens",FALSE,"2018-09-09T13:00:00",FALSE,NA,1761,69,235.22,69,769,"QRCODE","2018-08-24T16:58:09Z",FALSE,"Baltimore, MD 21230","Baltimore, MD","m-t-bank-stadium","1101 Russell St",0.8927189,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","M&T Bank Stadium","21230","MD","Baltimore","US",1121,"America/New_York",9,0,"M&T Bank Stadium",TRUE,-76.623,39.2774,"QRCODE_TM","2015-08-04T00:00:00Z",FALSE
"8","2018-09-07","2018-09-07_08.07.42",FALSE,0.832,"https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974","","2018-04-20T00:47:25",FALSE,"2018-09-09T21:00:00","2018-04-20T00:00:00","normal","2018-09-09T17:00:00","nfl",4346974,"Tampa Bay Buccaneers at New Orleans Saints",0.926,"Buccaneers at Saints",FALSE,"2018-09-09T12:00:00",TRUE,NA,1398,48,193.18,48,1165,"QRCODE","2018-05-29T20:38:44Z",FALSE,"New Orleans, LA 70112","New Orleans, LA","mercedes-benz-superdome","1500 Sugar Bowl Drive",0.8966978,"https://seatgeek.com/venues/mercedes-benz-superdome/tickets","Mercedes-Benz Superdome","70112","LA","New Orleans","US",128,"America/Chicago",20,0,"Mercedes-Benz Superdome",TRUE,-90.0786,29.9515,"QRCODE_TM","2018-08-27T20:46:59Z",FALSE
"9","2018-09-07","2018-09-07_08.07.42",FALSE,0.878,"https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146","","2018-04-20T01:04:06",FALSE,"2018-09-09T21:00:00","2018-04-20T00:00:00","normal","2018-09-09T17:00:00","nfl",4347146,"San Francisco 49ers at Minnesota Vikings",0.975,"49ers at Vikings",FALSE,"2018-09-09T12:00:00",FALSE,NA,1859,105,322.06,105,750,"QRCODE","2018-08-24T17:02:13Z",FALSE,"Minneapolis, MN 55415","Minneapolis, MN","u-s-bank-stadium","401 Chicago Avenue",0.88524246,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","U.S. Bank Stadium","55415","MN","Minneapolis","US",218451,"America/Chicago",14,0,"U.S. Bank Stadium",TRUE,-93.26,44.97,"NONE","2018-08-22T15:34:15Z",FALSE
"10","2018-09-07","2018-09-07_08.07.42",FALSE,0.873,"https://seatgeek.com/chiefs-at-chargers-tickets/9-9-2018-carson-california-stubhub-center/nfl/4347113","","2018-04-20T00:47:53",FALSE,"2018-09-10T00:05:00","2018-04-20T00:00:00","normal","2018-09-09T20:05:00","nfl",4347113,"Kansas City Chiefs at Los Angeles Chargers",0.982,"Chiefs at Chargers",FALSE,"2018-09-09T13:05:00",FALSE,NA,3723,90,200.95,90,588,"QRCODE","2018-08-24T17:01:48Z",FALSE,"Carson, CA 90746","Carson, CA","stubhub-center","18400 Avalon Blvd",0.7228164,"https://seatgeek.com/venues/stubhub-center/tickets","StubHub Center","90746","CA","Carson","US",52,"America/Los_Angeles",14,0,"StubHub Center",TRUE,-118.261,33.8643,NA,NA,NA
