"","date","timestamp","description","datetime_utc","datetime_local","visible_until_utc","id","is_open","date_tbd","popularity","status","url","type","score","title","datetime_tbd","created_at","time_tbd","short_title","announce_date","general_admission","median_price","lowest_price","lowest_price_good_deals","visible_listing_count","listing_count","average_price","highest_price","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","slug","postal_code","state","address","extended_address","id_venue","timezone","popularity_venue","url_venue","score_venue","display_location","has_upcoming_events","name_v2","country","city","num_upcoming_events","name","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-09-07","2018-09-07_10.59.28","","2018-09-09T00:00:00","2018-09-08T19:00:00","2018-09-09T04:00:00",4109673,FALSE,FALSE,0.852,"normal","https://seatgeek.com/south-alabama-jaguars-at-oklahoma-state-cowboys-football-tickets/ncaa-football/2018-09-08-7-pm/4109673","ncaa_football",0.714,"South Alabama Jaguars at Oklahoma State Cowboys Football",FALSE,"2017-11-02T15:00:32",FALSE,"South Alabama at Oklahoma State","2017-11-02T00:00:00",NA,NA,38,39,NA,751,73.02,287,NA,NA,NA,"boone-pickens-stadium","74078","OK","422 Aquires","Stillwater, OK 74078",2785,"America/Chicago",0,"https://seatgeek.com/venues/boone-pickens-stadium/tickets",0.81559026,"Stillwater, OK",TRUE,"Boone Pickens Stadium","US","Stillwater",6,"Boone Pickens Stadium",36.1257,-97.0665,NA,NA,NA
"2","2018-09-07","2018-09-07_10.59.28","","2018-09-09T17:00:00","2018-09-09T13:00:00","2018-09-09T21:00:00",4347091,FALSE,FALSE,1.002,"normal","https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091","nfl",0.915,"Houston Texans at New England Patriots",FALSE,"2018-04-20T00:47:49",FALSE,"Texans at Patriots","2018-04-20T00:00:00",NA,NA,191,191,NA,900,458.4,1747,"2018-08-22T15:38:11Z",FALSE,"QRCODE","gillette-stadium","02035","MA","1 Patriot Place","Foxborough, MA 02035",33,"America/New_York",0,"https://seatgeek.com/venues/gillette-stadium/tickets",0.8983344,"Foxborough, MA",TRUE,"Gillette Stadium","US","Foxborough",14,"Gillette Stadium",42.0906,-71.2674,"2018-08-22T15:36:58Z",FALSE,"NONE"
"3","2018-09-07","2018-09-07_10.59.28","","2018-09-09T17:00:00","2018-09-09T13:00:00","2018-09-09T21:00:00",4346964,FALSE,FALSE,0.944,"normal","https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964","nfl",0.84,"Cincinnati Bengals at Indianapolis Colts",FALSE,"2018-04-20T00:47:23",FALSE,"Bengals at Colts","2018-04-20T00:00:00",NA,NA,50,50,NA,1217,175.59,1238,"2018-08-24T16:52:49Z",FALSE,"QRCODE","lucas-oil-stadium","46225","IN","500 South Capitol Avenue","Indianapolis, IN 46225",1130,"America/Indiana/Indianapolis",0,"https://seatgeek.com/venues/lucas-oil-stadium/tickets",0.9071682,"Indianapolis, IN",TRUE,"Lucas Oil Stadium","US","Indianapolis",14,"Lucas Oil Stadium",39.7601,-86.1639,"2015-08-22T16:51:43Z",FALSE,"QRCODE_TM"
"4","2018-09-07","2018-09-07_10.59.28","","2018-09-09T17:00:00","2018-09-09T13:00:00","2018-09-09T21:00:00",4346952,FALSE,FALSE,0.993,"normal","https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952","nfl",0.89,"Jacksonville Jaguars at New York Giants",FALSE,"2018-04-20T00:47:20",FALSE,"Jaguars at Giants","2018-04-20T00:00:00",NA,NA,128,128,NA,978,491.43,123724,"2018-08-24T16:52:25Z",FALSE,"QRCODE","metlife-stadium","07073","NJ","1 MetLife Stadium Drive","East Rutherford, NJ 07073",1587,"America/New_York",0,"https://seatgeek.com/venues/metlife-stadium/tickets",0.94873494,"East Rutherford, NJ",TRUE,"MetLife Stadium","US","East Rutherford",21,"MetLife Stadium",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"5","2018-09-07","2018-09-07_10.59.28","","2018-09-09T17:00:00","2018-09-09T12:00:00","2018-09-09T21:00:00",4346974,TRUE,FALSE,0.926,"normal","https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974","nfl",0.832,"Tampa Bay Buccaneers at New Orleans Saints",FALSE,"2018-04-20T00:47:25",FALSE,"Buccaneers at Saints","2018-04-20T00:00:00",NA,NA,58,58,NA,1132,191.94,1392,"2018-05-29T20:38:44Z",FALSE,"QRCODE","mercedes-benz-superdome","70112","LA","1500 Sugar Bowl Drive","New Orleans, LA 70112",128,"America/Chicago",0,"https://seatgeek.com/venues/mercedes-benz-superdome/tickets",0.8966978,"New Orleans, LA",TRUE,"Mercedes-Benz Superdome","US","New Orleans",20,"Mercedes-Benz Superdome",29.9515,-90.0786,"2018-08-27T20:46:59Z",FALSE,"QRCODE_TM"
"6","2018-09-07","2018-09-07_10.59.28","","2018-09-09T17:00:00","2018-09-09T13:00:00","2018-09-09T21:00:00",4347082,FALSE,FALSE,0.955,"normal","https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082","nfl",0.833,"Tennessee Titans at Miami Dolphins",FALSE,"2018-04-20T00:47:47",FALSE,"Titans at Dolphins","2018-04-20T00:00:00",NA,NA,34,34,NA,1611,144.2,1913,"2018-08-24T17:01:07Z",FALSE,"QRCODE","hard-rock-stadium","33056","FL","347 Don Shula Dr.","Miami Gardens, FL 33056",29,"America/New_York",0,"https://seatgeek.com/venues/hard-rock-stadium/tickets",0.8378203,"Miami Gardens, FL",TRUE,"Hard Rock Stadium","US","Miami Gardens",39,"Hard Rock Stadium",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"7","2018-09-07","2018-09-07_10.59.28","","2018-09-09T17:00:00","2018-09-09T13:00:00","2018-09-09T21:00:00",4347073,FALSE,FALSE,0.942,"normal","https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073","nfl",0.832,"Buffalo Bills at Baltimore Ravens",FALSE,"2018-04-20T00:47:45",FALSE,"Bills at Ravens","2018-04-20T00:00:00",NA,NA,68,68,NA,796,264.32,6088,"2018-08-24T16:58:09Z",FALSE,"QRCODE","m-t-bank-stadium","21230","MD","1101 Russell St","Baltimore, MD 21230",1121,"America/New_York",0,"https://seatgeek.com/venues/m-t-bank-stadium/tickets",0.8927189,"Baltimore, MD",TRUE,"M&T Bank Stadium","US","Baltimore",9,"M&T Bank Stadium",39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"8","2018-09-07","2018-09-07_10.59.28","","2018-09-09T17:00:00","2018-09-09T13:00:00","2018-09-09T21:00:00",4347001,FALSE,FALSE,0.972,"normal","https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001","nfl",0.872,"Pittsburgh Steelers at Cleveland Browns",FALSE,"2018-04-20T00:47:32",FALSE,"Steelers at Browns","2018-04-20T00:00:00",NA,NA,94,94,NA,761,274.33,19566,"2018-08-24T16:53:01Z",FALSE,"QRCODE","firstenergy-stadium-15","44114","OH","100 Alfred Lerner Way","Cleveland, OH 44114",1123,"America/New_York",0,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets",0.86852187,"Cleveland, OH",TRUE,"FirstEnergy Stadium","US","Cleveland",8,"FirstEnergy Stadium",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"9","2018-09-07","2018-09-07_10.59.28","","2018-09-09T17:00:00","2018-09-09T12:00:00","2018-09-09T21:00:00",4347146,FALSE,FALSE,0.975,"normal","https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146","nfl",0.878,"San Francisco 49ers at Minnesota Vikings",FALSE,"2018-04-20T01:04:06",FALSE,"49ers at Vikings","2018-04-20T00:00:00",NA,NA,105,105,NA,873,321.42,1859,"2018-08-24T17:02:13Z",FALSE,"QRCODE","u-s-bank-stadium","55415","MN","401 Chicago Avenue","Minneapolis, MN 55415",218451,"America/Chicago",0,"https://seatgeek.com/venues/u-s-bank-stadium/tickets",0.88524246,"Minneapolis, MN",TRUE,"U.S. Bank Stadium","US","Minneapolis",14,"U.S. Bank Stadium",44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"10","2018-09-07","2018-09-07_10.59.28","","2018-09-09T20:05:00","2018-09-09T13:05:00","2018-09-10T00:05:00",4347113,FALSE,FALSE,0.982,"normal","https://seatgeek.com/chiefs-at-chargers-tickets/9-9-2018-carson-california-stubhub-center/nfl/4347113","nfl",0.873,"Kansas City Chiefs at Los Angeles Chargers",FALSE,"2018-04-20T00:47:53",FALSE,"Chiefs at Chargers","2018-04-20T00:00:00",NA,NA,90,90,NA,540,201.41,3470,"2018-08-24T17:01:48Z",FALSE,"QRCODE","stubhub-center","90746","CA","18400 Avalon Blvd","Carson, CA 90746",52,"America/Los_Angeles",0,"https://seatgeek.com/venues/stubhub-center/tickets",0.7228164,"Carson, CA",TRUE,"StubHub Center","US","Carson",14,"StubHub Center",33.8643,-118.261,NA,NA,NA
