"","date","timestamp","datetime_local","time_tbd","status","datetime_utc","description","title","id","url","score","created_at","date_tbd","announce_date","is_open","short_title","type","popularity","datetime_tbd","visible_until_utc","general_admission","lowest_price_good_deals","listing_count","average_price","visible_listing_count","median_price","lowest_price","highest_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","num_upcoming_events","postal_code","display_location","country","extended_address","address","slug","timezone","url_venue","score_venue","state","name","id_venue","city","has_upcoming_events","name_v2","popularity_venue","lat","lon","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"1","2018-09-07","2018-09-07_16.00.44","2018-09-08T19:00:00",FALSE,"normal","2018-09-09T00:00:00","","South Alabama Jaguars at Oklahoma State Cowboys Football",4109673,"https://seatgeek.com/south-alabama-jaguars-at-oklahoma-state-cowboys-football-tickets/ncaa-football/2018-09-08-7-pm/4109673",0.763,"2017-11-02T15:00:32",FALSE,"2017-11-02T00:00:00",FALSE,"South Alabama at Oklahoma State","ncaa_football",0.848,FALSE,"2018-09-09T04:00:00",NA,31,764,69.02,NA,NA,31,287,NA,NA,NA,6,"74078","Stillwater, OK","US","Stillwater, OK 74078","422 Aquires","boone-pickens-stadium","America/Chicago","https://seatgeek.com/venues/boone-pickens-stadium/tickets",0.81559026,"OK","Boone Pickens Stadium",2785,"Stillwater",TRUE,"Boone Pickens Stadium",0,36.1257,-97.0665,NA,NA,NA
"2","2018-09-07","2018-09-07_16.00.44","2018-09-09T13:00:00",FALSE,"normal","2018-09-09T17:00:00","","Cincinnati Bengals at Indianapolis Colts",4346964,"https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964",0.879,"2018-04-20T00:47:23",FALSE,"2018-04-20T00:00:00",FALSE,"Bengals at Colts","nfl",0.928,FALSE,"2018-09-09T21:00:00",NA,46,1240,184.01,NA,NA,46,2510,"QRCODE","2018-08-24T16:52:49Z",FALSE,14,"46225","Indianapolis, IN","US","Indianapolis, IN 46225","500 South Capitol Avenue","lucas-oil-stadium","America/Indiana/Indianapolis","https://seatgeek.com/venues/lucas-oil-stadium/tickets",0.9071682,"IN","Lucas Oil Stadium",1130,"Indianapolis",TRUE,"Lucas Oil Stadium",0,39.7601,-86.1639,"QRCODE_TM","2015-08-22T16:51:43Z",FALSE
"3","2018-09-07","2018-09-07_16.00.44","2018-09-09T13:00:00",FALSE,"normal","2018-09-09T17:00:00","","Houston Texans at New England Patriots",4347091,"https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091",0.961,"2018-04-20T00:47:49",FALSE,"2018-04-20T00:00:00",FALSE,"Texans at Patriots","nfl",0.987,FALSE,"2018-09-09T21:00:00",NA,162,855,451.12,NA,NA,162,1747,"QRCODE","2018-08-22T15:38:11Z",FALSE,14,"02035","Foxborough, MA","US","Foxborough, MA 02035","1 Patriot Place","gillette-stadium","America/New_York","https://seatgeek.com/venues/gillette-stadium/tickets",0.8983344,"MA","Gillette Stadium",33,"Foxborough",TRUE,"Gillette Stadium",0,42.0906,-71.2674,"NONE","2018-08-22T15:36:58Z",FALSE
"4","2018-09-07","2018-09-07_16.00.44","2018-09-09T13:00:00",FALSE,"normal","2018-09-09T17:00:00","","Jacksonville Jaguars at New York Giants",4346952,"https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952",0.937,"2018-04-20T00:47:20",FALSE,"2018-04-20T00:00:00",FALSE,"Jaguars at Giants","nfl",0.98,FALSE,"2018-09-09T21:00:00",NA,126,936,369.23,NA,NA,126,2522,"QRCODE","2018-08-24T16:52:25Z",FALSE,21,"07073","East Rutherford, NJ","US","East Rutherford, NJ 07073","1 MetLife Stadium Drive","metlife-stadium","America/New_York","https://seatgeek.com/venues/metlife-stadium/tickets",0.94873494,"NJ","MetLife Stadium",1587,"East Rutherford",TRUE,"MetLife Stadium",0,40.8142,-74.0737,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"5","2018-09-07","2018-09-07_16.00.44","2018-09-09T13:00:00",FALSE,"normal","2018-09-09T17:00:00","","Buffalo Bills at Baltimore Ravens",4347073,"https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073",0.875,"2018-04-20T00:47:45",FALSE,"2018-04-20T00:00:00",FALSE,"Bills at Ravens","nfl",0.929,FALSE,"2018-09-09T21:00:00",NA,65,788,280.65,NA,NA,65,6040,"QRCODE","2018-08-24T16:58:09Z",FALSE,9,"21230","Baltimore, MD","US","Baltimore, MD 21230","1101 Russell St","m-t-bank-stadium","America/New_York","https://seatgeek.com/venues/m-t-bank-stadium/tickets",0.8927189,"MD","M&T Bank Stadium",1121,"Baltimore",TRUE,"M&T Bank Stadium",0,39.2774,-76.623,"QRCODE_TM","2015-08-04T00:00:00Z",FALSE
"6","2018-09-07","2018-09-07_16.00.44","2018-09-09T13:00:00",FALSE,"normal","2018-09-09T17:00:00","","Pittsburgh Steelers at Cleveland Browns",4347001,"https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001",0.925,"2018-04-20T00:47:32",FALSE,"2018-04-20T00:00:00",FALSE,"Steelers at Browns","nfl",0.964,FALSE,"2018-09-09T21:00:00",NA,86,756,278.92,NA,NA,86,19566,"QRCODE","2018-08-24T16:53:01Z",FALSE,8,"44114","Cleveland, OH","US","Cleveland, OH 44114","100 Alfred Lerner Way","firstenergy-stadium-15","America/New_York","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",0.86852187,"OH","FirstEnergy Stadium",1123,"Cleveland",TRUE,"FirstEnergy Stadium",0,41.5065,-81.7,"NONE","2015-11-11T20:55:31Z",FALSE
"7","2018-09-07","2018-09-07_16.00.44","2018-09-09T12:00:00",FALSE,"normal","2018-09-09T17:00:00","","Tampa Bay Buccaneers at New Orleans Saints",4346974,"https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974",0.882,"2018-04-20T00:47:25",FALSE,"2018-04-20T00:00:00",TRUE,"Buccaneers at Saints","nfl",0.918,FALSE,"2018-09-09T21:00:00",NA,54,1095,191.46,NA,NA,54,1152,"QRCODE","2018-05-29T20:38:44Z",FALSE,20,"70112","New Orleans, LA","US","New Orleans, LA 70112","1500 Sugar Bowl Drive","mercedes-benz-superdome","America/Chicago","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",0.8966978,"LA","Mercedes-Benz Superdome",128,"New Orleans",TRUE,"Mercedes-Benz Superdome",0,29.9515,-90.0786,"QRCODE_TM","2018-08-27T20:46:59Z",FALSE
"8","2018-09-07","2018-09-07_16.00.44","2018-09-09T13:00:00",FALSE,"normal","2018-09-09T17:00:00","","Tennessee Titans at Miami Dolphins",4347082,"https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082",0.89,"2018-04-20T00:47:47",FALSE,"2018-04-20T00:00:00",FALSE,"Titans at Dolphins","nfl",0.951,FALSE,"2018-09-09T21:00:00",NA,25,2001,136.79,NA,NA,25,2812,"QRCODE","2018-08-24T17:01:07Z",FALSE,39,"33056","Miami Gardens, FL","US","Miami Gardens, FL 33056","347 Don Shula Dr.","hard-rock-stadium","America/New_York","https://seatgeek.com/venues/hard-rock-stadium/tickets",0.8378203,"FL","Hard Rock Stadium",29,"Miami Gardens",TRUE,"Hard Rock Stadium",0,25.96,-80.24,"NONE","2017-10-03T18:58:44Z",FALSE
"9","2018-09-07","2018-09-07_16.00.44","2018-09-09T12:00:00",FALSE,"normal","2018-09-09T17:00:00","","San Francisco 49ers at Minnesota Vikings",4347146,"https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146",0.933,"2018-04-20T01:04:06",FALSE,"2018-04-20T00:00:00",FALSE,"49ers at Vikings","nfl",0.968,FALSE,"2018-09-09T21:00:00",NA,98,719,308.4,NA,NA,98,1859,"QRCODE","2018-08-24T17:02:13Z",FALSE,14,"55415","Minneapolis, MN","US","Minneapolis, MN 55415","401 Chicago Avenue","u-s-bank-stadium","America/Chicago","https://seatgeek.com/venues/u-s-bank-stadium/tickets",0.88524246,"MN","U.S. Bank Stadium",218451,"Minneapolis",TRUE,"U.S. Bank Stadium",0,44.97,-93.26,"NONE","2018-08-22T15:34:15Z",FALSE
"10","2018-09-07","2018-09-07_16.00.44","2018-09-09T13:05:00",FALSE,"normal","2018-09-09T20:05:00","","Kansas City Chiefs at Los Angeles Chargers",4347113,"https://seatgeek.com/chiefs-at-chargers-tickets/9-9-2018-carson-california-stubhub-center/nfl/4347113",0.926,"2018-04-20T00:47:53",FALSE,"2018-04-20T00:00:00",FALSE,"Chiefs at Chargers","nfl",0.974,FALSE,"2018-09-10T00:05:00",NA,89,534,196.96,NA,NA,89,3470,"QRCODE","2018-08-24T17:01:48Z",FALSE,14,"90746","Carson, CA","US","Carson, CA 90746","18400 Avalon Blvd","stubhub-center","America/Los_Angeles","https://seatgeek.com/venues/stubhub-center/tickets",0.7228164,"CA","StubHub Center",52,"Carson",TRUE,"StubHub Center",0,33.8643,-118.261,NA,NA,NA
