"","date","timestamp","url","title","short_title","datetime_utc","status","created_at","date_tbd","description","id","visible_until_utc","datetime_local","is_open","datetime_tbd","score","announce_date","popularity","type","time_tbd","general_admission","average_price","lowest_price","lowest_price_good_deals","highest_price","listing_count","median_price","visible_listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","url_venue","address","num_upcoming_events","display_location","name","city","timezone","extended_address","slug","has_upcoming_events","country","state","id_venue","name_v2","postal_code","score_venue","popularity_venue","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/south-alabama-jaguars-at-oklahoma-state-cowboys-football-tickets/ncaa-football/2018-09-08-7-pm/4109673","South Alabama Jaguars at Oklahoma State Cowboys Football","South Alabama at Oklahoma State","2018-09-09T00:00:00","normal","2017-11-02T15:00:32",FALSE,"",4109673,"2018-09-09T04:00:00","2018-09-08T19:00:00",FALSE,FALSE,0.763,"2017-11-02T00:00:00",0.848,"ncaa_football",FALSE,NA,56.19,31,31,114,372,NA,NA,NA,NA,NA,"https://seatgeek.com/venues/boone-pickens-stadium/tickets","422 Aquires",6,"Stillwater, OK","Boone Pickens Stadium","Stillwater","America/Chicago","Stillwater, OK 74078","boone-pickens-stadium",TRUE,"US","OK",2785,"Boone Pickens Stadium","74078",0.81559026,0,36.1257,-97.0665,NA,NA,NA
"2","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964","Cincinnati Bengals at Indianapolis Colts","Bengals at Colts","2018-09-09T17:00:00","normal","2018-04-20T00:47:23",FALSE,"",4346964,"2018-09-09T21:00:00","2018-09-09T13:00:00",FALSE,FALSE,0.879,"2018-04-20T00:00:00",0.928,"nfl",FALSE,NA,109.01,44,44,419,298,NA,NA,"2018-08-24T16:52:49Z",FALSE,"QRCODE","https://seatgeek.com/venues/lucas-oil-stadium/tickets","500 South Capitol Avenue",14,"Indianapolis, IN","Lucas Oil Stadium","Indianapolis","America/Indiana/Indianapolis","Indianapolis, IN 46225","lucas-oil-stadium",TRUE,"US","IN",1130,"Lucas Oil Stadium","46225",0.9071682,0,39.7601,-86.1639,"2015-08-22T16:51:43Z",FALSE,"QRCODE_TM"
"3","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091","Houston Texans at New England Patriots","Texans at Patriots","2018-09-09T17:00:00","normal","2018-04-20T00:47:49",FALSE,"",4347091,"2018-09-09T21:00:00","2018-09-09T13:00:00",FALSE,FALSE,0.961,"2018-04-20T00:00:00",0.987,"nfl",FALSE,NA,457.93,186,195,2072,83,NA,NA,"2018-08-22T15:38:11Z",FALSE,"QRCODE","https://seatgeek.com/venues/gillette-stadium/tickets","1 Patriot Place",14,"Foxborough, MA","Gillette Stadium","Foxborough","America/New_York","Foxborough, MA 02035","gillette-stadium",TRUE,"US","MA",33,"Gillette Stadium","02035",0.8983344,0,42.0906,-71.2674,"2018-08-22T15:36:58Z",FALSE,"NONE"
"4","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952","Jacksonville Jaguars at New York Giants","Jaguars at Giants","2018-09-09T17:00:00","normal","2018-04-20T00:47:20",FALSE,"",4346952,"2018-09-09T21:00:00","2018-09-09T13:00:00",FALSE,FALSE,0.937,"2018-04-20T00:00:00",0.98,"nfl",FALSE,NA,251.94,113,113,564,115,NA,NA,"2018-08-24T16:52:25Z",FALSE,"QRCODE","https://seatgeek.com/venues/metlife-stadium/tickets","1 MetLife Stadium Drive",20,"East Rutherford, NJ","MetLife Stadium","East Rutherford","America/New_York","East Rutherford, NJ 07073","metlife-stadium",TRUE,"US","NJ",1587,"MetLife Stadium","07073",0.94873494,0,40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"5","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001","Pittsburgh Steelers at Cleveland Browns","Steelers at Browns","2018-09-09T17:00:00","normal","2018-04-20T00:47:32",FALSE,"",4347001,"2018-09-09T21:00:00","2018-09-09T13:00:00",FALSE,FALSE,0.925,"2018-04-20T00:00:00",0.964,"nfl",FALSE,NA,172.6,73,73,648,287,NA,NA,"2018-08-24T16:53:01Z",FALSE,"QRCODE","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","100 Alfred Lerner Way",8,"Cleveland, OH","FirstEnergy Stadium","Cleveland","America/New_York","Cleveland, OH 44114","firstenergy-stadium-15",TRUE,"US","OH",1123,"FirstEnergy Stadium","44114",0.86852187,0,41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"6","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073","Buffalo Bills at Baltimore Ravens","Bills at Ravens","2018-09-09T17:00:00","normal","2018-04-20T00:47:45",FALSE,"",4347073,"2018-09-09T21:00:00","2018-09-09T13:00:00",FALSE,FALSE,0.875,"2018-04-20T00:00:00",0.929,"nfl",FALSE,NA,113.02,56,56,561,264,NA,NA,"2018-08-24T16:58:09Z",FALSE,"QRCODE","https://seatgeek.com/venues/m-t-bank-stadium/tickets","1101 Russell St",9,"Baltimore, MD","M&T Bank Stadium","Baltimore","America/New_York","Baltimore, MD 21230","m-t-bank-stadium",TRUE,"US","MD",1121,"M&T Bank Stadium","21230",0.8927189,0,39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"7","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082","Tennessee Titans at Miami Dolphins","Titans at Dolphins","2018-09-09T17:00:00","normal","2018-04-20T00:47:47",FALSE,"",4347082,"2018-09-09T21:00:00","2018-09-09T13:00:00",FALSE,FALSE,0.89,"2018-04-20T00:00:00",0.951,"nfl",FALSE,NA,129.65,27,27,2197,165,NA,NA,"2018-08-24T17:01:07Z",FALSE,"QRCODE","https://seatgeek.com/venues/hard-rock-stadium/tickets","347 Don Shula Dr.",38,"Miami Gardens, FL","Hard Rock Stadium","Miami Gardens","America/New_York","Miami Gardens, FL 33056","hard-rock-stadium",TRUE,"US","FL",29,"Hard Rock Stadium","33056",0.8378203,0,25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"8","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974","Tampa Bay Buccaneers at New Orleans Saints","Buccaneers at Saints","2018-09-09T17:00:00","normal","2018-04-20T00:47:25",FALSE,"",4346974,"2018-09-09T21:00:00","2018-09-09T12:00:00",TRUE,FALSE,0.882,"2018-04-20T00:00:00",0.918,"nfl",FALSE,NA,183.83,52,52,900,1021,NA,NA,"2018-05-29T20:38:44Z",FALSE,"QRCODE","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","1500 Sugar Bowl Drive",20,"New Orleans, LA","Mercedes-Benz Superdome","New Orleans","America/Chicago","New Orleans, LA 70112","mercedes-benz-superdome",TRUE,"US","LA",128,"Mercedes-Benz Superdome","70112",0.8966978,0,29.9515,-90.0786,"2018-08-27T20:46:59Z",FALSE,"QRCODE_TM"
"9","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146","San Francisco 49ers at Minnesota Vikings","49ers at Vikings","2018-09-09T17:00:00","normal","2018-04-20T01:04:06",FALSE,"",4347146,"2018-09-09T21:00:00","2018-09-09T12:00:00",FALSE,FALSE,0.933,"2018-04-20T00:00:00",0.968,"nfl",FALSE,NA,254.7,104,104,933,282,NA,NA,"2018-08-24T17:02:13Z",FALSE,"QRCODE","https://seatgeek.com/venues/u-s-bank-stadium/tickets","401 Chicago Avenue",14,"Minneapolis, MN","U.S. Bank Stadium","Minneapolis","America/Chicago","Minneapolis, MN 55415","u-s-bank-stadium",TRUE,"US","MN",218451,"U.S. Bank Stadium","55415",0.88524246,0,44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"10","2018-09-08","2018-09-08_11.16.21","https://seatgeek.com/chiefs-at-chargers-tickets/9-9-2018-carson-california-stubhub-center/nfl/4347113","Kansas City Chiefs at Los Angeles Chargers","Chiefs at Chargers","2018-09-09T20:05:00","normal","2018-04-20T00:47:53",FALSE,"",4347113,"2018-09-10T00:05:00","2018-09-09T13:05:00",FALSE,FALSE,0.926,"2018-04-20T00:00:00",0.974,"nfl",FALSE,NA,166.91,100,100,333,117,NA,NA,"2018-08-24T17:01:48Z",FALSE,"QRCODE","https://seatgeek.com/venues/stubhub-center/tickets","18400 Avalon Blvd",14,"Carson, CA","StubHub Center","Carson","America/Los_Angeles","Carson, CA 90746","stubhub-center",TRUE,"US","CA",52,"StubHub Center","90746",0.7228164,0,33.8643,-118.261,NA,NA,NA
