"","date","timestamp","datetime_utc","popularity","short_title","created_at","time_tbd","id","description","visible_until_utc","datetime_tbd","url","is_open","datetime_local","type","announce_date","date_tbd","status","title","score","general_admission","median_price","visible_listing_count","listing_count","lowest_price","highest_price","average_price","lowest_price_good_deals","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","display_location","id_venue","has_upcoming_events","state","country","slug","city","postal_code","timezone","name_v2","num_upcoming_events","name","score_venue","url_venue","address","extended_address","popularity_venue","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"1","2018-09-09","2018-09-09_11.16.59","2018-09-09T17:00:00",0.928,"Bengals at Colts","2018-04-20T00:47:23",FALSE,4346964,"","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964",FALSE,"2018-09-09T13:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Cincinnati Bengals at Indianapolis Colts",0.879,NA,NA,NA,84,57,357,105.57,57,FALSE,"2018-08-24T16:52:49Z","QRCODE","Indianapolis, IN",1130,TRUE,"IN","US","lucas-oil-stadium","Indianapolis","46225","America/Indiana/Indianapolis","Lucas Oil Stadium",14,"Lucas Oil Stadium",0.9071682,"https://seatgeek.com/venues/lucas-oil-stadium/tickets","500 South Capitol Avenue","Indianapolis, IN 46225",0,39.7601,-86.1639,FALSE,"2015-08-22T16:51:43Z","QRCODE_TM"
"2","2018-09-09","2018-09-09_11.16.59","2018-09-09T17:00:00",0.987,"Texans at Patriots","2018-04-20T00:47:49",FALSE,4347091,"","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091",FALSE,"2018-09-09T13:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Houston Texans at New England Patriots",0.961,NA,NA,NA,24,175,711,372.17,175,FALSE,"2018-08-22T15:38:11Z","QRCODE","Foxborough, MA",33,TRUE,"MA","US","gillette-stadium","Foxborough","02035","America/New_York","Gillette Stadium",14,"Gillette Stadium",0.8983344,"https://seatgeek.com/venues/gillette-stadium/tickets","1 Patriot Place","Foxborough, MA 02035",0,42.0906,-71.2674,FALSE,"2018-08-22T15:36:58Z","NONE"
"3","2018-09-09","2018-09-09_11.16.59","2018-09-09T17:00:00",0.98,"Jaguars at Giants","2018-04-20T00:47:20",FALSE,4346952,"","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952",FALSE,"2018-09-09T13:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Jacksonville Jaguars at New York Giants",0.937,NA,NA,NA,30,42,406,169.53,42,FALSE,"2018-08-24T16:52:25Z","QRCODE","East Rutherford, NJ",1587,TRUE,"NJ","US","metlife-stadium","East Rutherford","07073","America/New_York","MetLife Stadium",20,"MetLife Stadium",0.94873494,"https://seatgeek.com/venues/metlife-stadium/tickets","1 MetLife Stadium Drive","East Rutherford, NJ 07073",0,40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"4","2018-09-09","2018-09-09_11.16.59","2018-09-09T17:00:00",0.918,"Buccaneers at Saints","2018-04-20T00:47:25",FALSE,4346974,"","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974",TRUE,"2018-09-09T12:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Tampa Bay Buccaneers at New Orleans Saints",0.882,NA,NA,NA,528,54,900,167.79,54,FALSE,"2018-05-29T20:38:44Z","QRCODE","New Orleans, LA",128,TRUE,"LA","US","mercedes-benz-superdome","New Orleans","70112","America/Chicago","Mercedes-Benz Superdome",20,"Mercedes-Benz Superdome",0.8966978,"https://seatgeek.com/venues/mercedes-benz-superdome/tickets","1500 Sugar Bowl Drive","New Orleans, LA 70112",0,29.9515,-90.0786,FALSE,"2018-08-27T20:46:59Z","QRCODE_TM"
"5","2018-09-09","2018-09-09_11.16.59","2018-09-09T17:00:00",0.929,"Bills at Ravens","2018-04-20T00:47:45",FALSE,4347073,"","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073",FALSE,"2018-09-09T13:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Buffalo Bills at Baltimore Ravens",0.875,NA,NA,NA,155,10,254,29.62,10,FALSE,"2018-08-24T16:58:09Z","QRCODE","Baltimore, MD",1121,TRUE,"MD","US","m-t-bank-stadium","Baltimore","21230","America/New_York","M&T Bank Stadium",9,"M&T Bank Stadium",0.8927189,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","1101 Russell St","Baltimore, MD 21230",0,39.2774,-76.623,FALSE,"2015-08-04T00:00:00Z","QRCODE_TM"
"6","2018-09-09","2018-09-09_11.16.59","2018-09-09T17:00:00",0.964,"Steelers at Browns","2018-04-20T00:47:32",FALSE,4347001,"","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001",FALSE,"2018-09-09T13:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Pittsburgh Steelers at Cleveland Browns",0.925,NA,NA,NA,179,67,301,116.31,67,FALSE,"2018-08-24T16:53:01Z","QRCODE","Cleveland, OH",1123,TRUE,"OH","US","firstenergy-stadium-15","Cleveland","44114","America/New_York","FirstEnergy Stadium",8,"FirstEnergy Stadium",0.86852187,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","100 Alfred Lerner Way","Cleveland, OH 44114",0,41.5065,-81.7,FALSE,"2015-11-11T20:55:31Z","NONE"
"7","2018-09-09","2018-09-09_11.16.59","2018-09-09T17:00:00",0.951,"Titans at Dolphins","2018-04-20T00:47:47",FALSE,4347082,"","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082",FALSE,"2018-09-09T13:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Tennessee Titans at Miami Dolphins",0.89,NA,NA,NA,78,11,831,63.59,11,FALSE,"2018-08-24T17:01:07Z","QRCODE","Miami Gardens, FL",29,TRUE,"FL","US","hard-rock-stadium","Miami Gardens","33056","America/New_York","Hard Rock Stadium",37,"Hard Rock Stadium",0.8378203,"https://seatgeek.com/venues/hard-rock-stadium/tickets","347 Don Shula Dr.","Miami Gardens, FL 33056",0,25.96,-80.24,FALSE,"2017-10-03T18:58:44Z","NONE"
"8","2018-09-09","2018-09-09_11.16.59","2018-09-09T17:00:00",0.968,"49ers at Vikings","2018-04-20T01:04:06",FALSE,4347146,"","2018-09-09T21:00:00",FALSE,"https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146",FALSE,"2018-09-09T12:00:00","nfl","2018-04-20T00:00:00",FALSE,"normal","San Francisco 49ers at Minnesota Vikings",0.933,NA,NA,NA,119,62,488,138.34,62,FALSE,"2018-08-24T17:02:13Z","QRCODE","Minneapolis, MN",218451,TRUE,"MN","US","u-s-bank-stadium","Minneapolis","55415","America/Chicago","U.S. Bank Stadium",14,"U.S. Bank Stadium",0.88524246,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","401 Chicago Avenue","Minneapolis, MN 55415",0,44.97,-93.26,FALSE,"2018-08-22T15:34:15Z","NONE"
"9","2018-09-09","2018-09-09_11.16.59","2018-09-09T20:05:00",0.974,"Chiefs at Chargers","2018-04-20T00:47:53",FALSE,4347113,"","2018-09-10T00:05:00",FALSE,"https://seatgeek.com/chiefs-at-chargers-tickets/9-9-2018-carson-california-stubhub-center/nfl/4347113",FALSE,"2018-09-09T13:05:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Kansas City Chiefs at Los Angeles Chargers",0.926,NA,NA,NA,54,80,249,143.17,80,FALSE,"2018-08-24T17:01:48Z","QRCODE","Carson, CA",52,TRUE,"CA","US","stubhub-center","Carson","90746","America/Los_Angeles","StubHub Center",14,"StubHub Center",0.7228164,"https://seatgeek.com/venues/stubhub-center/tickets","18400 Avalon Blvd","Carson, CA 90746",0,33.8643,-118.261,NA,NA,NA
"10","2018-09-09","2018-09-09_11.16.59","2018-09-09T20:25:00",0.988,"Cowboys at Panthers","2018-04-20T00:47:38",FALSE,4347034,"","2018-09-10T00:25:00",FALSE,"https://seatgeek.com/cowboys-at-panthers-tickets/9-9-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347034",FALSE,"2018-09-09T16:25:00","nfl","2018-04-20T00:00:00",FALSE,"normal","Dallas Cowboys at Carolina Panthers",0.966,NA,NA,NA,111,129,866,312.14,129,FALSE,"2018-08-24T16:53:30Z","QRCODE","Charlotte, NC",1122,TRUE,"NC","US","bank-of-america-stadium","Charlotte","28202","America/New_York","Bank of America Stadium",10,"Bank of America Stadium",0.8968222,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","800 South Mint Street","Charlotte, NC 28202",0,35.2243,-80.8524,FALSE,"2015-09-25T18:23:51Z","QRCODE_TM"
