"","date","timestamp","is_open","description","created_at","datetime_local","visible_until_utc","popularity","datetime_utc","title","type","announce_date","url","date_tbd","datetime_tbd","id","time_tbd","short_title","status","score","general_admission","average_price","lowest_price","highest_price","listing_count","lowest_price_good_deals","median_price","visible_listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","timezone","display_location","name_v2","name","address","popularity_venue","extended_address","city","has_upcoming_events","country","postal_code","url_venue","num_upcoming_events","id_venue","slug","state","score_venue","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:37","2018-09-10T19:10:00","2018-09-11T03:10:00",0,"2018-09-10T23:10:00","New York Jets at Detroit Lions","nfl","2018-04-20T00:00:00","https://seatgeek.com/jets-at-lions-tickets/9-10-2018-detroit-michigan-ford-field/nfl/4347029",FALSE,FALSE,4347029,FALSE,"Jets at Lions","normal",0.9,NA,113,62,316,211,62,NA,NA,"2018-08-23T16:09:50Z","QRCODE",FALSE,"America/Detroit","Detroit, MI","Ford Field","Ford Field","2000 Brush St.",0,"Detroit, MI 48226","Detroit",TRUE,"US","48226","https://seatgeek.com/venues/ford-field/tickets",10,346,"ford-field","MI",0.9029952,-83.0459,42.34,"2015-11-04T17:31:52Z","NONE",FALSE
"2","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T01:04:25","2018-09-10T19:20:00","2018-09-11T06:20:00",0.702,"2018-09-11T02:20:00","Los Angeles Rams at Oakland Raiders","nfl","2018-04-20T00:00:00","https://seatgeek.com/rams-at-raiders-tickets/9-10-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347155",FALSE,FALSE,4347155,FALSE,"Rams at Raiders","normal",0.844,NA,178.04,93,302,169,93,NA,NA,"2018-08-24T17:02:44Z","QRCODE",FALSE,"America/Los_Angeles","Oakland, CA","Oakland-Alameda County Coliseum","Oakland-Alameda County Coliseum","7000 Coliseum Way",0,"Oakland, CA 94621","Oakland",TRUE,"US","94621","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets",27,14,"oakland-alameda-county-coliseum","CA",0.7817843,-122.201,37.7469,"2015-06-24T00:00:00Z","PDF417",FALSE
"3","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:41","2018-09-13T20:20:00","2018-09-14T04:20:00",0.895,"2018-09-14T00:20:00","Baltimore Ravens at Cincinnati Bengals","nfl","2018-04-20T00:00:00","https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044",FALSE,FALSE,4347044,FALSE,"Ravens at Bengals","normal",0.831,NA,87.48,45,801,310,47,NA,NA,"2018-08-24T17:03:28Z","QRCODE",FALSE,"America/New_York","Cincinnati, OH","Paul Brown Stadium","Paul Brown Stadium","1 Paul Brown Stadium",0,"Cincinnati, OH 45202","Cincinnati",TRUE,"US","45202","https://seatgeek.com/venues/paul-brown-stadium/tickets",8,1124,"paul-brown-stadium","OH",0.86166537,-84.5177,39.0961,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
"4","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-02-28T15:00:17","2018-09-15T18:00:00","2018-09-16T03:00:00",0.528,"2018-09-15T23:00:00","Texas State Bobcats at South Alabama Jaguars Football","ncaa_football","2018-02-28T00:00:00","https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986",FALSE,FALSE,4281986,FALSE,"Texas State at South Alabama","normal",0.319,NA,32.22,11,93,22,11,NA,NA,NA,NA,NA,"America/Chicago","Mobile, AL","Ladd Peebles Stadium","Ladd Peebles Stadium","1621 Virginia St.",0,"Mobile, AL 36604","Mobile",TRUE,"US","36604","https://seatgeek.com/venues/ladd-peebles-stadium/tickets",7,3716,"ladd-peebles-stadium","AL",0.50177634,-88.0761,30.6748,NA,NA,NA
"5","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:30","2018-09-16T12:00:00","2018-09-16T20:00:00",0.879,"2018-09-16T16:00:00","Houston Texans at Tennessee Titans","nfl","2018-04-20T00:00:00","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993",FALSE,FALSE,4346993,FALSE,"Texans at Titans","normal",0.828,NA,167.48,64,627,360,64,NA,NA,"2018-08-24T18:23:49Z","QRCODE",FALSE,"America/New_York","Nashville, TN","Nissan Stadium","Nissan Stadium","1 Titans Way",0,"Nashville, TN 37213","Nashville",TRUE,"US","37213","https://seatgeek.com/venues/nissan-stadium/tickets",16,1126,"nissan-stadium","TN",0.8546275,-86.7713,36.1665,"2015-10-19T15:09:39Z","NONE",FALSE
"6","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:18","2018-09-16T13:00:00","2018-09-16T21:00:00",0.948,"2018-09-16T17:00:00","Indianapolis Colts at Washington Redskins","nfl","2018-04-20T00:00:00","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944",FALSE,FALSE,4346944,FALSE,"Colts at Redskins","normal",0.92,NA,164.63,98,400,120,98,NA,NA,"2018-08-24T18:23:09Z","QRCODE",FALSE,"America/New_York","Landover, MD","FedEx Field","FedEx Field","1600 Fedex Way",0,"Landover, MD 20785","Landover",TRUE,"US","20785","https://seatgeek.com/venues/fedex-field/tickets",9,35,"fedex-field","MD",0.9333444,-76.8658,38.9071,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"7","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:42","2018-09-16T13:00:00","2018-09-16T21:00:00",0.928,"2018-09-16T17:00:00","Carolina Panthers at Atlanta Falcons","nfl","2018-04-20T00:00:00","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054",FALSE,FALSE,4347054,FALSE,"Panthers at Falcons","normal",0.9,NA,238.17,94,982,729,94,NA,NA,"2018-08-23T20:14:46Z","QRCODE",FALSE,"America/New_York","Atlanta, GA","Mercedes-Benz Stadium","Mercedes-Benz Stadium","441 M.L.K. Jr Dr NW",0,"Atlanta, GA 30313","Atlanta",TRUE,"US","30313","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",15,419590,"mercedes-benz-stadium","GA",0.76958936,-84.4,33.76,"2018-08-23T20:14:46Z","QRCODE",FALSE
"8","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:45","2018-09-16T13:00:00","2018-09-16T21:00:00",0.916,"2018-09-16T17:00:00","Kansas City Chiefs at Pittsburgh Steelers","nfl","2018-04-20T00:00:00","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074",FALSE,FALSE,4347074,FALSE,"Chiefs at Steelers","normal",0.883,NA,312.84,126,866,196,131,NA,NA,"2018-08-24T18:24:29Z","QRCODE",FALSE,"America/New_York","Pittsburgh, PA","Heinz Field","Heinz Field","100 Art Rooney Avenue",0,"Pittsburgh, PA 15212","Pittsburgh",TRUE,"US","15212","https://seatgeek.com/venues/heinz-field/tickets",12,1119,"heinz-field","PA",0.9033526,-80.0158,40.4468,"2015-12-08T15:36:23Z","QRCODE_TM",FALSE
"9","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:16","2018-09-16T13:00:00","2018-09-16T21:00:00",0.882,"2018-09-16T17:00:00","Philadelphia Eagles at Tampa Bay Buccaneers","nfl","2018-04-20T00:00:00","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933",FALSE,FALSE,4346933,FALSE,"Eagles at Buccaneers","normal",0.833,NA,326.32,150,792,37,150,NA,NA,"2018-08-24T17:04:19Z","QRCODE",FALSE,"America/New_York","Tampa, FL","Raymond James Stadium","Raymond James Stadium","4201 North Dale Mabry Highway",0,"Tampa, FL 33607","Tampa",TRUE,"US","33607","https://seatgeek.com/venues/raymond-james-stadium/tickets",15,39,"raymond-james-stadium","FL",0.86513025,-82.5034,27.9753,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"10","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:44","2018-09-16T13:00:00","2018-09-16T21:00:00",0.91,"2018-09-16T17:00:00","Los Angeles Chargers at Buffalo Bills","nfl","2018-04-20T00:00:00","https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064",FALSE,FALSE,4347064,FALSE,"Chargers at Bills","normal",0.879,NA,187.67,113,477,373,116,NA,NA,"2018-08-24T18:24:17Z","QRCODE",FALSE,"America/New_York","Orchard Park, NY","New Era Field","New Era Field","1 Bills Drive",0,"Orchard Park, NY 14127","Orchard Park",TRUE,"US","14127","https://seatgeek.com/venues/new-era-field/tickets",8,1135,"new-era-field","NY",0.8815085,-78.7874,42.7737,"2015-08-12T16:52:53Z","QRCODE_TM",FALSE
