"","date","timestamp","short_title","popularity","title","visible_until_utc","type","score","datetime_utc","announce_date","date_tbd","status","url","datetime_local","created_at","is_open","description","datetime_tbd","id","time_tbd","general_admission","highest_price","average_price","lowest_price_good_deals","listing_count","lowest_price","visible_listing_count","median_price","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","popularity_venue","score_venue","name_v2","timezone","postal_code","state","slug","name","display_location","country","url_venue","address","num_upcoming_events","city","has_upcoming_events","id_venue","extended_address","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-09-10","2018-09-10_15.59.48","Jets at Lions",0,"New York Jets at Detroit Lions","2018-09-11T03:10:00","nfl",0.888,"2018-09-10T23:10:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/jets-at-lions-tickets/9-10-2018-detroit-michigan-ford-field/nfl/4347029","2018-09-10T19:10:00","2018-04-20T00:47:37",FALSE,"",FALSE,4347029,FALSE,NA,268,95.66,51,87,51,NA,NA,"2018-08-23T16:09:50Z","QRCODE",FALSE,0,0.9029952,"Ford Field","America/Detroit","48226","MI","ford-field","Ford Field","Detroit, MI","US","https://seatgeek.com/venues/ford-field/tickets","2000 Brush St.",10,"Detroit",TRUE,346,"Detroit, MI 48226",42.34,-83.0459,"2015-11-04T17:31:52Z","NONE",FALSE
"2","2018-09-10","2018-09-10_15.59.48","Rams at Raiders",0.75,"Los Angeles Rams at Oakland Raiders","2018-09-11T06:20:00","nfl",0.861,"2018-09-11T02:20:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/rams-at-raiders-tickets/9-10-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347155","2018-09-10T19:20:00","2018-04-20T01:04:25",FALSE,"",FALSE,4347155,FALSE,NA,335,180.7,95,86,95,NA,NA,"2018-08-24T17:02:44Z","QRCODE",FALSE,0,0.7817843,"Oakland-Alameda County Coliseum","America/Los_Angeles","94621","CA","oakland-alameda-county-coliseum","Oakland-Alameda County Coliseum","Oakland, CA","US","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","7000 Coliseum Way",27,"Oakland",TRUE,14,"Oakland, CA 94621",37.7469,-122.201,"2015-06-24T00:00:00Z","PDF417",FALSE
"3","2018-09-10","2018-09-10_15.59.48","Ravens at Bengals",0.943,"Baltimore Ravens at Cincinnati Bengals","2018-09-14T04:20:00","nfl",0.838,"2018-09-14T00:20:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044","2018-09-13T20:20:00","2018-04-20T00:47:41",FALSE,"",FALSE,4347044,FALSE,NA,796,86.71,45,268,45,NA,NA,"2018-08-24T17:03:28Z","QRCODE",FALSE,0,0.86166537,"Paul Brown Stadium","America/New_York","45202","OH","paul-brown-stadium","Paul Brown Stadium","Cincinnati, OH","US","https://seatgeek.com/venues/paul-brown-stadium/tickets","1 Paul Brown Stadium",8,"Cincinnati",TRUE,1124,"Cincinnati, OH 45202",39.0961,-84.5177,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
"4","2018-09-10","2018-09-10_15.59.48","Texas State at South Alabama",0.528,"Texas State Bobcats at South Alabama Jaguars Football","2018-09-16T03:00:00","ncaa_football",0.319,"2018-09-15T23:00:00","2018-02-28T00:00:00",FALSE,"normal","https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986","2018-09-15T18:00:00","2018-02-28T15:00:17",FALSE,"",FALSE,4281986,FALSE,NA,93,28.75,10,24,10,NA,NA,NA,NA,NA,0,0.50177634,"Ladd Peebles Stadium","America/Chicago","36604","AL","ladd-peebles-stadium","Ladd Peebles Stadium","Mobile, AL","US","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","1621 Virginia St.",7,"Mobile",TRUE,3716,"Mobile, AL 36604",30.6748,-88.0761,NA,NA,NA
"5","2018-09-10","2018-09-10_15.59.48","Texans at Titans",0.92,"Houston Texans at Tennessee Titans","2018-09-16T20:00:00","nfl",0.827,"2018-09-16T16:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993","2018-09-16T12:00:00","2018-04-20T00:47:30",FALSE,"",FALSE,4346993,FALSE,NA,627,164.62,63,342,63,NA,NA,"2018-08-24T18:23:49Z","QRCODE",FALSE,0,0.8546275,"Nissan Stadium","America/New_York","37213","TN","nissan-stadium","Nissan Stadium","Nashville, TN","US","https://seatgeek.com/venues/nissan-stadium/tickets","1 Titans Way",16,"Nashville",TRUE,1126,"Nashville, TN 37213",36.1665,-86.7713,"2015-10-19T15:09:39Z","NONE",FALSE
"6","2018-09-10","2018-09-10_15.59.48","Colts at Redskins",0.994,"Indianapolis Colts at Washington Redskins","2018-09-16T21:00:00","nfl",0.919,"2018-09-16T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944","2018-09-16T13:00:00","2018-04-20T00:47:18",FALSE,"",FALSE,4346944,FALSE,NA,400,162.56,99,120,99,NA,NA,"2018-08-24T18:23:09Z","QRCODE",FALSE,0,0.9333444,"FedEx Field","America/New_York","20785","MD","fedex-field","FedEx Field","Landover, MD","US","https://seatgeek.com/venues/fedex-field/tickets","1600 Fedex Way",9,"Landover",TRUE,35,"Landover, MD 20785",38.9071,-76.8658,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"7","2018-09-10","2018-09-10_15.59.48","Panthers at Falcons",0.969,"Carolina Panthers at Atlanta Falcons","2018-09-16T21:00:00","nfl",0.894,"2018-09-16T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054","2018-09-16T13:00:00","2018-04-20T00:47:42",FALSE,"",FALSE,4347054,FALSE,NA,845,233.83,100,609,100,NA,NA,"2018-08-23T20:14:46Z","QRCODE",FALSE,0,0.76958936,"Mercedes-Benz Stadium","America/New_York","30313","GA","mercedes-benz-stadium","Mercedes-Benz Stadium","Atlanta, GA","US","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","441 M.L.K. Jr Dr NW",15,"Atlanta",TRUE,419590,"Atlanta, GA 30313",33.76,-84.4,"2018-08-23T20:14:46Z","QRCODE",FALSE
"8","2018-09-10","2018-09-10_15.59.48","Chiefs at Steelers",0.963,"Kansas City Chiefs at Pittsburgh Steelers","2018-09-16T21:00:00","nfl",0.887,"2018-09-16T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074","2018-09-16T13:00:00","2018-04-20T00:47:45",FALSE,"",FALSE,4347074,FALSE,NA,884,307.09,112,188,112,NA,NA,"2018-08-24T18:24:29Z","QRCODE",FALSE,0,0.9033526,"Heinz Field","America/New_York","15212","PA","heinz-field","Heinz Field","Pittsburgh, PA","US","https://seatgeek.com/venues/heinz-field/tickets","100 Art Rooney Avenue",12,"Pittsburgh",TRUE,1119,"Pittsburgh, PA 15212",40.4468,-80.0158,"2015-12-08T15:36:23Z","QRCODE_TM",FALSE
"9","2018-09-10","2018-09-10_15.59.48","Eagles at Buccaneers",0.959,"Philadelphia Eagles at Tampa Bay Buccaneers","2018-09-16T21:00:00","nfl",0.878,"2018-09-16T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933","2018-09-16T13:00:00","2018-04-20T00:47:16",FALSE,"",FALSE,4346933,FALSE,NA,759,318.16,151,31,151,NA,NA,"2018-08-24T17:04:19Z","QRCODE",FALSE,0,0.86513025,"Raymond James Stadium","America/New_York","33607","FL","raymond-james-stadium","Raymond James Stadium","Tampa, FL","US","https://seatgeek.com/venues/raymond-james-stadium/tickets","4201 North Dale Mabry Highway",15,"Tampa",TRUE,39,"Tampa, FL 33607",27.9753,-82.5034,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"10","2018-09-10","2018-09-10_15.59.48","Vikings at Packers",0.976,"Minnesota Vikings at Green Bay Packers","2018-09-16T21:00:00","nfl",0.918,"2018-09-16T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915","2018-09-16T12:00:00","2018-04-20T00:47:14",FALSE,"",FALSE,4346915,FALSE,NA,1133,459.28,207,132,207,NA,NA,"2018-08-24T17:03:48Z","QRCODE",FALSE,0,0.92909414,"Lambeau Field","America/Chicago","54304","WI","lambeau-field","Lambeau Field","Green Bay, WI","US","https://seatgeek.com/venues/lambeau-field/tickets","1265 Lombardi Avenue",7,"Green Bay",TRUE,1125,"Green Bay, WI 54304",44.5013,-88.0622,"2015-09-02T22:43:34Z","QRCODE_TM",FALSE
