"","date","timestamp","url","short_title","title","id","datetime_tbd","score","popularity","is_open","time_tbd","description","announce_date","visible_until_utc","created_at","status","date_tbd","type","datetime_utc","datetime_local","general_admission","listing_count","visible_listing_count","average_price","lowest_price_good_deals","highest_price","lowest_price","median_price","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","name_v2","country","url_venue","slug","num_upcoming_events","id_venue","score_venue","has_upcoming_events","popularity_venue","address","state","city","timezone","postal_code","display_location","extended_address","name","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"1","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044","Ravens at Bengals","Baltimore Ravens at Cincinnati Bengals",4347044,FALSE,0.838,0.905,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-14T04:20:00","2018-04-20T00:47:41","normal",FALSE,"nfl","2018-09-14T00:20:00","2018-09-13T20:20:00",NA,200,NA,89.22,52,798,51,NA,FALSE,"2018-08-24T17:03:28Z","QRCODE","Paul Brown Stadium","US","https://seatgeek.com/venues/paul-brown-stadium/tickets","paul-brown-stadium",8,1124,0.86166537,TRUE,0,"1 Paul Brown Stadium","OH","Cincinnati","America/New_York","45202","Cincinnati, OH","Cincinnati, OH 45202","Paul Brown Stadium",39.0961,-84.5177,FALSE,"2015-10-09T16:14:37Z","QRCODE_TM"
"2","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986","Texas State at South Alabama","Texas State Bobcats at South Alabama Jaguars Football",4281986,FALSE,0.327,0.54,FALSE,FALSE,"","2018-02-28T00:00:00","2018-09-16T03:00:00","2018-02-28T15:00:17","normal",FALSE,"ncaa_football","2018-09-15T23:00:00","2018-09-15T18:00:00",NA,24,NA,26.15,9,63,9,NA,NA,NA,NA,"Ladd Peebles Stadium","US","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","ladd-peebles-stadium",7,3716,0.50177634,TRUE,0,"1621 Virginia St.","AL","Mobile","America/Chicago","36604","Mobile, AL","Mobile, AL 36604","Ladd Peebles Stadium",30.6748,-88.0761,NA,NA,NA
"3","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993","Texans at Titans","Houston Texans at Tennessee Titans",4346993,FALSE,0.828,0.885,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-16T20:00:00","2018-04-20T00:47:30","normal",FALSE,"nfl","2018-09-16T16:00:00","2018-09-16T12:00:00",NA,341,NA,155.59,57,629,57,NA,FALSE,"2018-08-24T18:23:49Z","QRCODE","Nissan Stadium","US","https://seatgeek.com/venues/nissan-stadium/tickets","nissan-stadium",16,1126,0.8546275,TRUE,0,"1 Titans Way","TN","Nashville","America/New_York","37213","Nashville, TN","Nashville, TN 37213","Nissan Stadium",36.1665,-86.7713,FALSE,"2015-10-19T15:09:39Z","NONE"
"4","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944","Colts at Redskins","Indianapolis Colts at Washington Redskins",4346944,FALSE,0.915,0.948,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-16T21:00:00","2018-04-20T00:47:18","normal",FALSE,"nfl","2018-09-16T17:00:00","2018-09-16T13:00:00",NA,121,NA,153.3,86,401,86,NA,FALSE,"2018-08-24T18:23:09Z","QRCODE","FedEx Field","US","https://seatgeek.com/venues/fedex-field/tickets","fedex-field",9,35,0.9333444,TRUE,0,"1600 Fedex Way","MD","Landover","America/New_York","20785","Landover, MD","Landover, MD 20785","FedEx Field",38.9071,-76.8658,FALSE,"2015-09-12T14:13:58Z","QRCODE_TM"
"5","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054","Panthers at Falcons","Carolina Panthers at Atlanta Falcons",4347054,FALSE,0.901,0.935,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-16T21:00:00","2018-04-20T00:47:42","normal",FALSE,"nfl","2018-09-16T17:00:00","2018-09-16T13:00:00",NA,699,NA,223.12,88,844,88,NA,FALSE,"2018-08-23T20:14:46Z","QRCODE","Mercedes-Benz Stadium","US","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium",15,419590,0.76958936,TRUE,0,"441 M.L.K. Jr Dr NW","GA","Atlanta","America/New_York","30313","Atlanta, GA","Atlanta, GA 30313","Mercedes-Benz Stadium",33.76,-84.4,FALSE,"2018-08-23T20:14:46Z","QRCODE"
"6","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074","Chiefs at Steelers","Kansas City Chiefs at Pittsburgh Steelers",4347074,FALSE,0.881,0.918,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-16T21:00:00","2018-04-20T00:47:45","normal",FALSE,"nfl","2018-09-16T17:00:00","2018-09-16T13:00:00",NA,170,NA,286.66,107,867,107,NA,FALSE,"2018-08-24T18:24:29Z","QRCODE","Heinz Field","US","https://seatgeek.com/venues/heinz-field/tickets","heinz-field",12,1119,0.9033526,TRUE,0,"100 Art Rooney Avenue","PA","Pittsburgh","America/New_York","15212","Pittsburgh, PA","Pittsburgh, PA 15212","Heinz Field",40.4468,-80.0158,FALSE,"2015-12-08T15:36:23Z","QRCODE_TM"
"7","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933","Eagles at Buccaneers","Philadelphia Eagles at Tampa Bay Buccaneers",4346933,FALSE,0.865,0.912,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-16T21:00:00","2018-04-20T00:47:16","normal",FALSE,"nfl","2018-09-16T17:00:00","2018-09-16T13:00:00",NA,41,NA,299.46,158,608,158,NA,FALSE,"2018-08-24T17:04:19Z","QRCODE","Raymond James Stadium","US","https://seatgeek.com/venues/raymond-james-stadium/tickets","raymond-james-stadium",15,39,0.86513025,TRUE,0,"4201 North Dale Mabry Highway","FL","Tampa","America/New_York","33607","Tampa, FL","Tampa, FL 33607","Raymond James Stadium",27.9753,-82.5034,FALSE,"2015-08-24T14:44:53Z","QRCODE_TM"
"8","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064","Chargers at Bills","Los Angeles Chargers at Buffalo Bills",4347064,FALSE,0.864,0.906,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-16T21:00:00","2018-04-20T00:47:44","normal",FALSE,"nfl","2018-09-16T17:00:00","2018-09-16T13:00:00",NA,354,NA,160.47,87,440,87,NA,FALSE,"2018-08-24T18:24:17Z","QRCODE","New Era Field","US","https://seatgeek.com/venues/new-era-field/tickets","new-era-field",8,1135,0.8815085,TRUE,0,"1 Bills Drive","NY","Orchard Park","America/New_York","14127","Orchard Park, NY","Orchard Park, NY 14127","New Era Field",42.7737,-78.7874,FALSE,"2015-08-12T16:52:53Z","QRCODE_TM"
"9","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953","Dolphins at Jets","Miami Dolphins at New York Jets",4346953,FALSE,0.924,0.96,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-16T21:00:00","2018-04-20T00:47:20","normal",FALSE,"nfl","2018-09-16T17:00:00","2018-09-16T13:00:00",NA,377,NA,237.2,85,11943,85,NA,FALSE,"2018-08-24T18:23:39Z","QRCODE","MetLife Stadium","US","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium",19,1587,0.94873494,TRUE,0,"1 MetLife Stadium Drive","NJ","East Rutherford","America/New_York","07073","East Rutherford, NJ","East Rutherford, NJ 07073","MetLife Stadium",40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"10","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973","Browns at Saints","Cleveland Browns at New Orleans Saints",4346973,FALSE,0.847,0.897,TRUE,FALSE,"","2018-04-20T00:00:00","2018-09-16T21:00:00","2018-04-20T00:47:25","normal",FALSE,"nfl","2018-09-16T17:00:00","2018-09-16T12:00:00",NA,1457,NA,184.25,48,1800,48,NA,FALSE,"2018-05-29T20:38:49Z","QRCODE","Mercedes-Benz Superdome","US","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","mercedes-benz-superdome",19,128,0.8966978,TRUE,0,"1500 Sugar Bowl Drive","LA","New Orleans","America/Chicago","70112","New Orleans, LA","New Orleans, LA 70112","Mercedes-Benz Superdome",29.9515,-90.0786,FALSE,"2018-08-27T20:46:59Z","QRCODE_TM"
