"","date","timestamp","short_title","time_tbd","visible_until_utc","date_tbd","description","title","datetime_tbd","datetime_local","is_open","announce_date","popularity","created_at","status","url","score","datetime_utc","type","id","general_admission","lowest_price_good_deals","highest_price","average_price","visible_listing_count","median_price","lowest_price","listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","slug","has_upcoming_events","country","city","address","state","name_v2","timezone","extended_address","num_upcoming_events","popularity_venue","postal_code","url_venue","score_venue","name","display_location","id_venue","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-09-11","2018-09-11_16.00.13","Ravens at Bengals",FALSE,"2018-09-14T04:20:00",FALSE,"","Baltimore Ravens at Cincinnati Bengals",FALSE,"2018-09-13T20:20:00",FALSE,"2018-04-20T00:00:00",0.926,"2018-04-20T00:47:41","normal","https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044",0.845,"2018-09-14T00:20:00","nfl",4347044,NA,52,798,88.61,NA,NA,51,203,"2018-08-24T17:03:28Z","QRCODE",FALSE,"paul-brown-stadium",TRUE,"US","Cincinnati","1 Paul Brown Stadium","OH","Paul Brown Stadium","America/New_York","Cincinnati, OH 45202",8,0,"45202","https://seatgeek.com/venues/paul-brown-stadium/tickets",0.86166537,"Paul Brown Stadium","Cincinnati, OH",1124,-84.5177,39.0961,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
"2","2018-09-11","2018-09-11_16.00.13","Texas State at South Alabama",FALSE,"2018-09-16T03:00:00",FALSE,"","Texas State Bobcats at South Alabama Jaguars Football",FALSE,"2018-09-15T18:00:00",FALSE,"2018-02-28T00:00:00",0.529,"2018-02-28T15:00:17","normal","https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986",0.315,"2018-09-15T23:00:00","ncaa_football",4281986,NA,9,63,26.11,NA,NA,9,23,NA,NA,NA,"ladd-peebles-stadium",TRUE,"US","Mobile","1621 Virginia St.","AL","Ladd Peebles Stadium","America/Chicago","Mobile, AL 36604",7,0,"36604","https://seatgeek.com/venues/ladd-peebles-stadium/tickets",0.50177634,"Ladd Peebles Stadium","Mobile, AL",3716,-88.0761,30.6748,NA,NA,NA
"3","2018-09-11","2018-09-11_16.00.13","Texans at Titans",FALSE,"2018-09-16T20:00:00",FALSE,"","Houston Texans at Tennessee Titans",FALSE,"2018-09-16T12:00:00",FALSE,"2018-04-20T00:00:00",0.905,"2018-04-20T00:47:30","normal","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993",0.833,"2018-09-16T16:00:00","nfl",4346993,NA,56,628,146.23,NA,NA,56,333,"2018-08-24T18:23:49Z","QRCODE",FALSE,"nissan-stadium",TRUE,"US","Nashville","1 Titans Way","TN","Nissan Stadium","America/New_York","Nashville, TN 37213",16,0,"37213","https://seatgeek.com/venues/nissan-stadium/tickets",0.8546275,"Nissan Stadium","Nashville, TN",1126,-86.7713,36.1665,"2015-10-19T15:09:39Z","NONE",FALSE
"4","2018-09-11","2018-09-11_16.00.13","Panthers at Falcons",FALSE,"2018-09-16T21:00:00",FALSE,"","Carolina Panthers at Atlanta Falcons",FALSE,"2018-09-16T13:00:00",FALSE,"2018-04-20T00:00:00",0.962,"2018-04-20T00:47:42","normal","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054",0.912,"2018-09-16T17:00:00","nfl",4347054,NA,87,787,215.28,NA,NA,87,680,"2018-08-23T20:14:46Z","QRCODE",FALSE,"mercedes-benz-stadium",TRUE,"US","Atlanta","35 Northside Dr NW","GA","Mercedes-Benz Stadium","America/New_York","Atlanta, GA 30313",18,0,"30313","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",0.76958936,"Mercedes-Benz Stadium","Atlanta, GA",419590,-84.4,33.76,"2018-08-23T20:14:46Z","QRCODE",FALSE
"5","2018-09-11","2018-09-11_16.00.13","Colts at Redskins",FALSE,"2018-09-16T21:00:00",FALSE,"","Indianapolis Colts at Washington Redskins",FALSE,"2018-09-16T13:00:00",FALSE,"2018-04-20T00:00:00",0.975,"2018-04-20T00:47:18","normal","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944",0.925,"2018-09-16T17:00:00","nfl",4346944,NA,86,401,151.69,NA,NA,86,126,"2018-08-24T18:23:09Z","QRCODE",FALSE,"fedex-field",TRUE,"US","Landover","1600 Fedex Way","MD","FedEx Field","America/New_York","Landover, MD 20785",9,0,"20785","https://seatgeek.com/venues/fedex-field/tickets",0.9333444,"FedEx Field","Landover, MD",35,-76.8658,38.9071,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"6","2018-09-11","2018-09-11_16.00.13","Eagles at Buccaneers",FALSE,"2018-09-16T21:00:00",FALSE,"","Philadelphia Eagles at Tampa Bay Buccaneers",FALSE,"2018-09-16T13:00:00",FALSE,"2018-04-20T00:00:00",0.944,"2018-04-20T00:47:16","normal","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933",0.885,"2018-09-16T17:00:00","nfl",4346933,NA,139,608,294.07,NA,NA,139,44,"2018-08-24T17:04:19Z","QRCODE",FALSE,"raymond-james-stadium",TRUE,"US","Tampa","4201 North Dale Mabry Highway","FL","Raymond James Stadium","America/New_York","Tampa, FL 33607",15,0,"33607","https://seatgeek.com/venues/raymond-james-stadium/tickets",0.86513025,"Raymond James Stadium","Tampa, FL",39,-82.5034,27.9753,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"7","2018-09-11","2018-09-11_16.00.13","Chiefs at Steelers",FALSE,"2018-09-16T21:00:00",FALSE,"","Kansas City Chiefs at Pittsburgh Steelers",FALSE,"2018-09-16T13:00:00",FALSE,"2018-04-20T00:00:00",0.942,"2018-04-20T00:47:45","normal","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074",0.889,"2018-09-16T17:00:00","nfl",4347074,NA,127,871,282.87,NA,NA,120,179,"2018-08-24T18:24:29Z","QRCODE",FALSE,"heinz-field",TRUE,"US","Pittsburgh","100 Art Rooney Avenue","PA","Heinz Field","America/New_York","Pittsburgh, PA 15212",12,0,"15212","https://seatgeek.com/venues/heinz-field/tickets",0.9033526,"Heinz Field","Pittsburgh, PA",1119,-80.0158,40.4468,"2015-12-08T15:36:23Z","QRCODE_TM",FALSE
"8","2018-09-11","2018-09-11_16.00.13","Browns at Saints",FALSE,"2018-09-16T21:00:00",FALSE,"","Cleveland Browns at New Orleans Saints",FALSE,"2018-09-16T12:00:00",TRUE,"2018-04-20T00:00:00",0.916,"2018-04-20T00:47:25","normal","https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973",0.851,"2018-09-16T17:00:00","nfl",4346973,NA,48,1800,184.93,NA,NA,48,1417,"2018-05-29T20:38:49Z","QRCODE",FALSE,"mercedes-benz-superdome",TRUE,"US","New Orleans","1500 Sugar Bowl Drive","LA","Mercedes-Benz Superdome","America/Chicago","New Orleans, LA 70112",19,0,"70112","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",0.8966978,"Mercedes-Benz Superdome","New Orleans, LA",128,-90.0786,29.9515,"2018-08-27T20:46:59Z","QRCODE_TM",FALSE
"9","2018-09-11","2018-09-11_16.00.13","Vikings at Packers",FALSE,"2018-09-16T21:00:00",FALSE,"","Minnesota Vikings at Green Bay Packers",FALSE,"2018-09-16T12:00:00",FALSE,"2018-04-20T00:00:00",0.952,"2018-04-20T00:47:14","normal","https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915",0.917,"2018-09-16T17:00:00","nfl",4346915,NA,318,1258,453.63,NA,NA,250,151,"2018-08-24T17:03:48Z","QRCODE",FALSE,"lambeau-field",TRUE,"US","Green Bay","1265 Lombardi Avenue","WI","Lambeau Field","America/Chicago","Green Bay, WI 54304",7,0,"54304","https://seatgeek.com/venues/lambeau-field/tickets",0.92909414,"Lambeau Field","Green Bay, WI",1125,-88.0622,44.5013,"2015-09-02T22:43:34Z","QRCODE_TM",FALSE
"10","2018-09-11","2018-09-11_16.00.13","Dolphins at Jets",FALSE,"2018-09-16T21:00:00",FALSE,"","Miami Dolphins at New York Jets",FALSE,"2018-09-16T13:00:00",FALSE,"2018-04-20T00:00:00",0.985,"2018-04-20T00:47:20","normal","https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953",0.931,"2018-09-16T17:00:00","nfl",4346953,NA,90,11943,230.68,NA,NA,90,378,"2018-08-24T18:23:39Z","QRCODE",FALSE,"metlife-stadium",TRUE,"US","East Rutherford","1 MetLife Stadium Drive","NJ","MetLife Stadium","America/New_York","East Rutherford, NJ 07073",19,0,"07073","https://seatgeek.com/venues/metlife-stadium/tickets",0.94873494,"MetLife Stadium","East Rutherford, NJ",1587,-74.0737,40.8142,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
