"","date","timestamp","url","time_tbd","date_tbd","status","announce_date","score","datetime_utc","type","visible_until_utc","title","popularity","short_title","id","datetime_tbd","description","is_open","created_at","datetime_local","general_admission","visible_listing_count","median_price","lowest_price","listing_count","lowest_price_good_deals","highest_price","average_price","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","url_venue","country","display_location","name","state","slug","postal_code","name_v2","timezone","score_venue","popularity_venue","extended_address","id_venue","has_upcoming_events","city","address","num_upcoming_events","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.846,"2018-09-14T00:20:00","nfl","2018-09-14T04:20:00","Baltimore Ravens at Cincinnati Bengals",0.92,"Ravens at Bengals",4347044,FALSE,"",FALSE,"2018-04-20T00:47:41","2018-09-13T20:20:00",NA,NA,NA,53,188,55,797,90.84,"2018-08-24T17:03:28Z","QRCODE",FALSE,"https://seatgeek.com/venues/paul-brown-stadium/tickets","US","Cincinnati, OH","Paul Brown Stadium","OH","paul-brown-stadium","45202","Paul Brown Stadium","America/New_York",0.86166537,0,"Cincinnati, OH 45202",1124,TRUE,"Cincinnati","1 Paul Brown Stadium",8,-84.5177,39.0961,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
"2","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986",FALSE,FALSE,"normal","2018-02-28T00:00:00",0.32,"2018-09-15T23:00:00","ncaa_football","2018-09-16T03:00:00","Texas State Bobcats at South Alabama Jaguars Football",0.554,"Texas State at South Alabama",4281986,FALSE,"",FALSE,"2018-02-28T15:00:17","2018-09-15T18:00:00",NA,NA,NA,10,23,10,63,25.68,NA,NA,NA,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets","US","Mobile, AL","Ladd Peebles Stadium","AL","ladd-peebles-stadium","36604","Ladd Peebles Stadium","America/Chicago",0.50177634,0,"Mobile, AL 36604",3716,TRUE,"Mobile","1621 Virginia St.",7,-88.0761,30.6748,NA,NA,NA
"3","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.848,"2018-09-16T16:00:00","nfl","2018-09-16T20:00:00","Houston Texans at Tennessee Titans",0.914,"Texans at Titans",4346993,FALSE,"",FALSE,"2018-04-20T00:47:30","2018-09-16T12:00:00",NA,NA,NA,59,317,59,408,138.65,"2018-08-24T18:23:49Z","QRCODE",FALSE,"https://seatgeek.com/venues/nissan-stadium/tickets","US","Nashville, TN","Nissan Stadium","TN","nissan-stadium","37213","Nissan Stadium","America/New_York",0.8546275,0,"Nashville, TN 37213",1126,TRUE,"Nashville","1 Titans Way",15,-86.7713,36.1665,"2015-10-19T15:09:39Z","NONE",FALSE
"4","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.923,"2018-09-16T17:00:00","nfl","2018-09-16T21:00:00","Carolina Panthers at Atlanta Falcons",0.967,"Panthers at Falcons",4347054,FALSE,"",FALSE,"2018-04-20T00:47:42","2018-09-16T13:00:00",NA,NA,NA,86,686,86,756,213.69,"2018-08-23T20:14:46Z","QRCODE",FALSE,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","US","Atlanta, GA","Mercedes-Benz Stadium","GA","mercedes-benz-stadium","30313","Mercedes-Benz Stadium","America/New_York",0.76958936,0,"Atlanta, GA 30313",419590,TRUE,"Atlanta","441 M.L.K. Jr Dr NW",19,-84.4,33.76,"2018-08-23T20:14:46Z","QRCODE",FALSE
"5","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.938,"2018-09-16T17:00:00","nfl","2018-09-16T21:00:00","Indianapolis Colts at Washington Redskins",0.975,"Colts at Redskins",4346944,FALSE,"",FALSE,"2018-04-20T00:47:18","2018-09-16T13:00:00",NA,NA,NA,80,133,80,314,147.85,"2018-08-24T18:23:09Z","QRCODE",FALSE,"https://seatgeek.com/venues/fedex-field/tickets","US","Landover, MD","FedEx Field","MD","fedex-field","20785","FedEx Field","America/New_York",0.9333444,0,"Landover, MD 20785",35,TRUE,"Landover","1600 Fedex Way",8,-76.8658,38.9071,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"6","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.914,"2018-09-16T17:00:00","nfl","2018-09-16T21:00:00","Kansas City Chiefs at Pittsburgh Steelers",0.956,"Chiefs at Steelers",4347074,FALSE,"",FALSE,"2018-04-20T00:47:45","2018-09-16T13:00:00",NA,NA,NA,117,168,138,873,280.56,"2018-08-24T18:24:29Z","QRCODE",FALSE,"https://seatgeek.com/venues/heinz-field/tickets","US","Pittsburgh, PA","Heinz Field","PA","heinz-field","15212","Heinz Field","America/New_York",0.9033526,0,"Pittsburgh, PA 15212",1119,TRUE,"Pittsburgh","100 Art Rooney Avenue",12,-80.0158,40.4468,"2015-12-08T15:36:23Z","QRCODE_TM",FALSE
"7","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.898,"2018-09-16T17:00:00","nfl","2018-09-16T21:00:00","Philadelphia Eagles at Tampa Bay Buccaneers",0.952,"Eagles at Buccaneers",4346933,FALSE,"",FALSE,"2018-04-20T00:47:16","2018-09-16T13:00:00",NA,NA,NA,158,27,158,124248,4915.78,"2018-08-24T17:04:19Z","QRCODE",FALSE,"https://seatgeek.com/venues/raymond-james-stadium/tickets","US","Tampa, FL","Raymond James Stadium","FL","raymond-james-stadium","33607","Raymond James Stadium","America/New_York",0.86513025,0,"Tampa, FL 33607",39,TRUE,"Tampa","4201 North Dale Mabry Highway",15,-82.5034,27.9753,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"8","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.949,"2018-09-16T17:00:00","nfl","2018-09-16T21:00:00","Miami Dolphins at New York Jets",0.995,"Dolphins at Jets",4346953,FALSE,"",FALSE,"2018-04-20T00:47:20","2018-09-16T13:00:00",NA,NA,NA,88,336,88,11943,237.34,"2018-08-24T18:23:39Z","QRCODE",FALSE,"https://seatgeek.com/venues/metlife-stadium/tickets","US","East Rutherford, NJ","MetLife Stadium","NJ","metlife-stadium","07073","MetLife Stadium","America/New_York",0.94873494,0,"East Rutherford, NJ 07073",1587,TRUE,"East Rutherford","1 MetLife Stadium Drive",18,-74.0737,40.8142,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"9","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.898,"2018-09-16T17:00:00","nfl","2018-09-16T21:00:00","Los Angeles Chargers at Buffalo Bills",0.945,"Chargers at Bills",4347064,FALSE,"",FALSE,"2018-04-20T00:47:44","2018-09-16T13:00:00",NA,NA,NA,85,332,88,428,145.02,"2018-08-24T18:24:17Z","QRCODE",FALSE,"https://seatgeek.com/venues/new-era-field/tickets","US","Orchard Park, NY","New Era Field","NY","new-era-field","14127","New Era Field","America/New_York",0.8815085,0,"Orchard Park, NY 14127",1135,TRUE,"Orchard Park","1 Bills Drive",8,-78.7874,42.7737,"2015-08-12T16:52:53Z","QRCODE_TM",FALSE
"10","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.947,"2018-09-16T17:00:00","nfl","2018-09-16T21:00:00","Minnesota Vikings at Green Bay Packers",0.969,"Vikings at Packers",4346915,FALSE,"",FALSE,"2018-04-20T00:47:14","2018-09-16T12:00:00",NA,NA,NA,270,145,270,1258,450.37,"2018-08-24T17:03:48Z","QRCODE",FALSE,"https://seatgeek.com/venues/lambeau-field/tickets","US","Green Bay, WI","Lambeau Field","WI","lambeau-field","54304","Lambeau Field","America/Chicago",0.92909414,0,"Green Bay, WI 54304",1125,TRUE,"Green Bay","1265 Lombardi Avenue",7,-88.0622,44.5013,"2015-09-02T22:43:34Z","QRCODE_TM",FALSE
