"","date","timestamp","datetime_local","time_tbd","description","datetime_utc","status","title","id","is_open","url","created_at","score","date_tbd","announce_date","short_title","popularity","type","visible_until_utc","datetime_tbd","general_admission","listing_count","lowest_price_good_deals","average_price","lowest_price","visible_listing_count","median_price","highest_price","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","num_upcoming_events","postal_code","id_venue","display_location","country","extended_address","address","slug","url_venue","timezone","score_venue","state","name","has_upcoming_events","metro_code","city","name_v2","popularity_venue","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-09-13","2018-09-13_08.14.02","2018-09-13T20:20:00",FALSE,"","2018-09-14T00:20:00","normal","Baltimore Ravens at Cincinnati Bengals",4347044,FALSE,"https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044","2018-04-20T00:47:41",0.865,FALSE,"2018-04-20T00:00:00","Ravens at Bengals",0.717,"nfl","2018-09-14T04:20:00",FALSE,NA,100,57,95.76,57,356,82,798,"2018-08-24T17:03:28Z","QRCODE",FALSE,8,"45202",1124,"Cincinnati, OH","US","Cincinnati, OH 45202","1 Paul Brown Stadium","paul-brown-stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","America/New_York",0.86166537,"OH","Paul Brown Stadium",TRUE,515,"Cincinnati","Paul Brown Stadium",0,39.0961,-84.5177,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
"2","2018-09-13","2018-09-13_08.14.02","2018-09-15T18:00:00",FALSE,"","2018-09-15T23:00:00","normal","Texas State Bobcats at South Alabama Jaguars Football",4281986,FALSE,"https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986","2018-02-28T15:00:17",0.46,FALSE,"2018-02-28T00:00:00","Texas State at South Alabama",0.643,"ncaa_football","2018-09-16T03:00:00",FALSE,NA,23,10,25.68,10,NA,NA,63,NA,NA,NA,7,"36604",3716,"Mobile, AL","US","Mobile, AL 36604","1621 Virginia St.","ladd-peebles-stadium","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","America/Chicago",0.50177634,"AL","Ladd Peebles Stadium",TRUE,686,"Mobile","Ladd Peebles Stadium",0,30.6748,-88.0761,NA,NA,NA
"3","2018-09-13","2018-09-13_08.14.02","2018-09-16T12:00:00",FALSE,"","2018-09-16T16:00:00","normal","Houston Texans at Tennessee Titans",4346993,FALSE,"https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993","2018-04-20T00:47:30",0.855,FALSE,"2018-04-20T00:00:00","Texans at Titans",0.905,"nfl","2018-09-16T20:00:00",FALSE,NA,272,52,127.680145,54,572,113,333,"2018-08-24T18:23:49Z","QRCODE",FALSE,15,"37213",1126,"Nashville, TN","US","Nashville, TN 37213","1 Titans Way","nissan-stadium","https://seatgeek.com/venues/nissan-stadium/tickets","America/New_York",0.8546275,"TN","Nissan Stadium",TRUE,659,"Nashville","Nissan Stadium",0,36.1665,-86.7713,"2015-10-19T15:09:39Z","NONE",FALSE
"4","2018-09-13","2018-09-13_08.14.02","2018-09-16T13:00:00",FALSE,"","2018-09-16T17:00:00","normal","Carolina Panthers at Atlanta Falcons",4347054,FALSE,"https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054","2018-04-20T00:47:42",0.931,FALSE,"2018-04-20T00:00:00","Panthers at Falcons",0.959,"nfl","2018-09-16T21:00:00",FALSE,NA,622,87,201.87299,87,909,170,752,"2018-08-23T20:14:46Z","QRCODE",FALSE,19,"30313",419590,"Atlanta, GA","US","Atlanta, GA 30313","441 M.L.K. Jr Dr NW","mercedes-benz-stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","America/New_York",0.76958936,"GA","Mercedes-Benz Stadium",TRUE,0,"Atlanta","Mercedes-Benz Stadium",0,33.76,-84.4,"2018-08-23T20:14:46Z","QRCODE",FALSE
"5","2018-09-13","2018-09-13_08.14.02","2018-09-16T13:00:00",FALSE,"","2018-09-16T17:00:00","normal","Indianapolis Colts at Washington Redskins",4346944,FALSE,"https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944","2018-04-20T00:47:18",0.952,FALSE,"2018-04-20T00:00:00","Colts at Redskins",0.969,"nfl","2018-09-16T21:00:00",FALSE,NA,97,72,146.63918,74,761,148,311,"2018-08-24T18:23:09Z","QRCODE",FALSE,8,"20785",35,"Landover, MD","US","Landover, MD 20785","1600 Fedex Way","fedex-field","https://seatgeek.com/venues/fedex-field/tickets","America/New_York",0.9333444,"MD","FedEx Field",TRUE,511,"Landover","FedEx Field",0,38.9071,-76.8658,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"6","2018-09-13","2018-09-13_08.14.02","2018-09-16T13:00:00",FALSE,"","2018-09-16T17:00:00","normal","Philadelphia Eagles at Tampa Bay Buccaneers",4346933,FALSE,"https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933","2018-04-20T00:47:16",0.883,FALSE,"2018-04-20T00:00:00","Eagles at Buccaneers",0.929,"nfl","2018-09-16T21:00:00",FALSE,NA,33,131,276.78787,137,587,249,604,"2018-08-24T17:04:19Z","QRCODE",FALSE,15,"33607",39,"Tampa, FL","US","Tampa, FL 33607","4201 North Dale Mabry Highway","raymond-james-stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","America/New_York",0.86513025,"FL","Raymond James Stadium",TRUE,539,"Tampa","Raymond James Stadium",0,27.9753,-82.5034,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"7","2018-09-13","2018-09-13_08.14.02","2018-09-16T13:00:00",FALSE,"","2018-09-16T17:00:00","normal","Kansas City Chiefs at Pittsburgh Steelers",4347074,FALSE,"https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074","2018-04-20T00:47:45",0.916,FALSE,"2018-04-20T00:00:00","Chiefs at Steelers",0.943,"nfl","2018-09-16T21:00:00",FALSE,NA,134,110,279.76865,110,319,274,610,"2018-08-24T18:24:29Z","QRCODE",FALSE,12,"15212",1119,"Pittsburgh, PA","US","Pittsburgh, PA 15212","100 Art Rooney Avenue","heinz-field","https://seatgeek.com/venues/heinz-field/tickets","America/New_York",0.9033526,"PA","Heinz Field",TRUE,508,"Pittsburgh","Heinz Field",0,40.4468,-80.0158,"2015-12-08T15:36:23Z","QRCODE_TM",FALSE
"8","2018-09-13","2018-09-13_08.14.02","2018-09-16T13:00:00",FALSE,"","2018-09-16T17:00:00","normal","Los Angeles Chargers at Buffalo Bills",4347064,FALSE,"https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064","2018-04-20T00:47:44",0.898,FALSE,"2018-04-20T00:00:00","Chargers at Bills",0.932,"nfl","2018-09-16T21:00:00",FALSE,NA,207,87,144.7198,81,443,126,399,"2018-08-24T18:24:17Z","QRCODE",FALSE,8,"14127",1135,"Orchard Park, NY","US","Orchard Park, NY 14127","1 Bills Drive","new-era-field","https://seatgeek.com/venues/new-era-field/tickets","America/New_York",0.8815085,"NY","New Era Field",TRUE,514,"Orchard Park","New Era Field",0,42.7737,-78.7874,"2015-08-12T16:52:53Z","QRCODE_TM",FALSE
"9","2018-09-13","2018-09-13_08.14.02","2018-09-16T12:00:00",FALSE,"","2018-09-16T17:00:00","normal","Minnesota Vikings at Green Bay Packers",4346915,FALSE,"https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915","2018-04-20T00:47:14",0.932,FALSE,"2018-04-20T00:00:00","Vikings at Packers",0.945,"nfl","2018-09-16T21:00:00",FALSE,NA,126,162,429.50793,254,345,408,932,"2018-08-24T17:03:48Z","QRCODE",FALSE,7,"54304",1125,"Green Bay, WI","US","Green Bay, WI 54304","1265 Lombardi Avenue","lambeau-field","https://seatgeek.com/venues/lambeau-field/tickets","America/Chicago",0.92909414,"WI","Lambeau Field",TRUE,658,"Green Bay","Lambeau Field",0,44.5013,-88.0622,"2015-09-02T22:43:34Z","QRCODE_TM",FALSE
"10","2018-09-13","2018-09-13_08.14.02","2018-09-16T13:00:00",FALSE,"","2018-09-16T17:00:00","normal","Miami Dolphins at New York Jets",4346953,FALSE,"https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953","2018-04-20T00:47:20",0.947,FALSE,"2018-04-20T00:00:00","Dolphins at Jets",0.98,"nfl","2018-09-16T21:00:00",FALSE,NA,282,84,229.51419,84,537,154,11943,"2018-08-24T18:23:39Z","QRCODE",FALSE,18,"07073",1587,"East Rutherford, NJ","US","East Rutherford, NJ 07073","1 MetLife Stadium Drive","metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York",0.94873494,"NJ","MetLife Stadium",TRUE,501,"East Rutherford","MetLife Stadium",0,40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"11","2018-09-13","2018-09-13_08.14.02","2018-09-16T12:00:00",FALSE,"","2018-09-16T17:00:00","normal","Cleveland Browns at New Orleans Saints",4346973,TRUE,"https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973","2018-04-20T00:47:25",0.878,FALSE,"2018-04-20T00:00:00","Browns at Saints",0.917,"nfl","2018-09-16T21:00:00",FALSE,NA,1332,46,178.14189,46,1239,162,1800,"2018-05-29T20:38:49Z","QRCODE",FALSE,19,"70112",128,"New Orleans, LA","US","New Orleans, LA 70112","1500 Sugar Bowl Drive","mercedes-benz-superdome","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","America/Chicago",0.8966978,"LA","Mercedes-Benz Superdome",TRUE,622,"New Orleans","Mercedes-Benz Superdome",0,29.9515,-90.0786,"2018-08-27T20:46:59Z","QRCODE_TM",FALSE
