"","date","timestamp","short_title","status","visible_until_utc","score","time_tbd","date_tbd","datetime_tbd","description","is_open","datetime_local","title","datetime_utc","created_at","id","announce_date","popularity","url","type","general_admission","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","average_price","highest_price","listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","has_upcoming_events","score_venue","slug","country","name_v2","address","name","metro_code","display_location","state","id_venue","num_upcoming_events","city","popularity_venue","postal_code","url_venue","extended_address","timezone","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-09-13","2018-09-13_11.00.27","Ravens at Bengals","normal","2018-09-14T04:20:00",0.865,FALSE,FALSE,FALSE,"",FALSE,"2018-09-13T20:20:00","Baltimore Ravens at Cincinnati Bengals","2018-09-14T00:20:00","2018-04-20T00:47:41",4347044,"2018-04-20T00:00:00",0.717,"https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044","nfl",NA,60,83,215,59,87.588234,242,85,"2018-08-24T17:03:28Z",FALSE,"QRCODE",TRUE,0.86166537,"paul-brown-stadium","US","Paul Brown Stadium","1 Paul Brown Stadium","Paul Brown Stadium",515,"Cincinnati, OH","OH",1124,8,"Cincinnati",0,"45202","https://seatgeek.com/venues/paul-brown-stadium/tickets","Cincinnati, OH 45202","America/New_York",39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"2","2018-09-13","2018-09-13_11.00.27","Texas State at South Alabama","normal","2018-09-16T03:00:00",0.46,FALSE,FALSE,FALSE,"",FALSE,"2018-09-15T18:00:00","Texas State Bobcats at South Alabama Jaguars Football","2018-09-15T23:00:00","2018-02-28T15:00:17",4281986,"2018-02-28T00:00:00",0.643,"https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986","ncaa_football",NA,35,35,9,14,36.17647,50,17,NA,NA,NA,TRUE,0.50177634,"ladd-peebles-stadium","US","Ladd Peebles Stadium","1621 Virginia St.","Ladd Peebles Stadium",686,"Mobile, AL","AL",3716,7,"Mobile",0,"36604","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","Mobile, AL 36604","America/Chicago",30.6748,-88.0761,NA,NA,NA
"3","2018-09-13","2018-09-13_11.00.27","Texans at Titans","normal","2018-09-16T20:00:00",0.855,FALSE,FALSE,FALSE,"",FALSE,"2018-09-16T12:00:00","Houston Texans at Tennessee Titans","2018-09-16T16:00:00","2018-04-20T00:47:30",4346993,"2018-04-20T00:00:00",0.905,"https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993","nfl",NA,52,117,541,54,128.52472,333,263,"2018-08-24T18:23:49Z",FALSE,"QRCODE",TRUE,0.8546275,"nissan-stadium","US","Nissan Stadium","1 Titans Way","Nissan Stadium",659,"Nashville, TN","TN",1126,15,"Nashville",0,"37213","https://seatgeek.com/venues/nissan-stadium/tickets","Nashville, TN 37213","America/New_York",36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"4","2018-09-13","2018-09-13_11.00.27","Colts at Redskins","normal","2018-09-16T21:00:00",0.952,FALSE,FALSE,FALSE,"",FALSE,"2018-09-16T13:00:00","Indianapolis Colts at Washington Redskins","2018-09-16T17:00:00","2018-04-20T00:47:18",4346944,"2018-04-20T00:00:00",0.969,"https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944","nfl",NA,72,148,723,75,145.09782,311,92,"2018-08-24T18:23:09Z",FALSE,"QRCODE",TRUE,0.9333444,"fedex-field","US","FedEx Field","1600 Fedex Way","FedEx Field",511,"Landover, MD","MD",35,8,"Landover",0,"20785","https://seatgeek.com/venues/fedex-field/tickets","Landover, MD 20785","America/New_York",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"5","2018-09-13","2018-09-13_11.00.27","Panthers at Falcons","normal","2018-09-16T21:00:00",0.931,FALSE,FALSE,FALSE,"",FALSE,"2018-09-16T13:00:00","Carolina Panthers at Atlanta Falcons","2018-09-16T17:00:00","2018-04-20T00:47:42",4347054,"2018-04-20T00:00:00",0.959,"https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054","nfl",NA,78,155,891,78,192.86386,752,617,"2018-08-23T20:14:46Z",FALSE,"QRCODE",TRUE,0.76958936,"mercedes-benz-stadium","US","Mercedes-Benz Stadium","441 M.L.K. Jr Dr NW","Mercedes-Benz Stadium",0,"Atlanta, GA","GA",419590,20,"Atlanta",0,"30313","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Atlanta, GA 30313","America/New_York",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"6","2018-09-13","2018-09-13_11.00.27","Eagles at Buccaneers","normal","2018-09-16T21:00:00",0.883,FALSE,FALSE,FALSE,"",FALSE,"2018-09-16T13:00:00","Philadelphia Eagles at Tampa Bay Buccaneers","2018-09-16T17:00:00","2018-04-20T00:47:16",4346933,"2018-04-20T00:00:00",0.929,"https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933","nfl",NA,131,260,603,137,280,558,30,"2018-08-24T17:04:19Z",FALSE,"QRCODE",TRUE,0.86513025,"raymond-james-stadium","US","Raymond James Stadium","4201 North Dale Mabry Highway","Raymond James Stadium",539,"Tampa, FL","FL",39,15,"Tampa",0,"33607","https://seatgeek.com/venues/raymond-james-stadium/tickets","Tampa, FL 33607","America/New_York",27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"7","2018-09-13","2018-09-13_11.00.27","Chiefs at Steelers","normal","2018-09-16T21:00:00",0.916,FALSE,FALSE,FALSE,"",FALSE,"2018-09-16T13:00:00","Kansas City Chiefs at Pittsburgh Steelers","2018-09-16T17:00:00","2018-04-20T00:47:45",4347074,"2018-04-20T00:00:00",0.943,"https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074","nfl",NA,107,272,308,107,276.7594,610,133,"2018-08-24T18:24:29Z",FALSE,"QRCODE",TRUE,0.9033526,"heinz-field","US","Heinz Field","100 Art Rooney Avenue","Heinz Field",508,"Pittsburgh, PA","PA",1119,12,"Pittsburgh",0,"15212","https://seatgeek.com/venues/heinz-field/tickets","Pittsburgh, PA 15212","America/New_York",40.4468,-80.0158,"2015-12-08T15:36:23Z",FALSE,"QRCODE_TM"
"8","2018-09-13","2018-09-13_11.00.27","Chargers at Bills","normal","2018-09-16T21:00:00",0.898,FALSE,FALSE,FALSE,"",FALSE,"2018-09-16T13:00:00","Los Angeles Chargers at Buffalo Bills","2018-09-16T17:00:00","2018-04-20T00:47:44",4347064,"2018-04-20T00:00:00",0.932,"https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064","nfl",NA,80,136,424,87,147.37056,399,197,"2018-08-24T18:24:17Z",FALSE,"QRCODE",TRUE,0.8815085,"new-era-field","US","New Era Field","1 Bills Drive","New Era Field",514,"Orchard Park, NY","NY",1135,8,"Orchard Park",0,"14127","https://seatgeek.com/venues/new-era-field/tickets","Orchard Park, NY 14127","America/New_York",42.7737,-78.7874,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
"9","2018-09-13","2018-09-13_11.00.27","Dolphins at Jets","normal","2018-09-16T21:00:00",0.947,FALSE,FALSE,FALSE,"",FALSE,"2018-09-16T13:00:00","Miami Dolphins at New York Jets","2018-09-16T17:00:00","2018-04-20T00:47:20",4346953,"2018-04-20T00:00:00",0.98,"https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953","nfl",NA,84,153,513,84,688.28467,123593,267,"2018-08-24T18:23:39Z",FALSE,"QRCODE",TRUE,0.94873494,"metlife-stadium","US","MetLife Stadium","1 MetLife Stadium Drive","MetLife Stadium",501,"East Rutherford, NJ","NJ",1587,18,"East Rutherford",0,"07073","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ 07073","America/New_York",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"10","2018-09-13","2018-09-13_11.00.27","Vikings at Packers","normal","2018-09-16T21:00:00",0.932,FALSE,FALSE,FALSE,"",FALSE,"2018-09-16T12:00:00","Minnesota Vikings at Green Bay Packers","2018-09-16T17:00:00","2018-04-20T00:47:14",4346915,"2018-04-20T00:00:00",0.945,"https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915","nfl",NA,162,407,365,263,424.26447,932,121,"2018-08-24T17:03:48Z",FALSE,"QRCODE",TRUE,0.92909414,"lambeau-field","US","Lambeau Field","1265 Lombardi Avenue","Lambeau Field",658,"Green Bay, WI","WI",1125,7,"Green Bay",0,"54304","https://seatgeek.com/venues/lambeau-field/tickets","Green Bay, WI 54304","America/Chicago",44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
