"","date","timestamp","date_tbd","id","status","time_tbd","title","short_title","type","description","announce_date","created_at","score","datetime_utc","visible_until_utc","datetime_local","is_open","url","popularity","datetime_tbd","general_admission","listing_count","average_price","highest_price","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","state","id_venue","num_upcoming_events","name","address","popularity_venue","extended_address","postal_code","country","score_venue","metro_code","slug","display_location","has_upcoming_events","timezone","url_venue","name_v2","city","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-09-14","2018-09-14_16.00.11",FALSE,4281986,"normal",FALSE,"Texas State Bobcats at South Alabama Jaguars Football","Texas State at South Alabama","ncaa_football","","2018-02-28T00:00:00","2018-02-28T15:00:17",0.343,"2018-09-15T23:00:00","2018-09-16T03:00:00","2018-09-15T18:00:00",FALSE,"https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986",0.286,FALSE,NA,16,58.8125,154,15,45,8,15,NA,NA,NA,"AL",3716,7,"Ladd Peebles Stadium","1621 Virginia St.",0,"Mobile, AL 36604","36604","US",0.50177634,686,"ladd-peebles-stadium","Mobile, AL",TRUE,"America/Chicago","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","Ladd Peebles Stadium","Mobile",30.6748,-88.0761,NA,NA,NA
"2","2018-09-14","2018-09-14_16.00.11",FALSE,4346993,"normal",FALSE,"Houston Texans at Tennessee Titans","Texans at Titans","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:30",0.854,"2018-09-16T16:00:00","2018-09-16T20:00:00","2018-09-16T12:00:00",FALSE,"https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993",0.894,FALSE,NA,192,118.609375,297,44,109,558,49,"2018-08-24T18:23:49Z",FALSE,"QRCODE","TN",1126,15,"Nissan Stadium","1 Titans Way",0,"Nashville, TN 37213","37213","US",0.8546275,659,"nissan-stadium","Nashville, TN",TRUE,"America/New_York","https://seatgeek.com/venues/nissan-stadium/tickets","Nissan Stadium","Nashville",36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"3","2018-09-14","2018-09-14_16.00.11",FALSE,4347054,"normal",FALSE,"Carolina Panthers at Atlanta Falcons","Panthers at Falcons","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:42",0.923,"2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,"https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054",0.945,FALSE,NA,503,186.34195,693,81,157,765,81,"2018-08-23T20:14:46Z",FALSE,"QRCODE","GA",419590,20,"Mercedes-Benz Stadium","35 Northside Dr NW",0,"Atlanta, GA 30313","30313","US",0.76958936,0,"mercedes-benz-stadium","Atlanta, GA",TRUE,"America/New_York","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Mercedes-Benz Stadium","Atlanta",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"4","2018-09-14","2018-09-14_16.00.11",FALSE,4346944,"normal",FALSE,"Indianapolis Colts at Washington Redskins","Colts at Redskins","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:18",0.944,"2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,"https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944",0.948,FALSE,NA,64,137.1875,264,67,133,903,70,"2018-08-24T18:23:09Z",FALSE,"QRCODE","MD",35,8,"FedEx Field","1600 Fedex Way",0,"Landover, MD 20785","20785","US",0.9333444,511,"fedex-field","Landover, MD",TRUE,"America/New_York","https://seatgeek.com/venues/fedex-field/tickets","FedEx Field","Landover",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"5","2018-09-14","2018-09-14_16.00.11",FALSE,4346933,"normal",FALSE,"Philadelphia Eagles at Tampa Bay Buccaneers","Eagles at Buccaneers","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:16",0.903,"2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,"https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933",0.936,FALSE,NA,19,312.6842,523,149,282,664,149,"2018-08-24T17:04:19Z",FALSE,"QRCODE","FL",39,15,"Raymond James Stadium","4201 North Dale Mabry Highway",0,"Tampa, FL 33607","33607","US",0.86513025,539,"raymond-james-stadium","Tampa, FL",TRUE,"America/New_York","https://seatgeek.com/venues/raymond-james-stadium/tickets","Raymond James Stadium","Tampa",27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"6","2018-09-14","2018-09-14_16.00.11",FALSE,4347074,"normal",FALSE,"Kansas City Chiefs at Pittsburgh Steelers","Chiefs at Steelers","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:45",0.91,"2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,"https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074",0.93,FALSE,NA,109,259.6422,549,104,242,397,104,"2018-08-24T18:24:29Z",FALSE,"QRCODE","PA",1119,12,"Heinz Field","100 Art Rooney Avenue",0,"Pittsburgh, PA 15212","15212","US",0.9033526,508,"heinz-field","Pittsburgh, PA",TRUE,"America/New_York","https://seatgeek.com/venues/heinz-field/tickets","Heinz Field","Pittsburgh",40.4468,-80.0158,"2015-12-08T15:36:23Z",FALSE,"QRCODE_TM"
"7","2018-09-14","2018-09-14_16.00.11",FALSE,4346953,"normal",FALSE,"Miami Dolphins at New York Jets","Dolphins at Jets","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:20",0.947,"2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,"https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953",0.976,FALSE,NA,160,266.89374,11943,88,126,525,91,"2018-08-24T18:23:39Z",FALSE,"QRCODE","NJ",1587,18,"MetLife Stadium","1 MetLife Stadium Drive",0,"East Rutherford, NJ 07073","07073","US",0.94873494,501,"metlife-stadium","East Rutherford, NJ",TRUE,"America/New_York","https://seatgeek.com/venues/metlife-stadium/tickets","MetLife Stadium","East Rutherford",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"8","2018-09-14","2018-09-14_16.00.11",FALSE,4346915,"normal",FALSE,"Minnesota Vikings at Green Bay Packers","Vikings at Packers","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:14",0.928,"2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T12:00:00",FALSE,"https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915",0.923,FALSE,NA,94,411.6915,817,170,395,292,265,"2018-08-24T17:03:48Z",FALSE,"QRCODE","WI",1125,7,"Lambeau Field","1265 Lombardi Avenue",0,"Green Bay, WI 54304","54304","US",0.92909414,658,"lambeau-field","Green Bay, WI",TRUE,"America/Chicago","https://seatgeek.com/venues/lambeau-field/tickets","Lambeau Field","Green Bay",44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"9","2018-09-14","2018-09-14_16.00.11",FALSE,4347064,"normal",FALSE,"Los Angeles Chargers at Buffalo Bills","Chargers at Bills","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:44",0.892,"2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T13:00:00",FALSE,"https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064",0.917,FALSE,NA,139,177.56116,430,95,158,373,95,"2018-08-24T18:24:17Z",FALSE,"QRCODE","NY",1135,8,"New Era Field","1 Bills Drive",0,"Orchard Park, NY 14127","14127","US",0.8815085,514,"new-era-field","Orchard Park, NY",TRUE,"America/New_York","https://seatgeek.com/venues/new-era-field/tickets","New Era Field","Orchard Park",42.7737,-78.7874,"2015-08-12T16:52:53Z",FALSE,"QRCODE_TM"
"10","2018-09-14","2018-09-14_16.00.11",FALSE,4346973,"normal",FALSE,"Cleveland Browns at New Orleans Saints","Browns at Saints","nfl","","2018-04-20T00:00:00","2018-04-20T00:47:25",0.879,"2018-09-16T17:00:00","2018-09-16T21:00:00","2018-09-16T12:00:00",TRUE,"https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973",0.898,FALSE,NA,1235,170.02995,900,36,155,1116,36,"2018-05-29T20:38:49Z",FALSE,"QRCODE","LA",128,18,"Mercedes-Benz Superdome","1500 Sugar Bowl Drive",0,"New Orleans, LA 70112","70112","US",0.8966978,622,"mercedes-benz-superdome","New Orleans, LA",TRUE,"America/Chicago","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","Mercedes-Benz Superdome","New Orleans",29.9515,-90.0786,"2018-08-27T20:46:59Z",FALSE,"QRCODE_TM"
