"","date","timestamp","is_open","time_tbd","visible_until_utc","score","type","description","announce_date","id","datetime_tbd","created_at","popularity","status","url","date_tbd","datetime_utc","short_title","title","datetime_local","general_admission","visible_listing_count","highest_price","lowest_price","average_price","lowest_price_good_deals","median_price","listing_count","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","metro_code","display_location","name","score_venue","extended_address","id_venue","has_upcoming_events","state","popularity_venue","timezone","country","city","postal_code","num_upcoming_events","address","url_venue","slug","name_v2","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-09-16T03:00:00",0.317,"ncaa_football","","2018-02-28T00:00:00",4281986,FALSE,"2018-02-28T15:00:17",0,"normal","https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986",FALSE,"2018-09-15T23:00:00","Texas State at South Alabama","Texas State Bobcats at South Alabama Jaguars Football","2018-09-15T18:00:00",NA,5,154,35,72.125,35,51,8,NA,NA,NA,686,"Mobile, AL","Ladd Peebles Stadium",0.50177634,"Mobile, AL 36604",3716,TRUE,"AL",0,"America/Chicago","US","Mobile","36604",7,"1621 Virginia St.","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","ladd-peebles-stadium","Ladd Peebles Stadium",-88.0761,30.6748,NA,NA,NA
"2","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-09-16T20:00:00",0.87,"nfl","","2018-04-20T00:00:00",4346993,FALSE,"2018-04-20T00:47:30",0.737,"normal","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993",FALSE,"2018-09-16T16:00:00","Texans at Titans","Houston Texans at Tennessee Titans","2018-09-16T12:00:00",NA,440,229,42,105.02069,41,102,145,"QRCODE",FALSE,"2018-08-24T18:23:49Z",659,"Nashville, TN","Nissan Stadium",0.8546275,"Nashville, TN 37213",1126,TRUE,"TN",0,"America/New_York","US","Nashville","37213",15,"1 Titans Way","https://seatgeek.com/venues/nissan-stadium/tickets","nissan-stadium","Nissan Stadium",-86.7713,36.1665,"NONE",FALSE,"2015-10-19T15:09:39Z"
"3","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-09-16T21:00:00",0.953,"nfl","","2018-04-20T00:00:00",4347054,FALSE,"2018-04-20T00:47:42",0.801,"normal","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054",FALSE,"2018-09-16T17:00:00","Panthers at Falcons","Carolina Panthers at Atlanta Falcons","2018-09-16T13:00:00",NA,720,692,78,180.56462,75,157,441,"QRCODE",FALSE,"2018-08-23T20:14:46Z",0,"Atlanta, GA","Mercedes-Benz Stadium",0.76958936,"Atlanta, GA 30313",419590,TRUE,"GA",0,"America/New_York","US","Atlanta","30313",20,"35 Northside Dr NW","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium","Mercedes-Benz Stadium",-84.4,33.76,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"4","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-09-16T21:00:00",0.967,"nfl","","2018-04-20T00:00:00",4346944,FALSE,"2018-04-20T00:47:18",0.814,"normal","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944",FALSE,"2018-09-16T17:00:00","Colts at Redskins","Indianapolis Colts at Washington Redskins","2018-09-16T13:00:00",NA,724,192,79,127.87719,67,122,57,"QRCODE",FALSE,"2018-08-24T18:23:09Z",511,"Landover, MD","FedEx Field",0.9333444,"Landover, MD 20785",35,TRUE,"MD",0,"America/New_York","US","Landover","20785",8,"1600 Fedex Way","https://seatgeek.com/venues/fedex-field/tickets","fedex-field","FedEx Field",-76.8658,38.9071,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"5","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-09-16T21:00:00",0.933,"nfl","","2018-04-20T00:00:00",4347074,FALSE,"2018-04-20T00:47:45",0.786,"normal","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074",FALSE,"2018-09-16T17:00:00","Chiefs at Steelers","Kansas City Chiefs at Pittsburgh Steelers","2018-09-16T13:00:00",NA,369,457,105,243.22078,110,244,77,"QRCODE",FALSE,"2018-08-24T18:24:29Z",508,"Pittsburgh, PA","Heinz Field",0.9033526,"Pittsburgh, PA 15212",1119,TRUE,"PA",0,"America/New_York","US","Pittsburgh","15212",12,"100 Art Rooney Avenue","https://seatgeek.com/venues/heinz-field/tickets","heinz-field","Heinz Field",-80.0158,40.4468,"QRCODE_TM",FALSE,"2015-12-08T15:36:23Z"
"6","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-09-16T21:00:00",0.91,"nfl","","2018-04-20T00:00:00",4346933,FALSE,"2018-04-20T00:47:16",0.767,"normal","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933",FALSE,"2018-09-16T17:00:00","Eagles at Buccaneers","Philadelphia Eagles at Tampa Bay Buccaneers","2018-09-16T13:00:00",NA,191,508,153,302.45834,134,298,24,"QRCODE",FALSE,"2018-08-24T17:04:19Z",539,"Tampa, FL","Raymond James Stadium",0.86513025,"Tampa, FL 33607",39,TRUE,"FL",0,"America/New_York","US","Tampa","33607",15,"4201 North Dale Mabry Highway","https://seatgeek.com/venues/raymond-james-stadium/tickets","raymond-james-stadium","Raymond James Stadium",-82.5034,27.9753,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"7","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-09-16T21:00:00",0.975,"nfl","","2018-04-20T00:00:00",4346953,FALSE,"2018-04-20T00:47:20",0.816,"normal","https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953",FALSE,"2018-09-16T17:00:00","Dolphins at Jets","Miami Dolphins at New York Jets","2018-09-16T13:00:00",NA,406,666,94,221.53465,91,179,101,"QRCODE",FALSE,"2018-08-24T18:23:39Z",501,"East Rutherford, NJ","MetLife Stadium",0.94873494,"East Rutherford, NJ 07073",1587,TRUE,"NJ",0,"America/New_York","US","East Rutherford","07073",18,"1 MetLife Stadium Drive","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium","MetLife Stadium",-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"8","2018-09-15","2018-09-15_11.02.57",TRUE,FALSE,"2018-09-16T21:00:00",0.899,"nfl","","2018-04-20T00:00:00",4346973,FALSE,"2018-04-20T00:47:25",0.763,"normal","https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973",FALSE,"2018-09-16T17:00:00","Browns at Saints","Cleveland Browns at New Orleans Saints","2018-09-16T12:00:00",NA,1030,780,48,167.16945,48,150,1139,"QRCODE",FALSE,"2018-05-29T20:38:49Z",622,"New Orleans, LA","Mercedes-Benz Superdome",0.8966978,"New Orleans, LA 70112",128,TRUE,"LA",0,"America/Chicago","US","New Orleans","70112",18,"1500 Sugar Bowl Drive","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","mercedes-benz-superdome","Mercedes-Benz Superdome",-90.0786,29.9515,"QRCODE_TM",FALSE,"2018-08-27T20:46:59Z"
"9","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-09-16T21:00:00",0.914,"nfl","","2018-04-20T00:00:00",4347064,FALSE,"2018-04-20T00:47:44",0.772,"normal","https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064",FALSE,"2018-09-16T17:00:00","Chargers at Bills","Los Angeles Chargers at Buffalo Bills","2018-09-16T13:00:00",NA,330,379,112,163.5,103,153,140,"QRCODE",FALSE,"2018-08-24T18:24:17Z",514,"Orchard Park, NY","New Era Field",0.8815085,"Orchard Park, NY 14127",1135,TRUE,"NY",0,"America/New_York","US","Orchard Park","14127",8,"1 Bills Drive","https://seatgeek.com/venues/new-era-field/tickets","new-era-field","New Era Field",-78.7874,42.7737,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"10","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-09-16T21:00:00",0.959,"nfl","","2018-04-20T00:00:00",4346915,FALSE,"2018-04-20T00:47:14",0.809,"normal","https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915",FALSE,"2018-09-16T17:00:00","Vikings at Packers","Minnesota Vikings at Green Bay Packers","2018-09-16T12:00:00",NA,264,1105,252,393.55057,169,364,89,"QRCODE",FALSE,"2018-08-24T17:03:48Z",658,"Green Bay, WI","Lambeau Field",0.92909414,"Green Bay, WI 54304",1125,TRUE,"WI",0,"America/Chicago","US","Green Bay","54304",7,"1265 Lombardi Avenue","https://seatgeek.com/venues/lambeau-field/tickets","lambeau-field","Lambeau Field",-88.0622,44.5013,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
