"","date","timestamp","is_open","url","id","datetime_utc","visible_until_utc","status","score","time_tbd","date_tbd","datetime_local","datetime_tbd","popularity","type","description","created_at","announce_date","title","short_title","general_admission","lowest_price","highest_price","listing_count","average_price","visible_listing_count","lowest_price_good_deals","median_price","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","name_v2","timezone","has_upcoming_events","id_venue","num_upcoming_events","score_venue","extended_address","metro_code","name","state","city","display_location","slug","address","popularity_venue","url_venue","country","postal_code","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/seahawks-at-bears-tickets/9-17-2018-chicago-illinois-soldier-field/nfl/4347010",4347010,"2018-09-18T00:15:00","2018-09-18T04:15:00","normal",0.946,FALSE,FALSE,"2018-09-17T19:15:00",FALSE,0.794,"nfl","","2018-04-20T00:47:34","2018-04-20T00:00:00","Seattle Seahawks at Chicago Bears","Seahawks at Bears",NA,182,1202,21,399.2381,193,179,338,"2018-08-24T18:25:05Z","QRCODE",FALSE,"Soldier Field","America/Chicago",TRUE,31,11,0.940013,"Chicago, IL 60605",602,"Soldier Field","IL","Chicago","Chicago, IL","soldier-field","1410 S. Museum Campus Drive",0,"https://seatgeek.com/venues/soldier-field/tickets","US","60605",-87.6159,41.8623,"2018-06-02T00:44:08Z","NONE",FALSE
"2","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000",4347000,"2018-09-21T00:20:00","2018-09-21T04:20:00","normal",0.88,FALSE,FALSE,"2018-09-20T20:20:00",FALSE,0.944,"nfl","","2018-04-20T00:47:31","2018-04-20T00:00:00","New York Jets at Cleveland Browns","Jets at Browns",NA,51,313,423,94.515366,735,52,81,"2018-08-24T18:25:16Z","QRCODE",FALSE,"FirstEnergy Stadium","America/New_York",TRUE,1123,7,0.86852187,"Cleveland, OH 44114",510,"FirstEnergy Stadium","OH","Cleveland","Cleveland, OH","firstenergy-stadium-15","100 Alfred Lerner Way",0,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","US","44114",-81.7,41.5065,"2015-11-11T20:55:31Z","NONE",FALSE
"3","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762",4241762,"2018-09-23T00:00:00","2018-09-23T04:00:00","normal",0.509,FALSE,FALSE,"2018-09-22T19:00:00",FALSE,0.681,"ncaa_football","","2018-01-31T15:00:53","2018-01-31T00:00:00","South Alabama Jaguars at Memphis Tigers Football","South Alabama at Memphis",NA,23,245,156,59.49359,75,23,44,NA,NA,NA,"Liberty Bowl Stadium","America/Chicago",TRUE,2827,6,0.6733288,"Memphis, TN 38104",640,"Liberty Bowl Stadium","TN","Memphis","Memphis, TN","liberty-bowl-stadium","335 South Hollywood St.",0,"https://seatgeek.com/venues/liberty-bowl-stadium/tickets","US","38104",-89.98,35.12,NA,NA,NA
"4","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088",4347088,"2018-09-23T17:00:00","2018-09-23T21:00:00","normal",0.894,FALSE,FALSE,"2018-09-23T13:00:00",FALSE,0.946,"nfl","","2018-04-20T00:47:48","2018-04-20T00:00:00","Oakland Raiders at Miami Dolphins","Raiders at Dolphins",NA,63,334,134,159.10448,823,57,157,"2018-08-24T20:34:12Z","QRCODE",FALSE,"Hard Rock Stadium","America/New_York",TRUE,29,38,0.8378203,"Miami Gardens, FL 33056",528,"Hard Rock Stadium","FL","Miami Gardens","Miami Gardens, FL","hard-rock-stadium","347 Don Shula Dr.",0,"https://seatgeek.com/venues/hard-rock-stadium/tickets","US","33056",-80.24,25.96,"2017-10-03T18:58:44Z","NONE",FALSE
"5","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963",4346963,"2018-09-23T17:00:00","2018-09-23T21:00:00","normal",0.937,FALSE,FALSE,"2018-09-23T13:00:00",FALSE,0.971,"nfl","","2018-04-20T00:47:23","2018-04-20T00:00:00","Indianapolis Colts at Philadelphia Eagles","Colts at Eagles",NA,169,1188,236,357.8771,658,169,324,"2018-08-24T18:26:28Z","QRCODE",FALSE,"Lincoln Financial Field","America/New_York",TRUE,330,16,0.90542686,"Philadelphia, PA 19148",504,"Lincoln Financial Field","PA","Philadelphia","Philadelphia, PA","lincoln-financial-field","1020 Pattison Ave",0,"https://seatgeek.com/venues/lincoln-financial-field/tickets","US","19148",-75.1675,39.9046,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"6","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142",4347142,"2018-09-23T17:00:00","2018-09-23T21:00:00","normal",0.916,FALSE,FALSE,"2018-09-23T12:00:00",FALSE,0.956,"nfl","","2018-04-20T01:04:05","2018-04-20T00:00:00","Buffalo Bills at Minnesota Vikings","Bills at Vikings",NA,96,948,434,246.25346,661,100,219,"2018-08-23T16:03:24Z","QRCODE",FALSE,"U.S. Bank Stadium","America/Chicago",TRUE,218451,13,0.88524246,"Minneapolis, MN 55415",0,"U.S. Bank Stadium","MN","Minneapolis","Minneapolis, MN","u-s-bank-stadium","401 Chicago Avenue",0,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","US","55415",-93.26,44.97,"2018-08-22T15:34:15Z","NONE",FALSE
"7","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943",4346943,"2018-09-23T17:00:00","2018-09-23T21:00:00","normal",0.986,FALSE,FALSE,"2018-09-23T13:00:00",FALSE,1.009,"nfl","","2018-04-20T00:47:18","2018-04-20T00:00:00","Green Bay Packers at Washington Redskins","Packers at Redskins",NA,149,678,139,301.1079,938,140,298,"2018-08-24T18:25:58Z","QRCODE",FALSE,"FedEx Field","America/New_York",TRUE,35,7,0.9333444,"Landover, MD 20785",511,"FedEx Field","MD","Landover","Landover, MD","fedex-field","1600 Fedex Way",0,"https://seatgeek.com/venues/fedex-field/tickets","US","20785",-76.8658,38.9071,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"8","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985",4346985,"2018-09-23T17:00:00","2018-09-23T21:00:00","normal",0.911,FALSE,FALSE,"2018-09-23T12:00:00",FALSE,0.952,"nfl","","2018-04-20T00:47:28","2018-04-20T00:00:00","San Francisco 49ers at Kansas City Chiefs","49ers at Chiefs",NA,75,658,929,193.53069,1002,75,182,"2018-08-24T18:27:03Z","QRCODE",FALSE,"Arrowhead Stadium","America/Chicago",TRUE,1128,9,0.8827867,"Kansas City, MO 64129",616,"Arrowhead Stadium","MO","Kansas City","Kansas City, MO","arrowhead-stadium","1 Arrowhead Drive",0,"https://seatgeek.com/venues/arrowhead-stadium/tickets","US","64129",-94.4839,39.0489,"2015-08-20T16:20:51Z","QRCODE_TM",FALSE
"9","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045",4347045,"2018-09-23T17:00:00","2018-09-23T21:00:00","normal",0.902,FALSE,FALSE,"2018-09-23T13:00:00",FALSE,0.946,"nfl","","2018-04-20T00:47:41","2018-04-20T00:00:00","Cincinnati Bengals at Carolina Panthers","Bengals at Panthers",NA,70,713,345,160.38841,678,70,111,"2018-08-24T18:28:54Z","QRCODE",FALSE,"Bank of America Stadium","America/New_York",TRUE,1122,9,0.8968222,"Charlotte, NC 28202",517,"Bank of America Stadium","NC","Charlotte","Charlotte, NC","bank-of-america-stadium","800 South Mint Street",0,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","US","28202",-80.8524,35.2243,"2015-09-25T18:23:51Z","QRCODE_TM",FALSE
"10","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021",4347021,"2018-09-23T17:00:00","2018-09-23T21:00:00","normal",0.926,FALSE,FALSE,"2018-09-23T12:00:00",FALSE,0.964,"nfl","","2018-04-20T00:47:36","2018-04-20T00:00:00","New York Giants at Houston Texans","Giants at Texans",NA,105,1099,251,280.4542,609,95,259,"2018-08-24T18:27:18Z","QRCODE",FALSE,"NRG Stadium","America/Chicago",TRUE,41,44,0.8624192,"Houston, TX 77054",618,"NRG Stadium","TX","Houston","Houston, TX","nrg-stadium","1 Reliant Park",0,"https://seatgeek.com/venues/nrg-stadium/tickets","US","77054",-95.4107,29.6847,"2015-11-04T18:42:27Z","QRCODE_TM",FALSE
"11","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072",4347072,"2018-09-23T17:00:00","2018-09-23T21:00:00","normal",0.893,FALSE,FALSE,"2018-09-23T13:00:00",FALSE,0.938,"nfl","","2018-04-20T00:47:45","2018-04-20T00:00:00","Denver Broncos at Baltimore Ravens","Broncos at Ravens",NA,58,481,420,121.59048,745,58,96,"2018-08-24T18:29:20Z","QRCODE",FALSE,"M&T Bank Stadium","America/New_York",TRUE,1121,8,0.8927189,"Baltimore, MD 21230",512,"M&T Bank Stadium","MD","Baltimore","Baltimore, MD","m-t-bank-stadium","1101 Russell St",0,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","US","21230",-76.623,39.2774,"2015-08-04T00:00:00Z","QRCODE_TM",FALSE
"12","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053",4347053,"2018-09-23T17:00:00","2018-09-23T21:00:00","normal",0.942,FALSE,FALSE,"2018-09-23T13:00:00",FALSE,0.973,"nfl","","2018-04-20T00:47:42","2018-04-20T00:00:00","New Orleans Saints at Atlanta Falcons","Saints at Falcons",NA,145,1238,517,303.0503,816,145,272,"2018-08-24T18:29:05Z","QRCODE",FALSE,"Mercedes-Benz Stadium","America/New_York",TRUE,419590,19,0.76958936,"Atlanta, GA 30313",0,"Mercedes-Benz Stadium","GA","Atlanta","Atlanta, GA","mercedes-benz-stadium","441 M.L.K. Jr Dr NW",0,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","US","30313",-84.4,33.76,"2018-08-23T20:14:46Z","QRCODE",FALSE
"13","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/titans-at-jaguars-tickets/9-23-2018-jacksonville-florida-everbank-field/nfl/4346950",4346950,"2018-09-23T17:00:00","2018-09-23T21:00:00","normal",0.815,FALSE,FALSE,"2018-09-23T13:00:00",FALSE,0.886,"nfl","","2018-04-20T00:47:19","2018-04-20T00:00:00","Tennessee Titans at Jacksonville Jaguars","Titans at Jaguars",NA,41,775,595,104.95,NA,41,NA,"2018-08-24T18:26:19Z","QRCODE",FALSE,"EverBank Field","America/New_York",TRUE,5178,9,0.83759147,"Jacksonville, FL 32202",561,"EverBank Field","FL","Jacksonville","Jacksonville, FL","everbank-field","1 Everbank Field Dr",0,"https://seatgeek.com/venues/everbank-field/tickets","US","32202",-81.6373,30.3239,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"14","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/chargers-at-rams-tickets/9-23-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346923",4346923,"2018-09-23T20:05:00","2018-09-24T00:05:00","normal",0.889,FALSE,FALSE,"2018-09-23T13:05:00",FALSE,0.936,"nfl","","2018-04-20T00:47:14","2018-04-20T00:00:00","Los Angeles Chargers at Los Angeles Rams","Chargers at Rams",NA,45,458,901,121.27192,1248,45,94,"2018-09-05T22:17:11Z","QRCODE",FALSE,"Los Angeles Memorial Coliseum","America/Los_Angeles",TRUE,51012,11,0.86898464,"Los Angeles, CA 90037",0,"Los Angeles Memorial Coliseum","CA","Los Angeles","Los Angeles, CA","los-angeles-memorial-coliseum-1","3911 S Figueroa St",0,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","US","90037",-118.288,34.0138,"2018-08-23T17:59:28Z","QRCODE",FALSE
"15","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/cowboys-at-seahawks-tickets/9-23-2018-seattle-washington-centurylink-field/nfl/4347129",4347129,"2018-09-23T20:25:00","2018-09-24T00:25:00","normal",0.981,FALSE,FALSE,"2018-09-23T13:25:00",FALSE,1.001,"nfl","","2018-04-20T00:47:56","2018-04-20T00:00:00","Dallas Cowboys at Seattle Seahawks","Cowboys at Seahawks",NA,246,3101,140,653.74286,304,246,611,"2018-03-02T22:54:54Z","QRCODE",FALSE,"CenturyLink Field","America/Los_Angeles",TRUE,339,18,0.87232786,"Seattle, WA 98134",819,"CenturyLink Field","WA","Seattle","Seattle, WA","centurylink-field","800 Occidental Ave S",0,"https://seatgeek.com/venues/centurylink-field/tickets","US","98134",-122.33,47.6,"2018-03-02T22:54:54Z","QRCODE",FALSE
"16","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/bears-at-cardinals-tickets/9-23-2018-glendale-arizona-state-farm-stadium/nfl/4347104",4347104,"2018-09-23T20:25:00","2018-09-24T00:25:00","normal",0.947,FALSE,FALSE,"2018-09-23T13:25:00",FALSE,0.981,"nfl","","2018-04-20T00:47:52","2018-04-20T00:00:00","Chicago Bears at Arizona Cardinals","Bears at Cardinals",NA,91,673,375,207.368,721,83,194,"2018-08-24T20:34:25Z","QRCODE",FALSE,"State Farm Stadium","America/Phoenix",TRUE,43,10,0.93402725,"Glendale, AZ 85305",753,"State Farm Stadium","AZ","Glendale","Glendale, AZ","state-farm-stadium","1 Cardinals Drive",0,"https://seatgeek.com/venues/state-farm-stadium/tickets","US","85305",-112.262,33.5294,"2015-12-21T17:26:05Z","NONE",FALSE
"17","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/patriots-at-lions-tickets/9-23-2018-detroit-michigan-ford-field/nfl/4347028",4347028,"2018-09-24T00:20:00","2018-09-24T04:20:00","normal",0.968,FALSE,FALSE,"2018-09-23T20:20:00",FALSE,0.994,"nfl","","2018-04-20T00:47:37","2018-04-20T00:00:00","New England Patriots at Detroit Lions","Patriots at Lions",NA,137,2455,442,289.4638,809,124,247,"2018-08-24T18:27:28Z","QRCODE",FALSE,"Ford Field","America/Detroit",TRUE,346,9,0.9029952,"Detroit, MI 48226",505,"Ford Field","MI","Detroit","Detroit, MI","ford-field","2000 Brush St.",0,"https://seatgeek.com/venues/ford-field/tickets","US","48226",-83.0459,42.34,"2015-11-04T17:31:52Z","NONE",FALSE
"18","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/steelers-at-buccaneers-tickets/9-24-2018-tampa-florida-raymond-james-stadium/nfl/4346932",4346932,"2018-09-25T00:15:00","2018-09-25T04:15:00","normal",0.913,FALSE,FALSE,"2018-09-24T20:15:00",FALSE,0.948,"nfl","","2018-04-20T00:47:16","2018-04-20T00:00:00","Pittsburgh Steelers at Tampa Bay Buccaneers","Steelers at Buccaneers",NA,237,1038,19,412.21054,361,234,313,"2018-08-24T20:35:07Z","QRCODE",FALSE,"Raymond James Stadium","America/New_York",TRUE,39,14,0.86513025,"Tampa, FL 33607",539,"Raymond James Stadium","FL","Tampa","Tampa, FL","raymond-james-stadium","4201 North Dale Mabry Highway",0,"https://seatgeek.com/venues/raymond-james-stadium/tickets","US","33607",-82.5034,27.9753,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"19","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922",4346922,"2018-09-28T00:20:00","2018-09-28T04:20:00","normal",0.91,FALSE,FALSE,"2018-09-27T17:20:00",FALSE,0.928,"nfl","","2018-04-20T00:47:14","2018-04-20T00:00:00","Minnesota Vikings at Los Angeles Rams","Vikings at Rams",NA,75,991,515,214.01166,1116,61,160,"2018-09-05T22:17:16Z","QRCODE",FALSE,"Los Angeles Memorial Coliseum","America/Los_Angeles",TRUE,51012,11,0.86898464,"Los Angeles, CA 90037",0,"Los Angeles Memorial Coliseum","CA","Los Angeles","Los Angeles, CA","los-angeles-memorial-coliseum-1","3911 S Figueroa St",0,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","US","90037",-118.288,34.0138,"2018-08-23T17:59:28Z","QRCODE",FALSE
"20","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810",4401810,"2018-09-28T23:00:00","2018-09-29T03:00:00","normal",0.352,FALSE,FALSE,"2018-09-28T19:00:00",FALSE,0.542,"sports","","2018-06-05T16:00:59","2018-06-05T00:00:00","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball",NA,12,12,1,12,1,NA,12,NA,NA,NA,"Memorial Coliseum","America/New_York",TRUE,5102,25,0.4125833,"Lexington, KY 40506",541,"Memorial Coliseum","KY","Lexington","Lexington, KY","memorial-coliseum-1","338 Lexington Avenue",0,"https://seatgeek.com/venues/memorial-coliseum-1/tickets","US","40506",-84.5,38.04,NA,NA,NA
"21","2018-09-17","2018-09-17_11.00.14",TRUE,"https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-3-30-am/4163969",4163969,"2018-09-29T08:30:00","2018-09-30T05:00:00","normal",0.916,TRUE,FALSE,"2018-09-29T03:30:00",FALSE,0.949,"ncaa_football","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.","2017-12-05T15:00:24","2017-12-05T00:00:00","Southwest Classic: Arkansas vs Texas A&M","Southwest Classic: Arkansas vs Texas A&M",NA,102,14133,1904,342.77,NA,102,NA,"2018-04-17T22:02:33Z","QRCODE",FALSE,"AT&T Stadium","America/Chicago",TRUE,4965,21,0.9751414,"Arlington, TX 76011",623,"AT&T Stadium","TX","Arlington","Arlington, TX","at-t-stadium","1 AT&T Way",0,"https://seatgeek.com/venues/at-t-stadium/tickets","US","76011",-97.0957,32.7459,"2018-04-17T22:02:33Z","QRCODE",FALSE
"22","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951",4281951,"2018-09-29T19:30:00","2018-09-29T23:30:00","normal",0.523,FALSE,FALSE,"2018-09-29T15:30:00",FALSE,0.653,"ncaa_football","","2018-02-28T15:00:11","2018-02-28T00:00:00","South Alabama Jaguars at Appalachian State Mountaineers Football","South Alabama at Appalachian State",NA,46,215,161,93.478264,84,46,83,NA,NA,NA,"Kidd Brewer Stadium","America/New_York",TRUE,3723,5,0.57884717,"Boone, NC 28607",517,"Kidd Brewer Stadium","NC","Boone","Boone, NC","kidd-brewer-stadium","1 Kidd Brewer Stadium",0,"https://seatgeek.com/venues/kidd-brewer-stadium/tickets","US","28607",-81.6856,36.2116,NA,NA,NA
"23","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992",4346992,"2018-09-30T16:00:00","2018-09-30T20:00:00","normal",0.913,FALSE,FALSE,"2018-09-30T12:00:00",FALSE,0.92,"nfl","","2018-04-20T00:47:30","2018-04-20T00:00:00","Philadelphia Eagles at Tennessee Titans","Eagles at Titans",NA,184,123594,319,807.9185,541,183,398,"2018-08-24T20:47:49Z","QRCODE",FALSE,"Nissan Stadium","America/New_York",TRUE,1126,14,0.8546275,"Nashville, TN 37213",659,"Nissan Stadium","TN","Nashville","Nashville, TN","nissan-stadium","1 Titans Way",0,"https://seatgeek.com/venues/nissan-stadium/tickets","US","37213",-86.7713,36.1665,"2015-10-19T15:09:39Z","NONE",FALSE
"24","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911",4346911,"2018-09-30T17:00:00","2018-09-30T21:00:00","normal",0.935,FALSE,FALSE,"2018-09-30T12:00:00",FALSE,0.939,"nfl","","2018-04-20T00:47:13","2018-04-20T00:00:00","Buffalo Bills at Green Bay Packers","Bills at Packers",NA,229,123593,133,1314.3834,492,186,356,"2018-08-24T20:38:24Z","QRCODE",FALSE,"Lambeau Field","America/Chicago",TRUE,1125,6,0.92909414,"Green Bay, WI 54304",658,"Lambeau Field","WI","Green Bay","Green Bay, WI","lambeau-field","1265 Lombardi Avenue",0,"https://seatgeek.com/venues/lambeau-field/tickets","US","54304",-88.0622,44.5013,"2015-09-02T22:43:34Z","QRCODE_TM",FALSE
"25","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009",4347009,"2018-09-30T17:00:00","2018-09-30T21:00:00","normal",0.919,FALSE,FALSE,"2018-09-30T12:00:00",FALSE,0.926,"nfl","","2018-04-20T00:47:33","2018-04-20T00:00:00","Tampa Bay Buccaneers at Chicago Bears","Buccaneers at Bears",NA,160,715,63,335.25397,556,164,290,"2018-08-24T20:48:11Z","QRCODE",FALSE,"Soldier Field","America/Chicago",TRUE,31,11,0.940013,"Chicago, IL 60605",602,"Soldier Field","IL","Chicago","Chicago, IL","soldier-field","1410 S. Museum Campus Drive",0,"https://seatgeek.com/venues/soldier-field/tickets","US","60605",-87.6159,41.8623,"2018-06-02T00:44:08Z","NONE",FALSE
"26","2018-09-17","2018-09-17_11.00.14",FALSE,"https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092",4347092,"2018-09-30T17:00:00","2018-09-30T21:00:00","normal",0.966,FALSE,FALSE,"2018-09-30T13:00:00",FALSE,0.96,"nfl","","2018-04-20T00:47:49","2018-04-20T00:00:00","Miami Dolphins at New England Patriots","Dolphins at Patriots",NA,286,1748,77,557.2987,483,263,440,"2018-08-24T20:51:36Z","QRCODE",FALSE,"Gillette Stadium","America/New_York",TRUE,33,15,0.8983344,"Foxborough, MA 02035",506,"Gillette Stadium","MA","Foxborough","Foxborough, MA","gillette-stadium","1 Patriot Place",0,"https://seatgeek.com/venues/gillette-stadium/tickets","US","02035",-71.2674,42.0906,"2018-08-22T15:36:58Z","NONE",FALSE
