"","date","timestamp","datetime_tbd","description","is_open","short_title","visible_until_utc","type","score","time_tbd","date_tbd","announce_date","popularity","url","datetime_local","status","title","datetime_utc","created_at","id","general_admission","median_price","lowest_price_good_deals","lowest_price","visible_listing_count","average_price","highest_price","listing_count","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","name_v2","has_upcoming_events","score_venue","slug","country","city","popularity_venue","postal_code","url_venue","extended_address","timezone","address","name","display_location","metro_code","state","id_venue","num_upcoming_events","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"1","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Jets at Browns","2018-09-21T04:20:00","nfl",0.885,FALSE,FALSE,"2018-04-20T00:00:00",0.92,"https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000","2018-09-20T20:20:00","normal","New York Jets at Cleveland Browns","2018-09-21T00:20:00","2018-04-20T00:47:31",4347000,NA,78,52,50,644,99.99721,559,358,FALSE,"2018-08-24T18:25:16Z","QRCODE","FirstEnergy Stadium",TRUE,0.86852187,"firstenergy-stadium-15","US","Cleveland",0,"44114","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","Cleveland, OH 44114","America/New_York","100 Alfred Lerner Way","FirstEnergy Stadium","Cleveland, OH",510,"OH",1123,7,41.5065,-81.7,FALSE,"2015-11-11T20:55:31Z","NONE"
"2","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"South Alabama at Memphis","2018-09-23T04:00:00","ncaa_football",0.496,FALSE,FALSE,"2018-01-31T00:00:00",0.647,"https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762","2018-09-22T19:00:00","normal","South Alabama Jaguars at Memphis Tigers Football","2018-09-23T00:00:00","2018-01-31T15:00:53",4241762,NA,42,23,23,29,60.333332,245,87,NA,NA,NA,"Liberty Bowl Stadium",TRUE,0.6733288,"liberty-bowl-stadium","US","Memphis",0,"38104","https://seatgeek.com/venues/liberty-bowl-stadium/tickets","Memphis, TN 38104","America/Chicago","335 South Hollywood St","Liberty Bowl Stadium","Memphis, TN",640,"TN",2827,6,35.12,-89.98,NA,NA,NA
"3","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Raiders at Dolphins","2018-09-23T21:00:00","nfl",0.909,FALSE,FALSE,"2018-04-20T00:00:00",0.933,"https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088","2018-09-23T13:00:00","normal","Oakland Raiders at Miami Dolphins","2018-09-23T17:00:00","2018-04-20T00:47:48",4347088,NA,152,61,58,797,155.39091,334,110,FALSE,"2018-08-24T20:34:12Z","QRCODE","Hard Rock Stadium",TRUE,0.8378203,"hard-rock-stadium","US","Miami Gardens",0,"33056","https://seatgeek.com/venues/hard-rock-stadium/tickets","Miami Gardens, FL 33056","America/New_York","347 Don Shula Dr.","Hard Rock Stadium","Miami Gardens, FL",528,"FL",29,38,25.96,-80.24,FALSE,"2017-10-03T18:58:44Z","NONE"
"4","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Colts at Eagles","2018-09-23T21:00:00","nfl",0.94,FALSE,FALSE,"2018-04-20T00:00:00",0.95,"https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963","2018-09-23T13:00:00","normal","Indianapolis Colts at Philadelphia Eagles","2018-09-23T17:00:00","2018-04-20T00:47:23",4346963,NA,296,176,173,670,322.55157,917,223,FALSE,"2018-08-24T18:26:28Z","QRCODE","Lincoln Financial Field",TRUE,0.90542686,"lincoln-financial-field","US","Philadelphia",0,"19148","https://seatgeek.com/venues/lincoln-financial-field/tickets","Philadelphia, PA 19148","America/New_York","1020 Pattison Ave","Lincoln Financial Field","Philadelphia, PA",504,"PA",330,16,39.9046,-75.1675,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
"5","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Bills at Vikings","2018-09-23T21:00:00","nfl",0.924,FALSE,FALSE,"2018-04-20T00:00:00",0.938,"https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142","2018-09-23T12:00:00","normal","Buffalo Bills at Minnesota Vikings","2018-09-23T17:00:00","2018-04-20T01:04:05",4347142,NA,208,90,97,661,238.61047,938,439,FALSE,"2018-08-23T16:03:24Z","QRCODE","U.S. Bank Stadium",TRUE,0.88524246,"u-s-bank-stadium","US","Minneapolis",0,"55415","https://seatgeek.com/venues/u-s-bank-stadium/tickets","Minneapolis, MN 55415","America/Chicago","401 Chicago Avenue","U.S. Bank Stadium","Minneapolis, MN",0,"MN",218451,13,44.97,-93.26,FALSE,"2018-08-22T15:34:15Z","NONE"
"6","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Packers at Redskins","2018-09-23T21:00:00","nfl",0.991,FALSE,FALSE,"2018-04-20T00:00:00",0.985,"https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943","2018-09-23T13:00:00","normal","Green Bay Packers at Washington Redskins","2018-09-23T17:00:00","2018-04-20T00:47:18",4346943,NA,232,111,116,862,242.7907,678,129,FALSE,"2018-08-24T18:25:58Z","QRCODE","FedEx Field",TRUE,0.9333444,"fedex-field","US","Landover",0,"20785","https://seatgeek.com/venues/fedex-field/tickets","Landover, MD 20785","America/New_York","1600 Fedex Way","FedEx Field","Landover, MD",511,"MD",35,7,38.9071,-76.8658,FALSE,"2015-09-12T14:13:58Z","QRCODE_TM"
"7","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Bengals at Panthers","2018-09-23T21:00:00","nfl",0.909,FALSE,FALSE,"2018-04-20T00:00:00",0.927,"https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045","2018-09-23T13:00:00","normal","Cincinnati Bengals at Carolina Panthers","2018-09-23T17:00:00","2018-04-20T00:47:41",4347045,NA,107,66,70,633,148.80583,627,309,FALSE,"2018-08-24T18:28:54Z","QRCODE","Bank of America Stadium",TRUE,0.8968222,"bank-of-america-stadium","US","Charlotte",0,"28202","https://seatgeek.com/venues/bank-of-america-stadium/tickets","Charlotte, NC 28202","America/New_York","800 South Mint Street","Bank of America Stadium","Charlotte, NC",517,"NC",1122,9,35.2243,-80.8524,FALSE,"2015-09-25T18:23:51Z","QRCODE_TM"
"8","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"49ers at Chiefs","2018-09-23T21:00:00","nfl",0.926,FALSE,FALSE,"2018-04-20T00:00:00",0.939,"https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985","2018-09-23T12:00:00","normal","San Francisco 49ers at Kansas City Chiefs","2018-09-23T17:00:00","2018-04-20T00:47:28",4346985,NA,170,74,87,954,189.39076,636,888,FALSE,"2018-08-24T18:27:03Z","QRCODE","Arrowhead Stadium",TRUE,0.8827867,"arrowhead-stadium","US","Kansas City",0,"64129","https://seatgeek.com/venues/arrowhead-stadium/tickets","Kansas City, MO 64129","America/Chicago","1 Arrowhead Drive","Arrowhead Stadium","Kansas City, MO",616,"MO",1128,9,39.0489,-94.4839,FALSE,"2015-08-20T16:20:51Z","QRCODE_TM"
"9","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Broncos at Ravens","2018-09-23T21:00:00","nfl",0.896,FALSE,FALSE,"2018-04-20T00:00:00",0.917,"https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072","2018-09-23T13:00:00","normal","Denver Broncos at Baltimore Ravens","2018-09-23T17:00:00","2018-04-20T00:47:45",4347072,NA,92,53,53,698,110.8628,477,379,FALSE,"2018-08-24T18:29:20Z","QRCODE","M&T Bank Stadium",TRUE,0.8927189,"m-t-bank-stadium","US","Baltimore",0,"21230","https://seatgeek.com/venues/m-t-bank-stadium/tickets","Baltimore, MD 21230","America/New_York","1101 Russell St","M&T Bank Stadium","Baltimore, MD",512,"MD",1121,8,39.2774,-76.623,FALSE,"2015-08-04T00:00:00Z","QRCODE_TM"
"10","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Giants at Texans","2018-09-23T21:00:00","nfl",0.932,FALSE,FALSE,"2018-04-20T00:00:00",0.945,"https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021","2018-09-23T12:00:00","normal","New York Giants at Houston Texans","2018-09-23T17:00:00","2018-04-20T00:47:36",4347021,NA,NA,106,106,NA,690.34,123594,310,FALSE,"2018-08-24T18:27:18Z","QRCODE","NRG Stadium",TRUE,0.8624192,"nrg-stadium","US","Houston",0,"77054","https://seatgeek.com/venues/nrg-stadium/tickets","Houston, TX 77054","America/Chicago","1 Reliant Park","NRG Stadium","Houston, TX",618,"TX",41,44,29.6847,-95.4107,FALSE,"2015-11-04T18:42:27Z","QRCODE_TM"
