"","date","timestamp","time_tbd","datetime_local","type","datetime_utc","id","score","status","description","datetime_tbd","date_tbd","popularity","url","visible_until_utc","announce_date","is_open","short_title","created_at","title","general_admission","listing_count","median_price","visible_listing_count","highest_price","lowest_price","average_price","lowest_price_good_deals","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","city","id_venue","has_upcoming_events","popularity_venue","num_upcoming_events","name_v2","display_location","name","metro_code","score_venue","address","extended_address","country","timezone","url_venue","slug","postal_code","state","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-20T20:20:00","nfl","2018-09-21T00:20:00",4347000,0.803,"normal","",FALSE,FALSE,0.943,"https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000","2018-09-21T04:20:00","2018-04-20T00:00:00",FALSE,"Jets at Browns","2018-04-20T00:47:31","New York Jets at Cleveland Browns",NA,330,77,620,351,45,99.70909,45,"2018-08-24T18:25:16Z",FALSE,"QRCODE","Cleveland",1123,TRUE,0,7,"FirstEnergy Stadium","Cleveland, OH","FirstEnergy Stadium",510,0.86852187,"100 Alfred Lerner Way","Cleveland, OH 44114","US","America/New_York","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","firstenergy-stadium-15","44114","OH",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"2","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-22T19:00:00","ncaa_football","2018-09-23T00:00:00",4241762,0.479,"normal","",FALSE,FALSE,0.672,"https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762","2018-09-23T04:00:00","2018-01-31T00:00:00",FALSE,"South Alabama at Memphis","2018-01-31T15:00:53","South Alabama Jaguars at Memphis Tigers Football",NA,87,42,29,124,23,54.390804,23,NA,NA,NA,"Memphis",2827,TRUE,0,6,"Liberty Bowl Stadium","Memphis, TN","Liberty Bowl Stadium",640,0.6733288,"335 South Hollywood St","Memphis, TN 38104","US","America/Chicago","https://seatgeek.com/venues/liberty-bowl-stadium/tickets","liberty-bowl-stadium","38104","TN",35.12,-89.98,NA,NA,NA
"3","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T13:00:00","nfl","2018-09-23T17:00:00",4346963,0.854,"normal","",FALSE,FALSE,0.974,"https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963","2018-09-23T21:00:00","2018-04-20T00:00:00",FALSE,"Colts at Eagles","2018-04-20T00:47:23","Indianapolis Colts at Philadelphia Eagles",NA,243,282,679,875,164,305.7819,154,"2018-08-24T18:26:28Z",FALSE,"QRCODE","Philadelphia",330,TRUE,0,16,"Lincoln Financial Field","Philadelphia, PA","Lincoln Financial Field",504,0.90542686,"1020 Pattison Ave","Philadelphia, PA 19148","US","America/New_York","https://seatgeek.com/venues/lincoln-financial-field/tickets","lincoln-financial-field","19148","PA",39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"4","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T12:00:00","nfl","2018-09-23T17:00:00",4347142,0.843,"normal","",FALSE,FALSE,0.965,"https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142","2018-09-23T21:00:00","2018-04-20T00:00:00",FALSE,"Bills at Vikings","2018-04-20T01:04:05","Buffalo Bills at Minnesota Vikings",NA,426,204,662,914,94,230.34741,88,"2018-08-23T16:03:24Z",FALSE,"QRCODE","Minneapolis",218451,TRUE,0,13,"U.S. Bank Stadium","Minneapolis, MN","U.S. Bank Stadium",0,0.88524246,"401 Chicago Avenue","Minneapolis, MN 55415","US","America/Chicago","https://seatgeek.com/venues/u-s-bank-stadium/tickets","u-s-bank-stadium","55415","MN",44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"5","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T13:00:00","nfl","2018-09-23T17:00:00",4347088,0.826,"normal","",FALSE,FALSE,0.957,"https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088","2018-09-23T21:00:00","2018-04-20T00:00:00",FALSE,"Raiders at Dolphins","2018-04-20T00:47:48","Oakland Raiders at Miami Dolphins",NA,107,153,787,328,67,158.03738,56,"2018-08-24T20:34:12Z",FALSE,"QRCODE","Miami Gardens",29,TRUE,0,38,"Hard Rock Stadium","Miami Gardens, FL","Hard Rock Stadium",528,0.8378203,"347 Don Shula Dr.","Miami Gardens, FL 33056","US","America/New_York","https://seatgeek.com/venues/hard-rock-stadium/tickets","hard-rock-stadium","33056","FL",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"6","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T13:00:00","nfl","2018-09-23T17:00:00",4346943,0.901,"normal","",FALSE,FALSE,1.013,"https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943","2018-09-23T21:00:00","2018-04-20T00:00:00",FALSE,"Packers at Redskins","2018-04-20T00:47:18","Green Bay Packers at Washington Redskins",NA,4,240,832,359,162,259.25,121,"2018-08-24T18:25:58Z",FALSE,"QRCODE","Landover",35,TRUE,0,7,"FedEx Field","Landover, MD","FedEx Field",511,0.9333444,"1600 Fedex Way","Landover, MD 20785","US","America/New_York","https://seatgeek.com/venues/fedex-field/tickets","fedex-field","20785","MD",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"7","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T13:00:00","nfl","2018-09-23T17:00:00",4347072,0.813,"normal","",FALSE,FALSE,0.938,"https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072","2018-09-23T21:00:00","2018-04-20T00:00:00",FALSE,"Broncos at Ravens","2018-04-20T00:47:45","Denver Broncos at Baltimore Ravens",NA,365,91,657,485,52,111.032875,52,"2018-08-24T18:29:20Z",FALSE,"QRCODE","Baltimore",1121,TRUE,0,8,"M&T Bank Stadium","Baltimore, MD","M&T Bank Stadium",512,0.8927189,"1101 Russell St","Baltimore, MD 21230","US","America/New_York","https://seatgeek.com/venues/m-t-bank-stadium/tickets","m-t-bank-stadium","21230","MD",39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"8","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T12:00:00","nfl","2018-09-23T17:00:00",4347021,0.853,"normal","",FALSE,FALSE,0.974,"https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021","2018-09-23T21:00:00","2018-04-20T00:00:00",FALSE,"Giants at Texans","2018-04-20T00:47:36","New York Giants at Houston Texans",NA,301,206,563,1116,97,235.74086,97,"2018-08-24T18:27:18Z",FALSE,"QRCODE","Houston",41,TRUE,0,44,"NRG Stadium","Houston, TX","NRG Stadium",618,0.8624192,"1 Reliant Park","Houston, TX 77054","US","America/Chicago","https://seatgeek.com/venues/nrg-stadium/tickets","nrg-stadium","77054","TX",29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
"9","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T12:00:00","nfl","2018-09-23T17:00:00",4346985,0.847,"normal","",FALSE,FALSE,0.968,"https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985","2018-09-23T21:00:00","2018-04-20T00:00:00",FALSE,"49ers at Chiefs","2018-04-20T00:47:28","San Francisco 49ers at Kansas City Chiefs",NA,1051,NA,NA,534,83,212.29,83,"2018-08-24T18:27:03Z",FALSE,"QRCODE","Kansas City",1128,TRUE,0,9,"Arrowhead Stadium","Kansas City, MO","Arrowhead Stadium",616,0.8827867,"1 Arrowhead Drive","Kansas City, MO 64129","US","America/Chicago","https://seatgeek.com/venues/arrowhead-stadium/tickets","arrowhead-stadium","64129","MO",39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"10","2018-09-18","2018-09-18_16.01.16",FALSE,"2018-09-23T13:00:00","nfl","2018-09-23T17:00:00",4347053,0.858,"normal","",FALSE,FALSE,0.975,"https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053","2018-09-23T21:00:00","2018-04-20T00:00:00",FALSE,"Saints at Falcons","2018-04-20T00:47:42","New Orleans Saints at Atlanta Falcons",NA,611,NA,NA,1348,152,320.89,152,"2018-08-24T18:29:05Z",FALSE,"QRCODE","Atlanta",419590,TRUE,0,19,"Mercedes-Benz Stadium","Atlanta, GA","Mercedes-Benz Stadium",0,0.76958936,"441 M.L.K. Jr Dr NW","Atlanta, GA 30313","US","America/New_York","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium","30313","GA",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
