"","date","timestamp","short_title","title","created_at","date_tbd","datetime_tbd","popularity","description","url","visible_until_utc","datetime_utc","id","announce_date","is_open","score","status","type","datetime_local","time_tbd","general_admission","lowest_price","visible_listing_count","median_price","listing_count","lowest_price_good_deals","average_price","highest_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","state","postal_code","timezone","country","extended_address","slug","url_venue","has_upcoming_events","popularity_venue","id_venue","address","score_venue","metro_code","display_location","name","name_v2","num_upcoming_events","city","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-09-19","2018-09-19_08.16.19","Jets at Browns","New York Jets at Cleveland Browns","2018-04-20T00:47:31",FALSE,FALSE,0.91,"","https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000","2018-09-21T04:20:00","2018-09-21T00:20:00",4347000,"2018-04-20T00:00:00",FALSE,0.864,"normal","nfl","2018-09-20T20:20:00",FALSE,NA,52,529,78,276,52,106.11232,351,"QRCODE",FALSE,"2018-08-24T18:25:16Z","OH","44114","America/New_York","US","Cleveland, OH 44114","firstenergy-stadium-15","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",TRUE,0,1123,"100 Alfred Lerner Way",0.86852187,510,"Cleveland, OH","FirstEnergy Stadium","FirstEnergy Stadium",7,"Cleveland",-81.7,41.5065,"NONE",FALSE,"2015-11-11T20:55:31Z"
"2","2018-09-19","2018-09-19_08.16.19","South Alabama at Memphis","South Alabama Jaguars at Memphis Tigers Football","2018-01-31T15:00:53",FALSE,FALSE,0.65,"","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762","2018-09-23T04:00:00","2018-09-23T00:00:00",4241762,"2018-01-31T00:00:00",FALSE,0.482,"normal","ncaa_football","2018-09-22T19:00:00",FALSE,NA,23,NA,NA,282,23,59.8,245,NA,NA,NA,"TN","38104","America/Chicago","US","Memphis, TN 38104","liberty-bowl-stadium","https://seatgeek.com/venues/liberty-bowl-stadium/tickets",TRUE,0,2827,"335 South Hollywood St",0.6733288,640,"Memphis, TN","Liberty Bowl Stadium","Liberty Bowl Stadium",6,"Memphis",-89.98,35.12,NA,NA,NA
"3","2018-09-19","2018-09-19_08.16.19","Raiders at Dolphins","Oakland Raiders at Miami Dolphins","2018-04-20T00:47:48",FALSE,FALSE,0.933,"","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088","2018-09-23T21:00:00","2018-09-23T17:00:00",4347088,"2018-04-20T00:00:00",FALSE,0.89,"normal","nfl","2018-09-23T13:00:00",FALSE,NA,68,745,156,100,57,164.02,328,"QRCODE",FALSE,"2018-08-24T20:34:12Z","FL","33056","America/New_York","US","Miami Gardens, FL 33056","hard-rock-stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets",TRUE,0,29,"347 Don Shula Dr.",0.8378203,528,"Miami Gardens, FL","Hard Rock Stadium","Hard Rock Stadium",38,"Miami Gardens",-80.24,25.96,"NONE",FALSE,"2017-10-03T18:58:44Z"
"4","2018-09-19","2018-09-19_08.16.19","Colts at Eagles","Indianapolis Colts at Philadelphia Eagles","2018-04-20T00:47:23",FALSE,FALSE,0.948,"","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963","2018-09-23T21:00:00","2018-09-23T17:00:00",4346963,"2018-04-20T00:00:00",FALSE,0.92,"normal","nfl","2018-09-23T13:00:00",FALSE,NA,165,672,273,224,154,304.93304,875,"QRCODE",FALSE,"2018-08-24T18:26:28Z","PA","19148","America/New_York","US","Philadelphia, PA 19148","lincoln-financial-field","https://seatgeek.com/venues/lincoln-financial-field/tickets",TRUE,0,330,"1020 Pattison Ave",0.90542686,504,"Philadelphia, PA","Lincoln Financial Field","Lincoln Financial Field",16,"Philadelphia",-75.1675,39.9046,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"5","2018-09-19","2018-09-19_08.16.19","Bills at Vikings","Buffalo Bills at Minnesota Vikings","2018-04-20T01:04:05",FALSE,FALSE,0.934,"","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142","2018-09-23T21:00:00","2018-09-23T17:00:00",4347142,"2018-04-20T00:00:00",FALSE,0.902,"normal","nfl","2018-09-23T12:00:00",FALSE,NA,89,635,194,402,85,220.00995,907,"QRCODE",FALSE,"2018-08-23T16:03:24Z","MN","55415","America/Chicago","US","Minneapolis, MN 55415","u-s-bank-stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets",TRUE,0,218451,"401 Chicago Avenue",0.88524246,0,"Minneapolis, MN","U.S. Bank Stadium","U.S. Bank Stadium",13,"Minneapolis",-93.26,44.97,"NONE",FALSE,"2018-08-22T15:34:15Z"
"6","2018-09-19","2018-09-19_08.16.19","Packers at Redskins","Green Bay Packers at Washington Redskins","2018-04-20T00:47:18",FALSE,FALSE,0.981,"","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943","2018-09-23T21:00:00","2018-09-23T17:00:00",4346943,"2018-04-20T00:00:00",FALSE,0.973,"normal","nfl","2018-09-23T13:00:00",FALSE,NA,121,846,192,140,121,220.52856,643,"QRCODE",FALSE,"2018-08-24T18:25:58Z","MD","20785","America/New_York","US","Landover, MD 20785","fedex-field","https://seatgeek.com/venues/fedex-field/tickets",TRUE,0,35,"1600 Fedex Way",0.9333444,511,"Landover, MD","FedEx Field","FedEx Field",7,"Landover",-76.8658,38.9071,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"7","2018-09-19","2018-09-19_08.16.19","49ers at Chiefs","San Francisco 49ers at Kansas City Chiefs","2018-04-20T00:47:28",FALSE,FALSE,0.924,"","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985","2018-09-23T21:00:00","2018-09-23T17:00:00",4346985,"2018-04-20T00:00:00",FALSE,0.888,"normal","nfl","2018-09-23T12:00:00",FALSE,NA,97,839,169,739,74,189.29094,636,"QRCODE",FALSE,"2018-08-24T18:27:03Z","MO","64129","America/Chicago","US","Kansas City, MO 64129","arrowhead-stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets",TRUE,0,1128,"1 Arrowhead Drive",0.8827867,616,"Kansas City, MO","Arrowhead Stadium","Arrowhead Stadium",9,"Kansas City",-94.4839,39.0489,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"8","2018-09-19","2018-09-19_08.16.19","Saints at Falcons","New Orleans Saints at Atlanta Falcons","2018-04-20T00:47:42",FALSE,FALSE,0.949,"","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053","2018-09-23T21:00:00","2018-09-23T17:00:00",4347053,"2018-04-20T00:00:00",FALSE,0.923,"normal","nfl","2018-09-23T13:00:00",FALSE,NA,132,786,228,499,132,260.87976,957,"QRCODE",FALSE,"2018-08-24T18:29:05Z","GA","30313","America/New_York","US","Atlanta, GA 30313","mercedes-benz-stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",TRUE,0,419590,"441 M.L.K. Jr Dr NW",0.76958936,0,"Atlanta, GA","Mercedes-Benz Stadium","Mercedes-Benz Stadium",19,"Atlanta",-84.4,33.76,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"9","2018-09-19","2018-09-19_08.16.19","Giants at Texans","New York Giants at Houston Texans","2018-04-20T00:47:36",FALSE,FALSE,0.947,"","https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021","2018-09-23T21:00:00","2018-09-23T17:00:00",4347021,"2018-04-20T00:00:00",FALSE,0.919,"normal","nfl","2018-09-23T12:00:00",FALSE,NA,94,537,192,284,87,218.37325,1034,"QRCODE",FALSE,"2018-08-24T18:27:18Z","TX","77054","America/Chicago","US","Houston, TX 77054","nrg-stadium","https://seatgeek.com/venues/nrg-stadium/tickets",TRUE,0,41,"1 Reliant Park",0.8624192,618,"Houston, TX","NRG Stadium","NRG Stadium",44,"Houston",-95.4107,29.6847,"QRCODE_TM",FALSE,"2015-11-04T18:42:27Z"
"10","2018-09-19","2018-09-19_08.16.19","Bengals at Panthers","Cincinnati Bengals at Carolina Panthers","2018-04-20T00:47:41",FALSE,FALSE,0.924,"","https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045","2018-09-23T21:00:00","2018-09-23T17:00:00",4347045,"2018-04-20T00:00:00",FALSE,0.888,"normal","nfl","2018-09-23T13:00:00",FALSE,NA,68,663,105,286,68,143.81818,571,"QRCODE",FALSE,"2018-08-24T18:28:54Z","NC","28202","America/New_York","US","Charlotte, NC 28202","bank-of-america-stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets",TRUE,0,1122,"800 South Mint Street",0.8968222,517,"Charlotte, NC","Bank of America Stadium","Bank of America Stadium",9,"Charlotte",-80.8524,35.2243,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
