"","date","timestamp","url","type","visible_until_utc","description","datetime_local","date_tbd","status","is_open","announce_date","short_title","title","time_tbd","popularity","created_at","datetime_tbd","score","datetime_utc","id","general_admission","visible_listing_count","median_price","lowest_price","average_price","listing_count","lowest_price_good_deals","highest_price","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","url_venue","extended_address","postal_code","has_upcoming_events","address","slug","country","name","state","timezone","display_location","popularity_venue","num_upcoming_events","name_v2","metro_code","score_venue","id_venue","city","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000","nfl","2018-09-21T04:20:00","","2018-09-20T20:20:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Jets at Browns","New York Jets at Cleveland Browns",FALSE,0.786,"2018-04-20T00:47:31",FALSE,0.634,"2018-09-21T00:20:00",4347000,NA,NA,NA,41,100.98,628,44,391,"2018-08-24T18:25:16Z","QRCODE",FALSE,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","Cleveland, OH 44114","44114",TRUE,"100 Alfred Lerner Way","firstenergy-stadium-15","US","FirstEnergy Stadium","OH","America/New_York","Cleveland, OH",0,7,"FirstEnergy Stadium",510,0.86852187,1123,"Cleveland",-81.7,41.5065,"2015-11-11T20:55:31Z","NONE",FALSE
"2","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762","ncaa_football","2018-09-23T04:00:00","","2018-09-22T19:00:00",FALSE,"normal",FALSE,"2018-01-31T00:00:00","South Alabama at Memphis","South Alabama Jaguars at Memphis Tigers Football",FALSE,0.541,"2018-01-31T15:00:53",FALSE,0.377,"2018-09-23T00:00:00",4241762,NA,NA,NA,23,59.8,282,23,245,NA,NA,NA,"https://seatgeek.com/venues/liberty-bowl-stadium/tickets","Memphis, TN 38104","38104",TRUE,"335 South Hollywood St","liberty-bowl-stadium","US","Liberty Bowl Stadium","TN","America/Chicago","Memphis, TN",0,6,"Liberty Bowl Stadium",640,0.6733288,2827,"Memphis",-89.98,35.12,NA,NA,NA
"3","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142","nfl","2018-09-23T21:00:00","","2018-09-23T12:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Bills at Vikings","Buffalo Bills at Minnesota Vikings",FALSE,0.82,"2018-04-20T01:04:05",FALSE,0.672,"2018-09-23T17:00:00",4347142,NA,NA,NA,92,236.84,522,92,923,"2018-08-23T16:03:24Z","QRCODE",FALSE,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","Minneapolis, MN 55415","55415",TRUE,"401 Chicago Avenue","u-s-bank-stadium","US","U.S. Bank Stadium","MN","America/Chicago","Minneapolis, MN",0,14,"U.S. Bank Stadium",0,0.88524246,218451,"Minneapolis",-93.26,44.97,"2018-08-22T15:34:15Z","NONE",FALSE
"4","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963","nfl","2018-09-23T21:00:00","","2018-09-23T13:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Colts at Eagles","Indianapolis Colts at Philadelphia Eagles",FALSE,0.837,"2018-04-20T00:47:23",FALSE,0.688,"2018-09-23T17:00:00",4346963,NA,NA,NA,214,378.15,294,214,1226,"2018-08-24T18:26:28Z","QRCODE",FALSE,"https://seatgeek.com/venues/lincoln-financial-field/tickets","Philadelphia, PA 19148","19148",TRUE,"1020 Pattison Ave","lincoln-financial-field","US","Lincoln Financial Field","PA","America/New_York","Philadelphia, PA",0,17,"Lincoln Financial Field",504,0.90542686,330,"Philadelphia",-75.1675,39.9046,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"5","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088","nfl","2018-09-23T21:00:00","","2018-09-23T13:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Raiders at Dolphins","Oakland Raiders at Miami Dolphins",FALSE,0.818,"2018-04-20T00:47:48",FALSE,0.661,"2018-09-23T17:00:00",4347088,NA,NA,NA,61,172.2,161,61,452,"2018-08-24T20:34:12Z","QRCODE",FALSE,"https://seatgeek.com/venues/hard-rock-stadium/tickets","Miami Gardens, FL 33056","33056",TRUE,"347 Don Shula Dr.","hard-rock-stadium","US","Hard Rock Stadium","FL","America/New_York","Miami Gardens, FL",0,38,"Hard Rock Stadium",528,0.8378203,29,"Miami Gardens",-80.24,25.96,"2017-10-03T18:58:44Z","NONE",FALSE
"6","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943","nfl","2018-09-23T21:00:00","","2018-09-23T13:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Packers at Redskins","Green Bay Packers at Washington Redskins",FALSE,0.874,"2018-04-20T00:47:18",FALSE,0.73,"2018-09-23T17:00:00",4346943,NA,NA,NA,170,334.6,567,170,991,"2018-08-24T18:25:58Z","QRCODE",FALSE,"https://seatgeek.com/venues/fedex-field/tickets","Landover, MD 20785","20785",TRUE,"1600 Fedex Way","fedex-field","US","FedEx Field","MD","America/New_York","Landover, MD",0,7,"FedEx Field",511,0.9333444,35,"Landover",-76.8658,38.9071,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"7","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985","nfl","2018-09-23T21:00:00","","2018-09-23T12:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","49ers at Chiefs","San Francisco 49ers at Kansas City Chiefs",FALSE,0.834,"2018-04-20T00:47:28",FALSE,0.686,"2018-09-23T17:00:00",4346985,NA,NA,NA,83,212.29,1051,83,534,"2018-08-24T18:27:03Z","QRCODE",FALSE,"https://seatgeek.com/venues/arrowhead-stadium/tickets","Kansas City, MO 64129","64129",TRUE,"1 Arrowhead Drive","arrowhead-stadium","US","Arrowhead Stadium","MO","America/Chicago","Kansas City, MO",0,9,"Arrowhead Stadium",616,0.8827867,1128,"Kansas City",-94.4839,39.0489,"2015-08-20T16:20:51Z","QRCODE_TM",FALSE
"8","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053","nfl","2018-09-23T21:00:00","","2018-09-23T13:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Saints at Falcons","New Orleans Saints at Atlanta Falcons",FALSE,0.847,"2018-04-20T00:47:42",FALSE,0.699,"2018-09-23T17:00:00",4347053,NA,NA,NA,152,320.89,611,152,1348,"2018-08-24T18:29:05Z","QRCODE",FALSE,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Atlanta, GA 30313","30313",TRUE,"35 Northside Dr NW","mercedes-benz-stadium","US","Mercedes-Benz Stadium","GA","America/New_York","Atlanta, GA",0,19,"Mercedes-Benz Stadium",0,0.76958936,419590,"Atlanta",-84.4,33.76,"2018-08-23T20:14:46Z","QRCODE",FALSE
"9","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045","nfl","2018-09-23T21:00:00","","2018-09-23T13:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Bengals at Panthers","Cincinnati Bengals at Carolina Panthers",FALSE,0.806,"2018-04-20T00:47:41",FALSE,0.658,"2018-09-23T17:00:00",4347045,NA,NA,NA,77,176.13,388,77,684,"2018-08-24T18:28:54Z","QRCODE",FALSE,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","Charlotte, NC 28202","28202",TRUE,"800 South Mint Street","bank-of-america-stadium","US","Bank of America Stadium","NC","America/New_York","Charlotte, NC",0,9,"Bank of America Stadium",517,0.8968222,1122,"Charlotte",-80.8524,35.2243,"2015-09-25T18:23:51Z","QRCODE_TM",FALSE
"10","2018-09-19","2018-09-19_16.03.17","https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072","nfl","2018-09-23T21:00:00","","2018-09-23T13:00:00",FALSE,"normal",FALSE,"2018-04-20T00:00:00","Broncos at Ravens","Denver Broncos at Baltimore Ravens",FALSE,0.805,"2018-04-20T00:47:45",FALSE,0.656,"2018-09-23T17:00:00",4347072,NA,591,84,49,102.211006,327,49,434,"2018-08-24T18:29:20Z","QRCODE",FALSE,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","Baltimore, MD 21230","21230",TRUE,"1101 Russell St","m-t-bank-stadium","US","M&T Bank Stadium","MD","America/New_York","Baltimore, MD",0,8,"M&T Bank Stadium",512,0.8927189,1121,"Baltimore",-76.623,39.2774,"2015-08-04T00:00:00Z","QRCODE_TM",FALSE
