"","date","timestamp","time_tbd","visible_until_utc","type","created_at","announce_date","url","id","date_tbd","is_open","short_title","popularity","title","score","datetime_tbd","datetime_local","datetime_utc","status","description","general_admission","median_price","visible_listing_count","listing_count","average_price","lowest_price","lowest_price_good_deals","highest_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","url_venue","postal_code","has_upcoming_events","score_venue","address","id_venue","city","popularity_venue","timezone","state","display_location","extended_address","num_upcoming_events","country","slug","name_v2","metro_code","name","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-09-21T04:20:00","nfl","2018-04-20T00:47:31","2018-04-20T00:00:00","https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000",4347000,FALSE,FALSE,"Jets at Browns",0.743,"New York Jets at Cleveland Browns",0.873,FALSE,"2018-09-20T20:20:00","2018-09-21T00:20:00","normal","",NA,105,252,71,140.67606,74,74,384,"QRCODE",FALSE,"2018-08-24T18:25:16Z","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","44114",TRUE,0.86852187,"100 Alfred Lerner Way",1123,"Cleveland",0,"America/New_York","OH","Cleveland, OH","Cleveland, OH 44114",7,"US","firstenergy-stadium-15","FirstEnergy Stadium",510,"FirstEnergy Stadium",41.5065,-81.7,"NONE",FALSE,"2015-11-11T20:55:31Z"
"2","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-09-23T04:00:00","ncaa_football","2018-01-31T15:00:53","2018-01-31T00:00:00","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762",4241762,FALSE,FALSE,"South Alabama at Memphis",0.689,"South Alabama Jaguars at Memphis Tigers Football",0.499,FALSE,"2018-09-22T19:00:00","2018-09-23T00:00:00","normal","",NA,38,25,66,48.333332,23,23,105,NA,NA,NA,"https://seatgeek.com/venues/liberty-bowl-stadium/tickets","38104",TRUE,0.6733288,"335 South Hollywood St",2827,"Memphis",0,"America/Chicago","TN","Memphis, TN","Memphis, TN 38104",6,"US","liberty-bowl-stadium","Liberty Bowl Stadium",640,"Liberty Bowl Stadium",35.12,-89.98,NA,NA,NA
"3","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-09-23T21:00:00","nfl","2018-04-20T00:47:48","2018-04-20T00:00:00","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088",4347088,FALSE,FALSE,"Raiders at Dolphins",0.975,"Oakland Raiders at Miami Dolphins",0.912,FALSE,"2018-09-23T13:00:00","2018-09-23T17:00:00","normal","",NA,143,697,103,166.36893,66,61,2010,"QRCODE",FALSE,"2018-08-24T20:34:12Z","https://seatgeek.com/venues/hard-rock-stadium/tickets","33056",TRUE,0.8378203,"347 Don Shula Dr.",29,"Miami Gardens",0,"America/New_York","FL","Miami Gardens, FL","Miami Gardens, FL 33056",38,"US","hard-rock-stadium","Hard Rock Stadium",528,"Hard Rock Stadium",25.96,-80.24,"NONE",FALSE,"2017-10-03T18:58:44Z"
"4","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-09-23T21:00:00","nfl","2018-04-20T00:47:23","2018-04-20T00:00:00","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963",4346963,FALSE,FALSE,"Colts at Eagles",0.994,"Indianapolis Colts at Philadelphia Eagles",0.95,FALSE,"2018-09-23T13:00:00","2018-09-23T17:00:00","normal","",NA,250,614,181,993.8342,157,130,126803,"QRCODE",FALSE,"2018-08-24T18:26:28Z","https://seatgeek.com/venues/lincoln-financial-field/tickets","19148",TRUE,0.90542686,"1020 Pattison Ave",330,"Philadelphia",0,"America/New_York","PA","Philadelphia, PA","Philadelphia, PA 19148",17,"US","lincoln-financial-field","Lincoln Financial Field",504,"Lincoln Financial Field",39.9046,-75.1675,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"5","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-09-23T21:00:00","nfl","2018-04-20T01:04:05","2018-04-20T00:00:00","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142",4347142,FALSE,FALSE,"Bills at Vikings",0.973,"Buffalo Bills at Minnesota Vikings",0.923,FALSE,"2018-09-23T12:00:00","2018-09-23T17:00:00","normal","",NA,200,594,356,221.44662,92,93,857,"QRCODE",FALSE,"2018-08-23T16:03:24Z","https://seatgeek.com/venues/u-s-bank-stadium/tickets","55415",TRUE,0.88524246,"401 Chicago Avenue",218451,"Minneapolis",0,"America/Chicago","MN","Minneapolis, MN","Minneapolis, MN 55415",14,"US","u-s-bank-stadium","U.S. Bank Stadium",0,"U.S. Bank Stadium",44.97,-93.26,"NONE",FALSE,"2018-08-22T15:34:15Z"
"6","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-09-23T21:00:00","nfl","2018-04-20T00:47:18","2018-04-20T00:00:00","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943",4346943,FALSE,FALSE,"Packers at Redskins",1.022,"Green Bay Packers at Washington Redskins",1,FALSE,"2018-09-23T13:00:00","2018-09-23T17:00:00","normal","",NA,180,796,144,199.49306,107,104,615,"QRCODE",FALSE,"2018-08-24T18:25:58Z","https://seatgeek.com/venues/fedex-field/tickets","20785",TRUE,0.9333444,"1600 Fedex Way",35,"Landover",0,"America/New_York","MD","Landover, MD","Landover, MD 20785",7,"US","fedex-field","FedEx Field",511,"FedEx Field",38.9071,-76.8658,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"7","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-09-23T21:00:00","nfl","2018-04-20T00:47:28","2018-04-20T00:00:00","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985",4346985,FALSE,FALSE,"49ers at Chiefs",0.967,"San Francisco 49ers at Kansas City Chiefs",0.914,FALSE,"2018-09-23T12:00:00","2018-09-23T17:00:00","normal","",NA,160,813,693,181.53969,95,95,637,"QRCODE",FALSE,"2018-08-24T18:27:03Z","https://seatgeek.com/venues/arrowhead-stadium/tickets","64129",TRUE,0.8827867,"1 Arrowhead Drive",1128,"Kansas City",0,"America/Chicago","MO","Kansas City, MO","Kansas City, MO 64129",9,"US","arrowhead-stadium","Arrowhead Stadium",616,"Arrowhead Stadium",39.0489,-94.4839,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"8","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-09-23T21:00:00","nfl","2018-04-20T00:47:42","2018-04-20T00:00:00","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053",4347053,FALSE,FALSE,"Saints at Falcons",0.988,"New Orleans Saints at Atlanta Falcons",0.945,FALSE,"2018-09-23T13:00:00","2018-09-23T17:00:00","normal","",NA,188,755,433,242.78291,122,121,842,"QRCODE",FALSE,"2018-08-24T18:29:05Z","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","30313",TRUE,0.76958936,"35 Northside Dr NW",419590,"Atlanta",0,"America/New_York","GA","Atlanta, GA","Atlanta, GA 30313",19,"US","mercedes-benz-stadium","Mercedes-Benz Stadium",0,"Mercedes-Benz Stadium",33.76,-84.4,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"9","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-09-23T21:00:00","nfl","2018-04-20T00:47:36","2018-04-20T00:00:00","https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021",4347021,FALSE,FALSE,"Giants at Texans",0.988,"New York Giants at Houston Texans",0.943,FALSE,"2018-09-23T12:00:00","2018-09-23T17:00:00","normal","",NA,186,469,238,212.57564,96,96,970,"QRCODE",FALSE,"2018-08-24T18:27:18Z","https://seatgeek.com/venues/nrg-stadium/tickets","77054",TRUE,0.8624192,"1 Reliant Park",41,"Houston",0,"America/Chicago","TX","Houston, TX","Houston, TX 77054",44,"US","nrg-stadium","NRG Stadium",618,"NRG Stadium",29.6847,-95.4107,"QRCODE_TM",FALSE,"2015-11-04T18:42:27Z"
"10","2018-09-20","2018-09-20_11.21.10",FALSE,"2018-09-23T21:00:00","nfl","2018-04-20T00:47:45","2018-04-20T00:00:00","https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072",4347072,FALSE,FALSE,"Broncos at Ravens",0.964,"Denver Broncos at Baltimore Ravens",0.909,FALSE,"2018-09-23T13:00:00","2018-09-23T17:00:00","normal","",NA,77,555,303,97.623764,45,45,410,"QRCODE",FALSE,"2018-08-24T18:29:20Z","https://seatgeek.com/venues/m-t-bank-stadium/tickets","21230",TRUE,0.8927189,"1101 Russell St",1121,"Baltimore",0,"America/New_York","MD","Baltimore, MD","Baltimore, MD 21230",8,"US","m-t-bank-stadium","M&T Bank Stadium",512,"M&T Bank Stadium",39.2774,-76.623,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
