"","date","timestamp","created_at","status","description","datetime_utc","date_tbd","popularity","score","time_tbd","is_open","visible_until_utc","url","datetime_tbd","id","announce_date","type","datetime_local","short_title","title","general_admission","listing_count","median_price","lowest_price_good_deals","average_price","lowest_price","highest_price","visible_listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","address","has_upcoming_events","display_location","metro_code","extended_address","popularity_venue","score_venue","state","country","name","url_venue","slug","postal_code","id_venue","timezone","name_v2","num_upcoming_events","city","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-09-21","2018-09-21_11.00.46","2018-01-31T15:00:53","normal","","2018-09-23T00:00:00",FALSE,0.67,0.483,FALSE,FALSE,"2018-09-23T04:00:00","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762",FALSE,4241762,"2018-01-31T00:00:00","ncaa_football","2018-09-22T19:00:00","South Alabama at Memphis","South Alabama Jaguars at Memphis Tigers Football",NA,54,50,23,52.24074,23,85,21,NA,NA,NA,"335 South Hollywood St",TRUE,"Memphis, TN",640,"Memphis, TN 38104",0,0.6733288,"TN","US","Liberty Bowl Stadium","https://seatgeek.com/venues/liberty-bowl-stadium/tickets","liberty-bowl-stadium","38104",2827,"America/Chicago","Liberty Bowl Stadium",6,"Memphis",35.12,-89.98,NA,NA,NA
"2","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:23","normal","","2018-09-23T17:00:00",FALSE,0.961,0.921,FALSE,FALSE,"2018-09-23T21:00:00","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963",FALSE,4346963,"2018-04-20T00:00:00","nfl","2018-09-23T13:00:00","Colts at Eagles","Indianapolis Colts at Philadelphia Eagles",NA,151,248,126,269.9404,136,628,581,"2018-08-24T18:26:28Z",FALSE,"QRCODE","1020 Pattison Ave",TRUE,"Philadelphia, PA",504,"Philadelphia, PA 19148",0,0.90542686,"PA","US","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","lincoln-financial-field","19148",330,"America/New_York","Lincoln Financial Field",16,"Philadelphia",39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"3","2018-09-21","2018-09-21_11.00.46","2018-04-20T01:04:05","normal","","2018-09-23T17:00:00",FALSE,0.948,0.905,FALSE,FALSE,"2018-09-23T21:00:00","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142",FALSE,4347142,"2018-04-20T00:00:00","nfl","2018-09-23T12:00:00","Bills at Vikings","Buffalo Bills at Minnesota Vikings",NA,313,194,94,219.35463,97,802,535,"2018-08-23T16:03:24Z",FALSE,"QRCODE","401 Chicago Avenue",TRUE,"Minneapolis, MN",0,"Minneapolis, MN 55415",0,0.88524246,"MN","US","U.S. Bank Stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets","u-s-bank-stadium","55415",218451,"America/Chicago","U.S. Bank Stadium",14,"Minneapolis",44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"4","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:48","normal","","2018-09-23T17:00:00",FALSE,0.954,0.893,FALSE,FALSE,"2018-09-23T21:00:00","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088",FALSE,4347088,"2018-04-20T00:00:00","nfl","2018-09-23T13:00:00","Raiders at Dolphins","Oakland Raiders at Miami Dolphins",NA,1,101,58,101,101,101,618,"2018-08-24T20:34:12Z",FALSE,"QRCODE","347 Don Shula Dr.",TRUE,"Miami Gardens, FL",528,"Miami Gardens, FL 33056",0,0.8378203,"FL","US","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","hard-rock-stadium","33056",29,"America/New_York","Hard Rock Stadium",38,"Miami Gardens",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"5","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:18","normal","","2018-09-23T17:00:00",FALSE,0.985,0.972,FALSE,FALSE,"2018-09-23T21:00:00","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943",FALSE,4346943,"2018-04-20T00:00:00","nfl","2018-09-23T13:00:00","Packers at Redskins","Green Bay Packers at Washington Redskins",NA,136,170,92,185.80147,95,615,704,"2018-08-24T18:25:58Z",FALSE,"QRCODE","1600 Fedex Way",TRUE,"Landover, MD",511,"Landover, MD 20785",0,0.9333444,"MD","US","FedEx Field","https://seatgeek.com/venues/fedex-field/tickets","fedex-field","20785",35,"America/New_York","FedEx Field",7,"Landover",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"6","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:36","normal","","2018-09-23T17:00:00",FALSE,0.954,0.911,FALSE,FALSE,"2018-09-23T21:00:00","https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021",FALSE,4347021,"2018-04-20T00:00:00","nfl","2018-09-23T12:00:00","Giants at Texans","New York Giants at Houston Texans",NA,212,176,85,196.83018,85,884,412,"2018-08-24T18:27:18Z",FALSE,"QRCODE","1 Reliant Park",TRUE,"Houston, TX",618,"Houston, TX 77054",0,0.8624192,"TX","US","NRG Stadium","https://seatgeek.com/venues/nrg-stadium/tickets","nrg-stadium","77054",41,"America/Chicago","NRG Stadium",44,"Houston",29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
"7","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:28","normal","","2018-09-23T17:00:00",FALSE,0.949,0.906,FALSE,FALSE,"2018-09-23T21:00:00","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985",FALSE,4346985,"2018-04-20T00:00:00","nfl","2018-09-23T12:00:00","49ers at Chiefs","San Francisco 49ers at Kansas City Chiefs",NA,565,161,106,178.77522,107,636,703,"2018-08-24T18:27:03Z",FALSE,"QRCODE","1 Arrowhead Drive",TRUE,"Kansas City, MO",616,"Kansas City, MO 64129",0,0.8827867,"MO","US","Arrowhead Stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","arrowhead-stadium","64129",1128,"America/Chicago","Arrowhead Stadium",9,"Kansas City",39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"8","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:41","normal","","2018-09-23T17:00:00",FALSE,0.933,0.882,FALSE,FALSE,"2018-09-23T21:00:00","https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045",FALSE,4347045,"2018-04-20T00:00:00","nfl","2018-09-23T13:00:00","Bengals at Panthers","Cincinnati Bengals at Carolina Panthers",NA,168,97,62,141.41667,62,547,549,"2018-08-24T18:28:54Z",FALSE,"QRCODE","800 South Mint Street",TRUE,"Charlotte, NC",517,"Charlotte, NC 28202",0,0.8968222,"NC","US","Bank of America Stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","bank-of-america-stadium","28202",1122,"America/New_York","Bank of America Stadium",9,"Charlotte",35.2243,-80.8524,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
"9","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:42","normal","","2018-09-23T17:00:00",FALSE,0.96,0.922,FALSE,FALSE,"2018-09-23T21:00:00","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053",FALSE,4347053,"2018-04-20T00:00:00","nfl","2018-09-23T13:00:00","Saints at Falcons","New Orleans Saints at Atlanta Falcons",NA,369,205,110,232.88347,116,804,724,"2018-08-24T18:29:05Z",FALSE,"QRCODE","35 Northside Dr NW",TRUE,"Atlanta, GA",0,"Atlanta, GA 30313",0,0.76958936,"GA","US","Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium","30313",419590,"America/New_York","Mercedes-Benz Stadium",19,"Atlanta",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"10","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:45","normal","","2018-09-23T17:00:00",FALSE,0.931,0.878,FALSE,FALSE,"2018-09-23T21:00:00","https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072",FALSE,4347072,"2018-04-20T00:00:00","nfl","2018-09-23T13:00:00","Broncos at Ravens","Denver Broncos at Baltimore Ravens",NA,270,68,40,88.77778,40,410,495,"2018-08-24T18:29:20Z",FALSE,"QRCODE","1101 Russell St",TRUE,"Baltimore, MD",512,"Baltimore, MD 21230",0,0.8927189,"MD","US","M&T Bank Stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","m-t-bank-stadium","21230",1121,"America/New_York","M&T Bank Stadium",8,"Baltimore",39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
