"","date","timestamp","score","type","title","announce_date","is_open","id","date_tbd","datetime_utc","datetime_tbd","popularity","created_at","url","short_title","visible_until_utc","time_tbd","status","description","datetime_local","general_admission","lowest_price_good_deals","listing_count","median_price","highest_price","lowest_price","visible_listing_count","average_price","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","score_venue","state","city","display_location","postal_code","timezone","id_venue","has_upcoming_events","metro_code","extended_address","name_v2","name","popularity_venue","country","url_venue","address","slug","num_upcoming_events","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-09-21","2018-09-21_15.54.36",0.51,"ncaa_football","South Alabama Jaguars at Memphis Tigers Football","2018-01-31T00:00:00",FALSE,4241762,FALSE,"2018-09-23T00:00:00",FALSE,0.67,"2018-01-31T15:00:53","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762","South Alabama at Memphis","2018-09-23T04:00:00",FALSE,"normal","","2018-09-22T19:00:00",NA,23,56,45,85,23,21,49.857143,NA,NA,NA,0.6733288,"TN","Memphis","Memphis, TN","38104","America/Chicago",2827,TRUE,640,"Memphis, TN 38104","Liberty Bowl Stadium","Liberty Bowl Stadium",0,"US","https://seatgeek.com/venues/liberty-bowl-stadium/tickets","335 South Hollywood St.","liberty-bowl-stadium",6,35.12,-89.98,NA,NA,NA
"2","2018-09-21","2018-09-21_15.54.36",0.918,"nfl","Buffalo Bills at Minnesota Vikings","2018-04-20T00:00:00",FALSE,4347142,FALSE,"2018-09-23T17:00:00",FALSE,0.952,"2018-04-20T01:04:05","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142","Bills at Vikings","2018-09-23T21:00:00",FALSE,"normal","","2018-09-23T12:00:00",NA,96,286,190,794,97,519,216.3881,"2018-08-23T16:03:24Z",FALSE,"QRCODE",0.88524246,"MN","Minneapolis","Minneapolis, MN","55415","America/Chicago",218451,TRUE,0,"Minneapolis, MN 55415","U.S. Bank Stadium","U.S. Bank Stadium",0,"US","https://seatgeek.com/venues/u-s-bank-stadium/tickets","401 Chicago Avenue","u-s-bank-stadium",14,44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"3","2018-09-21","2018-09-21_15.54.36",0.889,"nfl","Oakland Raiders at Miami Dolphins","2018-04-20T00:00:00",FALSE,4347088,FALSE,"2018-09-23T17:00:00",FALSE,0.946,"2018-04-20T00:47:48","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088","Raiders at Dolphins","2018-09-23T21:00:00",FALSE,"normal","","2018-09-23T13:00:00",NA,58,105,137,421,65,631,140.5238,"2018-08-24T20:34:12Z",FALSE,"QRCODE",0.8378203,"FL","Miami Gardens","Miami Gardens, FL","33056","America/New_York",29,TRUE,528,"Miami Gardens, FL 33056","Hard Rock Stadium","Hard Rock Stadium",0,"US","https://seatgeek.com/venues/hard-rock-stadium/tickets","347 Don Shula Dr.","hard-rock-stadium",38,25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"4","2018-09-21","2018-09-21_15.54.36",0.933,"nfl","Indianapolis Colts at Philadelphia Eagles","2018-04-20T00:00:00",FALSE,4346963,FALSE,"2018-09-23T17:00:00",FALSE,0.965,"2018-04-20T00:47:23","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963","Colts at Eagles","2018-09-23T21:00:00",FALSE,"normal","","2018-09-23T13:00:00",NA,115,132,237,5666,130,567,302.7197,"2018-08-24T18:26:28Z",FALSE,"QRCODE",0.90542686,"PA","Philadelphia","Philadelphia, PA","19148","America/New_York",330,TRUE,504,"Philadelphia, PA 19148","Lincoln Financial Field","Lincoln Financial Field",0,"US","https://seatgeek.com/venues/lincoln-financial-field/tickets","1020 Pattison Ave","lincoln-financial-field",16,39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"5","2018-09-21","2018-09-21_15.54.36",0.982,"nfl","Green Bay Packers at Washington Redskins","2018-04-20T00:00:00",FALSE,4346943,FALSE,"2018-09-23T17:00:00",FALSE,0.989,"2018-04-20T00:47:18","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943","Packers at Redskins","2018-09-23T21:00:00",FALSE,"normal","","2018-09-23T13:00:00",NA,170,567,NA,991,170,NA,334.6,"2018-08-24T18:25:58Z",FALSE,"QRCODE",0.9333444,"MD","Landover","Landover, MD","20785","America/New_York",35,TRUE,511,"Landover, MD 20785","FedEx Field","FedEx Field",0,"US","https://seatgeek.com/venues/fedex-field/tickets","1600 Fedex Way","fedex-field",7,38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"6","2018-09-21","2018-09-21_15.54.36",0.933,"nfl","New Orleans Saints at Atlanta Falcons","2018-04-20T00:00:00",FALSE,4347053,FALSE,"2018-09-23T17:00:00",FALSE,0.964,"2018-04-20T00:47:42","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053","Saints at Falcons","2018-09-23T21:00:00",FALSE,"normal","","2018-09-23T13:00:00",NA,152,611,NA,1348,152,NA,320.89,"2018-08-24T18:29:05Z",FALSE,"QRCODE",0.76958936,"GA","Atlanta","Atlanta, GA","30313","America/New_York",419590,TRUE,0,"Atlanta, GA 30313","Mercedes-Benz Stadium","Mercedes-Benz Stadium",0,"US","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","441 M.L.K. Jr Dr NW","mercedes-benz-stadium",20,33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"7","2018-09-21","2018-09-21_15.54.36",0.9,"nfl","Cincinnati Bengals at Carolina Panthers","2018-04-20T00:00:00",FALSE,4347045,FALSE,"2018-09-23T17:00:00",FALSE,0.94,"2018-04-20T00:47:41","https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045","Bengals at Panthers","2018-09-23T21:00:00",FALSE,"normal","","2018-09-23T13:00:00",NA,62,168,101,547,62,531,142.55952,"2018-08-24T18:28:54Z",FALSE,"QRCODE",0.8968222,"NC","Charlotte","Charlotte, NC","28202","America/New_York",1122,TRUE,517,"Charlotte, NC 28202","Bank of America Stadium","Bank of America Stadium",0,"US","https://seatgeek.com/venues/bank-of-america-stadium/tickets","800 South Mint Street","bank-of-america-stadium",9,35.2243,-80.8524,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
"8","2018-09-21","2018-09-21_15.54.36",0.887,"nfl","Denver Broncos at Baltimore Ravens","2018-04-20T00:00:00",FALSE,4347072,FALSE,"2018-09-23T17:00:00",FALSE,0.932,"2018-04-20T00:47:45","https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072","Broncos at Ravens","2018-09-23T21:00:00",FALSE,"normal","","2018-09-23T13:00:00",NA,39,227,65,410,39,452,86.7489,"2018-08-24T18:29:20Z",FALSE,"QRCODE",0.8927189,"MD","Baltimore","Baltimore, MD","21230","America/New_York",1121,TRUE,512,"Baltimore, MD 21230","M&T Bank Stadium","M&T Bank Stadium",0,"US","https://seatgeek.com/venues/m-t-bank-stadium/tickets","1101 Russell St","m-t-bank-stadium",8,39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"9","2018-09-21","2018-09-21_15.54.36",0.915,"nfl","San Francisco 49ers at Kansas City Chiefs","2018-04-20T00:00:00",FALSE,4346985,FALSE,"2018-09-23T17:00:00",FALSE,0.95,"2018-04-20T00:47:28","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985","49ers at Chiefs","2018-09-23T21:00:00",FALSE,"normal","","2018-09-23T12:00:00",NA,106,504,160,394,107,647,170.53175,"2018-08-24T18:27:03Z",FALSE,"QRCODE",0.8827867,"MO","Kansas City","Kansas City, MO","64129","America/Chicago",1128,TRUE,616,"Kansas City, MO 64129","Arrowhead Stadium","Arrowhead Stadium",0,"US","https://seatgeek.com/venues/arrowhead-stadium/tickets","1 Arrowhead Drive","arrowhead-stadium",9,39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"10","2018-09-21","2018-09-21_15.54.36",0.921,"nfl","New York Giants at Houston Texans","2018-04-20T00:00:00",FALSE,4347021,FALSE,"2018-09-23T17:00:00",FALSE,0.956,"2018-04-20T00:47:36","https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021","Giants at Texans","2018-09-23T21:00:00",FALSE,"normal","","2018-09-23T12:00:00",NA,85,199,165,793,85,374,189.64322,"2018-08-24T18:27:18Z",FALSE,"QRCODE",0.8624192,"TX","Houston","Houston, TX","77054","America/Chicago",41,TRUE,618,"Houston, TX 77054","NRG Stadium","NRG Stadium",0,"US","https://seatgeek.com/venues/nrg-stadium/tickets","1 Reliant Park","nrg-stadium",47,29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
