"","date","timestamp","time_tbd","title","type","url","datetime_local","is_open","datetime_utc","description","id","short_title","score","popularity","visible_until_utc","status","created_at","announce_date","datetime_tbd","date_tbd","general_admission","highest_price","average_price","listing_count","lowest_price","lowest_price_good_deals","median_price","visible_listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","url_venue","state","address","score_venue","has_upcoming_events","popularity_venue","timezone","id_venue","num_upcoming_events","metro_code","postal_code","city","slug","country","display_location","extended_address","name_v2","name","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-09-22","2018-09-22_11.01.42",FALSE,"South Alabama Jaguars at Memphis Tigers Football","ncaa_football","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762","2018-09-22T19:00:00",FALSE,"2018-09-23T00:00:00","",4241762,"South Alabama at Memphis",0.505,0.464,"2018-09-23T04:00:00","normal","2018-01-31T15:00:53","2018-01-31T00:00:00",FALSE,FALSE,NA,85,52.263157,38,32,32,48,15,NA,NA,NA,"https://seatgeek.com/venues/liberty-bowl-stadium/tickets","TN","335 South Hollywood St.",0.6733288,TRUE,0,"America/Chicago",2827,6,640,"38104","Memphis","liberty-bowl-stadium","US","Memphis, TN","Memphis, TN 38104","Liberty Bowl Stadium","Liberty Bowl Stadium",35.12,-89.98,NA,NA,NA
"2","2018-09-22","2018-09-22_11.01.42",FALSE,"Indianapolis Colts at Philadelphia Eagles","nfl","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963","2018-09-23T13:00:00",FALSE,"2018-09-23T17:00:00","",4346963,"Colts at Eagles",0.937,0.788,"2018-09-23T21:00:00","normal","2018-04-20T00:47:23","2018-04-20T00:00:00",FALSE,FALSE,NA,800,261.61386,101,136,126,240,530,"2018-08-24T18:26:28Z","QRCODE",FALSE,"https://seatgeek.com/venues/lincoln-financial-field/tickets","PA","1020 Pattison Ave",0.90542686,TRUE,0,"America/New_York",330,16,504,"19148","Philadelphia","lincoln-financial-field","US","Philadelphia, PA","Philadelphia, PA 19148","Lincoln Financial Field","Lincoln Financial Field",39.9046,-75.1675,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"3","2018-09-22","2018-09-22_11.01.42",FALSE,"Oakland Raiders at Miami Dolphins","nfl","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088","2018-09-23T13:00:00",FALSE,"2018-09-23T17:00:00","",4347088,"Raiders at Dolphins",0.899,0.758,"2018-09-23T21:00:00","normal","2018-04-20T00:47:48","2018-04-20T00:00:00",FALSE,FALSE,NA,1184,146.7528,89,58,56,126,559,"2018-08-24T20:34:12Z","QRCODE",FALSE,"https://seatgeek.com/venues/hard-rock-stadium/tickets","FL","347 Don Shula Dr.",0.8378203,TRUE,0,"America/New_York",29,38,528,"33056","Miami Gardens","hard-rock-stadium","US","Miami Gardens, FL","Miami Gardens, FL 33056","Hard Rock Stadium","Hard Rock Stadium",25.96,-80.24,"2017-10-03T18:58:44Z","NONE",FALSE
"4","2018-09-22","2018-09-22_11.01.42",FALSE,"Buffalo Bills at Minnesota Vikings","nfl","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142","2018-09-23T12:00:00",FALSE,"2018-09-23T17:00:00","",4347142,"Bills at Vikings",0.914,0.77,"2018-09-23T21:00:00","normal","2018-04-20T01:04:05","2018-04-20T00:00:00",FALSE,FALSE,NA,687,214.09756,246,90,90,191,486,"2018-08-23T16:03:24Z","QRCODE",FALSE,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","MN","401 Chicago Avenue",0.88524246,TRUE,0,"America/Chicago",218451,14,0,"55415","Minneapolis","u-s-bank-stadium","US","Minneapolis, MN","Minneapolis, MN 55415","U.S. Bank Stadium","U.S. Bank Stadium",44.97,-93.26,"2018-08-22T15:34:15Z","NONE",FALSE
"5","2018-09-22","2018-09-22_11.01.42",FALSE,"Green Bay Packers at Washington Redskins","nfl","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943","2018-09-23T13:00:00",FALSE,"2018-09-23T17:00:00","",4346943,"Packers at Redskins",0.99,0.831,"2018-09-23T21:00:00","normal","2018-04-20T00:47:18","2018-04-20T00:00:00",FALSE,FALSE,NA,615,157.32062,131,88,88,139,739,"2018-08-24T18:25:58Z","QRCODE",FALSE,"https://seatgeek.com/venues/fedex-field/tickets","MD","1600 Fedex Way",0.9333444,TRUE,0,"America/New_York",35,7,511,"20785","Landover","fedex-field","US","Landover, MD","Landover, MD 20785","FedEx Field","FedEx Field",38.9071,-76.8658,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"6","2018-09-22","2018-09-22_11.01.42",FALSE,"New York Giants at Houston Texans","nfl","https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021","2018-09-23T12:00:00",FALSE,"2018-09-23T17:00:00","",4347021,"Giants at Texans",0.93,0.782,"2018-09-23T21:00:00","normal","2018-04-20T00:47:36","2018-04-20T00:00:00",FALSE,FALSE,NA,733,189.81879,149,90,90,177,309,"2018-08-24T18:27:18Z","QRCODE",FALSE,"https://seatgeek.com/venues/nrg-stadium/tickets","TX","1 Reliant Park",0.8624192,TRUE,0,"America/Chicago",41,47,618,"77054","Houston","nrg-stadium","US","Houston, TX","Houston, TX 77054","NRG Stadium","NRG Stadium",29.6847,-95.4107,"2015-11-04T18:42:27Z","QRCODE_TM",FALSE
"7","2018-09-22","2018-09-22_11.01.42",FALSE,"Cincinnati Bengals at Carolina Panthers","nfl","https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045","2018-09-23T13:00:00",FALSE,"2018-09-23T17:00:00","",4347045,"Bengals at Panthers",0.904,0.763,"2018-09-23T21:00:00","normal","2018-04-20T00:47:41","2018-04-20T00:00:00",FALSE,FALSE,NA,514,143.35878,131,59,65,104,521,"2018-08-24T18:28:54Z","QRCODE",FALSE,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","NC","800 South Mint Street",0.8968222,TRUE,0,"America/New_York",1122,9,517,"28202","Charlotte","bank-of-america-stadium","US","Charlotte, NC","Charlotte, NC 28202","Bank of America Stadium","Bank of America Stadium",35.2243,-80.8524,"2015-09-25T18:23:51Z","QRCODE_TM",FALSE
"8","2018-09-22","2018-09-22_11.01.42",FALSE,"Denver Broncos at Baltimore Ravens","nfl","https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072","2018-09-23T13:00:00",FALSE,"2018-09-23T17:00:00","",4347072,"Broncos at Ravens",0.893,0.755,"2018-09-23T21:00:00","normal","2018-04-20T00:47:45","2018-04-20T00:00:00",FALSE,FALSE,NA,409,81.02564,195,33,33,61,404,"2018-08-24T18:29:20Z","QRCODE",FALSE,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","MD","1101 Russell St",0.8927189,TRUE,0,"America/New_York",1121,8,512,"21230","Baltimore","m-t-bank-stadium","US","Baltimore, MD","Baltimore, MD 21230","M&T Bank Stadium","M&T Bank Stadium",39.2774,-76.623,"2015-08-04T00:00:00Z","QRCODE_TM",FALSE
"9","2018-09-22","2018-09-22_11.01.42",FALSE,"San Francisco 49ers at Kansas City Chiefs","nfl","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985","2018-09-23T12:00:00",FALSE,"2018-09-23T17:00:00","",4346985,"49ers at Chiefs",0.904,0.763,"2018-09-23T21:00:00","normal","2018-04-20T00:47:28","2018-04-20T00:00:00",FALSE,FALSE,NA,534,212.29,1051,83,83,NA,NA,"2018-08-24T18:27:03Z","QRCODE",FALSE,"https://seatgeek.com/venues/arrowhead-stadium/tickets","MO","1 Arrowhead Drive",0.8827867,TRUE,0,"America/Chicago",1128,9,616,"64129","Kansas City","arrowhead-stadium","US","Kansas City, MO","Kansas City, MO 64129","Arrowhead Stadium","Arrowhead Stadium",39.0489,-94.4839,"2015-08-20T16:20:51Z","QRCODE_TM",FALSE
"10","2018-09-22","2018-09-22_11.01.42",FALSE,"New Orleans Saints at Atlanta Falcons","nfl","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053","2018-09-23T13:00:00",FALSE,"2018-09-23T17:00:00","",4347053,"Saints at Falcons",0.938,0.788,"2018-09-23T21:00:00","normal","2018-04-20T00:47:42","2018-04-20T00:00:00",FALSE,FALSE,NA,1348,320.89,611,152,152,NA,NA,"2018-08-24T18:29:05Z","QRCODE",FALSE,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","GA","441 M.L.K. Jr Dr NW",0.76958936,TRUE,0,"America/New_York",419590,20,0,"30313","Atlanta","mercedes-benz-stadium","US","Atlanta, GA","Atlanta, GA 30313","Mercedes-Benz Stadium","Mercedes-Benz Stadium",33.76,-84.4,"2018-08-23T20:14:46Z","QRCODE",FALSE
"11","2018-09-22","2018-09-22_11.01.42",FALSE,"Tennessee Titans at Jacksonville Jaguars","nfl","https://seatgeek.com/titans-at-jaguars-tickets/9-23-2018-jacksonville-florida-everbank-field/nfl/4346950","2018-09-23T13:00:00",FALSE,"2018-09-23T17:00:00","",4346950,"Titans at Jaguars",0.807,0.689,"2018-09-23T21:00:00","normal","2018-04-20T00:47:19","2018-04-20T00:00:00",FALSE,FALSE,NA,203,77.67021,188,36,39,63,478,"2018-08-24T18:26:19Z","QRCODE",FALSE,"https://seatgeek.com/venues/everbank-field/tickets","FL","1 Everbank Field Dr",0.83759147,TRUE,0,"America/New_York",5178,9,561,"32202","Jacksonville","everbank-field","US","Jacksonville, FL","Jacksonville, FL 32202","EverBank Field","EverBank Field",30.3239,-81.6373,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"12","2018-09-22","2018-09-22_11.01.42",FALSE,"Los Angeles Chargers at Los Angeles Rams","nfl","https://seatgeek.com/chargers-at-rams-tickets/9-23-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346923","2018-09-23T13:05:00",FALSE,"2018-09-23T20:05:00","",4346923,"Chargers at Rams",0.894,0.755,"2018-09-24T00:05:00","normal","2018-04-20T00:47:14","2018-04-20T00:00:00",FALSE,FALSE,NA,346,110.64483,290,50,46,93,610,"2018-09-05T22:17:11Z","QRCODE",FALSE,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","CA","3911 S Figueroa St",0.86898464,TRUE,0,"America/Los_Angeles",51012,10,0,"90037","Los Angeles","los-angeles-memorial-coliseum-1","US","Los Angeles, CA","Los Angeles, CA 90037","Los Angeles Memorial Coliseum","Los Angeles Memorial Coliseum",34.0138,-118.288,"2018-08-23T17:59:28Z","QRCODE",FALSE
"13","2018-09-22","2018-09-22_11.01.42",FALSE,"Dallas Cowboys at Seattle Seahawks","nfl","https://seatgeek.com/cowboys-at-seahawks-tickets/9-23-2018-seattle-washington-centurylink-field/nfl/4347129","2018-09-23T13:25:00",FALSE,"2018-09-23T20:25:00","",4347129,"Cowboys at Seahawks",0.974,0.816,"2018-09-24T00:25:00","normal","2018-04-20T00:47:56","2018-04-20T00:00:00",FALSE,FALSE,NA,1178,458.25,124,209,209,379,350,"2018-03-02T22:54:54Z","QRCODE",FALSE,"https://seatgeek.com/venues/centurylink-field/tickets","WA","800 Occidental Ave S",0.87232786,TRUE,0,"America/Los_Angeles",339,12,819,"98134","Seattle","centurylink-field","US","Seattle, WA","Seattle, WA 98134","CenturyLink Field","CenturyLink Field",47.6,-122.33,"2018-03-02T22:54:54Z","QRCODE",FALSE
