"","date","timestamp","short_title","status","created_at","visible_until_utc","datetime_tbd","id","is_open","time_tbd","title","announce_date","type","description","score","popularity","url","datetime_local","date_tbd","datetime_utc","general_admission","lowest_price_good_deals","median_price","average_price","visible_listing_count","lowest_price","listing_count","highest_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","name","postal_code","score_venue","num_upcoming_events","id_venue","slug","city","state","name_v2","display_location","extended_address","metro_code","country","address","popularity_venue","url_venue","timezone","has_upcoming_events","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-09-23","2018-09-23_17.19.58","Chargers at Rams","normal","2018-04-20T00:47:14","2018-09-24T00:05:00",FALSE,4346923,FALSE,FALSE,"Los Angeles Chargers at Los Angeles Rams","2018-04-20T00:00:00","nfl","",0.928,0,"https://seatgeek.com/chargers-at-rams-tickets/9-23-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346923","2018-09-23T13:05:00",FALSE,"2018-09-23T20:05:00",NA,63,84,90.328575,90,63,70,220,"QRCODE",FALSE,"2018-09-05T22:17:11Z","Los Angeles Memorial Coliseum","90037",0.86898464,10,51012,"los-angeles-memorial-coliseum-1","Los Angeles","CA","Los Angeles Memorial Coliseum","Los Angeles, CA","Los Angeles, CA 90037",0,"US","3911 S Figueroa St",0,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","America/Los_Angeles",TRUE,-118.288,34.0138,"QRCODE",FALSE,"2018-08-23T17:59:28Z"
"2","2018-09-23","2018-09-23_17.19.58","Cowboys at Seahawks","normal","2018-04-20T00:47:56","2018-09-24T00:25:00",FALSE,4347129,FALSE,FALSE,"Dallas Cowboys at Seattle Seahawks","2018-04-20T00:00:00","nfl","",0.997,0,"https://seatgeek.com/cowboys-at-seahawks-tickets/9-23-2018-seattle-washington-centurylink-field/nfl/4347129","2018-09-23T13:25:00",FALSE,"2018-09-23T20:25:00",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-03-02T22:54:54Z","CenturyLink Field","98134",0.87232786,13,339,"centurylink-field","Seattle","WA","CenturyLink Field","Seattle, WA","Seattle, WA 98134",819,"US","800 Occidental Ave S",0,"https://seatgeek.com/venues/centurylink-field/tickets","America/Los_Angeles",TRUE,-122.33,47.6,"QRCODE",FALSE,"2018-03-02T22:54:54Z"
"3","2018-09-23","2018-09-23_17.19.58","Bears at Cardinals","normal","2018-04-20T00:47:52","2018-09-24T00:25:00",FALSE,4347104,FALSE,FALSE,"Chicago Bears at Arizona Cardinals","2018-04-20T00:00:00","nfl","",0.969,0,"https://seatgeek.com/bears-at-cardinals-tickets/9-23-2018-glendale-arizona-state-farm-stadium/nfl/4347104","2018-09-23T13:25:00",FALSE,"2018-09-23T20:25:00",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T20:34:25Z","State Farm Stadium","85305",0.93402725,11,43,"state-farm-stadium","Glendale","AZ","State Farm Stadium","Glendale, AZ","Glendale, AZ 85305",753,"US","1 Cardinals Drive",0,"https://seatgeek.com/venues/state-farm-stadium/tickets","America/Phoenix",TRUE,-112.262,33.5294,"NONE",FALSE,"2015-12-21T17:26:05Z"
"4","2018-09-23","2018-09-23_17.19.58","Patriots at Lions","normal","2018-04-20T00:47:37","2018-09-24T04:20:00",FALSE,4347028,FALSE,FALSE,"New England Patriots at Detroit Lions","2018-04-20T00:00:00","nfl","",1.008,0.84,"https://seatgeek.com/patriots-at-lions-tickets/9-23-2018-detroit-michigan-ford-field/nfl/4347028","2018-09-23T20:20:00",FALSE,"2018-09-24T00:20:00",NA,148,NA,347.82,NA,140,390,12062,"QRCODE",FALSE,"2018-08-24T18:27:28Z","Ford Field","48226",0.9029952,12,346,"ford-field","Detroit","MI","Ford Field","Detroit, MI","Detroit, MI 48226",505,"US","2000 Brush St.",0,"https://seatgeek.com/venues/ford-field/tickets","America/Detroit",TRUE,-83.0459,42.34,"NONE",FALSE,"2015-11-04T17:31:52Z"
"5","2018-09-23","2018-09-23_17.19.58","Steelers at Buccaneers","normal","2018-04-20T00:47:16","2018-09-25T04:15:00",FALSE,4346932,FALSE,FALSE,"Pittsburgh Steelers at Tampa Bay Buccaneers","2018-04-20T00:00:00","nfl","",0.928,0.997,"https://seatgeek.com/steelers-at-buccaneers-tickets/9-24-2018-tampa-florida-raymond-james-stadium/nfl/4346932","2018-09-24T20:15:00",FALSE,"2018-09-25T00:15:00",NA,140,331,4477,303,173,30,124248,"QRCODE",FALSE,"2018-08-24T20:35:07Z","Raymond James Stadium","33607",0.86513025,15,39,"raymond-james-stadium","Tampa","FL","Raymond James Stadium","Tampa, FL","Tampa, FL 33607",539,"US","4201 North Dale Mabry Highway",0,"https://seatgeek.com/venues/raymond-james-stadium/tickets","America/New_York",TRUE,-82.5034,27.9753,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"6","2018-09-23","2018-09-23_17.19.58","Vikings at Rams","normal","2018-04-20T00:47:14","2018-09-28T04:20:00",FALSE,4346922,FALSE,FALSE,"Minnesota Vikings at Los Angeles Rams","2018-04-20T00:00:00","nfl","",0.947,0.994,"https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922","2018-09-27T17:20:00",FALSE,"2018-09-28T00:20:00",NA,63,136,179.06204,926,63,403,864,"QRCODE",FALSE,"2018-09-05T22:17:16Z","Los Angeles Memorial Coliseum","90037",0.86898464,10,51012,"los-angeles-memorial-coliseum-1","Los Angeles","CA","Los Angeles Memorial Coliseum","Los Angeles, CA","Los Angeles, CA 90037",0,"US","3911 S Figueroa St",0,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","America/Los_Angeles",TRUE,-118.288,34.0138,"QRCODE",FALSE,"2018-08-23T17:59:28Z"
"7","2018-09-23","2018-09-23_17.19.58","Arkansas Razorbacks at Kentucky Wildcats Women's Volleyball","normal","2018-06-05T16:00:59","2018-09-29T03:00:00",FALSE,4401810,FALSE,FALSE,"Arkansas Razorbacks at Kentucky Wildcats Women's Volleyball","2018-06-05T00:00:00","sports","",0.253,0.5,"https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810","2018-09-28T19:00:00",FALSE,"2018-09-28T23:00:00",NA,NA,12,12,1,12,1,12,NA,NA,NA,"Memorial Coliseum","40506",0.4125833,26,5102,"memorial-coliseum-1","Lexington","KY","Memorial Coliseum","Lexington, KY","Lexington, KY 40506",541,"US","201 Avenue of Champions",0,"https://seatgeek.com/venues/memorial-coliseum-1/tickets","America/New_York",TRUE,-84.5,38.04,NA,NA,NA
"8","2018-09-23","2018-09-23_17.19.58","Southwest Classic: Arkansas vs Texas A&M","normal","2017-12-05T15:00:24","2018-09-29T20:00:00",FALSE,4163969,TRUE,FALSE,"Southwest Classic: Arkansas vs Texas A&M","2017-12-05T00:00:00","ncaa_football","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.",0.941,0.989,"https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969","2018-09-29T11:00:00",FALSE,"2018-09-29T16:00:00",NA,102,153,221.73935,696,102,798,1157,"QRCODE",FALSE,"2018-04-17T22:02:33Z","AT&T Stadium","76011",0.9751414,23,4965,"at-t-stadium","Arlington","TX","AT&T Stadium","Arlington, TX","Arlington, TX 76011",623,"US","1 AT&T Way",0,"https://seatgeek.com/venues/at-t-stadium/tickets","America/Chicago",TRUE,-97.0957,32.7459,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"9","2018-09-23","2018-09-23_17.19.58","South Alabama at Appalachian State","normal","2018-02-28T15:00:11","2018-09-29T23:30:00",FALSE,4281951,FALSE,FALSE,"South Alabama Jaguars at Appalachian State Mountaineers Football","2018-02-28T00:00:00","ncaa_football","",0.49,0.65,"https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951","2018-09-29T15:30:00",FALSE,"2018-09-29T19:30:00",NA,54,75,88.15315,75,54,222,225,NA,NA,NA,"Kidd Brewer Stadium","28607",0.57884717,4,3723,"kidd-brewer-stadium","Boone","NC","Kidd Brewer Stadium","Boone, NC","Boone, NC 28607",517,"US","1 Kidd Brewer Stadium",0,"https://seatgeek.com/venues/kidd-brewer-stadium/tickets","America/New_York",TRUE,-81.6856,36.2116,NA,NA,NA
"10","2018-09-23","2018-09-23_17.19.58","Eagles at Titans","normal","2018-04-20T00:47:30","2018-09-30T20:00:00",FALSE,4346992,FALSE,FALSE,"Philadelphia Eagles at Tennessee Titans","2018-04-20T00:00:00","nfl","",0.941,0.976,"https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992","2018-09-30T12:00:00",FALSE,"2018-09-30T16:00:00",NA,167,352,364.60507,434,178,276,836,"QRCODE",FALSE,"2018-08-24T20:47:49Z","Nissan Stadium","37213",0.8546275,15,1126,"nissan-stadium","Nashville","TN","Nissan Stadium","Nashville, TN","Nashville, TN 37213",659,"US","1 Titans Way",0,"https://seatgeek.com/venues/nissan-stadium/tickets","America/New_York",TRUE,-86.7713,36.1665,"NONE",FALSE,"2015-10-19T15:09:39Z"
