"","date","timestamp","title","url","type","date_tbd","datetime_tbd","visible_until_utc","datetime_utc","short_title","status","time_tbd","datetime_local","is_open","announce_date","description","popularity","score","id","created_at","general_admission","highest_price","lowest_price_good_deals","lowest_price","listing_count","average_price","visible_listing_count","median_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","state","url_venue","extended_address","address","name","metro_code","timezone","name_v2","country","slug","postal_code","city","display_location","popularity_venue","has_upcoming_events","score_venue","num_upcoming_events","id_venue","lat","lon","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"1","2018-09-24","2018-09-24_08.02.47","Pittsburgh Steelers at Tampa Bay Buccaneers","https://seatgeek.com/steelers-at-buccaneers-tickets/9-24-2018-tampa-florida-raymond-james-stadium/nfl/4346932","nfl",FALSE,FALSE,"2018-09-25T04:15:00","2018-09-25T00:15:00","Steelers at Buccaneers","normal",FALSE,"2018-09-24T20:15:00",FALSE,"2018-04-20T00:00:00","",0.762,0.892,4346932,"2018-04-20T00:47:16",NA,1038,202,202,31,376.19,NA,NA,"QRCODE","2018-08-24T20:35:07Z",FALSE,"FL","https://seatgeek.com/venues/raymond-james-stadium/tickets","Tampa, FL 33607","4201 North Dale Mabry Highway","Raymond James Stadium",539,"America/New_York","Raymond James Stadium","US","raymond-james-stadium","33607","Tampa","Tampa, FL",0,TRUE,0.86513025,15,39,27.9753,-82.5034,"QRCODE_TM","2015-08-24T14:44:53Z",FALSE
"2","2018-09-24","2018-09-24_08.02.47","Minnesota Vikings at Los Angeles Rams","https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922","nfl",FALSE,FALSE,"2018-09-28T04:20:00","2018-09-28T00:20:00","Vikings at Rams","normal",FALSE,"2018-09-27T17:20:00",FALSE,"2018-04-20T00:00:00","",0.973,0.897,4346922,"2018-04-20T00:47:14",NA,666,56,63,379,176.75989,892,133,"QRCODE","2018-09-05T22:17:16Z",FALSE,"CA","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","Los Angeles, CA 90037","3911 S Figueroa St","Los Angeles Memorial Coliseum",0,"America/Los_Angeles","Los Angeles Memorial Coliseum","US","los-angeles-memorial-coliseum-1","90037","Los Angeles","Los Angeles, CA",0,TRUE,0.86898464,9,51012,34.0138,-118.288,"QRCODE","2018-08-23T17:59:28Z",FALSE
"3","2018-09-24","2018-09-24_08.02.47","Arkansas Razorbacks at Kentucky Wildcats Women's Volleyball","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810","sports",FALSE,FALSE,"2018-09-29T03:00:00","2018-09-28T23:00:00","Arkansas Razorbacks at Kentucky Wildcats Women's Volleyball","normal",FALSE,"2018-09-28T19:00:00",FALSE,"2018-06-05T00:00:00","",0.588,0.357,4401810,"2018-06-05T16:00:59",NA,12,NA,12,1,12,1,12,NA,NA,NA,"KY","https://seatgeek.com/venues/memorial-coliseum-1/tickets","Lexington, KY 40506","338 Lexington Avenue","Memorial Coliseum",541,"America/New_York","Memorial Coliseum","US","memorial-coliseum-1","40506","Lexington","Lexington, KY",0,TRUE,0.4125833,26,5102,38.04,-84.5,NA,NA,NA
"4","2018-09-24","2018-09-24_08.02.47","Southwest Classic: Arkansas vs Texas A&M","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969","ncaa_football",FALSE,FALSE,"2018-09-29T20:00:00","2018-09-29T16:00:00","Southwest Classic: Arkansas vs Texas A&M","normal",FALSE,"2018-09-29T11:00:00",TRUE,"2017-12-05T00:00:00","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.",0.977,0.909,4163969,"2017-12-05T15:00:24",NA,1157,102,102,784,221.91965,684,153,"QRCODE","2018-04-17T22:02:33Z",FALSE,"TX","https://seatgeek.com/venues/at-t-stadium/tickets","Arlington, TX 76011","1 AT&T Way","AT&T Stadium",623,"America/Chicago","AT&T Stadium","US","at-t-stadium","76011","Arlington","Arlington, TX",0,TRUE,0.9751414,23,4965,32.7459,-97.0957,"QRCODE","2018-04-17T22:02:33Z",FALSE
"5","2018-09-24","2018-09-24_08.02.47","South Alabama Jaguars at Appalachian State Mountaineers Football","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951","ncaa_football",FALSE,FALSE,"2018-09-29T23:30:00","2018-09-29T19:30:00","South Alabama at Appalachian State","normal",FALSE,"2018-09-29T15:30:00",FALSE,"2018-02-28T00:00:00","",0.668,0.489,4281951,"2018-02-28T15:00:11",NA,223,54,54,222,87.88288,75,75,NA,NA,NA,"NC","https://seatgeek.com/venues/kidd-brewer-stadium/tickets","Boone, NC 28607","1 Kidd Brewer Stadium","Kidd Brewer Stadium",517,"America/New_York","Kidd Brewer Stadium","US","kidd-brewer-stadium","28607","Boone","Boone, NC",0,TRUE,0.57884717,4,3723,36.2116,-81.6856,NA,NA,NA
"6","2018-09-24","2018-09-24_08.02.47","Philadelphia Eagles at Tennessee Titans","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992","nfl",FALSE,FALSE,"2018-09-30T20:00:00","2018-09-30T16:00:00","Eagles at Titans","normal",FALSE,"2018-09-30T12:00:00",FALSE,"2018-04-20T00:00:00","",0.971,0.91,4346992,"2018-04-20T00:47:30",NA,5815,167,171,270,376.2963,452,344,"QRCODE","2018-08-24T20:47:49Z",FALSE,"TN","https://seatgeek.com/venues/nissan-stadium/tickets","Nashville, TN 37213","1 Titans Way","Nissan Stadium",659,"America/New_York","Nissan Stadium","US","nissan-stadium","37213","Nashville","Nashville, TN",0,TRUE,0.8546275,15,1126,36.1665,-86.7713,"NONE","2015-10-19T15:09:39Z",FALSE
"7","2018-09-24","2018-09-24_08.02.47","Buffalo Bills at Green Bay Packers","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911","nfl",FALSE,FALSE,"2018-09-30T21:00:00","2018-09-30T17:00:00","Bills at Packers","normal",FALSE,"2018-09-30T12:00:00",FALSE,"2018-04-20T00:00:00","",0.974,0.93,4346911,"2018-04-20T00:47:13",NA,910,151,208,150,379.63333,392,357,"QRCODE","2018-08-24T20:38:24Z",FALSE,"WI","https://seatgeek.com/venues/lambeau-field/tickets","Green Bay, WI 54304","1265 Lombardi Avenue","Lambeau Field",658,"America/Chicago","Lambeau Field","US","lambeau-field","54304","Green Bay","Green Bay, WI",0,TRUE,0.92909414,6,1125,44.5013,-88.0622,"QRCODE_TM","2015-09-02T22:43:34Z",FALSE
"8","2018-09-24","2018-09-24_08.02.47","Tampa Bay Buccaneers at Chicago Bears","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009","nfl",FALSE,FALSE,"2018-09-30T21:00:00","2018-09-30T17:00:00","Buccaneers at Bears","normal",FALSE,"2018-09-30T12:00:00",FALSE,"2018-04-20T00:00:00","",0.979,0.917,4347009,"2018-04-20T00:47:33",NA,786,179,187,62,371.12903,441,324,"QRCODE","2018-08-24T20:48:11Z",FALSE,"IL","https://seatgeek.com/venues/soldier-field/tickets","Chicago, IL 60605","1410 S. Museum Campus Drive","Soldier Field",602,"America/Chicago","Soldier Field","US","soldier-field","60605","Chicago","Chicago, IL",0,TRUE,0.940013,9,31,41.8623,-87.6159,"NONE","2018-06-02T00:44:08Z",FALSE
"9","2018-09-24","2018-09-24_08.02.47","Miami Dolphins at New England Patriots","https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092","nfl",FALSE,FALSE,"2018-09-30T21:00:00","2018-09-30T17:00:00","Dolphins at Patriots","normal",FALSE,"2018-09-30T13:00:00",FALSE,"2018-04-20T00:00:00","",0.998,0.947,4347092,"2018-04-20T00:47:49",NA,1614,270,278,69,511.75363,323,403,"QRCODE","2018-08-24T20:51:36Z",FALSE,"MA","https://seatgeek.com/venues/gillette-stadium/tickets","Foxborough, MA 02035","1 Patriot Place","Gillette Stadium",506,"America/New_York","Gillette Stadium","US","gillette-stadium","02035","Foxborough","Foxborough, MA",0,TRUE,0.8983344,15,33,42.0906,-71.2674,"NONE","2018-08-22T15:36:58Z",FALSE
"10","2018-09-24","2018-09-24_08.02.47","Cincinnati Bengals at Atlanta Falcons","https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052","nfl",FALSE,FALSE,"2018-09-30T21:00:00","2018-09-30T17:00:00","Bengals at Falcons","normal",FALSE,"2018-09-30T13:00:00",FALSE,"2018-04-20T00:00:00","",0.971,0.911,4347052,"2018-04-20T00:47:42",NA,957,75,75,667,187.26987,946,173,"QRCODE","2018-08-23T20:14:46Z",FALSE,"GA","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Atlanta, GA 30313","441 M.L.K. Jr Dr NW","Mercedes-Benz Stadium",0,"America/New_York","Mercedes-Benz Stadium","US","mercedes-benz-stadium","30313","Atlanta","Atlanta, GA",0,TRUE,0.76958936,19,419590,33.76,-84.4,"QRCODE","2018-08-23T20:14:46Z",FALSE
