"","date","timestamp","id","datetime_utc","type","score","status","description","popularity","datetime_tbd","date_tbd","visible_until_utc","announce_date","short_title","time_tbd","title","is_open","datetime_local","url","created_at","general_admission","listing_count","highest_price","visible_listing_count","lowest_price","average_price","median_price","lowest_price_good_deals","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","id_venue","num_upcoming_events","postal_code","score_venue","state","slug","extended_address","timezone","name","popularity_venue","address","country","city","has_upcoming_events","metro_code","name_v2","url_venue","display_location","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-09-24","2018-09-24_11.03.25",4346932,"2018-09-25T00:15:00","nfl",0.892,"normal","",0.762,FALSE,FALSE,"2018-09-25T04:15:00","2018-04-20T00:00:00","Steelers at Buccaneers",FALSE,"Pittsburgh Steelers at Tampa Bay Buccaneers",FALSE,"2018-09-24T20:15:00","https://seatgeek.com/steelers-at-buccaneers-tickets/9-24-2018-tampa-florida-raymond-james-stadium/nfl/4346932","2018-04-20T00:47:16",NA,25,617,135,144,329.68,344,155,"QRCODE",FALSE,"2018-08-24T20:35:07Z",39,15,"33607",0.86513025,"FL","raymond-james-stadium","Tampa, FL 33607","America/New_York","Raymond James Stadium",0,"4201 North Dale Mabry Highway","US","Tampa",TRUE,539,"Raymond James Stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","Tampa, FL",27.9753,-82.5034,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"2","2018-09-24","2018-09-24_11.03.25",4346922,"2018-09-28T00:20:00","nfl",0.897,"normal","",0.973,FALSE,FALSE,"2018-09-28T04:20:00","2018-04-20T00:00:00","Vikings at Rams",FALSE,"Minnesota Vikings at Los Angeles Rams",FALSE,"2018-09-27T17:20:00","https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922","2018-04-20T00:47:14",NA,376,667,903,59,167.88564,123,54,"QRCODE",FALSE,"2018-09-05T22:17:16Z",51012,9,"90037",0.86898464,"CA","los-angeles-memorial-coliseum-1","Los Angeles, CA 90037","America/Los_Angeles","Los Angeles Memorial Coliseum",0,"3911 S Figueroa St","US","Los Angeles",TRUE,0,"Los Angeles Memorial Coliseum","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","Los Angeles, CA",34.0138,-118.288,"QRCODE",FALSE,"2018-08-23T17:59:28Z"
"3","2018-09-24","2018-09-24_11.03.25",4401810,"2018-09-28T23:00:00","sports",0.357,"normal","",0.588,FALSE,FALSE,"2018-09-29T03:00:00","2018-06-05T00:00:00","Arkansas Razorbacks at Kentucky Wildcats Women's Volleyball",FALSE,"Arkansas Razorbacks at Kentucky Wildcats Women's Volleyball",FALSE,"2018-09-28T19:00:00","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810","2018-06-05T16:00:59",NA,1,12,1,12,12,12,NA,NA,NA,NA,5102,26,"40506",0.4125833,"KY","memorial-coliseum-1","Lexington, KY 40506","America/New_York","Memorial Coliseum",0,"338 Lexington Avenue","US","Lexington",TRUE,541,"Memorial Coliseum","https://seatgeek.com/venues/memorial-coliseum-1/tickets","Lexington, KY",38.04,-84.5,NA,NA,NA
"4","2018-09-24","2018-09-24_11.03.25",4163969,"2018-09-29T16:00:00","ncaa_football",0.909,"normal","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.",0.977,FALSE,FALSE,"2018-09-29T20:00:00","2017-12-05T00:00:00","Southwest Classic: Arkansas vs Texas A&M",FALSE,"Southwest Classic: Arkansas vs Texas A&M",TRUE,"2018-09-29T11:00:00","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969","2017-12-05T15:00:24",NA,1007,24905,746,102,349.46475,202,102,"QRCODE",FALSE,"2018-04-17T22:02:33Z",4965,21,"76011",0.9751414,"TX","at-t-stadium","Arlington, TX 76011","America/Chicago","AT&T Stadium",0,"1 AT&T Way","US","Arlington",TRUE,623,"AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets","Arlington, TX",32.7459,-97.0957,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"5","2018-09-24","2018-09-24_11.03.25",4281951,"2018-09-29T19:30:00","ncaa_football",0.489,"normal","",0.668,FALSE,FALSE,"2018-09-29T23:30:00","2018-02-28T00:00:00","South Alabama at Appalachian State",FALSE,"South Alabama Jaguars at Appalachian State Mountaineers Football",FALSE,"2018-09-29T15:30:00","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951","2018-02-28T15:00:11",NA,221,223,77,46,87.9095,76,46,NA,NA,NA,3723,4,"28607",0.57884717,"NC","kidd-brewer-stadium","Boone, NC 28607","America/New_York","Kidd Brewer Stadium",0,"1 Kidd Brewer Stadium","US","Boone",TRUE,517,"Kidd Brewer Stadium","https://seatgeek.com/venues/kidd-brewer-stadium/tickets","Boone, NC",36.2116,-81.6856,NA,NA,NA
"6","2018-09-24","2018-09-24_11.03.25",4346992,"2018-09-30T16:00:00","nfl",0.91,"normal","",0.971,FALSE,FALSE,"2018-09-30T20:00:00","2018-04-20T00:00:00","Eagles at Titans",FALSE,"Philadelphia Eagles at Tennessee Titans",FALSE,"2018-09-30T12:00:00","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992","2018-04-20T00:47:30",NA,271,5815,458,159,367.12915,336,159,"QRCODE",FALSE,"2018-08-24T20:47:49Z",1126,15,"37213",0.8546275,"TN","nissan-stadium","Nashville, TN 37213","America/New_York","Nissan Stadium",0,"1 Titans Way","US","Nashville",TRUE,659,"Nissan Stadium","https://seatgeek.com/venues/nissan-stadium/tickets","Nashville, TN",36.1665,-86.7713,"NONE",FALSE,"2015-10-19T15:09:39Z"
"7","2018-09-24","2018-09-24_11.03.25",4346911,"2018-09-30T17:00:00","nfl",0.93,"normal","",0.974,FALSE,FALSE,"2018-09-30T21:00:00","2018-04-20T00:00:00","Bills at Packers",FALSE,"Buffalo Bills at Green Bay Packers",FALSE,"2018-09-30T12:00:00","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911","2018-04-20T00:47:13",NA,153,910,387,208,370.1111,341,193,"QRCODE",FALSE,"2018-08-24T20:38:24Z",1125,6,"54304",0.92909414,"WI","lambeau-field","Green Bay, WI 54304","America/Chicago","Lambeau Field",0,"1265 Lombardi Avenue","US","Green Bay",TRUE,658,"Lambeau Field","https://seatgeek.com/venues/lambeau-field/tickets","Green Bay, WI",44.5013,-88.0622,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"8","2018-09-24","2018-09-24_11.03.25",4347009,"2018-09-30T17:00:00","nfl",0.917,"normal","",0.979,FALSE,FALSE,"2018-09-30T21:00:00","2018-04-20T00:00:00","Buccaneers at Bears",FALSE,"Tampa Bay Buccaneers at Chicago Bears",FALSE,"2018-09-30T12:00:00","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009","2018-04-20T00:47:33",NA,62,786,448,161,361.58066,317,161,"QRCODE",FALSE,"2018-08-24T20:48:11Z",31,9,"60605",0.940013,"IL","soldier-field","Chicago, IL 60605","America/Chicago","Soldier Field",0,"1410 S. Museum Campus Drive","US","Chicago",TRUE,602,"Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","Chicago, IL",41.8623,-87.6159,"NONE",FALSE,"2018-06-02T00:44:08Z"
"9","2018-09-24","2018-09-24_11.03.25",4327924,"2018-09-30T17:00:00","nfl",0.953,"normal","",1.004,FALSE,FALSE,"2018-09-30T21:00:00","2018-04-05T00:00:00","Lions at Cowboys",FALSE,"Detroit Lions at Dallas Cowboys",TRUE,"2018-09-30T12:00:00","https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924","2018-04-05T23:08:47",NA,2497,1800,2000,NA,249.95474,207,NA,"QRCODE",FALSE,"2018-04-17T22:02:33Z",4965,21,"76011",0.9751414,"TX","at-t-stadium","Arlington, TX 76011","America/Chicago","AT&T Stadium",0,"1 AT&T Way","US","Arlington",TRUE,623,"AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets","Arlington, TX",32.7459,-97.0957,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"10","2018-09-24","2018-09-24_11.03.25",4347052,"2018-09-30T17:00:00","nfl",0.911,"normal","",0.971,FALSE,FALSE,"2018-09-30T21:00:00","2018-04-20T00:00:00","Bengals at Falcons",FALSE,"Cincinnati Bengals at Atlanta Falcons",FALSE,"2018-09-30T13:00:00","https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052","2018-04-20T00:47:42",NA,677,837,948,75,184.02806,172,75,"QRCODE",FALSE,"2018-08-23T20:14:46Z",419590,19,"30313",0.76958936,"GA","mercedes-benz-stadium","Atlanta, GA 30313","America/New_York","Mercedes-Benz Stadium",0,"441 M.L.K. Jr Dr NW","US","Atlanta",TRUE,0,"Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Atlanta, GA",33.76,-84.4,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
