"","date","timestamp","time_tbd","url","visible_until_utc","datetime_tbd","date_tbd","datetime_local","score","description","title","id","type","announce_date","short_title","datetime_utc","popularity","status","created_at","is_open","general_admission","median_price","visible_listing_count","listing_count","average_price","lowest_price","lowest_price_good_deals","highest_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","slug","url_venue","name_v2","has_upcoming_events","country","score_venue","timezone","address","postal_code","metro_code","display_location","id_venue","extended_address","num_upcoming_events","popularity_venue","state","name","city","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/steelers-at-buccaneers-tickets/9-24-2018-tampa-florida-raymond-james-stadium/nfl/4346932","2018-09-25T04:15:00",FALSE,FALSE,"2018-09-24T20:15:00",0.91,"","Pittsburgh Steelers at Tampa Bay Buccaneers",4346932,"nfl","2018-04-20T00:00:00","Steelers at Buccaneers","2018-09-25T00:15:00",0.779,"normal","2018-04-20T00:47:16",FALSE,NA,327,100,6,325.66666,173,129,525,"QRCODE",FALSE,"2018-08-24T20:35:07Z","raymond-james-stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","Raymond James Stadium",TRUE,"US",0.86513025,"America/New_York","4201 North Dale Mabry Highway","33607",539,"Tampa, FL",39,"Tampa, FL 33607",15,0,"FL","Raymond James Stadium","Tampa",27.9753,-82.5034,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"2","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922","2018-09-28T04:20:00",FALSE,FALSE,"2018-09-27T17:20:00",0.904,"","Minnesota Vikings at Los Angeles Rams",4346922,"nfl","2018-04-20T00:00:00","Vikings at Rams","2018-09-28T00:20:00",0.981,"normal","2018-04-20T00:47:14",FALSE,NA,123,885,360,514.2083,66,51,126804,"QRCODE",FALSE,"2018-09-05T22:17:16Z","los-angeles-memorial-coliseum-1","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","Los Angeles Memorial Coliseum",TRUE,"US",0.86898464,"America/Los_Angeles","3911 S Figueroa St","90037",0,"Los Angeles, CA",51012,"Los Angeles, CA 90037",9,0,"CA","Los Angeles Memorial Coliseum","Los Angeles",34.0138,-118.288,"QRCODE",FALSE,"2018-08-23T17:59:28Z"
"3","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810","2018-09-29T03:00:00",FALSE,FALSE,"2018-09-28T19:00:00",0.379,"","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball",4401810,"sports","2018-06-05T00:00:00","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","2018-09-28T23:00:00",0.607,"normal","2018-06-05T16:00:59",FALSE,NA,12,1,1,12,12,NA,12,NA,NA,NA,"memorial-coliseum-1","https://seatgeek.com/venues/memorial-coliseum-1/tickets","Memorial Coliseum",TRUE,"US",0.4125833,"America/New_York","338 Lexington Avenue","40506",541,"Lexington, KY",5102,"Lexington, KY 40506",26,0,"KY","Memorial Coliseum","Lexington",38.04,-84.5,NA,NA,NA
"4","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969","2018-09-29T20:00:00",FALSE,FALSE,"2018-09-29T11:00:00",0.907,"*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.","Southwest Classic: Arkansas vs Texas A&M",4163969,"ncaa_football","2017-12-05T00:00:00","Southwest Classic: Arkansas vs Texas A&M","2018-09-29T16:00:00",0.978,"normal","2017-12-05T15:00:24",TRUE,NA,150,601,668,211.28743,102,102,1157,"QRCODE",FALSE,"2018-04-17T22:02:33Z","at-t-stadium","https://seatgeek.com/venues/at-t-stadium/tickets","AT&T Stadium",TRUE,"US",0.9751414,"America/Chicago","1 AT&T Way","76011",623,"Arlington, TX",4965,"Arlington, TX 76011",21,0,"TX","AT&T Stadium","Arlington",32.7459,-97.0957,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"5","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951","2018-09-29T23:30:00",FALSE,FALSE,"2018-09-29T15:30:00",0.481,"","South Alabama Jaguars at Appalachian State Mountaineers Football",4281951,"ncaa_football","2018-02-28T00:00:00","South Alabama at Appalachian State","2018-09-29T19:30:00",0.665,"normal","2018-02-28T15:00:11",FALSE,NA,74,76,217,85.80645,48,48,223,NA,NA,NA,"kidd-brewer-stadium","https://seatgeek.com/venues/kidd-brewer-stadium/tickets","Kidd Brewer Stadium",TRUE,"US",0.57884717,"America/New_York","1 Kidd Brewer Stadium","28607",517,"Boone, NC",3723,"Boone, NC 28607",4,0,"NC","Kidd Brewer Stadium","Boone",36.2116,-81.6856,NA,NA,NA
"6","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992","2018-09-30T20:00:00",FALSE,FALSE,"2018-09-30T12:00:00",0.914,"","Philadelphia Eagles at Tennessee Titans",4346992,"nfl","2018-04-20T00:00:00","Eagles at Titans","2018-09-30T16:00:00",0.977,"normal","2018-04-20T00:47:30",FALSE,NA,314,451,231,358.81384,163,162,5815,"QRCODE",FALSE,"2018-08-24T20:47:49Z","nissan-stadium","https://seatgeek.com/venues/nissan-stadium/tickets","Nissan Stadium",TRUE,"US",0.8546275,"America/New_York","1 Titans Way","37213",659,"Nashville, TN",1126,"Nashville, TN 37213",16,0,"TN","Nissan Stadium","Nashville",36.1665,-86.7713,"NONE",FALSE,"2015-10-19T15:09:39Z"
"7","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911","2018-09-30T21:00:00",FALSE,FALSE,"2018-09-30T12:00:00",0.928,"","Buffalo Bills at Green Bay Packers",4346911,"nfl","2018-04-20T00:00:00","Bills at Packers","2018-09-30T17:00:00",0.975,"normal","2018-04-20T00:47:13",FALSE,NA,335,410,154,358.16232,217,186,861,"QRCODE",FALSE,"2018-08-24T20:38:24Z","lambeau-field","https://seatgeek.com/venues/lambeau-field/tickets","Lambeau Field",TRUE,"US",0.92909414,"America/Chicago","1265 Lombardi Avenue","54304",658,"Green Bay, WI",1125,"Green Bay, WI 54304",6,0,"WI","Lambeau Field","Green Bay",44.5013,-88.0622,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"8","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009","2018-09-30T21:00:00",FALSE,FALSE,"2018-09-30T12:00:00",0.918,"","Tampa Bay Buccaneers at Chicago Bears",4347009,"nfl","2018-04-20T00:00:00","Buccaneers at Bears","2018-09-30T17:00:00",0.983,"normal","2018-04-20T00:47:33",FALSE,NA,355,427,24,387.91666,197,171,786,"QRCODE",FALSE,"2018-08-24T20:48:11Z","soldier-field","https://seatgeek.com/venues/soldier-field/tickets","Soldier Field",TRUE,"US",0.940013,"America/Chicago","1410 S. Museum Campus Drive","60605",602,"Chicago, IL",31,"Chicago, IL 60605",9,0,"IL","Soldier Field","Chicago",41.8623,-87.6159,"NONE",FALSE,"2018-06-02T00:44:08Z"
"9","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962","2018-09-30T21:00:00",FALSE,FALSE,"2018-09-30T13:00:00",0.851,"","Houston Texans at Indianapolis Colts",4346962,"nfl","2018-04-20T00:00:00","Texans at Colts","2018-09-30T17:00:00",0.931,"normal","2018-04-20T00:47:22",FALSE,NA,101,881,478,108.62762,32,31,673,"QRCODE",FALSE,"2018-08-24T20:46:39Z","lucas-oil-stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Lucas Oil Stadium",TRUE,"US",0.9071682,"America/Indiana/Indianapolis","500 South Capitol Avenue","46225",527,"Indianapolis, IN",1130,"Indianapolis, IN 46225",14,0,"IN","Lucas Oil Stadium","Indianapolis",39.7601,-86.1639,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"10","2018-09-24","2018-09-24_16.00.30",FALSE,"https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949","2018-09-30T21:00:00",FALSE,FALSE,"2018-09-30T13:00:00",0.827,"","New York Jets at Jacksonville Jaguars",4346949,"nfl","2018-04-20T00:00:00","Jets at Jaguars","2018-09-30T17:00:00",0.914,"normal","2018-04-20T00:47:19",FALSE,NA,93,645,271,95.49447,48,48,254,"QRCODE",FALSE,"2018-08-24T20:38:35Z","everbank-field","https://seatgeek.com/venues/everbank-field/tickets","EverBank Field",TRUE,"US",0.83759147,"America/New_York","1 Everbank Field Dr","32202",561,"Jacksonville, FL",5178,"Jacksonville, FL 32202",8,0,"FL","EverBank Field","Jacksonville",30.3239,-81.6373,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
