"","date","timestamp","description","visible_until_utc","score","datetime_utc","date_tbd","datetime_local","title","url","type","created_at","time_tbd","status","is_open","short_title","datetime_tbd","announce_date","popularity","id","general_admission","visible_listing_count","lowest_price","lowest_price_good_deals","median_price","highest_price","average_price","listing_count","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","address","has_upcoming_events","score_venue","name_v2","extended_address","display_location","slug","url_venue","timezone","postal_code","name","metro_code","country","city","popularity_venue","num_upcoming_events","id_venue","state","lon","lat","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"1","2018-09-25","2018-09-25_11.04.40","","2018-09-28T04:20:00",0.856,"2018-09-28T00:20:00",FALSE,"2018-09-27T17:20:00","Minnesota Vikings at Los Angeles Rams","https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922","nfl","2018-04-20T00:47:14",FALSE,"normal",FALSE,"Vikings at Rams",FALSE,"2018-04-20T00:00:00",0.928,4346922,NA,763,59,50,115,662,140.28024,496,"QRCODE","2018-09-05T22:17:16Z",FALSE,"3911 S Figueroa St",TRUE,0.86898464,"Los Angeles Memorial Coliseum","Los Angeles, CA 90037","Los Angeles, CA","los-angeles-memorial-coliseum-1","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","America/Los_Angeles","90037","Los Angeles Memorial Coliseum",0,"US","Los Angeles",0,9,51012,"CA",-118.288,34.0138,"QRCODE","2018-08-23T17:59:28Z",FALSE
"2","2018-09-25","2018-09-25_11.04.40","","2018-09-29T03:00:00",0.356,"2018-09-28T23:00:00",FALSE,"2018-09-28T19:00:00","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810","sports","2018-06-05T16:00:59",FALSE,"normal",FALSE,"Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball",FALSE,"2018-06-05T00:00:00",0.6,4401810,NA,1,10,NA,10,10,10,1,NA,NA,NA,"338 Lexington Avenue",TRUE,0.4125833,"Memorial Coliseum","Lexington, KY 40506","Lexington, KY","memorial-coliseum-1","https://seatgeek.com/venues/memorial-coliseum-1/tickets","America/New_York","40506","Memorial Coliseum",541,"US","Lexington",0,26,5102,"KY",-84.5,38.04,NA,NA,NA
"3","2018-09-25","2018-09-25_11.04.40","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.","2018-09-29T20:00:00",0.887,"2018-09-29T16:00:00",FALSE,"2018-09-29T11:00:00","Southwest Classic: Arkansas vs Texas A&M","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969","ncaa_football","2017-12-05T15:00:24",FALSE,"normal",TRUE,"Southwest Classic: Arkansas vs Texas A&M",FALSE,"2017-12-05T00:00:00",0.942,4163969,NA,646,102,102,150,1157,215.36879,724,"QRCODE","2018-04-17T22:02:33Z",FALSE,"1 AT&T Way",TRUE,0.9751414,"AT&T Stadium","Arlington, TX 76011","Arlington, TX","at-t-stadium","https://seatgeek.com/venues/at-t-stadium/tickets","America/Chicago","76011","AT&T Stadium",623,"US","Arlington",0,21,4965,"TX",-97.0957,32.7459,"QRCODE","2018-04-17T22:02:33Z",FALSE
"4","2018-09-25","2018-09-25_11.04.40","","2018-09-29T23:30:00",0.469,"2018-09-29T19:30:00",FALSE,"2018-09-29T15:30:00","South Alabama Jaguars at Appalachian State Mountaineers Football","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951","ncaa_football","2018-02-28T15:00:11",FALSE,"normal",FALSE,"South Alabama at Appalachian State",FALSE,"2018-02-28T00:00:00",0.655,4281951,NA,79,48,48,74,223,85.99543,219,NA,NA,NA,"1 Kidd Brewer Stadium",TRUE,0.57884717,"Kidd Brewer Stadium","Boone, NC 28607","Boone, NC","kidd-brewer-stadium","https://seatgeek.com/venues/kidd-brewer-stadium/tickets","America/New_York","28607","Kidd Brewer Stadium",517,"US","Boone",0,4,3723,"NC",-81.6856,36.2116,NA,NA,NA
"5","2018-09-25","2018-09-25_11.04.40","","2018-09-30T20:00:00",0.872,"2018-09-30T16:00:00",FALSE,"2018-09-30T12:00:00","Philadelphia Eagles at Tennessee Titans","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992","nfl","2018-04-20T00:47:30",FALSE,"normal",FALSE,"Eagles at Titans",FALSE,"2018-04-20T00:00:00",0.932,4346992,NA,426,171,172,297,5815,338.8352,267,"QRCODE","2018-08-24T20:47:49Z",FALSE,"1 Titans Way",TRUE,0.8546275,"Nissan Stadium","Nashville, TN 37213","Nashville, TN","nissan-stadium","https://seatgeek.com/venues/nissan-stadium/tickets","America/New_York","37213","Nissan Stadium",659,"US","Nashville",0,16,1126,"TN",-86.7713,36.1665,"NONE","2015-10-19T15:09:39Z",FALSE
"6","2018-09-25","2018-09-25_11.04.40","","2018-09-30T21:00:00",0.876,"2018-09-30T17:00:00",FALSE,"2018-09-30T12:00:00","Buffalo Bills at Green Bay Packers","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911","nfl","2018-04-20T00:47:13",FALSE,"normal",FALSE,"Bills at Packers",FALSE,"2018-04-20T00:00:00",0.92,4346911,NA,341,208,186,331,126791,1100.1265,174,"QRCODE","2018-08-24T20:38:24Z",FALSE,"1265 Lombardi Avenue",TRUE,0.92909414,"Lambeau Field","Green Bay, WI 54304","Green Bay, WI","lambeau-field","https://seatgeek.com/venues/lambeau-field/tickets","America/Chicago","54304","Lambeau Field",658,"US","Green Bay",0,6,1125,"WI",-88.0622,44.5013,"QRCODE_TM","2015-09-02T22:43:34Z",FALSE
"7","2018-09-25","2018-09-25_11.04.40","","2018-09-30T21:00:00",0.876,"2018-09-30T17:00:00",FALSE,"2018-09-30T12:00:00","Tampa Bay Buccaneers at Chicago Bears","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009","nfl","2018-04-20T00:47:33",FALSE,"normal",FALSE,"Buccaneers at Bears",FALSE,"2018-04-20T00:00:00",0.936,4347009,NA,322,166,166,324,123581,2428.3,60,"QRCODE","2018-08-24T20:48:11Z",FALSE,"1410 S. Museum Campus Drive",TRUE,0.940013,"Soldier Field","Chicago, IL 60605","Chicago, IL","soldier-field","https://seatgeek.com/venues/soldier-field/tickets","America/Chicago","60605","Soldier Field",602,"US","Chicago",0,9,31,"IL",-87.6159,41.8623,"NONE","2018-06-02T00:44:08Z",FALSE
"8","2018-09-25","2018-09-25_11.04.40","","2018-09-30T21:00:00",0.817,"2018-09-30T17:00:00",FALSE,"2018-09-30T13:00:00","Houston Texans at Indianapolis Colts","https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962","nfl","2018-04-20T00:47:22",FALSE,"normal",FALSE,"Texans at Colts",FALSE,"2018-04-20T00:00:00",0.891,4346962,NA,846,28,27,106,799,110.190475,546,"QRCODE","2018-08-24T20:46:39Z",FALSE,"500 South Capitol Avenue",TRUE,0.9071682,"Lucas Oil Stadium","Indianapolis, IN 46225","Indianapolis, IN","lucas-oil-stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","America/Indiana/Indianapolis","46225","Lucas Oil Stadium",527,"US","Indianapolis",0,14,1130,"IN",-86.1639,39.7601,"QRCODE_TM","2018-09-13T22:29:37Z",FALSE
"9","2018-09-25","2018-09-25_11.04.40","","2018-09-30T21:00:00",0.923,"2018-09-30T17:00:00",FALSE,"2018-09-30T12:00:00","Detroit Lions at Dallas Cowboys","https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924","nfl","2018-04-05T23:08:47",FALSE,"normal",TRUE,"Lions at Cowboys",FALSE,"2018-04-05T00:00:00",0.965,4327924,NA,1949,NA,NA,195,1800,238.3633,2392,"QRCODE","2018-04-17T22:02:33Z",FALSE,"1 AT&T Way",TRUE,0.9751414,"AT&T Stadium","Arlington, TX 76011","Arlington, TX","at-t-stadium","https://seatgeek.com/venues/at-t-stadium/tickets","America/Chicago","76011","AT&T Stadium",623,"US","Arlington",0,21,4965,"TX",-97.0957,32.7459,"QRCODE","2018-04-17T22:02:33Z",FALSE
"10","2018-09-25","2018-09-25_11.04.40","","2018-09-30T21:00:00",0.887,"2018-09-30T17:00:00",FALSE,"2018-09-30T13:00:00","Cincinnati Bengals at Atlanta Falcons","https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052","nfl","2018-04-20T00:47:42",FALSE,"normal",FALSE,"Bengals at Falcons",FALSE,"2018-04-20T00:00:00",0.94,4347052,NA,821,69,69,159,719,170.13098,710,"QRCODE","2018-08-23T20:14:46Z",FALSE,"441 M.L.K. Jr Dr NW",TRUE,0.76958936,"Mercedes-Benz Stadium","Atlanta, GA 30313","Atlanta, GA","mercedes-benz-stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","America/New_York","30313","Mercedes-Benz Stadium",0,"US","Atlanta",0,19,419590,"GA",-84.4,33.76,"QRCODE","2018-08-23T20:14:46Z",FALSE
