"","date","timestamp","datetime_utc","short_title","url","id","description","datetime_local","visible_until_utc","date_tbd","datetime_tbd","is_open","time_tbd","announce_date","type","popularity","created_at","title","status","score","general_admission","median_price","listing_count","lowest_price","visible_listing_count","highest_price","average_price","lowest_price_good_deals","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","extended_address","city","timezone","num_upcoming_events","name","display_location","url_venue","address","id_venue","has_upcoming_events","state","country","slug","postal_code","name_v2","score_venue","popularity_venue","metro_code","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"1","2018-09-26","2018-09-26_11.03.31","2018-09-28T00:20:00","Vikings at Rams","https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922",4346922,"","2018-09-27T17:20:00","2018-09-28T04:20:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.982,"2018-04-20T00:47:14","Minnesota Vikings at Los Angeles Rams","normal",0.876,NA,111,530,59,686,665,128.1283,57,FALSE,"2018-09-05T22:17:16Z","QRCODE","Los Angeles, CA 90037","Los Angeles","America/Los_Angeles",9,"Los Angeles Memorial Coliseum","Los Angeles, CA","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","3911 S Figueroa St",51012,TRUE,"CA","US","los-angeles-memorial-coliseum-1","90037","Los Angeles Memorial Coliseum",0.86898464,0,0,34.0138,-118.288,FALSE,"2018-08-23T17:59:28Z","QRCODE"
"2","2018-09-26","2018-09-26_11.03.31","2018-09-28T23:00:00","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810",4401810,"","2018-09-28T19:00:00","2018-09-29T03:00:00",FALSE,FALSE,FALSE,FALSE,"2018-06-05T00:00:00","sports",0.622,"2018-06-05T16:00:59","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","normal",0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lexington, KY 40506","Lexington","America/New_York",26,"Memorial Coliseum","Lexington, KY","https://seatgeek.com/venues/memorial-coliseum-1/tickets","201 Avenue of Champions",5102,TRUE,"KY","US","memorial-coliseum-1","40506","Memorial Coliseum",0.4125833,0,541,38.04,-84.5,NA,NA,NA
"3","2018-09-26","2018-09-26_11.03.31","2018-09-29T16:00:00","Southwest Classic: Arkansas vs Texas A&M","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969",4163969,"*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.","2018-09-29T11:00:00","2018-09-29T20:00:00",FALSE,FALSE,TRUE,FALSE,"2017-12-05T00:00:00","ncaa_football",0.978,"2017-12-05T15:00:24","Southwest Classic: Arkansas vs Texas A&M","normal",0.886,NA,150,591,102,493,1157,193.02538,102,FALSE,"2018-04-17T22:02:33Z","QRCODE","Arlington, TX 76011","Arlington","America/Chicago",20,"AT&T Stadium","Arlington, TX","https://seatgeek.com/venues/at-t-stadium/tickets","1 AT&T Way",4965,TRUE,"TX","US","at-t-stadium","76011","AT&T Stadium",0.9751414,0,623,32.7459,-97.0957,FALSE,"2018-04-17T22:02:33Z","QRCODE"
"4","2018-09-26","2018-09-26_11.03.31","2018-09-29T19:30:00","South Alabama at Appalachian State","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951",4281951,"","2018-09-29T15:30:00","2018-09-29T23:30:00",FALSE,FALSE,FALSE,FALSE,"2018-02-28T00:00:00","ncaa_football",0.69,"2018-02-28T15:00:11","South Alabama Jaguars at Appalachian State Mountaineers Football","normal",0.481,NA,70,210,48,76,122,71.78571,48,NA,NA,NA,"Boone, NC 28607","Boone","America/New_York",4,"Kidd Brewer Stadium","Boone, NC","https://seatgeek.com/venues/kidd-brewer-stadium/tickets","1 Kidd Brewer Stadium",3723,TRUE,"NC","US","kidd-brewer-stadium","28607","Kidd Brewer Stadium",0.57884717,0,517,36.2116,-81.6856,NA,NA,NA
"5","2018-09-26","2018-09-26_11.03.31","2018-09-30T16:00:00","Eagles at Titans","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992",4346992,"","2018-09-30T12:00:00","2018-09-30T20:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.977,"2018-04-20T00:47:30","Philadelphia Eagles at Tennessee Titans","normal",0.879,NA,280,229,165,375,5815,326.131,138,FALSE,"2018-08-24T20:47:49Z","QRCODE","Nashville, TN 37213","Nashville","America/New_York",16,"Nissan Stadium","Nashville, TN","https://seatgeek.com/venues/nissan-stadium/tickets","1 Titans Way",1126,TRUE,"TN","US","nissan-stadium","37213","Nissan Stadium",0.8546275,0,659,36.1665,-86.7713,FALSE,"2015-10-19T15:09:39Z","NONE"
"6","2018-09-26","2018-09-26_11.03.31","2018-09-30T17:00:00","Bills at Packers","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911",4346911,"","2018-09-30T12:00:00","2018-09-30T21:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.974,"2018-04-20T00:47:13","Buffalo Bills at Green Bay Packers","normal",0.893,NA,312,178,200,351,910,340.14044,186,FALSE,"2018-08-24T20:38:24Z","QRCODE","Green Bay, WI 54304","Green Bay","America/Chicago",6,"Lambeau Field","Green Bay, WI","https://seatgeek.com/venues/lambeau-field/tickets","1265 Lombardi Avenue",1125,TRUE,"WI","US","lambeau-field","54304","Lambeau Field",0.92909414,0,658,44.5013,-88.0622,FALSE,"2015-09-02T22:43:34Z","QRCODE_TM"
"7","2018-09-26","2018-09-26_11.03.31","2018-09-30T17:00:00","Buccaneers at Bears","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009",4347009,"","2018-09-30T12:00:00","2018-09-30T21:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.979,"2018-04-20T00:47:33","Tampa Bay Buccaneers at Chicago Bears","normal",0.879,NA,NA,64,160,NA,819,378.2,160,FALSE,"2018-08-24T20:48:11Z","QRCODE","Chicago, IL 60605","Chicago","America/Chicago",9,"Soldier Field","Chicago, IL","https://seatgeek.com/venues/soldier-field/tickets","1410 S. Museum Campus Drive",31,TRUE,"IL","US","soldier-field","60605","Soldier Field",0.940013,0,602,41.8623,-87.6159,FALSE,"2018-06-02T00:44:08Z","NONE"
"8","2018-09-26","2018-09-26_11.03.31","2018-09-30T17:00:00","Bengals at Falcons","https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052",4347052,"","2018-09-30T13:00:00","2018-09-30T21:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.977,"2018-04-20T00:47:42","Cincinnati Bengals at Atlanta Falcons","normal",0.88,NA,154,667,66,756,718,166.14543,66,FALSE,"2018-08-23T20:14:46Z","QRCODE","Atlanta, GA 30313","Atlanta","America/New_York",19,"Mercedes-Benz Stadium","Atlanta, GA","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","441 M.L.K. Jr Dr NW",419590,TRUE,"GA","US","mercedes-benz-stadium","30313","Mercedes-Benz Stadium",0.76958936,0,0,33.76,-84.4,FALSE,"2018-08-23T20:14:46Z","QRCODE"
"9","2018-09-26","2018-09-26_11.03.31","2018-09-30T17:00:00","Lions at Cowboys","https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924",4327924,"","2018-09-30T12:00:00","2018-09-30T21:00:00",FALSE,FALSE,TRUE,FALSE,"2018-04-05T00:00:00","nfl",1.018,"2018-04-05T23:08:47","Detroit Lions at Dallas Cowboys","normal",0.94,NA,180,2506,NA,1959,1800,221.81125,NA,FALSE,"2018-04-17T22:02:33Z","QRCODE","Arlington, TX 76011","Arlington","America/Chicago",20,"AT&T Stadium","Arlington, TX","https://seatgeek.com/venues/at-t-stadium/tickets","1 AT&T Way",4965,TRUE,"TX","US","at-t-stadium","76011","AT&T Stadium",0.9751414,0,623,32.7459,-97.0957,FALSE,"2018-04-17T22:02:33Z","QRCODE"
"10","2018-09-26","2018-09-26_11.03.31","2018-09-30T17:00:00","Texans at Colts","https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962",4346962,"","2018-09-30T13:00:00","2018-09-30T21:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.929,"2018-04-20T00:47:22","Houston Texans at Indianapolis Colts","normal",0.818,NA,90,538,25,833,483,99.45539,25,FALSE,"2018-08-24T20:46:39Z","QRCODE","Indianapolis, IN 46225","Indianapolis","America/Indiana/Indianapolis",14,"Lucas Oil Stadium","Indianapolis, IN","https://seatgeek.com/venues/lucas-oil-stadium/tickets","500 South Capitol Avenue",1130,TRUE,"IN","US","lucas-oil-stadium","46225","Lucas Oil Stadium",0.9071682,0,527,39.7601,-86.1639,FALSE,"2018-09-13T22:29:37Z","QRCODE_TM"
"11","2018-09-26","2018-09-26_11.03.31","2018-09-30T17:00:00","Dolphins at Patriots","https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092",4347092,"","2018-09-30T13:00:00","2018-09-30T21:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",1.01,"2018-04-20T00:47:49","Miami Dolphins at New England Patriots","normal",0.925,NA,404,86,265,245,1518,523.77905,224,FALSE,"2018-08-24T20:51:36Z","QRCODE","Foxborough, MA 02035","Foxborough","America/New_York",15,"Gillette Stadium","Foxborough, MA","https://seatgeek.com/venues/gillette-stadium/tickets","1 Patriot Place",33,TRUE,"MA","US","gillette-stadium","02035","Gillette Stadium",0.8983344,0,506,42.0906,-71.2674,FALSE,"2018-08-22T15:36:58Z","NONE"
"12","2018-09-26","2018-09-26_11.03.31","2018-09-30T17:00:00","Jets at Jaguars","https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949",4346949,"","2018-09-30T13:00:00","2018-09-30T21:00:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.921,"2018-04-20T00:47:19","New York Jets at Jacksonville Jaguars","normal",0.799,NA,83,333,48,496,393,100.11411,45,FALSE,"2018-08-24T20:38:35Z","QRCODE","Jacksonville, FL 32202","Jacksonville","America/New_York",8,"EverBank Field","Jacksonville, FL","https://seatgeek.com/venues/everbank-field/tickets","1 Everbank Field Dr",5178,TRUE,"FL","US","everbank-field","32202","EverBank Field",0.83759147,0,561,30.3239,-81.6373,FALSE,"2015-10-17T20:03:42Z","QRCODE_TM"
"13","2018-09-26","2018-09-26_11.03.31","2018-09-30T20:05:00","Seahawks at Cardinals","https://seatgeek.com/seahawks-at-cardinals-tickets/9-30-2018-glendale-arizona-state-farm-stadium/nfl/4347103",4347103,"","2018-09-30T13:05:00","2018-10-01T00:05:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.988,"2018-04-20T00:47:51","Seattle Seahawks at Arizona Cardinals","normal",0.892,NA,86,571,28,746,630,107.661995,24,FALSE,"2018-09-05T19:57:48Z","QRCODE","Glendale, AZ 85305","Glendale","America/Phoenix",10,"State Farm Stadium","Glendale, AZ","https://seatgeek.com/venues/state-farm-stadium/tickets","1 Cardinals Drive",43,TRUE,"AZ","US","state-farm-stadium","85305","State Farm Stadium",0.93402725,0,753,33.5294,-112.262,FALSE,"2015-12-21T17:26:05Z","NONE"
"14","2018-09-26","2018-09-26_11.03.31","2018-09-30T20:05:00","Browns at Raiders","https://seatgeek.com/browns-at-raiders-tickets/9-30-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347154",4347154,"","2018-09-30T13:05:00","2018-10-01T00:05:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.962,"2018-04-20T01:04:25","Cleveland Browns at Oakland Raiders","normal",0.856,NA,152,262,75,356,371,154.30153,75,FALSE,"2018-08-24T20:56:48Z","QRCODE","Oakland, CA 94621","Oakland","America/Los_Angeles",21,"Oakland-Alameda County Coliseum","Oakland, CA","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","7000 Coliseum Way",14,TRUE,"CA","US","oakland-alameda-county-coliseum","94621","Oakland-Alameda County Coliseum",0.7817843,0,807,37.7469,-122.201,FALSE,"2015-06-24T00:00:00Z","PDF417"
"15","2018-09-26","2018-09-26_11.03.31","2018-09-30T20:25:00","49ers at Chargers","https://seatgeek.com/49ers-at-chargers-tickets/9-30-2018-carson-california-stubhub-center/nfl/4347112",4347112,"","2018-09-30T13:25:00","2018-10-01T00:25:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",1.009,"2018-04-20T00:47:52","San Francisco 49ers at Los Angeles Chargers","normal",0.912,NA,NA,261,130,NA,505,235.46,130,FALSE,"2018-08-24T20:52:20Z","QRCODE","Carson, CA 90746","Carson","America/Los_Angeles",14,"StubHub Center","Carson, CA","https://seatgeek.com/venues/stubhub-center/tickets","18400 Avalon Blvd",52,TRUE,"CA","US","stubhub-center","90746","StubHub Center",0.7228164,0,803,33.8643,-118.261,NA,NA,NA
"16","2018-09-26","2018-09-26_11.03.31","2018-09-30T20:25:00","Saints at Giants","https://seatgeek.com/saints-at-giants-tickets/9-30-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346972",4346972,"","2018-09-30T16:25:00","2018-10-01T00:25:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",1.012,"2018-04-20T00:47:25","New Orleans Saints at New York Giants","normal",0.915,NA,244,188,127,328,2174,344.37766,126,FALSE,"2018-08-24T20:47:31Z","QRCODE","East Rutherford, NJ 07073","East Rutherford","America/New_York",16,"MetLife Stadium","East Rutherford, NJ","https://seatgeek.com/venues/metlife-stadium/tickets","1 MetLife Stadium Drive",1587,TRUE,"NJ","US","metlife-stadium","07073","MetLife Stadium",0.94873494,0,501,40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"17","2018-09-26","2018-09-26_11.03.31","2018-10-01T00:20:00","Ravens at Steelers","https://seatgeek.com/ravens-at-steelers-tickets/9-30-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347080",4347080,"","2018-09-30T20:20:00","2018-10-01T04:20:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.975,"2018-04-20T00:47:47","Baltimore Ravens at Pittsburgh Steelers","normal",0.888,NA,199,179,98,354,661,235.84358,97,FALSE,"2018-08-24T20:51:27Z","QRCODE","Pittsburgh, PA 15212","Pittsburgh","America/New_York",10,"Heinz Field","Pittsburgh, PA","https://seatgeek.com/venues/heinz-field/tickets","100 Art Rooney Avenue",1119,TRUE,"PA","US","heinz-field","15212","Heinz Field",0.9033526,0,508,40.4468,-80.0158,FALSE,"2015-12-08T15:36:23Z","QRCODE_TM"
"18","2018-09-26","2018-09-26_11.03.31","2018-10-02T00:15:00","Chiefs at Broncos","https://seatgeek.com/chiefs-at-broncos-tickets/10-1-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347139",4347139,"","2018-10-01T18:15:00","2018-10-02T04:15:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.968,"2018-04-20T01:04:05","Kansas City Chiefs at Denver Broncos","normal",0.879,NA,226,80,139,403,759,299.0125,139,FALSE,"2018-08-24T20:57:25Z","QRCODE","Denver, CO 80204","Denver","America/Denver",7,"Sports Authority Field at Mile High","Denver, CO","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","1701 Bryant St.",1131,TRUE,"CO","US","sports-authority-field-at-mile-high","80204","Sports Authority Field at Mile High",0.9028296,0,751,39.74,-105.02,FALSE,"2015-08-07T18:39:02Z","QRCODE_TM"
"19","2018-09-26","2018-09-26_11.03.31","2018-10-05T00:20:00","Colts at Patriots","https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096",4347096,"","2018-10-04T20:20:00","2018-10-05T04:20:00",FALSE,FALSE,FALSE,FALSE,"2018-04-20T00:00:00","nfl",0.971,"2018-04-20T00:47:50","Indianapolis Colts at New England Patriots","normal",0.914,NA,239,271,133,593,780,279.16235,133,FALSE,"2018-08-24T21:03:24Z","QRCODE","Foxborough, MA 02035","Foxborough","America/New_York",15,"Gillette Stadium","Foxborough, MA","https://seatgeek.com/venues/gillette-stadium/tickets","1 Patriot Place",33,TRUE,"MA","US","gillette-stadium","02035","Gillette Stadium",0.8983344,0,506,42.0906,-71.2674,FALSE,"2018-08-22T15:36:58Z","NONE"
