"","date","timestamp","is_open","datetime_local","datetime_tbd","title","id","type","score","datetime_utc","description","created_at","status","visible_until_utc","time_tbd","short_title","url","popularity","announce_date","date_tbd","general_admission","listing_count","lowest_price","visible_listing_count","median_price","average_price","highest_price","lowest_price_good_deals","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","metro_code","extended_address","name_v2","timezone","state","name","display_location","score_venue","popularity_venue","postal_code","num_upcoming_events","city","country","url_venue","id_venue","has_upcoming_events","slug","address","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-09-27T17:20:00",FALSE,"Minnesota Vikings at Los Angeles Rams",4346922,"nfl",0.926,"2018-09-28T00:20:00","","2018-04-20T00:47:14","normal","2018-09-28T04:20:00",FALSE,"Vikings at Rams","https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922",0.969,"2018-04-20T00:00:00",FALSE,NA,375,46,457,88,100.99733,665,53,"2018-09-05T22:17:16Z",FALSE,"QRCODE",0,"Los Angeles, CA 90037","Los Angeles Memorial Coliseum","America/Los_Angeles","CA","Los Angeles Memorial Coliseum","Los Angeles, CA",0.86898464,0,"90037",9,"Los Angeles","US","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets",51012,TRUE,"los-angeles-memorial-coliseum-1","3911 S Figueroa St",34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"2","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-09-28T19:00:00",FALSE,"Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball",4401810,"sports",0.357,"2018-09-28T23:00:00","","2018-06-05T16:00:59","normal","2018-09-29T03:00:00",FALSE,"Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810",0.594,"2018-06-05T00:00:00",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541,"Lexington, KY 40506","Memorial Coliseum","America/New_York","KY","Memorial Coliseum","Lexington, KY",0.4125833,0,"40506",26,"Lexington","US","https://seatgeek.com/venues/memorial-coliseum-1/tickets",5102,TRUE,"memorial-coliseum-1","338 Lexington Avenue",38.04,-84.5,NA,NA,NA
"3","2018-09-27","2018-09-27_11.02.20",TRUE,"2018-09-29T11:00:00",FALSE,"Southwest Classic: Arkansas vs Texas A&M",4163969,"ncaa_football",0.934,"2018-09-29T16:00:00","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.","2017-12-05T15:00:24","normal","2018-09-29T20:00:00",FALSE,"Southwest Classic: Arkansas vs Texas A&M","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969",0.967,"2017-12-05T00:00:00",FALSE,NA,527,102,454,150,205.31499,11532,102,"2018-04-17T22:02:33Z",FALSE,"QRCODE",623,"Arlington, TX 76011","AT&T Stadium","America/Chicago","TX","AT&T Stadium","Arlington, TX",0.9751414,0,"76011",20,"Arlington","US","https://seatgeek.com/venues/at-t-stadium/tickets",4965,TRUE,"at-t-stadium","1 AT&T Way",32.7459,-97.0957,"2018-04-17T22:02:33Z",FALSE,"QRCODE"
"4","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-09-29T15:30:00",FALSE,"South Alabama Jaguars at Appalachian State Mountaineers Football",4281951,"ncaa_football",0.512,"2018-09-29T19:30:00","","2018-02-28T15:00:11","normal","2018-09-29T23:30:00",FALSE,"South Alabama at Appalachian State","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951",0.68,"2018-02-28T00:00:00",FALSE,NA,197,42,NA,NA,64.34,122,42,NA,NA,NA,517,"Boone, NC 28607","Kidd Brewer Stadium","America/New_York","NC","Kidd Brewer Stadium","Boone, NC",0.57884717,0,"28607",4,"Boone","US","https://seatgeek.com/venues/kidd-brewer-stadium/tickets",3723,TRUE,"kidd-brewer-stadium","1 Kidd Brewer Stadium",36.2116,-81.6856,NA,NA,NA
"5","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-09-30T12:00:00",FALSE,"Philadelphia Eagles at Tennessee Titans",4346992,"nfl",0.933,"2018-09-30T16:00:00","","2018-04-20T00:47:30","normal","2018-09-30T20:00:00",FALSE,"Eagles at Titans","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992",0.967,"2018-04-20T00:00:00",FALSE,NA,196,144,351,270,291.44388,603,144,"2018-08-24T20:47:49Z",FALSE,"QRCODE",659,"Nashville, TN 37213","Nissan Stadium","America/New_York","TN","Nissan Stadium","Nashville, TN",0.8546275,0,"37213",16,"Nashville","US","https://seatgeek.com/venues/nissan-stadium/tickets",1126,TRUE,"nissan-stadium","1 Titans Way",36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"6","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-09-30T12:00:00",FALSE,"Buffalo Bills at Green Bay Packers",4346911,"nfl",0.951,"2018-09-30T17:00:00","","2018-04-20T00:47:13","normal","2018-09-30T21:00:00",FALSE,"Bills at Packers","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911",0.966,"2018-04-20T00:00:00",FALSE,NA,184,179,331,297,316.72827,819,171,"2018-08-24T20:38:24Z",FALSE,"QRCODE",658,"Green Bay, WI 54304","Lambeau Field","America/Chicago","WI","Lambeau Field","Green Bay, WI",0.92909414,0,"54304",6,"Green Bay","US","https://seatgeek.com/venues/lambeau-field/tickets",1125,TRUE,"lambeau-field","1265 Lombardi Avenue",44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"7","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-09-30T12:00:00",FALSE,"Tampa Bay Buccaneers at Chicago Bears",4347009,"nfl",0.933,"2018-09-30T17:00:00","","2018-04-20T00:47:33","normal","2018-09-30T21:00:00",FALSE,"Buccaneers at Bears","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009",0.969,"2018-04-20T00:00:00",FALSE,NA,63,144,249,312,366.14285,820,153,"2018-08-24T20:48:11Z",FALSE,"QRCODE",602,"Chicago, IL 60605","Soldier Field","America/Chicago","IL","Soldier Field","Chicago, IL",0.940013,0,"60605",9,"Chicago","US","https://seatgeek.com/venues/soldier-field/tickets",31,TRUE,"soldier-field","1410 S. Museum Campus Drive",41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"8","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-09-30T13:00:00",FALSE,"New York Jets at Jacksonville Jaguars",4346949,"nfl",0.855,"2018-09-30T17:00:00","","2018-04-20T00:47:19","normal","2018-09-30T21:00:00",FALSE,"Jets at Jaguars","https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949",0.914,"2018-04-20T00:00:00",FALSE,NA,343,41,510,66,84.96501,393,38,"2018-08-24T20:38:35Z",FALSE,"QRCODE",561,"Jacksonville, FL 32202","EverBank Field","America/New_York","FL","EverBank Field","Jacksonville, FL",0.83759147,0,"32202",8,"Jacksonville","US","https://seatgeek.com/venues/everbank-field/tickets",5178,TRUE,"everbank-field","1 Everbank Field Dr",30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"9","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-09-30T13:00:00",FALSE,"Cincinnati Bengals at Atlanta Falcons",4347052,"nfl",0.942,"2018-09-30T17:00:00","","2018-04-20T00:47:42","normal","2018-09-30T21:00:00",FALSE,"Bengals at Falcons","https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052",0.972,"2018-04-20T00:00:00",FALSE,NA,575,62,678,152,165.25043,719,62,"2018-08-23T20:14:46Z",FALSE,"QRCODE",0,"Atlanta, GA 30313","Mercedes-Benz Stadium","America/New_York","GA","Mercedes-Benz Stadium","Atlanta, GA",0.76958936,0,"30313",19,"Atlanta","US","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",419590,TRUE,"mercedes-benz-stadium","441 M.L.K. Jr Dr NW",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"10","2018-09-27","2018-09-27_11.02.20",FALSE,"2018-09-30T13:00:00",FALSE,"Miami Dolphins at New England Patriots",4347092,"nfl",0.984,"2018-09-30T17:00:00","","2018-04-20T00:47:49","normal","2018-09-30T21:00:00",FALSE,"Dolphins at Patriots","https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092",1.002,"2018-04-20T00:00:00",FALSE,NA,88,206,220,328,432.48865,1167,206,"2018-08-24T20:51:36Z",FALSE,"QRCODE",506,"Foxborough, MA 02035","Gillette Stadium","America/New_York","MA","Gillette Stadium","Foxborough, MA",0.8983344,0,"02035",15,"Foxborough","US","https://seatgeek.com/venues/gillette-stadium/tickets",33,TRUE,"gillette-stadium","1 Patriot Place",42.0906,-71.2674,"2018-08-22T15:36:58Z",FALSE,"NONE"
