"","date","timestamp","visible_until_utc","url","datetime_local","datetime_tbd","id","type","score","status","date_tbd","time_tbd","is_open","short_title","popularity","title","announce_date","datetime_utc","description","created_at","general_admission","listing_count","lowest_price","median_price","visible_listing_count","highest_price","average_price","lowest_price_good_deals","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","metro_code","city","extended_address","country","url_venue","name_v2","slug","name","score_venue","popularity_venue","num_upcoming_events","id_venue","timezone","has_upcoming_events","state","display_location","postal_code","address","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-09-27","2018-09-27_16.00.17","2018-09-28T04:20:00","https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922","2018-09-27T17:20:00",FALSE,4346922,"nfl",0.916,"normal",FALSE,FALSE,FALSE,"Vikings at Rams",0.966,"Minnesota Vikings at Los Angeles Rams","2018-04-20T00:00:00","2018-09-28T00:20:00","","2018-04-20T00:47:14",NA,201,54,80,238,305,91.945274,54,"QRCODE",FALSE,"2018-09-05T22:17:16Z",0,"Los Angeles","Los Angeles, CA 90037","US","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","Los Angeles Memorial Coliseum","los-angeles-memorial-coliseum-1","Los Angeles Memorial Coliseum",0.86898464,0,9,51012,"America/Los_Angeles",TRUE,"CA","Los Angeles, CA","90037","3911 S Figueroa St",34.0138,-118.288,"QRCODE",FALSE,"2018-08-23T17:59:28Z"
"2","2018-09-27","2018-09-27_16.00.17","2018-09-29T03:00:00","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810","2018-09-28T19:00:00",FALSE,4401810,"sports",0.357,"normal",FALSE,FALSE,FALSE,"Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball",0.594,"Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","2018-06-05T00:00:00","2018-09-28T23:00:00","","2018-06-05T16:00:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541,"Lexington","Lexington, KY 40506","US","https://seatgeek.com/venues/memorial-coliseum-1/tickets","Memorial Coliseum","memorial-coliseum-1","Memorial Coliseum",0.4125833,0,26,5102,"America/New_York",TRUE,"KY","Lexington, KY","40506","338 Lexington Avenue",38.04,-84.5,NA,NA,NA
"3","2018-09-27","2018-09-27_16.00.17","2018-09-29T20:00:00","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969","2018-09-29T11:00:00",FALSE,4163969,"ncaa_football",0.923,"normal",FALSE,FALSE,TRUE,"Southwest Classic: Arkansas vs Texas A&M",0.96,"Southwest Classic: Arkansas vs Texas A&M","2017-12-05T00:00:00","2018-09-29T16:00:00","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.","2017-12-05T15:00:24",NA,510,102,150,443,11532,207.02353,102,"QRCODE",FALSE,"2018-04-17T22:02:33Z",623,"Arlington","Arlington, TX 76011","US","https://seatgeek.com/venues/at-t-stadium/tickets","AT&T Stadium","at-t-stadium","AT&T Stadium",0.9751414,0,20,4965,"America/Chicago",TRUE,"TX","Arlington, TX","76011","1 AT&T Way",32.7459,-97.0957,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"4","2018-09-27","2018-09-27_16.00.17","2018-09-29T23:30:00","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951","2018-09-29T15:30:00",FALSE,4281951,"ncaa_football",0.493,"normal",FALSE,FALSE,FALSE,"South Alabama at Appalachian State",0.672,"South Alabama Jaguars at Appalachian State Mountaineers Football","2018-02-28T00:00:00","2018-09-29T19:30:00","","2018-02-28T15:00:11",NA,121,38,60,71,122,60.603306,38,NA,NA,NA,517,"Boone","Boone, NC 28607","US","https://seatgeek.com/venues/kidd-brewer-stadium/tickets","Kidd Brewer Stadium","kidd-brewer-stadium","Kidd Brewer Stadium",0.57884717,0,4,3723,"America/New_York",TRUE,"NC","Boone, NC","28607","1 Kidd Brewer Stadium",36.2116,-81.6856,NA,NA,NA
"5","2018-09-27","2018-09-27_16.00.17","2018-09-30T20:00:00","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992","2018-09-30T12:00:00",FALSE,4346992,"nfl",0.918,"normal",FALSE,FALSE,FALSE,"Eagles at Titans",0.96,"Philadelphia Eagles at Tennessee Titans","2018-04-20T00:00:00","2018-09-30T16:00:00","","2018-04-20T00:47:30",NA,186,143,267,339,573,285.5645,131,"QRCODE",FALSE,"2018-08-24T20:47:49Z",659,"Nashville","Nashville, TN 37213","US","https://seatgeek.com/venues/nissan-stadium/tickets","Nissan Stadium","nissan-stadium","Nissan Stadium",0.8546275,0,16,1126,"America/New_York",TRUE,"TN","Nashville, TN","37213","1 Titans Way",36.1665,-86.7713,"NONE",FALSE,"2015-10-19T15:09:39Z"
"6","2018-09-27","2018-09-27_16.00.17","2018-09-30T21:00:00","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911","2018-09-30T12:00:00",FALSE,4346911,"nfl",0.935,"normal",FALSE,FALSE,FALSE,"Bills at Packers",0.958,"Buffalo Bills at Green Bay Packers","2018-04-20T00:00:00","2018-09-30T17:00:00","","2018-04-20T00:47:13",NA,207,190,285,398,1107,306.70047,165,"QRCODE",FALSE,"2018-08-24T20:38:24Z",658,"Green Bay","Green Bay, WI 54304","US","https://seatgeek.com/venues/lambeau-field/tickets","Lambeau Field","lambeau-field","Lambeau Field",0.92909414,0,6,1125,"America/Chicago",TRUE,"WI","Green Bay, WI","54304","1265 Lombardi Avenue",44.5013,-88.0622,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"7","2018-09-27","2018-09-27_16.00.17","2018-09-30T21:00:00","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009","2018-09-30T12:00:00",FALSE,4347009,"nfl",0.923,"normal",FALSE,FALSE,FALSE,"Buccaneers at Bears",0.966,"Tampa Bay Buccaneers at Chicago Bears","2018-04-20T00:00:00","2018-09-30T17:00:00","","2018-04-20T00:47:33",NA,61,144,305,290,819,357,144,"QRCODE",FALSE,"2018-08-24T20:48:11Z",602,"Chicago","Chicago, IL 60605","US","https://seatgeek.com/venues/soldier-field/tickets","Soldier Field","soldier-field","Soldier Field",0.940013,0,9,31,"America/Chicago",TRUE,"IL","Chicago, IL","60605","1410 S. Museum Campus Drive",41.8623,-87.6159,"NONE",FALSE,"2018-06-02T00:44:08Z"
"8","2018-09-27","2018-09-27_16.00.17","2018-09-30T21:00:00","https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924","2018-09-30T12:00:00",FALSE,4327924,"nfl",0.962,"normal",FALSE,FALSE,TRUE,"Lions at Cowboys",0.987,"Detroit Lions at Dallas Cowboys","2018-04-05T00:00:00","2018-09-30T17:00:00","","2018-04-05T23:08:47",NA,2264,NA,163,1916,6170,209.0075,NA,"QRCODE",FALSE,"2018-04-17T22:02:33Z",623,"Arlington","Arlington, TX 76011","US","https://seatgeek.com/venues/at-t-stadium/tickets","AT&T Stadium","at-t-stadium","AT&T Stadium",0.9751414,0,20,4965,"America/Chicago",TRUE,"TX","Arlington, TX","76011","1 AT&T Way",32.7459,-97.0957,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"9","2018-09-27","2018-09-27_16.00.17","2018-09-30T21:00:00","https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962","2018-09-30T13:00:00",FALSE,4346962,"nfl",0.858,"normal",FALSE,FALSE,FALSE,"Texans at Colts",0.916,"Houston Texans at Indianapolis Colts","2018-04-20T00:00:00","2018-09-30T17:00:00","","2018-04-20T00:47:22",NA,463,24,82,756,465,96,24,"QRCODE",FALSE,"2018-08-24T20:46:39Z",527,"Indianapolis","Indianapolis, IN 46225","US","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Lucas Oil Stadium","lucas-oil-stadium","Lucas Oil Stadium",0.9071682,0,13,1130,"America/Indiana/Indianapolis",TRUE,"IN","Indianapolis, IN","46225","500 South Capitol Avenue",39.7601,-86.1639,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"10","2018-09-27","2018-09-27_16.00.17","2018-09-30T21:00:00","https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092","2018-09-30T13:00:00",FALSE,4347092,"nfl",0.956,"normal",FALSE,FALSE,FALSE,"Dolphins at Patriots",0.985,"Miami Dolphins at New England Patriots","2018-04-20T00:00:00","2018-09-30T17:00:00","","2018-04-20T00:47:49",NA,78,224,330,264,1097,442.35898,219,"QRCODE",FALSE,"2018-08-24T20:51:36Z",506,"Foxborough","Foxborough, MA 02035","US","https://seatgeek.com/venues/gillette-stadium/tickets","Gillette Stadium","gillette-stadium","Gillette Stadium",0.8983344,0,15,33,"America/New_York",TRUE,"MA","Foxborough, MA","02035","1 Patriot Place",42.0906,-71.2674,"NONE",FALSE,"2018-08-22T15:36:58Z"
