"","date","timestamp","date_tbd","created_at","popularity","visible_until_utc","description","datetime_local","datetime_utc","type","id","score","status","title","time_tbd","url","announce_date","short_title","datetime_tbd","is_open","general_admission","lowest_price","listing_count","highest_price","visible_listing_count","lowest_price_good_deals","average_price","median_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","address","state","popularity_venue","city","country","postal_code","timezone","num_upcoming_events","id_venue","score_venue","slug","extended_address","metro_code","display_location","name_v2","name","url_venue","has_upcoming_events","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-06-05T16:00:59",0.556,"2018-09-29T03:00:00","","2018-09-28T19:00:00","2018-09-28T23:00:00","sports",4401810,0.307,"normal","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball",FALSE,"https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810","2018-06-05T00:00:00","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"201 Avenue of Champions","KY",0,"Lexington","US","40506","America/New_York",26,5102,0.4125833,"memorial-coliseum-1","Lexington, KY 40506",541,"Lexington, KY","Memorial Coliseum","Memorial Coliseum","https://seatgeek.com/venues/memorial-coliseum-1/tickets",TRUE,-84.5,38.04,NA,NA,NA
"2","2018-09-28","2018-09-28_11.03.25",FALSE,"2017-12-05T15:00:24",0.971,"2018-09-29T20:00:00","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.","2018-09-29T11:00:00","2018-09-29T16:00:00","ncaa_football",4163969,0.878,"normal","Southwest Classic: Arkansas vs Texas A&M",FALSE,"https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969","2017-12-05T00:00:00","Southwest Classic: Arkansas vs Texas A&M",FALSE,TRUE,NA,102,479,11532,410,102,202.524,150,"QRCODE",FALSE,"2018-04-17T22:02:33Z","1 AT&T Way","TX",0,"Arlington","US","76011","America/Chicago",20,4965,0.9751414,"at-t-stadium","Arlington, TX 76011",623,"Arlington, TX","AT&T Stadium","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets",TRUE,-97.0957,32.7459,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"3","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-02-28T15:00:11",0.657,"2018-09-29T23:30:00","","2018-09-29T15:30:00","2018-09-29T19:30:00","ncaa_football",4281951,0.481,"normal","South Alabama Jaguars at Appalachian State Mountaineers Football",FALSE,"https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951","2018-02-28T00:00:00","South Alabama at Appalachian State",FALSE,FALSE,NA,37,174,122,63,37,56.316093,50,NA,NA,NA,"1 Kidd Brewer Stadium","NC",0,"Boone","US","28607","America/New_York",4,3723,0.57884717,"kidd-brewer-stadium","Boone, NC 28607",517,"Boone, NC","Kidd Brewer Stadium","Kidd Brewer Stadium","https://seatgeek.com/venues/kidd-brewer-stadium/tickets",TRUE,-81.6856,36.2116,NA,NA,NA
"4","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:30",0.971,"2018-09-30T20:00:00","","2018-09-30T12:00:00","2018-09-30T16:00:00","nfl",4346992,0.872,"normal","Philadelphia Eagles at Tennessee Titans",FALSE,"https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992","2018-04-20T00:00:00","Eagles at Titans",FALSE,FALSE,NA,127,161,601,289,111,264.91306,246,"QRCODE",FALSE,"2018-08-24T20:47:49Z","1 Titans Way","TN",0,"Nashville","US","37213","America/New_York",16,1126,0.8546275,"nissan-stadium","Nashville, TN 37213",659,"Nashville, TN","Nissan Stadium","Nissan Stadium","https://seatgeek.com/venues/nissan-stadium/tickets",TRUE,-86.7713,36.1665,"NONE",FALSE,"2015-10-19T15:09:39Z"
"5","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:13",0.956,"2018-09-30T21:00:00","","2018-09-30T12:00:00","2018-09-30T17:00:00","nfl",4346911,0.874,"normal","Buffalo Bills at Green Bay Packers",FALSE,"https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911","2018-04-20T00:00:00","Bills at Packers",FALSE,FALSE,NA,169,194,646,367,154,283.86597,273,"QRCODE",FALSE,"2018-08-24T20:38:24Z","1265 Lombardi Avenue","WI",0,"Green Bay","US","54304","America/Chicago",6,1125,0.92909414,"lambeau-field","Green Bay, WI 54304",658,"Green Bay, WI","Lambeau Field","Lambeau Field","https://seatgeek.com/venues/lambeau-field/tickets",TRUE,-88.0622,44.5013,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"6","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:33",0.971,"2018-09-30T21:00:00","","2018-09-30T12:00:00","2018-09-30T17:00:00","nfl",4347009,0.87,"normal","Tampa Bay Buccaneers at Chicago Bears",FALSE,"https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009","2018-04-20T00:00:00","Buccaneers at Bears",FALSE,FALSE,NA,165,70,862,297,161,354.52856,298,"QRCODE",FALSE,"2018-08-24T20:48:11Z","1410 S. Museum Campus Drive","IL",0,"Chicago","US","60605","America/Chicago",9,31,0.940013,"soldier-field","Chicago, IL 60605",602,"Chicago, IL","Soldier Field","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets",TRUE,-87.6159,41.8623,"NONE",FALSE,"2018-06-02T00:44:08Z"
"7","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:42",0.966,"2018-09-30T21:00:00","","2018-09-30T13:00:00","2018-09-30T17:00:00","nfl",4347052,0.867,"normal","Cincinnati Bengals at Atlanta Falcons",FALSE,"https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052","2018-04-20T00:00:00","Bengals at Falcons",FALSE,FALSE,NA,65,499,598,600,65,160.36072,144,"QRCODE",FALSE,"2018-08-23T20:14:46Z","35 Northside Dr NW","GA",0,"Atlanta","US","30313","America/New_York",20,419590,0.76958936,"mercedes-benz-stadium","Atlanta, GA 30313",0,"Atlanta, GA","Mercedes-Benz Stadium","Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",TRUE,-84.4,33.76,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"8","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:22",0.915,"2018-09-30T21:00:00","","2018-09-30T13:00:00","2018-09-30T17:00:00","nfl",4346962,0.809,"normal","Houston Texans at Indianapolis Colts",FALSE,"https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962","2018-04-20T00:00:00","Texans at Colts",FALSE,FALSE,NA,22,412,465,773,22,89.694176,73,"QRCODE",FALSE,"2018-08-24T20:46:39Z","500 South Capitol Avenue","IN",0,"Indianapolis","US","46225","America/Indiana/Indianapolis",13,1130,0.9071682,"lucas-oil-stadium","Indianapolis, IN 46225",527,"Indianapolis, IN","Lucas Oil Stadium","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets",TRUE,-86.1639,39.7601,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"9","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:49",1.003,"2018-09-30T21:00:00","","2018-09-30T13:00:00","2018-09-30T17:00:00","nfl",4347092,0.914,"normal","Miami Dolphins at New England Patriots",FALSE,"https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092","2018-04-20T00:00:00","Dolphins at Patriots",FALSE,FALSE,NA,194,55,1069,235,176,431.47272,339,"QRCODE",FALSE,"2018-08-24T20:51:36Z","1 Patriot Place","MA",0,"Foxborough","US","02035","America/New_York",15,33,0.8983344,"gillette-stadium","Foxborough, MA 02035",506,"Foxborough, MA","Gillette Stadium","Gillette Stadium","https://seatgeek.com/venues/gillette-stadium/tickets",TRUE,-71.2674,42.0906,"NONE",FALSE,"2018-08-22T15:36:58Z"
"10","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:19",0.905,"2018-09-30T21:00:00","","2018-09-30T13:00:00","2018-09-30T17:00:00","nfl",4346949,0.79,"normal","New York Jets at Jacksonville Jaguars",FALSE,"https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949","2018-04-20T00:00:00","Jets at Jaguars",FALSE,FALSE,NA,37,294,392,538,36,75.72789,54,"QRCODE",FALSE,"2018-08-24T20:38:35Z","1 Everbank Field Dr","FL",0,"Jacksonville","US","32202","America/New_York",8,5178,0.83759147,"everbank-field","Jacksonville, FL 32202",561,"Jacksonville, FL","EverBank Field","EverBank Field","https://seatgeek.com/venues/everbank-field/tickets",TRUE,-81.6373,30.3239,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
"11","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-05T23:08:47",1.005,"2018-09-30T21:00:00","","2018-09-30T12:00:00","2018-09-30T17:00:00","nfl",4327924,0.92,"normal","Detroit Lions at Dallas Cowboys",FALSE,"https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924","2018-04-05T00:00:00","Lions at Cowboys",FALSE,TRUE,NA,NA,2073,1319,1649,NA,195.43077,155,"QRCODE",FALSE,"2018-04-17T22:02:33Z","1 AT&T Way","TX",0,"Arlington","US","76011","America/Chicago",20,4965,0.9751414,"at-t-stadium","Arlington, TX 76011",623,"Arlington, TX","AT&T Stadium","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets",TRUE,-97.0957,32.7459,"QRCODE",FALSE,"2018-04-17T22:02:33Z"
"12","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T00:47:51",0.977,"2018-10-01T00:05:00","","2018-09-30T13:05:00","2018-09-30T20:05:00","nfl",4347103,0.878,"normal","Seattle Seahawks at Arizona Cardinals",FALSE,"https://seatgeek.com/seahawks-at-cardinals-tickets/9-30-2018-glendale-arizona-state-farm-stadium/nfl/4347103","2018-04-20T00:00:00","Seahawks at Cardinals",FALSE,FALSE,NA,33,364,457,524,33,95.2033,74,"QRCODE",FALSE,"2018-09-05T19:57:48Z","1 Cardinals Drive","AZ",0,"Glendale","US","85305","America/Phoenix",10,43,0.93402725,"state-farm-stadium","Glendale, AZ 85305",753,"Glendale, AZ","State Farm Stadium","State Farm Stadium","https://seatgeek.com/venues/state-farm-stadium/tickets",TRUE,-112.262,33.5294,"NONE",FALSE,"2015-12-21T17:26:05Z"
"13","2018-09-28","2018-09-28_11.03.25",FALSE,"2018-04-20T01:04:25",0.949,"2018-10-01T00:05:00","","2018-09-30T13:05:00","2018-09-30T20:05:00","nfl",4347154,0.843,"normal","Cleveland Browns at Oakland Raiders",FALSE,"https://seatgeek.com/browns-at-raiders-tickets/9-30-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347154","2018-04-20T00:00:00","Browns at Raiders",FALSE,FALSE,NA,66,143,370,263,65,159.6923,163,"QRCODE",FALSE,"2018-08-24T20:56:48Z","7000 Coliseum Way","CA",0,"Oakland","US","94621","America/Los_Angeles",20,14,0.7817843,"oakland-alameda-county-coliseum","Oakland, CA 94621",807,"Oakland, CA","Oakland-Alameda County Coliseum","Oakland-Alameda County Coliseum","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets",TRUE,-122.201,37.7469,"PDF417",FALSE,"2015-06-24T00:00:00Z"
