"","date","timestamp","short_title","description","status","title","datetime_tbd","id","datetime_local","time_tbd","url","score","popularity","type","datetime_utc","visible_until_utc","is_open","created_at","date_tbd","announce_date","general_admission","lowest_price_good_deals","listing_count","average_price","visible_listing_count","median_price","lowest_price","highest_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","metro_code","name_v2","address","slug","city","postal_code","timezone","url_venue","score_venue","state","name","id_venue","has_upcoming_events","display_location","extended_address","popularity_venue","num_upcoming_events","country","lat","lon","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"1","2018-10-01","2018-10-01_11.06.03","Chiefs at Broncos","","normal","Kansas City Chiefs at Denver Broncos",FALSE,4347139,"2018-10-01T18:15:00",FALSE,"https://seatgeek.com/chiefs-at-broncos-tickets/10-1-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347139",0.895,0.932,"nfl","2018-10-02T00:15:00","2018-10-02T04:15:00",FALSE,"2018-04-20T01:04:05",FALSE,"2018-04-20T00:00:00",NA,116,67,251.34328,256,210,116,601,"QRCODE","2018-08-24T20:57:25Z",FALSE,751,"Sports Authority Field at Mile High","1701 Bryant Street","sports-authority-field-at-mile-high","Denver","80204","America/Denver","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets",0.9028296,"CO","Sports Authority Field at Mile High",1131,TRUE,"Denver, CO","Denver, CO 80204",0,7,"US",39.74,-105.02,"QRCODE_TM","2015-08-07T18:39:02Z",FALSE
"2","2018-10-01","2018-10-01_11.06.03","Colts at Patriots","","normal","Indianapolis Colts at New England Patriots",FALSE,4347096,"2018-10-04T20:20:00",FALSE,"https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096",0.933,0.941,"nfl","2018-10-05T00:20:00","2018-10-05T04:20:00",FALSE,"2018-04-20T00:47:50",FALSE,"2018-04-20T00:00:00",NA,113,133,250.52632,387,213,113,702,"QRCODE","2018-08-24T21:03:24Z",FALSE,506,"Gillette Stadium","1 Patriot Place","gillette-stadium","Foxborough","02035","America/New_York","https://seatgeek.com/venues/gillette-stadium/tickets",0.8983344,"MA","Gillette Stadium",33,TRUE,"Foxborough, MA","Foxborough, MA 02035",0,14,"US",42.0906,-71.2674,"NONE","2018-08-22T15:36:58Z",FALSE
"3","2018-10-01","2018-10-01_11.06.03","South Alabama at Georgia Southern","","normal","South Alabama Jaguars at Georgia Southern Eagles Football",FALSE,4281989,"2018-10-06T15:30:00",FALSE,"https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989",0.462,0.58,"ncaa_football","2018-10-06T19:30:00","2018-10-06T23:30:00",FALSE,"2018-02-28T15:00:17",FALSE,"2018-02-28T00:00:00",NA,NA,9,43.444443,6,43,32,62,NA,NA,NA,507,"Allen E. Paulson Stadium","225 Lanier Drive","allen-e-paulson-stadium","Statesboro","30460","America/New_York","https://seatgeek.com/venues/allen-e-paulson-stadium/tickets",0.41380084,"GA","Allen E. Paulson Stadium",2352,TRUE,"Statesboro, GA","Statesboro, GA 30460",0,3,"US",32.4488,-81.7832,NA,NA,NA
"4","2018-10-01","2018-10-01_11.06.03","Falcons at Steelers","","normal","Atlanta Falcons at Pittsburgh Steelers",FALSE,4347079,"2018-10-07T13:00:00",FALSE,"https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079",0.914,0.915,"nfl","2018-10-07T17:00:00","2018-10-07T21:00:00",FALSE,"2018-04-20T00:47:47",FALSE,"2018-04-20T00:00:00",NA,127,172,373.7093,317,348,127,985,"QRCODE","2018-08-24T21:16:40Z",FALSE,508,"Heinz Field","100 Art Rooney Avenue","heinz-field","Pittsburgh","15212","America/New_York","https://seatgeek.com/venues/heinz-field/tickets",0.9033526,"PA","Heinz Field",1119,TRUE,"Pittsburgh, PA","Pittsburgh, PA 15212",0,9,"US",40.4468,-80.0158,"QRCODE_TM","2015-12-08T15:36:23Z",FALSE
"5","2018-10-01","2018-10-01_11.06.03","Packers at Lions","","normal","Green Bay Packers at Detroit Lions",FALSE,4347027,"2018-10-07T13:00:00",FALSE,"https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027",0.934,0.937,"nfl","2018-10-07T17:00:00","2018-10-07T21:00:00",FALSE,"2018-04-20T00:47:37",FALSE,"2018-04-20T00:00:00",NA,131,316,221.88924,417,198,134,2372,"QRCODE","2018-08-24T21:05:06Z",FALSE,505,"Ford Field","2000 Brush St.","ford-field","Detroit","48226","America/Detroit","https://seatgeek.com/venues/ford-field/tickets",0.9029952,"MI","Ford Field",346,TRUE,"Detroit, MI","Detroit, MI 48226",0,11,"US",42.34,-83.0459,"NONE","2015-11-04T17:31:52Z",FALSE
"6","2018-10-01","2018-10-01_11.06.03","Giants at Panthers","","normal","New York Giants at Carolina Panthers",FALSE,4347032,"2018-10-07T13:00:00",FALSE,"https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032",0.929,0.934,"nfl","2018-10-07T17:00:00","2018-10-07T21:00:00",FALSE,"2018-04-20T00:47:38",FALSE,"2018-04-20T00:00:00",NA,150,2,382.5,301,371,371,394,"QRCODE","2018-08-24T21:15:58Z",FALSE,517,"Bank of America Stadium","800 South Mint Street","bank-of-america-stadium","Charlotte","28202","America/New_York","https://seatgeek.com/venues/bank-of-america-stadium/tickets",0.8968222,"NC","Bank of America Stadium",1122,TRUE,"Charlotte, NC","Charlotte, NC 28202",0,9,"US",35.2243,-80.8524,"QRCODE_TM","2015-09-25T18:23:51Z",FALSE
"7","2018-10-01","2018-10-01_11.06.03","Broncos at Jets","","normal","Denver Broncos at New York Jets",FALSE,4347011,"2018-10-07T13:00:00",FALSE,"https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011",0.94,0.942,"nfl","2018-10-07T17:00:00","2018-10-07T21:00:00",FALSE,"2018-04-20T00:47:34",FALSE,"2018-04-20T00:00:00",NA,49,679,150.85567,796,132,53,780,"QRCODE","2018-09-05T19:53:41Z",FALSE,501,"MetLife Stadium","1 MetLife Stadium Drive","metlife-stadium","East Rutherford","07073","America/New_York","https://seatgeek.com/venues/metlife-stadium/tickets",0.94873494,"NJ","MetLife Stadium",1587,TRUE,"East Rutherford, NJ","East Rutherford, NJ 07073",0,15,"US",40.8142,-74.0737,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"8","2018-10-01","2018-10-01_11.06.03","Dolphins at Bengals","","normal","Miami Dolphins at Cincinnati Bengals",FALSE,4347043,"2018-10-07T13:00:00",FALSE,"https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043",0.875,0.891,"nfl","2018-10-07T17:00:00","2018-10-07T21:00:00",FALSE,"2018-04-20T00:47:40",FALSE,"2018-04-20T00:00:00",NA,67,182,117.56593,420,108,67,356,"QRCODE","2018-08-24T21:16:15Z",FALSE,515,"Paul Brown Stadium","1 Paul Brown Stadium","paul-brown-stadium","Cincinnati","45202","America/New_York","https://seatgeek.com/venues/paul-brown-stadium/tickets",0.86166537,"OH","Paul Brown Stadium",1124,TRUE,"Cincinnati, OH","Cincinnati, OH 45202",0,7,"US",39.0961,-84.5177,"QRCODE_TM","2015-10-09T16:14:37Z",FALSE
"9","2018-10-01","2018-10-01_11.06.03","Titans at Bills","","normal","Tennessee Titans at Buffalo Bills",FALSE,4347063,"2018-10-07T13:00:00",FALSE,"https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063",0.87,0.881,"nfl","2018-10-07T17:00:00","2018-10-07T21:00:00",FALSE,"2018-04-20T00:47:44",FALSE,"2018-04-20T00:00:00",NA,69,389,138.40874,578,122,79,428,"QRCODE","2018-08-24T21:16:26Z",FALSE,514,"New Era Field","1 Bills Drive","new-era-field","Orchard Park","14127","America/New_York","https://seatgeek.com/venues/new-era-field/tickets",0.8815085,"NY","New Era Field",1135,TRUE,"Orchard Park, NY","Orchard Park, NY 14127",0,7,"US",42.7737,-78.7874,"QRCODE_TM","2015-08-12T16:52:53Z",FALSE
"10","2018-10-01","2018-10-01_11.06.03","Ravens at Browns","","normal","Baltimore Ravens at Cleveland Browns",FALSE,4346999,"2018-10-07T13:00:00",FALSE,"https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999",0.862,0.881,"nfl","2018-10-07T17:00:00","2018-10-07T21:00:00",FALSE,"2018-04-20T00:47:31",FALSE,"2018-04-20T00:00:00",NA,62,447,153.34451,616,125,62,875,"QRCODE","2018-08-24T21:04:01Z",FALSE,510,"FirstEnergy Stadium","100 Alfred Lerner Way","firstenergy-stadium-15","Cleveland","44114","America/New_York","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",0.86852187,"OH","FirstEnergy Stadium",1123,TRUE,"Cleveland, OH","Cleveland, OH 44114",0,6,"US",41.5065,-81.7,"NONE","2015-11-11T20:55:31Z",FALSE
"11","2018-10-01","2018-10-01_11.06.03","Jaguars at Chiefs","","normal","Jacksonville Jaguars at Kansas City Chiefs",FALSE,4346983,"2018-10-07T12:00:00",FALSE,"https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983",0.872,0.887,"nfl","2018-10-07T17:00:00","2018-10-07T21:00:00",FALSE,"2018-04-20T00:47:28",FALSE,"2018-04-20T00:00:00",NA,85,572,181.18007,785,167,89,414,"QRCODE","2018-08-24T21:03:49Z",FALSE,616,"Arrowhead Stadium","1 Arrowhead Drive","arrowhead-stadium","Kansas City","64129","America/Chicago","https://seatgeek.com/venues/arrowhead-stadium/tickets",0.8827867,"MO","Arrowhead Stadium",1128,TRUE,"Kansas City, MO","Kansas City, MO 64129",0,8,"US",39.0489,-94.4839,"QRCODE_TM","2015-08-20T16:20:51Z",FALSE
