"","date","timestamp","date_tbd","datetime_utc","datetime_local","type","created_at","description","time_tbd","visible_until_utc","id","score","title","status","datetime_tbd","is_open","popularity","url","announce_date","short_title","general_admission","lowest_price_good_deals","median_price","lowest_price","average_price","listing_count","highest_price","visible_listing_count","employee_only_accessMethod","method_accessMethod","created_at_accessMethod","state","score_venue","address","url_venue","city","postal_code","country","num_upcoming_events","timezone","display_location","name_v2","name","id_venue","popularity_venue","slug","extended_address","metro_code","has_upcoming_events","lon","lat","employee_only_AccessMethod","method_AccessMethod","created_at_AccessMethod"
"1","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-10-02T00:15:00","2018-10-01T18:15:00","nfl","2018-04-20T01:04:05","",FALSE,"2018-10-02T04:15:00",4347139,0.906,"Kansas City Chiefs at Denver Broncos","normal",FALSE,FALSE,0.95,"https://seatgeek.com/chiefs-at-broncos-tickets/10-1-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347139","2018-04-20T00:00:00","Chiefs at Broncos",NA,116,184,126,206.43396,53,486,154,FALSE,"QRCODE","2018-08-24T20:57:25Z","CO",0.9028296,"1701 Bryant Street","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","Denver","80204","US",7,"America/Denver","Denver, CO","Sports Authority Field at Mile High","Sports Authority Field at Mile High",1131,0,"sports-authority-field-at-mile-high","Denver, CO 80204",751,TRUE,-105.02,39.74,FALSE,"QRCODE_TM","2015-08-07T18:39:02Z"
"2","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-10-05T00:20:00","2018-10-04T20:20:00","nfl","2018-04-20T00:47:50","",FALSE,"2018-10-05T04:20:00",4347096,0.943,"Indianapolis Colts at New England Patriots","normal",FALSE,FALSE,0.976,"https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096","2018-04-20T00:00:00","Colts at Patriots",NA,91,231,130,258.0642,109,586,363,FALSE,"QRCODE","2018-08-24T21:03:24Z","MA",0.8983344,"1 Patriot Place","https://seatgeek.com/venues/gillette-stadium/tickets","Foxborough","02035","US",14,"America/New_York","Foxborough, MA","Gillette Stadium","Gillette Stadium",33,0,"gillette-stadium","Foxborough, MA 02035",506,TRUE,-71.2674,42.0906,FALSE,"NONE","2018-08-22T15:36:58Z"
"3","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-10-06T19:30:00","2018-10-06T15:30:00","ncaa_football","2018-02-28T15:00:17","",FALSE,"2018-10-06T23:30:00",4281989,0.633,"South Alabama Jaguars at Georgia Southern Eagles Football","normal",FALSE,FALSE,0.727,"https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989","2018-02-28T00:00:00","South Alabama at Georgia Southern",NA,NA,43,32,43.444443,9,62,6,NA,NA,NA,"GA",0.41380084,"225 Lanier Drive","https://seatgeek.com/venues/allen-e-paulson-stadium/tickets","Statesboro","30460","US",3,"America/New_York","Statesboro, GA","Allen E. Paulson Stadium","Allen E. Paulson Stadium",2352,0,"allen-e-paulson-stadium","Statesboro, GA 30460",507,TRUE,-81.7832,32.4488,NA,NA,NA
"4","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-10-07T17:00:00","2018-10-07T13:00:00","nfl","2018-04-20T00:47:47","",FALSE,"2018-10-07T21:00:00",4347079,0.931,"Atlanta Falcons at Pittsburgh Steelers","normal",FALSE,FALSE,0.954,"https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079","2018-04-20T00:00:00","Falcons at Steelers",NA,126,333,126,355.75757,165,862,302,FALSE,"QRCODE","2018-08-24T21:16:40Z","PA",0.9033526,"100 Art Rooney Avenue","https://seatgeek.com/venues/heinz-field/tickets","Pittsburgh","15212","US",9,"America/New_York","Pittsburgh, PA","Heinz Field","Heinz Field",1119,0,"heinz-field","Pittsburgh, PA 15212",508,TRUE,-80.0158,40.4468,FALSE,"QRCODE_TM","2015-12-08T15:36:23Z"
"5","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-10-07T17:00:00","2018-10-07T13:00:00","nfl","2018-04-20T00:47:37","",FALSE,"2018-10-07T21:00:00",4347027,0.952,"Green Bay Packers at Detroit Lions","normal",FALSE,FALSE,0.976,"https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027","2018-04-20T00:00:00","Packers at Lions",NA,133,199,134,223.0871,310,2374,410,FALSE,"QRCODE","2018-08-24T21:05:06Z","MI",0.9029952,"2000 Brush St.","https://seatgeek.com/venues/ford-field/tickets","Detroit","48226","US",11,"America/Detroit","Detroit, MI","Ford Field","Ford Field",346,0,"ford-field","Detroit, MI 48226",505,TRUE,-83.0459,42.34,FALSE,"NONE","2015-11-04T17:31:52Z"
"6","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-10-07T17:00:00","2018-10-07T13:00:00","nfl","2018-04-20T00:47:38","",FALSE,"2018-10-07T21:00:00",4347032,0.936,"New York Giants at Carolina Panthers","normal",FALSE,FALSE,0.962,"https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032","2018-04-20T00:00:00","Giants at Panthers",NA,149,283,155,336.8634,205,966,329,FALSE,"QRCODE","2018-08-24T21:15:58Z","NC",0.8968222,"800 South Mint Street","https://seatgeek.com/venues/bank-of-america-stadium/tickets","Charlotte","28202","US",9,"America/New_York","Charlotte, NC","Bank of America Stadium","Bank of America Stadium",1122,0,"bank-of-america-stadium","Charlotte, NC 28202",517,TRUE,-80.8524,35.2243,FALSE,"QRCODE_TM","2015-09-25T18:23:51Z"
"7","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-10-07T17:00:00","2018-10-07T13:00:00","nfl","2018-04-20T00:47:34","",FALSE,"2018-10-07T21:00:00",4347011,0.96,"Denver Broncos at New York Jets","normal",FALSE,FALSE,0.983,"https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011","2018-04-20T00:00:00","Broncos at Jets",NA,52,129,55,146.16074,703,780,797,FALSE,"QRCODE","2018-09-05T19:53:41Z","NJ",0.94873494,"1 MetLife Stadium Drive","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford","07073","US",15,"America/New_York","East Rutherford, NJ","MetLife Stadium","MetLife Stadium",1587,0,"metlife-stadium","East Rutherford, NJ 07073",501,TRUE,-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"8","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-10-07T17:00:00","2018-10-07T13:00:00","nfl","2018-04-20T00:47:40","",FALSE,"2018-10-07T21:00:00",4347043,0.879,"Miami Dolphins at Cincinnati Bengals","normal",FALSE,FALSE,0.919,"https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043","2018-04-20T00:00:00","Dolphins at Bengals",NA,72,108,72,118.77778,180,356,412,FALSE,"QRCODE","2018-08-24T21:16:15Z","OH",0.86166537,"1 Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","Cincinnati","45202","US",7,"America/New_York","Cincinnati, OH","Paul Brown Stadium","Paul Brown Stadium",1124,0,"paul-brown-stadium","Cincinnati, OH 45202",515,TRUE,-84.5177,39.0961,FALSE,"QRCODE_TM","2015-10-09T16:14:37Z"
"9","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-10-07T17:00:00","2018-10-07T13:00:00","nfl","2018-04-20T00:47:44","",FALSE,"2018-10-07T21:00:00",4347063,0.884,"Tennessee Titans at Buffalo Bills","normal",FALSE,FALSE,0.914,"https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063","2018-04-20T00:00:00","Titans at Bills",NA,78,123,80,138.15285,386,431,578,FALSE,"QRCODE","2018-08-24T21:16:26Z","NY",0.8815085,"1 Bills Drive","https://seatgeek.com/venues/new-era-field/tickets","Orchard Park","14127","US",7,"America/New_York","Orchard Park, NY","New Era Field","New Era Field",1135,0,"new-era-field","Orchard Park, NY 14127",514,TRUE,-78.7874,42.7737,FALSE,"QRCODE_TM","2015-08-12T16:52:53Z"
"10","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-10-07T17:00:00","2018-10-07T13:00:00","nfl","2018-04-20T00:47:31","",FALSE,"2018-10-07T21:00:00",4346999,0.894,"Baltimore Ravens at Cleveland Browns","normal",FALSE,FALSE,0.929,"https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999","2018-04-20T00:00:00","Ravens at Browns",NA,63,121,63,151.35956,445,724,605,FALSE,"QRCODE","2018-08-24T21:04:01Z","OH",0.86852187,"100 Alfred Lerner Way","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","Cleveland","44114","US",6,"America/New_York","Cleveland, OH","FirstEnergy Stadium","FirstEnergy Stadium",1123,0,"firstenergy-stadium-15","Cleveland, OH 44114",510,TRUE,-81.7,41.5065,FALSE,"NONE","2015-11-11T20:55:31Z"
