"","date","timestamp","datetime_local","time_tbd","type","announce_date","score","visible_until_utc","id","datetime_utc","status","url","description","date_tbd","datetime_tbd","title","created_at","popularity","is_open","short_title","general_admission","lowest_price","highest_price","lowest_price_good_deals","average_price","visible_listing_count","listing_count","median_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","city","name","display_location","num_upcoming_events","name_v2","address","metro_code","score_venue","id_venue","popularity_venue","has_upcoming_events","slug","url_venue","country","timezone","extended_address","state","postal_code","lat","lon","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"1","2018-10-02","2018-10-02_16.01.32","2018-10-04T20:20:00",FALSE,"nfl","2018-04-20T00:00:00",0.904,"2018-10-05T04:20:00",4347096,"2018-10-05T00:20:00","normal","https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096","",FALSE,FALSE,"Indianapolis Colts at New England Patriots","2018-04-20T00:47:50",0.934,FALSE,"Colts at Patriots",NA,117,518,117,260.15463,346,97,214,"QRCODE","2018-08-24T21:03:24Z",FALSE,"Foxborough","Gillette Stadium","Foxborough, MA",14,"Gillette Stadium","1 Patriot Place",506,0.8983344,33,0,TRUE,"gillette-stadium","https://seatgeek.com/venues/gillette-stadium/tickets","US","America/New_York","Foxborough, MA 02035","MA","02035",42.0906,-71.2674,"NONE","2018-08-22T15:36:58Z",FALSE
"2","2018-10-02","2018-10-02_16.01.32","2018-10-06T15:30:00",FALSE,"ncaa_football","2018-02-28T00:00:00",0.633,"2018-10-06T23:30:00",4281989,"2018-10-06T19:30:00","normal","https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989","",FALSE,FALSE,"South Alabama Jaguars at Georgia Southern Eagles Football","2018-02-28T15:00:17",0.727,FALSE,"South Alabama at Georgia Southern",NA,29,62,NA,41.3125,5,16,38,NA,NA,NA,"Statesboro","Allen E. Paulson Stadium","Statesboro, GA",3,"Allen E. Paulson Stadium","225 Lanier Drive",507,0.41380084,2352,0,TRUE,"allen-e-paulson-stadium","https://seatgeek.com/venues/allen-e-paulson-stadium/tickets","US","America/New_York","Statesboro, GA 30460","GA","30460",32.4488,-81.7832,NA,NA,NA
"3","2018-10-02","2018-10-02_16.01.32","2018-10-07T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.889,"2018-10-07T21:00:00",4347079,"2018-10-07T17:00:00","normal","https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079","",FALSE,FALSE,"Atlanta Falcons at Pittsburgh Steelers","2018-04-20T00:47:47",0.912,FALSE,"Falcons at Steelers",NA,119,862,114,313.95395,224,152,270,"QRCODE","2018-08-24T21:16:40Z",FALSE,"Pittsburgh","Heinz Field","Pittsburgh, PA",9,"Heinz Field","100 Art Rooney Avenue",508,0.9033526,1119,0,TRUE,"heinz-field","https://seatgeek.com/venues/heinz-field/tickets","US","America/New_York","Pittsburgh, PA 15212","PA","15212",40.4468,-80.0158,"QRCODE_TM","2015-12-08T15:36:23Z",FALSE
"4","2018-10-02","2018-10-02_16.01.32","2018-10-07T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.92,"2018-10-07T21:00:00",4347027,"2018-10-07T17:00:00","normal","https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027","",FALSE,FALSE,"Green Bay Packers at Detroit Lions","2018-04-20T00:47:37",0.942,FALSE,"Packers at Lions",NA,131,2379,124,224.19388,372,294,199,"QRCODE","2018-08-24T21:05:06Z",FALSE,"Detroit","Ford Field","Detroit, MI",11,"Ford Field","2000 Brush St.",505,0.9029952,346,0,TRUE,"ford-field","https://seatgeek.com/venues/ford-field/tickets","US","America/Detroit","Detroit, MI 48226","MI","48226",42.34,-83.0459,"NONE","2015-11-04T17:31:52Z",FALSE
"5","2018-10-02","2018-10-02_16.01.32","2018-10-07T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.899,"2018-10-07T21:00:00",4347032,"2018-10-07T17:00:00","normal","https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032","",FALSE,FALSE,"New York Giants at Carolina Panthers","2018-04-20T00:47:38",0.924,FALSE,"Giants at Panthers",NA,140,984,140,326.06543,269,214,280,"QRCODE","2018-08-24T21:15:58Z",FALSE,"Charlotte","Bank of America Stadium","Charlotte, NC",8,"Bank of America Stadium","800 South Mint Street",517,0.8968222,1122,0,TRUE,"bank-of-america-stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","US","America/New_York","Charlotte, NC 28202","NC","28202",35.2243,-80.8524,"QRCODE_TM","2015-09-25T18:23:51Z",FALSE
"6","2018-10-02","2018-10-02_16.01.32","2018-10-07T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.926,"2018-10-07T21:00:00",4347011,"2018-10-07T17:00:00","normal","https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011","",FALSE,FALSE,"Denver Broncos at New York Jets","2018-04-20T00:47:34",0.948,FALSE,"Broncos at Jets",NA,45,619,45,144.79265,723,680,128,"QRCODE","2018-09-05T19:53:41Z",FALSE,"East Rutherford","MetLife Stadium","East Rutherford, NJ",15,"MetLife Stadium","1 MetLife Stadium Drive",501,0.94873494,1587,0,TRUE,"metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US","America/New_York","East Rutherford, NJ 07073","NJ","07073",40.8142,-74.0737,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"7","2018-10-02","2018-10-02_16.01.32","2018-10-07T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.849,"2018-10-07T21:00:00",4347043,"2018-10-07T17:00:00","normal","https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043","",FALSE,FALSE,"Miami Dolphins at Cincinnati Bengals","2018-04-20T00:47:40",0.889,FALSE,"Dolphins at Bengals",NA,71,358,58,120.74172,414,151,106,"QRCODE","2018-08-24T21:16:15Z",FALSE,"Cincinnati","Paul Brown Stadium","Cincinnati, OH",7,"Paul Brown Stadium","1 Paul Brown Stadium",515,0.86166537,1124,0,TRUE,"paul-brown-stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","US","America/New_York","Cincinnati, OH 45202","OH","45202",39.0961,-84.5177,"QRCODE_TM","2015-10-09T16:14:37Z",FALSE
"8","2018-10-02","2018-10-02_16.01.32","2018-10-07T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.853,"2018-10-07T21:00:00",4346999,"2018-10-07T17:00:00","normal","https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999","",FALSE,FALSE,"Baltimore Ravens at Cleveland Browns","2018-04-20T00:47:31",0.893,FALSE,"Ravens at Browns",NA,59,740,53,145.62955,916,440,113,"QRCODE","2018-08-24T21:04:01Z",FALSE,"Cleveland","FirstEnergy Stadium","Cleveland, OH",6,"FirstEnergy Stadium","100 Alfred Lerner Way",510,0.86852187,1123,0,TRUE,"firstenergy-stadium-15","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","US","America/New_York","Cleveland, OH 44114","OH","44114",41.5065,-81.7,"NONE","2015-11-11T20:55:31Z",FALSE
"9","2018-10-02","2018-10-02_16.01.32","2018-10-07T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.853,"2018-10-07T21:00:00",4347063,"2018-10-07T17:00:00","normal","https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063","",FALSE,FALSE,"Tennessee Titans at Buffalo Bills","2018-04-20T00:47:44",0.884,FALSE,"Titans at Bills",NA,75,417,75,131.84483,494,348,116,"QRCODE","2018-08-24T21:16:26Z",FALSE,"Orchard Park","New Era Field","Orchard Park, NY",7,"New Era Field","1 Bills Drive",514,0.8815085,1135,0,TRUE,"new-era-field","https://seatgeek.com/venues/new-era-field/tickets","US","America/New_York","Orchard Park, NY 14127","NY","14127",42.7737,-78.7874,"QRCODE_TM","2015-08-12T16:52:53Z",FALSE
"10","2018-10-02","2018-10-02_16.01.32","2018-10-07T12:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.856,"2018-10-07T21:00:00",4346983,"2018-10-07T17:00:00","normal","https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983","",FALSE,FALSE,"Jacksonville Jaguars at Kansas City Chiefs","2018-04-20T00:47:28",0.892,FALSE,"Jaguars at Chiefs",NA,95,504,85,193.4599,727,561,185,"QRCODE","2018-08-24T21:03:49Z",FALSE,"Kansas City","Arrowhead Stadium","Kansas City, MO",8,"Arrowhead Stadium","1 Arrowhead Drive",616,0.8827867,1128,0,TRUE,"arrowhead-stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","US","America/Chicago","Kansas City, MO 64129","MO","64129",39.0489,-94.4839,"QRCODE_TM","2015-08-20T16:20:51Z",FALSE
