"","date","timestamp","visible_until_utc","id","time_tbd","description","status","short_title","datetime_utc","announce_date","created_at","date_tbd","type","popularity","datetime_local","score","title","datetime_tbd","is_open","url","general_admission","lowest_price","median_price","listing_count","visible_listing_count","lowest_price_good_deals","average_price","highest_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","state","country","has_upcoming_events","id_venue","slug","metro_code","display_location","popularity_venue","extended_address","score_venue","timezone","city","postal_code","address","url_venue","name","name_v2","num_upcoming_events","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-10-03","2018-10-03_11.19.58","2018-10-05T04:20:00",4347096,FALSE,"","normal","Colts at Patriots","2018-10-05T00:20:00","2018-04-20T00:00:00","2018-04-20T00:47:50",FALSE,"nfl",0.936,"2018-10-04T20:20:00",0.937,"Indianapolis Colts at New England Patriots",FALSE,FALSE,"https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096",NA,121,230,99,671,117,267.41415,563,"QRCODE",FALSE,"2018-08-24T21:03:24Z","MA","US",TRUE,33,"gillette-stadium",506,"Foxborough, MA",0,"Foxborough, MA 02035",0.8983344,"America/New_York","Foxborough","02035","1 Patriot Place","https://seatgeek.com/venues/gillette-stadium/tickets","Gillette Stadium","Gillette Stadium",14,-71.2674,42.0906,"NONE",FALSE,"2018-08-22T15:36:58Z"
"2","2018-10-03","2018-10-03_11.19.58","2018-10-06T23:30:00",4281989,FALSE,"","normal","South Alabama at Georgia Southern","2018-10-06T19:30:00","2018-02-28T00:00:00","2018-02-28T15:00:17",FALSE,"ncaa_football",0.662,"2018-10-06T15:30:00",0.569,"South Alabama Jaguars at Georgia Southern Eagles Football",FALSE,FALSE,"https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989",NA,29,40,21,5,NA,42.857143,69,NA,NA,NA,"GA","US",TRUE,2352,"allen-e-paulson-stadium",507,"Statesboro, GA",0,"Statesboro, GA 30460",0.41380084,"America/New_York","Statesboro","30460","225 Lanier Drive","https://seatgeek.com/venues/allen-e-paulson-stadium/tickets","Allen E. Paulson Stadium","Allen E. Paulson Stadium",3,-81.7832,32.4488,NA,NA,NA
"3","2018-10-03","2018-10-03_11.19.58","2018-10-07T21:00:00",4347079,FALSE,"","normal","Falcons at Steelers","2018-10-07T17:00:00","2018-04-20T00:00:00","2018-04-20T00:47:47",FALSE,"nfl",0.916,"2018-10-07T13:00:00",0.921,"Atlanta Falcons at Pittsburgh Steelers",FALSE,FALSE,"https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079",NA,121,279,133,568,109,298.6767,650,"QRCODE",FALSE,"2018-08-24T21:16:40Z","PA","US",TRUE,1119,"heinz-field",508,"Pittsburgh, PA",0,"Pittsburgh, PA 15212",0.9033526,"America/New_York","Pittsburgh","15212","100 Art Rooney Avenue","https://seatgeek.com/venues/heinz-field/tickets","Heinz Field","Heinz Field",9,-80.0158,40.4468,"QRCODE_TM",FALSE,"2015-12-08T15:36:23Z"
"4","2018-10-03","2018-10-03_11.19.58","2018-10-07T21:00:00",4347027,FALSE,"","normal","Packers at Lions","2018-10-07T17:00:00","2018-04-20T00:00:00","2018-04-20T00:47:37",FALSE,"nfl",0.935,"2018-10-07T13:00:00",0.939,"Green Bay Packers at Detroit Lions",FALSE,FALSE,"https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027",NA,133,195,302,386,135,214.57947,2373,"QRCODE",FALSE,"2018-08-24T21:05:06Z","MI","US",TRUE,346,"ford-field",505,"Detroit, MI",0,"Detroit, MI 48226",0.9029952,"America/Detroit","Detroit","48226","2000 Brush St.","https://seatgeek.com/venues/ford-field/tickets","Ford Field","Ford Field",11,-83.0459,42.34,"NONE",FALSE,"2015-11-04T17:31:52Z"
"5","2018-10-03","2018-10-03_11.19.58","2018-10-07T21:00:00",4347032,FALSE,"","normal","Giants at Panthers","2018-10-07T17:00:00","2018-04-20T00:00:00","2018-04-20T00:47:38",FALSE,"nfl",0.927,"2018-10-07T13:00:00",0.931,"New York Giants at Carolina Panthers",FALSE,FALSE,"https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032",NA,138,237,190,286,138,302.4158,760,"QRCODE",FALSE,"2018-08-24T21:15:58Z","NC","US",TRUE,1122,"bank-of-america-stadium",517,"Charlotte, NC",0,"Charlotte, NC 28202",0.8968222,"America/New_York","Charlotte","28202","800 South Mint Street","https://seatgeek.com/venues/bank-of-america-stadium/tickets","Bank of America Stadium","Bank of America Stadium",9,-80.8524,35.2243,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"6","2018-10-03","2018-10-03_11.19.58","2018-10-07T21:00:00",4347011,FALSE,"","normal","Broncos at Jets","2018-10-07T17:00:00","2018-04-20T00:00:00","2018-04-20T00:47:34",FALSE,"nfl",0.946,"2018-10-07T13:00:00",0.949,"Denver Broncos at New York Jets",FALSE,FALSE,"https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011",NA,60,129,643,735,56,144.51166,650,"QRCODE",FALSE,"2018-09-05T19:53:41Z","NJ","US",TRUE,1587,"metlife-stadium",501,"East Rutherford, NJ",0,"East Rutherford, NJ 07073",0.94873494,"America/New_York","East Rutherford","07073","1 MetLife Stadium Drive","https://seatgeek.com/venues/metlife-stadium/tickets","MetLife Stadium","MetLife Stadium",15,-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"7","2018-10-03","2018-10-03_11.19.58","2018-10-07T21:00:00",4347043,FALSE,"","normal","Dolphins at Bengals","2018-10-07T17:00:00","2018-04-20T00:00:00","2018-04-20T00:47:40",FALSE,"nfl",0.883,"2018-10-07T13:00:00",0.866,"Miami Dolphins at Cincinnati Bengals",FALSE,FALSE,"https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043",NA,68,107,130,534,57,120.50769,357,"QRCODE",FALSE,"2018-08-24T21:16:15Z","OH","US",TRUE,1124,"paul-brown-stadium",515,"Cincinnati, OH",0,"Cincinnati, OH 45202",0.86166537,"America/New_York","Cincinnati","45202","1 Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","Paul Brown Stadium","Paul Brown Stadium",7,-84.5177,39.0961,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"8","2018-10-03","2018-10-03_11.19.58","2018-10-07T21:00:00",4347063,FALSE,"","normal","Titans at Bills","2018-10-07T17:00:00","2018-04-20T00:00:00","2018-04-20T00:47:44",FALSE,"nfl",0.879,"2018-10-07T13:00:00",0.872,"Tennessee Titans at Buffalo Bills",FALSE,FALSE,"https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063",NA,79,118,310,473,79,131.22903,393,"QRCODE",FALSE,"2018-08-24T21:16:26Z","NY","US",TRUE,1135,"new-era-field",514,"Orchard Park, NY",0,"Orchard Park, NY 14127",0.8815085,"America/New_York","Orchard Park","14127","1 Bills Drive","https://seatgeek.com/venues/new-era-field/tickets","New Era Field","New Era Field",7,-78.7874,42.7737,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"9","2018-10-03","2018-10-03_11.19.58","2018-10-07T21:00:00",4346983,FALSE,"","normal","Jaguars at Chiefs","2018-10-07T17:00:00","2018-04-20T00:00:00","2018-04-20T00:47:28",FALSE,"nfl",0.896,"2018-10-07T12:00:00",0.888,"Jacksonville Jaguars at Kansas City Chiefs",FALSE,FALSE,"https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983",NA,85,181,534,709,85,186.897,505,"QRCODE",FALSE,"2018-08-24T21:03:49Z","MO","US",TRUE,1128,"arrowhead-stadium",616,"Kansas City, MO",0,"Kansas City, MO 64129",0.8827867,"America/Chicago","Kansas City","64129","1 Arrowhead Drive","https://seatgeek.com/venues/arrowhead-stadium/tickets","Arrowhead Stadium","Arrowhead Stadium",8,-94.4839,39.0489,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"10","2018-10-03","2018-10-03_11.19.58","2018-10-07T21:00:00",4346999,FALSE,"","normal","Ravens at Browns","2018-10-07T17:00:00","2018-04-20T00:00:00","2018-04-20T00:47:31",FALSE,"nfl",0.887,"2018-10-07T13:00:00",0.874,"Baltimore Ravens at Cleveland Browns",FALSE,FALSE,"https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999",NA,55,112,465,624,55,138.643,641,"QRCODE",FALSE,"2018-08-24T21:04:01Z","OH","US",TRUE,1123,"firstenergy-stadium-15",510,"Cleveland, OH",0,"Cleveland, OH 44114",0.86852187,"America/New_York","Cleveland","44114","100 Alfred Lerner Way","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","FirstEnergy Stadium","FirstEnergy Stadium",6,-81.7,41.5065,"NONE",FALSE,"2015-11-11T20:55:31Z"
