"","date","timestamp","status","score","id","visible_until_utc","url","datetime_utc","announce_date","is_open","created_at","short_title","title","time_tbd","popularity","datetime_tbd","description","type","datetime_local","date_tbd","general_admission","average_price","median_price","lowest_price_good_deals","listing_count","highest_price","lowest_price","visible_listing_count","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","score_venue","name","metro_code","extended_address","id_venue","num_upcoming_events","url_venue","name_v2","timezone","country","postal_code","popularity_venue","address","has_upcoming_events","city","display_location","state","slug","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-10-03","2018-10-03_16.27.34","normal",0.962,4347096,"2018-10-05T04:20:00","https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096","2018-10-05T00:20:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:50","Colts at Patriots","Indianapolis Colts at New England Patriots",FALSE,0.939,FALSE,"","nfl","2018-10-04T20:20:00",FALSE,NA,246.91818,224,110,110,451,110,408,"QRCODE",FALSE,"2018-08-24T21:03:24Z",0.8983344,"Gillette Stadium",506,"Foxborough, MA 02035",33,14,"https://seatgeek.com/venues/gillette-stadium/tickets","Gillette Stadium","America/New_York","US","02035",0,"1 Patriot Place",TRUE,"Foxborough","Foxborough, MA","MA","gillette-stadium",42.0906,-71.2674,"NONE",FALSE,"2018-08-22T15:36:58Z"
"2","2018-10-03","2018-10-03_16.27.34","normal",0.569,4281989,"2018-10-06T23:30:00","https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989","2018-10-06T19:30:00","2018-02-28T00:00:00",FALSE,"2018-02-28T15:00:17","South Alabama at Georgia Southern","South Alabama Jaguars at Georgia Southern Eagles Football",FALSE,0.662,FALSE,"","ncaa_football","2018-10-06T15:30:00",FALSE,NA,42.454544,40,NA,22,69,29,5,NA,NA,NA,0.41380084,"Allen E. Paulson Stadium",507,"Statesboro, GA 30460",2352,3,"https://seatgeek.com/venues/allen-e-paulson-stadium/tickets","Allen E. Paulson Stadium","America/New_York","US","30460",0,"225 Lanier Drive",TRUE,"Statesboro","Statesboro, GA","GA","allen-e-paulson-stadium",32.4488,-81.7832,NA,NA,NA
"3","2018-10-03","2018-10-03_16.27.34","normal",0.947,4347079,"2018-10-07T21:00:00","https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079","2018-10-07T17:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:47","Falcons at Steelers","Atlanta Falcons at Pittsburgh Steelers",FALSE,0.919,FALSE,"","nfl","2018-10-07T13:00:00",FALSE,NA,298.5691,268,113,123,650,113,262,"QRCODE",FALSE,"2018-08-24T21:16:40Z",0.9033526,"Heinz Field",508,"Pittsburgh, PA 15212",1119,9,"https://seatgeek.com/venues/heinz-field/tickets","Heinz Field","America/New_York","US","15212",0,"100 Art Rooney Avenue",TRUE,"Pittsburgh","Pittsburgh, PA","PA","heinz-field",40.4468,-80.0158,"QRCODE_TM",FALSE,"2015-12-08T15:36:23Z"
"4","2018-10-03","2018-10-03_16.27.34","normal",0.959,4347032,"2018-10-07T21:00:00","https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032","2018-10-07T17:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:38","Giants at Panthers","New York Giants at Carolina Panthers",FALSE,0.931,FALSE,"","nfl","2018-10-07T13:00:00",FALSE,NA,297.27585,236,138,174,759,138,277,"QRCODE",FALSE,"2018-08-24T21:15:58Z",0.8968222,"Bank of America Stadium",517,"Charlotte, NC 28202",1122,9,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","Bank of America Stadium","America/New_York","US","28202",0,"800 South Mint Street",TRUE,"Charlotte","Charlotte, NC","NC","bank-of-america-stadium",35.2243,-80.8524,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"5","2018-10-03","2018-10-03_16.27.34","normal",0.958,4347027,"2018-10-07T21:00:00","https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027","2018-10-07T17:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:37","Packers at Lions","Green Bay Packers at Detroit Lions",FALSE,0.934,FALSE,"","nfl","2018-10-07T13:00:00",FALSE,NA,216.01007,196,133,298,2383,134,360,"QRCODE",FALSE,"2018-08-24T21:05:06Z",0.9029952,"Ford Field",505,"Detroit, MI 48226",346,11,"https://seatgeek.com/venues/ford-field/tickets","Ford Field","America/Detroit","US","48226",0,"2000 Brush St.",TRUE,"Detroit","Detroit, MI","MI","ford-field",42.34,-83.0459,"NONE",FALSE,"2015-11-04T17:31:52Z"
"6","2018-10-03","2018-10-03_16.27.34","normal",0.968,4347011,"2018-10-07T21:00:00","https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011","2018-10-07T17:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:34","Broncos at Jets","Denver Broncos at New York Jets",FALSE,0.945,FALSE,"","nfl","2018-10-07T13:00:00",FALSE,NA,142.89198,128,56,611,650,60,1545,"QRCODE",FALSE,"2018-09-05T19:53:41Z",0.94873494,"MetLife Stadium",501,"East Rutherford, NJ 07073",1587,15,"https://seatgeek.com/venues/metlife-stadium/tickets","MetLife Stadium","America/New_York","US","07073",0,"1 MetLife Stadium Drive",TRUE,"East Rutherford","East Rutherford, NJ","NJ","metlife-stadium",40.8142,-74.0737,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"7","2018-10-03","2018-10-03_16.27.34","normal",0.9,4347043,"2018-10-07T21:00:00","https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043","2018-10-07T17:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:40","Dolphins at Bengals","Miami Dolphins at Cincinnati Bengals",FALSE,0.892,FALSE,"","nfl","2018-10-07T13:00:00",FALSE,NA,127.194916,112,64,118,356,71,362,"QRCODE",FALSE,"2018-08-24T21:16:15Z",0.86166537,"Paul Brown Stadium",515,"Cincinnati, OH 45202",1124,7,"https://seatgeek.com/venues/paul-brown-stadium/tickets","Paul Brown Stadium","America/New_York","US","45202",0,"1 Paul Brown Stadium",TRUE,"Cincinnati","Cincinnati, OH","OH","paul-brown-stadium",39.0961,-84.5177,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"8","2018-10-03","2018-10-03_16.27.34","normal",0.912,4346983,"2018-10-07T21:00:00","https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983","2018-10-07T17:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:28","Jaguars at Chiefs","Jacksonville Jaguars at Kansas City Chiefs",FALSE,0.898,FALSE,"","nfl","2018-10-07T12:00:00",FALSE,NA,183.0803,176,85,523,447,93,1031,"QRCODE",FALSE,"2018-08-24T21:03:49Z",0.8827867,"Arrowhead Stadium",616,"Kansas City, MO 64129",1128,8,"https://seatgeek.com/venues/arrowhead-stadium/tickets","Arrowhead Stadium","America/Chicago","US","64129",0,"1 Arrowhead Drive",TRUE,"Kansas City","Kansas City, MO","MO","arrowhead-stadium",39.0489,-94.4839,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"9","2018-10-03","2018-10-03_16.27.34","normal",0.904,4346999,"2018-10-07T21:00:00","https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999","2018-10-07T17:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:31","Ravens at Browns","Baltimore Ravens at Cleveland Browns",FALSE,0.894,FALSE,"","nfl","2018-10-07T13:00:00",FALSE,NA,138.26549,110,55,452,583,57,576,"QRCODE",FALSE,"2018-08-24T21:04:01Z",0.86852187,"FirstEnergy Stadium",510,"Cleveland, OH 44114",1123,6,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","FirstEnergy Stadium","America/New_York","US","44114",0,"100 Alfred Lerner Way",TRUE,"Cleveland","Cleveland, OH","OH","firstenergy-stadium-15",41.5065,-81.7,"NONE",FALSE,"2015-11-11T20:55:31Z"
"10","2018-10-03","2018-10-03_16.27.34","normal",0.899,4347063,"2018-10-07T21:00:00","https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063","2018-10-07T17:00:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:44","Titans at Bills","Tennessee Titans at Buffalo Bills",FALSE,0.884,FALSE,"","nfl","2018-10-07T13:00:00",FALSE,NA,130.36363,118,79,297,392,83,451,"QRCODE",FALSE,"2018-08-24T21:16:26Z",0.8815085,"New Era Field",514,"Orchard Park, NY 14127",1135,7,"https://seatgeek.com/venues/new-era-field/tickets","New Era Field","America/New_York","US","14127",0,"1 Bills Drive",TRUE,"Orchard Park","Orchard Park, NY","NY","new-era-field",42.7737,-78.7874,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"11","2018-10-03","2018-10-03_16.27.34","normal",0.96,4347111,"2018-10-08T00:05:00","https://seatgeek.com/raiders-at-chargers-tickets/10-7-2018-carson-california-stubhub-center/nfl/4347111","2018-10-07T20:05:00","2018-04-20T00:00:00",FALSE,"2018-04-20T00:47:52","Raiders at Chargers","Oakland Raiders at Los Angeles Chargers",FALSE,0.938,FALSE,"","nfl","2018-10-07T13:05:00",FALSE,NA,328,321,168,3,438,225,293,"QRCODE",FALSE,"2018-08-24T21:17:06Z",0.7228164,"StubHub Center",803,"Carson, CA 90746",52,12,"https://seatgeek.com/venues/stubhub-center/tickets","StubHub Center","America/Los_Angeles","US","90746",0,"18400 Avalon Blvd",TRUE,"Carson","Carson, CA","CA","stubhub-center",33.8643,-118.261,NA,NA,NA
