"","date","timestamp","announce_date","created_at","score","date_tbd","url","id","visible_until_utc","datetime_tbd","type","short_title","description","datetime_local","time_tbd","popularity","title","status","datetime_utc","is_open","general_admission","highest_price","visible_listing_count","lowest_price","median_price","average_price","listing_count","lowest_price_good_deals","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","state","score_venue","name","url_venue","timezone","slug","display_location","id_venue","popularity_venue","metro_code","name_v2","has_upcoming_events","city","country","num_upcoming_events","postal_code","address","extended_address","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:50",0.962,FALSE,"https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096",4347096,"2018-10-05T04:20:00",FALSE,"nfl","Colts at Patriots","","2018-10-04T20:20:00",FALSE,0.939,"Indianapolis Colts at New England Patriots","normal","2018-10-05T00:20:00",FALSE,NA,428,472,117,194,209.3077,91,111,"2018-08-24T21:03:24Z","QRCODE",FALSE,"MA",0.8983344,"Gillette Stadium","https://seatgeek.com/venues/gillette-stadium/tickets","America/New_York","gillette-stadium","Foxborough, MA",33,0,506,"Gillette Stadium",TRUE,"Foxborough","US",14,"02035","1 Patriot Place","Foxborough, MA 02035",42.0906,-71.2674,"2018-08-22T15:36:58Z","NONE",FALSE
"2","2018-10-04","2018-10-04_11.07.19","2018-02-28T00:00:00","2018-02-28T15:00:17",0.534,FALSE,"https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989",4281989,"2018-10-06T23:30:00",FALSE,"ncaa_football","South Alabama at Georgia Southern","","2018-10-06T15:30:00",FALSE,0.622,"South Alabama Jaguars at Georgia Southern Eagles Football","normal","2018-10-06T19:30:00",FALSE,NA,69,3,35,37,44.333332,12,NA,NA,NA,NA,"GA",0.41380084,"Allen E. Paulson Stadium","https://seatgeek.com/venues/allen-e-paulson-stadium/tickets","America/New_York","allen-e-paulson-stadium","Statesboro, GA",2352,0,507,"Allen E. Paulson Stadium",TRUE,"Statesboro","US",3,"30460","225 Lanier Drive","Statesboro, GA 30460",32.4488,-81.7832,NA,NA,NA
"3","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:47",0.947,FALSE,"https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079",4347079,"2018-10-07T21:00:00",FALSE,"nfl","Falcons at Steelers","","2018-10-07T13:00:00",FALSE,0.919,"Atlanta Falcons at Pittsburgh Steelers","normal","2018-10-07T17:00:00",FALSE,NA,619,619,110,236,263.52585,116,100,"2018-08-24T21:16:40Z","QRCODE",FALSE,"PA",0.9033526,"Heinz Field","https://seatgeek.com/venues/heinz-field/tickets","America/New_York","heinz-field","Pittsburgh, PA",1119,0,508,"Heinz Field",TRUE,"Pittsburgh","US",9,"15212","100 Art Rooney Avenue","Pittsburgh, PA 15212",40.4468,-80.0158,"2018-10-04T12:42:28Z","QRCODE",FALSE
"4","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:37",0.958,FALSE,"https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027",4347027,"2018-10-07T21:00:00",FALSE,"nfl","Packers at Lions","","2018-10-07T13:00:00",FALSE,0.934,"Green Bay Packers at Detroit Lions","normal","2018-10-07T17:00:00",FALSE,NA,2350,453,133,195,213.70175,285,133,"2018-08-24T21:05:06Z","QRCODE",FALSE,"MI",0.9029952,"Ford Field","https://seatgeek.com/venues/ford-field/tickets","America/Detroit","ford-field","Detroit, MI",346,0,505,"Ford Field",TRUE,"Detroit","US",11,"48226","2000 Brush St.","Detroit, MI 48226",42.34,-83.0459,"2015-11-04T17:31:52Z","NONE",FALSE
"5","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:38",0.959,FALSE,"https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032",4347032,"2018-10-07T21:00:00",FALSE,"nfl","Giants at Panthers","","2018-10-07T13:00:00",FALSE,0.931,"New York Giants at Carolina Panthers","normal","2018-10-07T17:00:00",FALSE,NA,722,378,127,212,279.61047,172,127,"2018-08-24T21:15:58Z","QRCODE",FALSE,"NC",0.8968222,"Bank of America Stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","America/New_York","bank-of-america-stadium","Charlotte, NC",1122,0,517,"Bank of America Stadium",TRUE,"Charlotte","US",9,"28202","800 South Mint Street","Charlotte, NC 28202",35.2243,-80.8524,"2015-09-25T18:23:51Z","QRCODE_TM",FALSE
"6","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:34",0.968,FALSE,"https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011",4347011,"2018-10-07T21:00:00",FALSE,"nfl","Broncos at Jets","","2018-10-07T13:00:00",FALSE,0.945,"Denver Broncos at New York Jets","normal","2018-10-07T17:00:00",FALSE,NA,667,757,60,117,133.17259,591,60,"2018-09-05T19:53:41Z","QRCODE",FALSE,"NJ",0.94873494,"MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York","metlife-stadium","East Rutherford, NJ",1587,0,501,"MetLife Stadium",TRUE,"East Rutherford","US",15,"07073","1 MetLife Stadium Drive","East Rutherford, NJ 07073",40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"7","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:40",0.9,FALSE,"https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043",4347043,"2018-10-07T21:00:00",FALSE,"nfl","Dolphins at Bengals","","2018-10-07T13:00:00",FALSE,0.892,"Miami Dolphins at Cincinnati Bengals","normal","2018-10-07T17:00:00",FALSE,NA,331,347,68,107,125.545456,99,65,"2018-08-24T21:16:15Z","QRCODE",FALSE,"OH",0.86166537,"Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","America/New_York","paul-brown-stadium","Cincinnati, OH",1124,0,515,"Paul Brown Stadium",TRUE,"Cincinnati","US",7,"45202","1 Paul Brown Stadium","Cincinnati, OH 45202",39.0961,-84.5177,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
"8","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:28",0.912,FALSE,"https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983",4346983,"2018-10-07T21:00:00",FALSE,"nfl","Jaguars at Chiefs","","2018-10-07T12:00:00",FALSE,0.898,"Jacksonville Jaguars at Kansas City Chiefs","normal","2018-10-07T17:00:00",FALSE,NA,503,785,91,167,173.97943,486,85,"2018-08-24T21:03:49Z","QRCODE",FALSE,"MO",0.8827867,"Arrowhead Stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","America/Chicago","arrowhead-stadium","Kansas City, MO",1128,0,616,"Arrowhead Stadium",TRUE,"Kansas City","US",8,"64129","1 Arrowhead Drive","Kansas City, MO 64129",39.0489,-94.4839,"2015-08-20T16:20:51Z","QRCODE_TM",FALSE
"9","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:31",0.904,FALSE,"https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999",4346999,"2018-10-07T21:00:00",FALSE,"nfl","Ravens at Browns","","2018-10-07T13:00:00",FALSE,0.894,"Baltimore Ravens at Cleveland Browns","normal","2018-10-07T17:00:00",FALSE,NA,560,632,52,104,130.33838,396,52,"2018-08-24T21:04:01Z","QRCODE",FALSE,"OH",0.86852187,"FirstEnergy Stadium","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","America/New_York","firstenergy-stadium-15","Cleveland, OH",1123,0,510,"FirstEnergy Stadium",TRUE,"Cleveland","US",6,"44114","100 Alfred Lerner Way","Cleveland, OH 44114",41.5065,-81.7,"2015-11-11T20:55:31Z","NONE",FALSE
"10","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:44",0.899,FALSE,"https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063",4347063,"2018-10-07T21:00:00",FALSE,"nfl","Titans at Bills","","2018-10-07T13:00:00",FALSE,0.884,"Tennessee Titans at Buffalo Bills","normal","2018-10-07T17:00:00",FALSE,NA,375,486,74,110,122.54785,303,74,"2018-08-24T21:16:26Z","QRCODE",FALSE,"NY",0.8815085,"New Era Field","https://seatgeek.com/venues/new-era-field/tickets","America/New_York","new-era-field","Orchard Park, NY",1135,0,514,"New Era Field",TRUE,"Orchard Park","US",7,"14127","1 Bills Drive","Orchard Park, NY 14127",42.7737,-78.7874,"2015-08-12T16:52:53Z","QRCODE_TM",FALSE
