"","date","timestamp","is_open","datetime_utc","score","status","created_at","visible_until_utc","description","time_tbd","title","type","id","datetime_local","popularity","datetime_tbd","date_tbd","announce_date","short_title","url","general_admission","lowest_price_good_deals","highest_price","median_price","visible_listing_count","lowest_price","listing_count","average_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","postal_code","timezone","country","score_venue","display_location","num_upcoming_events","name_v2","id_venue","city","name","state","popularity_venue","metro_code","has_upcoming_events","slug","url_venue","address","extended_address","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-10-07","2018-10-07_15.37.06",FALSE,"2018-10-07T17:00:00",0.935,"normal","2018-04-20T00:47:47","2018-10-07T21:00:00","",FALSE,"Atlanta Falcons at Pittsburgh Steelers","nfl",4347079,"2018-10-07T13:00:00",0.93,FALSE,FALSE,"2018-04-20T00:00:00","Falcons at Steelers","https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T21:16:40Z","15212","America/New_York","US",0.9033526,"Pittsburgh, PA",8,"Heinz Field",1119,"Pittsburgh","Heinz Field","PA",0,508,TRUE,"heinz-field","https://seatgeek.com/venues/heinz-field/tickets","100 Art Rooney Avenue","Pittsburgh, PA 15212",-80.0158,40.4468,"QRCODE",FALSE,"2018-10-04T12:42:28Z"
"2","2018-10-07","2018-10-07_15.37.06",FALSE,"2018-10-07T17:00:00",0.959,"normal","2018-04-20T00:47:37","2018-10-07T21:00:00","",FALSE,"Green Bay Packers at Detroit Lions","nfl",4347027,"2018-10-07T13:00:00",0.932,FALSE,FALSE,"2018-04-20T00:00:00","Packers at Lions","https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027",NA,84,231,129,146,85,142,133.39436,"QRCODE",FALSE,"2018-08-24T21:05:06Z","48226","America/Detroit","US",0.9029952,"Detroit, MI",11,"Ford Field",346,"Detroit","Ford Field","MI",0,505,TRUE,"ford-field","https://seatgeek.com/venues/ford-field/tickets","2000 Brush St.","Detroit, MI 48226",-83.0459,42.34,"NONE",FALSE,"2015-11-04T17:31:52Z"
"3","2018-10-07","2018-10-07_15.37.06",FALSE,"2018-10-07T17:00:00",0.946,"normal","2018-04-20T00:47:38","2018-10-07T21:00:00","",FALSE,"New York Giants at Carolina Panthers","nfl",4347032,"2018-10-07T13:00:00",0.941,FALSE,FALSE,"2018-04-20T00:00:00","Giants at Panthers","https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T21:15:58Z","28202","America/New_York","US",0.8968222,"Charlotte, NC",9,"Bank of America Stadium",1122,"Charlotte","Bank of America Stadium","NC",0,517,TRUE,"bank-of-america-stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","800 South Mint Street","Charlotte, NC 28202",-80.8524,35.2243,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
"4","2018-10-07","2018-10-07_15.37.06",FALSE,"2018-10-07T17:00:00",0.969,"normal","2018-04-20T00:47:34","2018-10-07T21:00:00","",FALSE,"Denver Broncos at New York Jets","nfl",4347011,"2018-10-07T13:00:00",0.946,FALSE,FALSE,"2018-04-20T00:00:00","Broncos at Jets","https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011",NA,45,277,69,122,66,157,75.50318,"QRCODE",FALSE,"2018-09-05T19:53:41Z","07073","America/New_York","US",0.94873494,"East Rutherford, NJ",15,"MetLife Stadium",1587,"East Rutherford","MetLife Stadium","NJ",0,501,TRUE,"metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets","1 MetLife Stadium Drive","East Rutherford, NJ 07073",-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"5","2018-10-07","2018-10-07_15.37.06",FALSE,"2018-10-07T17:00:00",0.887,"normal","2018-04-20T00:47:40","2018-10-07T21:00:00","",FALSE,"Miami Dolphins at Cincinnati Bengals","nfl",4347043,"2018-10-07T13:00:00",0.898,FALSE,FALSE,"2018-04-20T00:00:00","Dolphins at Bengals","https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T21:16:15Z","45202","America/New_York","US",0.86166537,"Cincinnati, OH",7,"Paul Brown Stadium",1124,"Cincinnati","Paul Brown Stadium","OH",0,515,TRUE,"paul-brown-stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","1 Paul Brown Stadium","Cincinnati, OH 45202",-84.5177,39.0961,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"6","2018-10-07","2018-10-07_15.37.06",FALSE,"2018-10-07T17:00:00",0.89,"normal","2018-04-20T00:47:44","2018-10-07T21:00:00","",FALSE,"Tennessee Titans at Buffalo Bills","nfl",4347063,"2018-10-07T13:00:00",0.882,FALSE,FALSE,"2018-04-20T00:00:00","Titans at Bills","https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063",NA,23,134,72,46,41,37,77.27027,"QRCODE",FALSE,"2018-08-24T21:16:26Z","14127","America/New_York","US",0.8815085,"Orchard Park, NY",7,"New Era Field",1135,"Orchard Park","New Era Field","NY",0,514,TRUE,"new-era-field","https://seatgeek.com/venues/new-era-field/tickets","1 Bills Drive","Orchard Park, NY 14127",-78.7874,42.7737,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"7","2018-10-07","2018-10-07_15.37.06",FALSE,"2018-10-07T17:00:00",0.901,"normal","2018-04-20T00:47:28","2018-10-07T21:00:00","",FALSE,"Jacksonville Jaguars at Kansas City Chiefs","nfl",4346983,"2018-10-07T12:00:00",0.89,FALSE,FALSE,"2018-04-20T00:00:00","Jaguars at Chiefs","https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983",NA,6,242,97,247,23,221,91.21719,"QRCODE",FALSE,"2018-08-24T21:03:49Z","64129","America/Chicago","US",0.8827867,"Kansas City, MO",8,"Arrowhead Stadium",1128,"Kansas City","Arrowhead Stadium","MO",0,616,TRUE,"arrowhead-stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","1 Arrowhead Drive","Kansas City, MO 64129",-94.4839,39.0489,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"8","2018-10-07","2018-10-07_15.37.06",FALSE,"2018-10-07T17:00:00",0.893,"normal","2018-04-20T00:47:31","2018-10-07T21:00:00","",FALSE,"Baltimore Ravens at Cleveland Browns","nfl",4346999,"2018-10-07T13:00:00",0.886,FALSE,FALSE,"2018-04-20T00:00:00","Ravens at Browns","https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999",NA,32,454,72,61,48,54,86.888885,"QRCODE",FALSE,"2018-08-24T21:04:01Z","44114","America/New_York","US",0.86852187,"Cleveland, OH",6,"FirstEnergy Stadium",1123,"Cleveland","FirstEnergy Stadium","OH",0,510,TRUE,"firstenergy-stadium-15","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","100 Alfred Lerner Way","Cleveland, OH 44114",-81.7,41.5065,"NONE",FALSE,"2015-11-11T20:55:31Z"
"9","2018-10-07","2018-10-07_15.37.06",FALSE,"2018-10-07T20:05:00",0.946,"normal","2018-04-20T00:47:52","2018-10-08T00:05:00","",FALSE,"Oakland Raiders at Los Angeles Chargers","nfl",4347111,"2018-10-07T13:05:00",0.945,FALSE,FALSE,"2018-04-20T00:00:00","Raiders at Chargers","https://seatgeek.com/raiders-at-chargers-tickets/10-7-2018-carson-california-stubhub-center/nfl/4347111",NA,248,248,248,4,248,2,248,"QRCODE",FALSE,"2018-08-24T21:17:06Z","90746","America/Los_Angeles","US",0.7228164,"Carson, CA",11,"StubHub Center",52,"Carson","StubHub Center","CA",0,803,TRUE,"stubhub-center","https://seatgeek.com/venues/stubhub-center/tickets","18400 Avalon Blvd","Carson, CA 90746",-118.261,33.8643,NA,NA,NA
"10","2018-10-07","2018-10-07_15.37.06",FALSE,"2018-10-07T20:25:00",0.92,"normal","2018-04-20T00:47:53","2018-10-08T00:25:00","",FALSE,"Arizona Cardinals at San Francisco 49ers","nfl",4347115,"2018-10-07T13:25:00",0.922,FALSE,FALSE,"2018-04-20T00:00:00","Cardinals at 49ers","https://seatgeek.com/cardinals-at-49ers-tickets/10-7-2018-santa-clara-california-levi-s-stadium/nfl/4347115",NA,12,276,51,182,12,157,87.50318,"QRCODE",FALSE,"2018-09-05T19:47:23Z","95054","America/Los_Angeles","US",0.95768774,"Santa Clara, CA",12,"Levi's Stadium",58670,"Santa Clara","Levi's Stadium","CA",0,0,TRUE,"levi-s-stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","4900 Marie P DeBartolo Way","Santa Clara, CA 95054",-121.969,37.4023,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
