"","date","timestamp","status","date_tbd","datetime_tbd","announce_date","created_at","popularity","short_title","score","description","datetime_utc","visible_until_utc","id","datetime_local","url","type","title","time_tbd","is_open","general_admission","lowest_price","lowest_price_good_deals","listing_count","average_price","highest_price","visible_listing_count","median_price","employee_only_accessMethod","method_accessMethod","created_at_accessMethod","extended_address","display_location","name","name_v2","country","timezone","city","has_upcoming_events","popularity_venue","score_venue","metro_code","num_upcoming_events","id_venue","state","url_venue","slug","address","postal_code","lon","lat","employee_only_AccessMethod","method_AccessMethod","created_at_AccessMethod"
"1","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-08-03T00:00:00","2018-08-03T16:01:06",0.549,"Baltimore Ravens at A Purple Evening",0.331,"","2018-10-08T20:00:00","2018-10-09T00:00:00",4474093,"2018-10-08T16:00:00","https://seatgeek.com/baltimore-ravens-at-a-purple-evening-tickets/sport/2018-10-08-4-pm/4474093","sports","Baltimore Ravens at A Purple Evening",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"QRCODE_TM","2015-08-04T00:00:00Z","Baltimore, MD 21230","Baltimore, MD","M&T Bank Stadium","M&T Bank Stadium","US","America/New_York","Baltimore",TRUE,0,0.8927189,512,7,1121,"MD","https://seatgeek.com/venues/m-t-bank-stadium/tickets","m-t-bank-stadium","1101 Russell St","21230",-76.623,39.2774,FALSE,"QRCODE_TM","2015-08-04T00:00:00Z"
"2","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:25",0.872,"Redskins at Saints",0.875,"","2018-10-09T00:15:00","2018-10-09T04:15:00",4346971,"2018-10-08T19:15:00","https://seatgeek.com/redskins-at-saints-tickets/10-8-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346971","nfl","Washington Redskins at New Orleans Saints",FALSE,TRUE,NA,72,72,582,214.96564,1800,569,204,FALSE,"QRCODE","2018-05-29T20:38:55Z","New Orleans, LA 70112","New Orleans, LA","Mercedes-Benz Superdome","Mercedes-Benz Superdome","US","America/Chicago","New Orleans",TRUE,0,0.8966978,622,16,128,"LA","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","mercedes-benz-superdome","1500 Sugar Bowl Drive","70112",-90.0786,29.9515,FALSE,"QRCODE_TM","2018-08-27T20:46:59Z"
"3","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:14",0.928,"Eagles at Giants",0.948,"","2018-10-12T00:20:00","2018-10-12T04:20:00",4346917,"2018-10-11T20:20:00","https://seatgeek.com/eagles-at-giants-tickets/10-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346917","nfl","Philadelphia Eagles at New York Giants",FALSE,FALSE,NA,109,109,274,290.05838,1519,597,226,FALSE,"QRCODE","2018-08-24T21:52:02Z","East Rutherford, NJ 07073","East Rutherford, NJ","MetLife Stadium","MetLife Stadium","US","America/New_York","East Rutherford",TRUE,0,0.94873494,501,14,1587,"NJ","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium","1 MetLife Stadium Drive","07073",-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"4","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2017-12-21T00:00:00","2017-12-21T15:00:36",0.603,"Alabama State at South Alabama",0.494,"","2018-10-13T21:00:00","2018-10-14T01:00:00",4192619,"2018-10-13T16:00:00","https://seatgeek.com/alabama-state-hornets-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-13-4-pm/4192619","ncaa_football","Alabama State Hornets at South Alabama Jaguars Football",FALSE,FALSE,NA,32,32,9,47.11111,74,4,49,NA,NA,NA,"Mobile, AL 36604","Mobile, AL","Ladd Peebles Stadium","Ladd Peebles Stadium","US","America/Chicago","Mobile",TRUE,0,0.50177634,686,5,3716,"AL","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","ladd-peebles-stadium","1621 Virginia St.","36604",-88.0761,30.6748,NA,NA,NA
"5","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:22",0.891,"Colts at Jets",0.92,"","2018-10-14T17:00:00","2018-10-14T21:00:00",4346961,"2018-10-14T13:00:00","https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961","nfl","Indianapolis Colts at New York Jets",FALSE,FALSE,NA,43,43,576,153.05556,957,909,130,FALSE,"QRCODE","2018-08-24T21:52:02Z","East Rutherford, NJ 07073","East Rutherford, NJ","MetLife Stadium","MetLife Stadium","US","America/New_York","East Rutherford",TRUE,0,0.94873494,501,14,1587,"NJ","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium","1 MetLife Stadium Drive","07073",-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"6","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:42",0.866,"Buccaneers at Falcons",0.897,"","2018-10-14T17:00:00","2018-10-14T21:00:00",4347051,"2018-10-14T13:00:00","https://seatgeek.com/buccaneers-at-falcons-tickets/10-14-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347051","nfl","Tampa Bay Buccaneers at Atlanta Falcons",FALSE,FALSE,NA,69,68,666,174.14565,722,823,158,FALSE,"QRCODE","2018-08-24T21:53:35Z","Atlanta, GA 30313","Atlanta, GA","Mercedes-Benz Stadium","Mercedes-Benz Stadium","US","America/New_York","Atlanta",TRUE,0,0.76958936,0,18,419590,"GA","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium","35 Northside Dr NW","30313",-84.4,33.76,FALSE,"QRCODE","2018-08-23T20:14:46Z"
"7","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:40",0.87,"Steelers at Bengals",0.893,"","2018-10-14T17:00:00","2018-10-14T21:00:00",4347042,"2018-10-14T13:00:00","https://seatgeek.com/steelers-at-bengals-tickets/10-14-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347042","nfl","Pittsburgh Steelers at Cincinnati Bengals",FALSE,FALSE,NA,115,122,264,190.28409,661,476,164,FALSE,"QRCODE","2018-08-24T21:53:35Z","Cincinnati, OH 45202","Cincinnati, OH","Paul Brown Stadium","Paul Brown Stadium","US","America/New_York","Cincinnati",TRUE,0,0.86166537,515,6,1124,"OH","https://seatgeek.com/venues/paul-brown-stadium/tickets","paul-brown-stadium","1 Paul Brown Stadium","45202",-84.5177,39.0961,FALSE,"QRCODE_TM","2015-10-09T16:14:37Z"
"8","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:47",0.87,"Bears at Dolphins",0.895,"","2018-10-14T17:00:00","2018-10-14T21:00:00",4347081,"2018-10-14T13:00:00","https://seatgeek.com/bears-at-dolphins-tickets/10-14-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347081","nfl","Chicago Bears at Miami Dolphins",FALSE,FALSE,NA,104,80,88,275.19318,5666,644,198,FALSE,"QRCODE","2018-08-24T21:53:35Z","Miami Gardens, FL 33056","Miami Gardens, FL","Hard Rock Stadium","Hard Rock Stadium","US","America/New_York","Miami Gardens",TRUE,0,0.8378203,528,34,29,"FL","https://seatgeek.com/venues/hard-rock-stadium/tickets","hard-rock-stadium","347 Don Shula Dr.","33056",-80.24,25.96,FALSE,"NONE","2017-10-03T18:58:44Z"
"9","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T01:04:06",0.868,"Cardinals at Vikings",0.896,"","2018-10-14T17:00:00","2018-10-14T21:00:00",4347145,"2018-10-14T12:00:00","https://seatgeek.com/cardinals-at-vikings-tickets/10-14-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347145","nfl","Arizona Cardinals at Minnesota Vikings",FALSE,FALSE,NA,116,115,373,276.71582,994,478,232,FALSE,"QRCODE","2018-08-24T21:53:38Z","Minneapolis, MN 55415","Minneapolis, MN","U.S. Bank Stadium","U.S. Bank Stadium","US","America/Chicago","Minneapolis",TRUE,0,0.88524246,0,15,218451,"MN","https://seatgeek.com/venues/u-s-bank-stadium/tickets","u-s-bank-stadium","401 Chicago Avenue","55415",-93.26,44.97,FALSE,"NONE","2018-08-22T15:34:15Z"
"10","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:31",0.854,"Chargers at Browns",0.871,"","2018-10-14T17:00:00","2018-10-14T21:00:00",4346998,"2018-10-14T13:00:00","https://seatgeek.com/chargers-at-browns-tickets/10-14-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346998","nfl","Los Angeles Chargers at Cleveland Browns",FALSE,FALSE,NA,64,67,585,142.41026,755,723,105,FALSE,"QRCODE","2018-08-24T21:53:35Z","Cleveland, OH 44114","Cleveland, OH","FirstEnergy Stadium","FirstEnergy Stadium","US","America/New_York","Cleveland",TRUE,0,0.86852187,510,5,1123,"OH","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","firstenergy-stadium-15","100 Alfred Lerner Way","44114",-81.7,41.5065,FALSE,"NONE","2015-11-11T20:55:31Z"
