"","date","timestamp","time_tbd","id","datetime_local","date_tbd","popularity","url","announce_date","visible_until_utc","is_open","status","description","type","datetime_tbd","score","datetime_utc","created_at","short_title","title","general_admission","median_price","listing_count","highest_price","lowest_price","lowest_price_good_deals","average_price","visible_listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","timezone","has_upcoming_events","id_venue","popularity_venue","url_venue","country","display_location","name","slug","address","postal_code","metro_code","extended_address","num_upcoming_events","state","name_v2","score_venue","city","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-10-10","2018-10-10_08.11.57",FALSE,4346917,"2018-10-11T20:20:00",FALSE,0.966,"https://seatgeek.com/eagles-at-giants-tickets/10-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346917","2018-04-20T00:00:00","2018-10-12T04:20:00",FALSE,"normal","","nfl",FALSE,0.955,"2018-10-12T00:20:00","2018-04-20T00:47:14","Eagles at Giants","Philadelphia Eagles at New York Giants",NA,186,175,1519,90,90,237.98286,2025,"2018-08-24T21:52:02Z",FALSE,"QRCODE","America/New_York",TRUE,1587,0,"https://seatgeek.com/venues/metlife-stadium/tickets","US","East Rutherford, NJ","MetLife Stadium","metlife-stadium","1 MetLife Stadium Drive","07073",501,"East Rutherford, NJ 07073",14,"NJ","MetLife Stadium",0.94873494,"East Rutherford",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"2","2018-10-10","2018-10-10_08.11.57",FALSE,4192619,"2018-10-13T16:00:00",FALSE,0.635,"https://seatgeek.com/alabama-state-hornets-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-13-4-pm/4192619","2017-12-21T00:00:00","2018-10-14T01:00:00",FALSE,"normal","","ncaa_football",FALSE,0.492,"2018-10-13T21:00:00","2017-12-21T15:00:36","Alabama State at South Alabama","Alabama State Hornets at South Alabama Jaguars Football",NA,42,9,54,25,25,41.666668,4,NA,NA,NA,"America/Chicago",TRUE,3716,0,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets","US","Mobile, AL","Ladd Peebles Stadium","ladd-peebles-stadium","1621 Virginia St.","36604",686,"Mobile, AL 36604",5,"AL","Ladd Peebles Stadium",0.50177634,"Mobile",30.6748,-88.0761,NA,NA,NA
"3","2018-10-10","2018-10-10_08.11.57",FALSE,4346961,"2018-10-14T13:00:00",FALSE,0.947,"https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961","2018-04-20T00:00:00","2018-10-14T21:00:00",FALSE,"normal","","nfl",FALSE,0.935,"2018-10-14T17:00:00","2018-04-20T00:47:22","Colts at Jets","Indianapolis Colts at New York Jets",NA,122,534,6047,47,34,166.00374,1484,"2018-08-24T21:52:02Z",FALSE,"QRCODE","America/New_York",TRUE,1587,0,"https://seatgeek.com/venues/metlife-stadium/tickets","US","East Rutherford, NJ","MetLife Stadium","metlife-stadium","1 MetLife Stadium Drive","07073",501,"East Rutherford, NJ 07073",14,"NJ","MetLife Stadium",0.94873494,"East Rutherford",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"4","2018-10-10","2018-10-10_08.11.57",FALSE,4347042,"2018-10-14T13:00:00",FALSE,0.919,"https://seatgeek.com/steelers-at-bengals-tickets/10-14-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347042","2018-04-20T00:00:00","2018-10-14T21:00:00",FALSE,"normal","","nfl",FALSE,0.903,"2018-10-14T17:00:00","2018-04-20T00:47:40","Steelers at Bengals","Pittsburgh Steelers at Cincinnati Bengals",NA,164,221,548,104,110,182.0181,699,"2018-08-24T21:53:35Z",FALSE,"QRCODE","America/New_York",TRUE,1124,0,"https://seatgeek.com/venues/paul-brown-stadium/tickets","US","Cincinnati, OH","Paul Brown Stadium","paul-brown-stadium","1 Paul Brown Stadium","45202",515,"Cincinnati, OH 45202",6,"OH","Paul Brown Stadium",0.86166537,"Cincinnati",39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"5","2018-10-10","2018-10-10_08.11.57",FALSE,4347051,"2018-10-14T13:00:00",FALSE,0.918,"https://seatgeek.com/buccaneers-at-falcons-tickets/10-14-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347051","2018-04-20T00:00:00","2018-10-14T21:00:00",FALSE,"normal","","nfl",FALSE,0.905,"2018-10-14T17:00:00","2018-04-20T00:47:42","Buccaneers at Falcons","Tampa Bay Buccaneers at Atlanta Falcons",NA,125,493,622,56,56,150.428,2263,"2018-08-24T21:53:35Z",FALSE,"QRCODE","America/New_York",TRUE,419590,0,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","US","Atlanta, GA","Mercedes-Benz Stadium","mercedes-benz-stadium","35 Northside Dr NW","30313",0,"Atlanta, GA 30313",18,"GA","Mercedes-Benz Stadium",0.76958936,"Atlanta",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"6","2018-10-10","2018-10-10_08.11.57",FALSE,4347081,"2018-10-14T13:00:00",FALSE,0.929,"https://seatgeek.com/bears-at-dolphins-tickets/10-14-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347081","2018-04-20T00:00:00","2018-10-14T21:00:00",FALSE,"normal","","nfl",FALSE,0.911,"2018-10-14T17:00:00","2018-04-20T00:47:47","Bears at Dolphins","Chicago Bears at Miami Dolphins",NA,193,89,666,83,83,204.04494,1260,"2018-08-24T21:53:35Z",FALSE,"QRCODE","America/New_York",TRUE,29,0,"https://seatgeek.com/venues/hard-rock-stadium/tickets","US","Miami Gardens, FL","Hard Rock Stadium","hard-rock-stadium","347 Don Shula Dr.","33056",528,"Miami Gardens, FL 33056",34,"FL","Hard Rock Stadium",0.8378203,"Miami Gardens",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"7","2018-10-10","2018-10-10_08.11.57",FALSE,4346942,"2018-10-14T13:00:00",FALSE,0.947,"https://seatgeek.com/panthers-at-redskins-tickets/10-14-2018-landover-maryland-fedex-field/nfl/4346942","2018-04-20T00:00:00","2018-10-14T21:00:00",FALSE,"normal","","nfl",FALSE,0.945,"2018-10-14T17:00:00","2018-04-20T00:47:18","Panthers at Redskins","Carolina Panthers at Washington Redskins",NA,140,73,259,98,92,147.50685,933,"2018-08-24T21:52:02Z",FALSE,"QRCODE","America/New_York",TRUE,35,0,"https://seatgeek.com/venues/fedex-field/tickets","US","Landover, MD","FedEx Field","fedex-field","1600 Fedex Way","20785",511,"Landover, MD 20785",6,"MD","FedEx Field",0.9333444,"Landover",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"8","2018-10-10","2018-10-10_08.11.57",FALSE,4347145,"2018-10-14T12:00:00",FALSE,0.919,"https://seatgeek.com/cardinals-at-vikings-tickets/10-14-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347145","2018-04-20T00:00:00","2018-10-14T21:00:00",FALSE,"normal","","nfl",FALSE,0.904,"2018-10-14T17:00:00","2018-04-20T01:04:06","Cardinals at Vikings","Arizona Cardinals at Minnesota Vikings",NA,231,296,926,96,96,280.27026,1203,"2018-08-24T21:53:38Z",FALSE,"QRCODE","America/Chicago",TRUE,218451,0,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","US","Minneapolis, MN","U.S. Bank Stadium","u-s-bank-stadium","401 Chicago Avenue","55415",0,"Minneapolis, MN 55415",15,"MN","U.S. Bank Stadium",0.88524246,"Minneapolis",44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"9","2018-10-10","2018-10-10_08.11.57",FALSE,4346998,"2018-10-14T13:00:00",FALSE,0.903,"https://seatgeek.com/chargers-at-browns-tickets/10-14-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346998","2018-04-20T00:00:00","2018-10-14T21:00:00",FALSE,"normal","","nfl",FALSE,0.88,"2018-10-14T17:00:00","2018-04-20T00:47:31","Chargers at Browns","Los Angeles Chargers at Cleveland Browns",NA,96,514,559,60,50,128.59727,1056,"2018-08-24T21:53:35Z",FALSE,"QRCODE","America/New_York",TRUE,1123,0,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets","US","Cleveland, OH","FirstEnergy Stadium","firstenergy-stadium-15","100 Alfred Lerner Way","44114",510,"Cleveland, OH 44114",5,"OH","FirstEnergy Stadium",0.86852187,"Cleveland",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"10","2018-10-10","2018-10-10_08.11.57",FALSE,4347019,"2018-10-14T12:00:00",FALSE,0.909,"https://seatgeek.com/bills-at-texans-tickets/10-14-2018-houston-texas-nrg-stadium/nfl/4347019","2018-04-20T00:00:00","2018-10-14T21:00:00",FALSE,"normal","","nfl",FALSE,0.889,"2018-10-14T17:00:00","2018-04-20T00:47:36","Bills at Texans","Buffalo Bills at Houston Texans",NA,120,506,630,53,53,143.87352,1807,"2018-08-24T21:53:35Z",FALSE,"QRCODE","America/Chicago",TRUE,41,0,"https://seatgeek.com/venues/nrg-stadium/tickets","US","Houston, TX","NRG Stadium","nrg-stadium","1 Reliant Park","77054",618,"Houston, TX 77054",42,"TX","NRG Stadium",0.8624192,"Houston",29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
