"","date","timestamp","type","is_open","datetime_tbd","announce_date","score","datetime_utc","datetime_local","id","url","popularity","title","time_tbd","status","created_at","short_title","description","date_tbd","visible_until_utc","general_admission","lowest_price","lowest_price_good_deals","average_price","listing_count","highest_price","visible_listing_count","median_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","display_location","address","city","metro_code","state","score_venue","country","name","has_upcoming_events","id_venue","url_venue","popularity_venue","timezone","extended_address","slug","name_v2","postal_code","num_upcoming_events","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.955,"2018-10-12T00:20:00","2018-10-11T20:20:00",4346917,"https://seatgeek.com/eagles-at-giants-tickets/10-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346917",0.966,"Philadelphia Eagles at New York Giants",FALSE,"normal","2018-04-20T00:47:14","Eagles at Giants","",FALSE,"2018-10-12T04:20:00",NA,85,85,230.64912,171,1519,2008,178,"QRCODE",FALSE,"2018-08-24T21:52:02Z","East Rutherford, NJ","1 MetLife Stadium Drive","East Rutherford",501,"NJ",0.94873494,"US","MetLife Stadium",TRUE,1587,"https://seatgeek.com/venues/metlife-stadium/tickets",0,"America/New_York","East Rutherford, NJ 07073","metlife-stadium","MetLife Stadium","07073",14,-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"2","2018-10-10","2018-10-10_11.05.12","ncaa_football",FALSE,FALSE,"2017-12-21T00:00:00",0.492,"2018-10-13T21:00:00","2018-10-13T16:00:00",4192619,"https://seatgeek.com/alabama-state-hornets-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-13-4-pm/4192619",0.635,"Alabama State Hornets at South Alabama Jaguars Football",FALSE,"normal","2017-12-21T15:00:36","Alabama State at South Alabama","",FALSE,"2018-10-14T01:00:00",NA,25,25,41.666668,9,54,4,42,NA,NA,NA,"Mobile, AL","1621 Virginia St.","Mobile",686,"AL",0.50177634,"US","Ladd Peebles Stadium",TRUE,3716,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets",0,"America/Chicago","Mobile, AL 36604","ladd-peebles-stadium","Ladd Peebles Stadium","36604",5,-88.0761,30.6748,NA,NA,NA
"3","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.905,"2018-10-14T17:00:00","2018-10-14T13:00:00",4347051,"https://seatgeek.com/buccaneers-at-falcons-tickets/10-14-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347051",0.918,"Tampa Bay Buccaneers at Atlanta Falcons",FALSE,"normal","2018-04-20T00:47:42","Buccaneers at Falcons","",FALSE,"2018-10-14T21:00:00",NA,56,56,145.94376,480,622,2268,122,"QRCODE",FALSE,"2018-08-24T21:53:35Z","Atlanta, GA","35 Northside Dr NW","Atlanta",0,"GA",0.76958936,"US","Mercedes-Benz Stadium",TRUE,419590,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets",0,"America/New_York","Atlanta, GA 30313","mercedes-benz-stadium","Mercedes-Benz Stadium","30313",18,-84.4,33.76,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"4","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.935,"2018-10-14T17:00:00","2018-10-14T13:00:00",4346961,"https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961",0.947,"Indianapolis Colts at New York Jets",FALSE,"normal","2018-04-20T00:47:22","Colts at Jets","",FALSE,"2018-10-14T21:00:00",NA,43,34,142.49438,534,900,1498,124,"QRCODE",FALSE,"2018-08-24T21:52:02Z","East Rutherford, NJ","1 MetLife Stadium Drive","East Rutherford",501,"NJ",0.94873494,"US","MetLife Stadium",TRUE,1587,"https://seatgeek.com/venues/metlife-stadium/tickets",0,"America/New_York","East Rutherford, NJ 07073","metlife-stadium","MetLife Stadium","07073",14,-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"5","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.903,"2018-10-14T17:00:00","2018-10-14T13:00:00",4347042,"https://seatgeek.com/steelers-at-bengals-tickets/10-14-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347042",0.919,"Pittsburgh Steelers at Cincinnati Bengals",FALSE,"normal","2018-04-20T00:47:40","Steelers at Bengals","",FALSE,"2018-10-14T21:00:00",NA,108,108,180.96245,213,548,551,161,"QRCODE",FALSE,"2018-08-24T21:53:35Z","Cincinnati, OH","1 Paul Brown Stadium","Cincinnati",515,"OH",0.86166537,"US","Paul Brown Stadium",TRUE,1124,"https://seatgeek.com/venues/paul-brown-stadium/tickets",0,"America/New_York","Cincinnati, OH 45202","paul-brown-stadium","Paul Brown Stadium","45202",6,-84.5177,39.0961,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"6","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.911,"2018-10-14T17:00:00","2018-10-14T13:00:00",4347081,"https://seatgeek.com/bears-at-dolphins-tickets/10-14-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347081",0.929,"Chicago Bears at Miami Dolphins",FALSE,"normal","2018-04-20T00:47:47","Bears at Dolphins","",FALSE,"2018-10-14T21:00:00",NA,84,84,209.71765,85,666,1254,198,"QRCODE",FALSE,"2018-08-24T21:53:35Z","Miami Gardens, FL","347 Don Shula Dr.","Miami Gardens",528,"FL",0.8378203,"US","Hard Rock Stadium",TRUE,29,"https://seatgeek.com/venues/hard-rock-stadium/tickets",0,"America/New_York","Miami Gardens, FL 33056","hard-rock-stadium","Hard Rock Stadium","33056",34,-80.24,25.96,"NONE",FALSE,"2017-10-03T18:58:44Z"
"7","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.88,"2018-10-14T17:00:00","2018-10-14T13:00:00",4346998,"https://seatgeek.com/chargers-at-browns-tickets/10-14-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346998",0.903,"Los Angeles Chargers at Cleveland Browns",FALSE,"normal","2018-04-20T00:47:31","Chargers at Browns","",FALSE,"2018-10-14T21:00:00",NA,58,49,127.59638,498,559,1044,95,"QRCODE",FALSE,"2018-08-24T21:53:35Z","Cleveland, OH","100 Alfred Lerner Way","Cleveland",510,"OH",0.86852187,"US","FirstEnergy Stadium",TRUE,1123,"https://seatgeek.com/venues/firstenergy-stadium-15/tickets",0,"America/New_York","Cleveland, OH 44114","firstenergy-stadium-15","FirstEnergy Stadium","44114",5,-81.7,41.5065,"NONE",FALSE,"2015-11-11T20:55:31Z"
"8","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.889,"2018-10-14T17:00:00","2018-10-14T12:00:00",4347019,"https://seatgeek.com/bills-at-texans-tickets/10-14-2018-houston-texas-nrg-stadium/nfl/4347019",0.909,"Buffalo Bills at Houston Texans",FALSE,"normal","2018-04-20T00:47:36","Bills at Texans","",FALSE,"2018-10-14T21:00:00",NA,50,50,141.08502,494,630,1810,116,"QRCODE",FALSE,"2018-08-24T21:53:35Z","Houston, TX","1 Reliant Park","Houston",618,"TX",0.8624192,"US","NRG Stadium",TRUE,41,"https://seatgeek.com/venues/nrg-stadium/tickets",0,"America/Chicago","Houston, TX 77054","nrg-stadium","NRG Stadium","77054",42,-95.4107,29.6847,"QRCODE_TM",FALSE,"2015-11-04T18:42:27Z"
"9","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.945,"2018-10-14T17:00:00","2018-10-14T13:00:00",4346942,"https://seatgeek.com/panthers-at-redskins-tickets/10-14-2018-landover-maryland-fedex-field/nfl/4346942",0.947,"Carolina Panthers at Washington Redskins",FALSE,"normal","2018-04-20T00:47:18","Panthers at Redskins","",FALSE,"2018-10-14T21:00:00",NA,98,92,147.06944,72,259,921,139,"QRCODE",FALSE,"2018-08-24T21:52:02Z","Landover, MD","1600 Fedex Way","Landover",511,"MD",0.9333444,"US","FedEx Field",TRUE,35,"https://seatgeek.com/venues/fedex-field/tickets",0,"America/New_York","Landover, MD 20785","fedex-field","FedEx Field","20785",6,-76.8658,38.9071,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"10","2018-10-10","2018-10-10_11.05.12","nfl",FALSE,FALSE,"2018-04-20T00:00:00",0.904,"2018-10-14T17:00:00","2018-10-14T12:00:00",4347145,"https://seatgeek.com/cardinals-at-vikings-tickets/10-14-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347145",0.919,"Arizona Cardinals at Minnesota Vikings",FALSE,"normal","2018-04-20T01:04:06","Cardinals at Vikings","",FALSE,"2018-10-14T21:00:00",NA,96,96,276.38516,283,922,1197,226,"QRCODE",FALSE,"2018-08-24T21:53:38Z","Minneapolis, MN","401 Chicago Avenue","Minneapolis",0,"MN",0.88524246,"US","U.S. Bank Stadium",TRUE,218451,"https://seatgeek.com/venues/u-s-bank-stadium/tickets",0,"America/Chicago","Minneapolis, MN 55415","u-s-bank-stadium","U.S. Bank Stadium","55415",15,-93.26,44.97,"NONE",FALSE,"2018-08-22T15:34:15Z"
