"","date","timestamp","datetime_tbd","announce_date","datetime_utc","date_tbd","status","time_tbd","is_open","title","visible_until_utc","url","type","id","description","created_at","popularity","score","datetime_local","short_title","general_admission","listing_count","median_price","lowest_price_good_deals","average_price","lowest_price","highest_price","visible_listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","address","has_upcoming_events","postal_code","extended_address","timezone","display_location","num_upcoming_events","city","country","name","url_venue","slug","metro_code","id_venue","popularity_venue","name_v2","state","score_venue","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"1","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-10-12T00:20:00",FALSE,"normal",FALSE,FALSE,"Philadelphia Eagles at New York Giants","2018-10-12T04:20:00","https://seatgeek.com/eagles-at-giants-tickets/10-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346917","nfl",4346917,"","2018-04-20T00:47:14",0.958,0.968,"2018-10-11T20:20:00","Eagles at Giants",NA,145,164,83,217.68965,83,1519,2710,"2018-08-24T21:52:02Z","QRCODE",FALSE,"1 MetLife Stadium Drive",TRUE,"07073","East Rutherford, NJ 07073","America/New_York","East Rutherford, NJ",14,"East Rutherford","US","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium",501,1587,0,"MetLife Stadium","NJ",0.94873494,40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"2","2018-10-10","2018-10-10_15.16.02",FALSE,"2017-12-21T00:00:00","2018-10-13T21:00:00",FALSE,"normal",FALSE,FALSE,"Alabama State Hornets at South Alabama Jaguars Football","2018-10-14T01:00:00","https://seatgeek.com/alabama-state-hornets-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-13-4-pm/4192619","ncaa_football",4192619,"","2017-12-21T15:00:36",0.635,0.492,"2018-10-13T16:00:00","Alabama State at South Alabama",NA,8,37,32,42.625,32,54,4,NA,NA,NA,"1621 Virginia St.",TRUE,"36604","Mobile, AL 36604","America/Chicago","Mobile, AL",5,"Mobile","US","Ladd Peebles Stadium","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","ladd-peebles-stadium",686,3716,0,"Ladd Peebles Stadium","AL",0.50177634,30.6748,-88.0761,NA,NA,NA
"3","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-10-14T17:00:00",FALSE,"normal",FALSE,FALSE,"Indianapolis Colts at New York Jets","2018-10-14T21:00:00","https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961","nfl",4346961,"","2018-04-20T00:47:22",0.935,0.943,"2018-10-14T13:00:00","Colts at Jets",NA,572,118,34,136.08217,46,900,1488,"2018-08-24T21:52:02Z","QRCODE",FALSE,"1 MetLife Stadium Drive",TRUE,"07073","East Rutherford, NJ 07073","America/New_York","East Rutherford, NJ",14,"East Rutherford","US","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium",501,1587,0,"MetLife Stadium","NJ",0.94873494,40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"4","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-10-14T17:00:00",FALSE,"normal",FALSE,FALSE,"Tampa Bay Buccaneers at Atlanta Falcons","2018-10-14T21:00:00","https://seatgeek.com/buccaneers-at-falcons-tickets/10-14-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347051","nfl",4347051,"","2018-04-20T00:47:42",0.906,0.914,"2018-10-14T13:00:00","Buccaneers at Falcons",NA,467,120,56,142.21199,56,611,2261,"2018-08-24T21:53:35Z","QRCODE",FALSE,"441 M.L.K. Jr Dr NW",TRUE,"30313","Atlanta, GA 30313","America/New_York","Atlanta, GA",18,"Atlanta","US","Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium",0,419590,0,"Mercedes-Benz Stadium","GA",0.76958936,33.76,-84.4,"2018-08-23T20:14:46Z","QRCODE",FALSE
"5","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-10-14T17:00:00",FALSE,"normal",FALSE,FALSE,"Pittsburgh Steelers at Cincinnati Bengals","2018-10-14T21:00:00","https://seatgeek.com/steelers-at-bengals-tickets/10-14-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347042","nfl",4347042,"","2018-04-20T00:47:40",0.912,0.917,"2018-10-14T13:00:00","Steelers at Bengals",NA,211,158,104,178.28436,104,548,540,"2018-08-24T21:53:35Z","QRCODE",FALSE,"1 Paul Brown Stadium",TRUE,"45202","Cincinnati, OH 45202","America/New_York","Cincinnati, OH",6,"Cincinnati","US","Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","paul-brown-stadium",515,1124,0,"Paul Brown Stadium","OH",0.86166537,39.0961,-84.5177,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
"6","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-10-14T17:00:00",FALSE,"normal",FALSE,FALSE,"Chicago Bears at Miami Dolphins","2018-10-14T21:00:00","https://seatgeek.com/bears-at-dolphins-tickets/10-14-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347081","nfl",4347081,"","2018-04-20T00:47:47",0.926,0.931,"2018-10-14T13:00:00","Bears at Dolphins",NA,86,192,83,198.46512,83,347,1243,"2018-08-24T21:53:35Z","QRCODE",FALSE,"347 Don Shula Dr.",TRUE,"33056","Miami Gardens, FL 33056","America/New_York","Miami Gardens, FL",34,"Miami Gardens","US","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","hard-rock-stadium",528,29,0,"Hard Rock Stadium","FL",0.8378203,25.96,-80.24,"2017-10-03T18:58:44Z","NONE",FALSE
"7","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-10-14T17:00:00",FALSE,"normal",FALSE,FALSE,"Buffalo Bills at Houston Texans","2018-10-14T21:00:00","https://seatgeek.com/bills-at-texans-tickets/10-14-2018-houston-texas-nrg-stadium/nfl/4347019","nfl",4347019,"","2018-04-20T00:47:36",0.896,0.896,"2018-10-14T12:00:00","Bills at Texans",NA,479,115,53,141.92067,53,630,1804,"2018-08-24T21:53:35Z","QRCODE",FALSE,"1 Reliant Park",TRUE,"77054","Houston, TX 77054","America/Chicago","Houston, TX",44,"Houston","US","NRG Stadium","https://seatgeek.com/venues/nrg-stadium/tickets","nrg-stadium",618,41,0,"NRG Stadium","TX",0.8624192,29.6847,-95.4107,"2015-11-04T18:42:27Z","QRCODE_TM",FALSE
"8","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-10-14T17:00:00",FALSE,"normal",FALSE,FALSE,"Arizona Cardinals at Minnesota Vikings","2018-10-14T21:00:00","https://seatgeek.com/cardinals-at-vikings-tickets/10-14-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347145","nfl",4347145,"","2018-04-20T01:04:06",0.906,0.91,"2018-10-14T12:00:00","Cardinals at Vikings",NA,277,226,108,271.95306,110,892,1169,"2018-08-24T21:53:38Z","QRCODE",FALSE,"900 South 5th Street",TRUE,"55415","Minneapolis, MN 55415","America/Chicago","Minneapolis, MN",15,"Minneapolis","US","U.S. Bank Stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets","u-s-bank-stadium",0,218451,0,"U.S. Bank Stadium","MN",0.88524246,44.97,-93.26,"2018-08-22T15:34:15Z","NONE",FALSE
"9","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-10-14T17:00:00",FALSE,"normal",FALSE,FALSE,"Los Angeles Chargers at Cleveland Browns","2018-10-14T21:00:00","https://seatgeek.com/chargers-at-browns-tickets/10-14-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346998","nfl",4346998,"","2018-04-20T00:47:31",0.887,0.883,"2018-10-14T13:00:00","Chargers at Browns",NA,497,93,53,120.114685,57,569,1041,"2018-08-24T21:53:35Z","QRCODE",FALSE,"100 Alfred Lerner Way",TRUE,"44114","Cleveland, OH 44114","America/New_York","Cleveland, OH",6,"Cleveland","US","FirstEnergy Stadium","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","firstenergy-stadium-15",510,1123,0,"FirstEnergy Stadium","OH",0.86852187,41.5065,-81.7,"2015-11-11T20:55:31Z","NONE",FALSE
"10","2018-10-10","2018-10-10_15.16.02",FALSE,"2018-04-20T00:00:00","2018-10-14T17:00:00",FALSE,"normal",FALSE,FALSE,"Carolina Panthers at Washington Redskins","2018-10-14T21:00:00","https://seatgeek.com/panthers-at-redskins-tickets/10-14-2018-landover-maryland-fedex-field/nfl/4346942","nfl",4346942,"","2018-04-20T00:47:18",0.938,0.956,"2018-10-14T13:00:00","Panthers at Redskins",NA,73,142,90,146.82191,98,259,1199,"2018-08-24T21:52:02Z","QRCODE",FALSE,"1600 Fedex Way",TRUE,"20785","Landover, MD 20785","America/New_York","Landover, MD",6,"Landover","US","FedEx Field","https://seatgeek.com/venues/fedex-field/tickets","fedex-field",511,35,0,"FedEx Field","MD",0.9333444,38.9071,-76.8658,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
