"","date","timestamp","id","type","time_tbd","title","description","is_open","visible_until_utc","created_at","datetime_utc","score","status","announce_date","short_title","url","datetime_local","datetime_tbd","date_tbd","popularity","general_admission","highest_price","lowest_price_good_deals","listing_count","average_price","lowest_price","median_price","visible_listing_count","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","num_upcoming_events","id_venue","name_v2","postal_code","country","score_venue","timezone","display_location","has_upcoming_events","extended_address","slug","url_venue","address","name","city","metro_code","popularity_venue","state","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-10-15","2018-10-15_11.08.54",4346914,"nfl",FALSE,"San Francisco 49ers at Green Bay Packers","",FALSE,"2018-10-16T04:15:00","2018-04-20T00:47:13","2018-10-16T00:15:00",0.875,"normal","2018-04-20T00:00:00","49ers at Packers","https://seatgeek.com/49ers-at-packers-tickets/10-15-2018-green-bay-wisconsin-lambeau-field/nfl/4346914","2018-10-15T19:15:00",FALSE,FALSE,0.9,NA,334,75,60,143.1,75,138,708,"QRCODE",FALSE,"2018-08-24T21:53:38Z",5,1125,"Lambeau Field","54304","US",0.92909414,"America/Chicago","Green Bay, WI",TRUE,"Green Bay, WI 54304","lambeau-field","https://seatgeek.com/venues/lambeau-field/tickets","1265 Lombardi Avenue","Lambeau Field","Green Bay",658,0,"WI",44.5013,-88.0622,"QRCODE_TM",FALSE,"2015-09-02T22:43:34Z"
"2","2018-10-15","2018-10-15_11.08.54",4347102,"nfl",FALSE,"Denver Broncos at Arizona Cardinals","",FALSE,"2018-10-19T04:20:00","2018-04-20T00:47:51","2018-10-19T00:20:00",0.864,"normal","2018-04-20T00:00:00","Broncos at Cardinals","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102","2018-10-18T17:20:00",FALSE,FALSE,0.9,NA,600,57,271,149.3358,57,121,1117,"QRCODE",FALSE,"2018-08-24T21:53:38Z",10,43,"State Farm Stadium","85305","US",0.93402725,"America/Phoenix","Glendale, AZ",TRUE,"Glendale, AZ 85305","state-farm-stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","1 Cardinals Drive","State Farm Stadium","Glendale",753,0,"AZ",33.5294,-112.262,"NONE",FALSE,"2015-12-21T17:26:05Z"
"3","2018-10-15","2018-10-15_11.08.54",4471322,"sports",FALSE,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","",FALSE,"2018-10-21T03:30:00","2018-08-01T16:01:33","2018-10-20T23:30:00",0.323,"normal","2018-08-01T00:00:00","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322","2018-10-20T18:30:00",FALSE,FALSE,0.52,NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T21:53:38Z",41,4081,"ASU Convocation Center","72401","US",0.5808074,"America/Chicago","Jonesboro, AR",TRUE,"Jonesboro, AR 72401","asu-convocation-center-1","https://seatgeek.com/venues/asu-convocation-center-1/tickets","217 Olympic Drive","ASU Convocation Center","Jonesboro",734,0,"AR",35.8438,-90.6691,NA,NA,NA
"4","2018-10-15","2018-10-15_11.08.54",4347008,"nfl",FALSE,"New England Patriots at Chicago Bears","",FALSE,"2018-10-21T21:00:00","2018-04-20T00:47:33","2018-10-21T17:00:00",0.923,"normal","2018-04-20T00:00:00","Patriots at Bears","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008","2018-10-21T12:00:00",FALSE,FALSE,0.927,NA,1688,301,33,794.1818,393,686,421,"QRCODE",FALSE,"2018-08-24T21:53:38Z",8,31,"Soldier Field","60605","US",0.940013,"America/Chicago","Chicago, IL",TRUE,"Chicago, IL 60605","soldier-field","https://seatgeek.com/venues/soldier-field/tickets","1410 S. Museum Campus Drive","Soldier Field","Chicago",602,0,"IL",41.8623,-87.6159,"NONE",FALSE,"2018-06-02T00:44:08Z"
"5","2018-10-15","2018-10-15_11.08.54",4346960,"nfl",FALSE,"Buffalo Bills at Indianapolis Colts","",FALSE,"2018-10-21T21:00:00","2018-04-20T00:47:22","2018-10-21T17:00:00",0.797,"normal","2018-04-20T00:00:00","Bills at Colts","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960","2018-10-21T13:00:00",FALSE,FALSE,0.836,NA,6034,24,613,225.97879,28,89,1132,"QRCODE",FALSE,"2018-08-24T21:53:38Z",12,1130,"Lucas Oil Stadium","46225","US",0.9071682,"America/Indiana/Indianapolis","Indianapolis, IN",TRUE,"Indianapolis, IN 46225","lucas-oil-stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","500 South Capitol Avenue","Lucas Oil Stadium","Indianapolis",527,0,"IN",39.7601,-86.1639,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"6","2018-10-15","2018-10-15_11.08.54",4346975,"nfl",FALSE,"Minnesota Vikings at New York Jets","",FALSE,"2018-10-21T21:00:00","2018-04-20T00:47:26","2018-10-21T17:00:00",0.891,"normal","2018-04-20T00:00:00","Vikings at Jets","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","2018-10-21T13:00:00",FALSE,FALSE,0.907,NA,752,69,385,192.76624,76,166,1141,"QRCODE",FALSE,"2018-08-24T21:53:38Z",12,1587,"MetLife Stadium","07073","US",0.94873494,"America/New_York","East Rutherford, NJ",TRUE,"East Rutherford, NJ 07073","metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets","1 MetLife Stadium Drive","MetLife Stadium","East Rutherford",501,0,"NJ",40.8142,-74.0737,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"7","2018-10-15","2018-10-15_11.08.54",4346931,"nfl",FALSE,"Cleveland Browns at Tampa Bay Buccaneers","",FALSE,"2018-10-21T21:00:00","2018-04-20T00:47:16","2018-10-21T17:00:00",0.815,"normal","2018-04-20T00:00:00","Browns at Buccaneers","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","2018-10-21T13:00:00",FALSE,FALSE,0.847,NA,450,81,2,357.5,265,265,430,"QRCODE",FALSE,"2018-08-24T21:53:38Z",14,39,"Raymond James Stadium","33607","US",0.86513025,"America/New_York","Tampa, FL",TRUE,"Tampa, FL 33607","raymond-james-stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","4201 North Dale Mabry Highway","Raymond James Stadium","Tampa",539,0,"FL",27.9753,-82.5034,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"8","2018-10-15","2018-10-15_11.08.54",4347084,"nfl",FALSE,"Detroit Lions at Miami Dolphins","",FALSE,"2018-10-21T21:00:00","2018-04-20T00:47:47","2018-10-21T17:00:00",0.838,"normal","2018-04-20T00:00:00","Lions at Dolphins","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","2018-10-21T13:00:00",FALSE,FALSE,0.864,NA,301,48,121,142.70248,61,134,1627,"QRCODE",FALSE,"2018-08-24T21:53:38Z",32,29,"Hard Rock Stadium","33056","US",0.8378203,"America/New_York","Miami Gardens, FL",TRUE,"Miami Gardens, FL 33056","hard-rock-stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","347 Don Shula Dr.","Hard Rock Stadium","Miami Gardens",528,0,"FL",25.96,-80.24,"NONE",FALSE,"2017-10-03T18:58:44Z"
"9","2018-10-15","2018-10-15_11.08.54",4347036,"nfl",FALSE,"Carolina Panthers at Philadelphia Eagles","",FALSE,"2018-10-21T21:00:00","2018-04-20T00:47:39","2018-10-21T17:00:00",0.884,"normal","2018-04-20T00:00:00","Panthers at Eagles","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036","2018-10-21T13:00:00",FALSE,FALSE,0.898,NA,706,150,186,342.10214,155,318,1108,"QRCODE",FALSE,"2018-08-24T21:53:38Z",13,330,"Lincoln Financial Field","19148","US",0.90542686,"America/New_York","Philadelphia, PA",TRUE,"Philadelphia, PA 19148","lincoln-financial-field","https://seatgeek.com/venues/lincoln-financial-field/tickets","1020 Pattison Ave","Lincoln Financial Field","Philadelphia",504,0,"PA",39.9046,-75.1675,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"10","2018-10-15","2018-10-15_11.08.54",4346948,"nfl",FALSE,"Houston Texans at Jacksonville Jaguars","",FALSE,"2018-10-21T21:00:00","2018-04-20T00:47:19","2018-10-21T17:00:00",0.757,"normal","2018-04-20T00:00:00","Texans at Jaguars","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948","2018-10-21T13:00:00",FALSE,FALSE,0.808,NA,489,32,435,82.71265,32,66,1083,"QRCODE",FALSE,"2018-08-24T21:53:38Z",7,5178,"TIAA Bank Field","32202","US",0.83759147,"America/New_York","Jacksonville, FL",TRUE,"Jacksonville, FL 32202","tiaa-bank-field","https://seatgeek.com/venues/tiaa-bank-field/tickets","1 Everbank Field Dr","TIAA Bank Field","Jacksonville",561,0,"FL",30.3239,-81.6373,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
