"","date","timestamp","date_tbd","datetime_tbd","time_tbd","id","url","short_title","datetime_utc","datetime_local","type","score","title","is_open","popularity","status","description","visible_until_utc","created_at","announce_date","general_admission","median_price","lowest_price_good_deals","highest_price","listing_count","lowest_price","average_price","visible_listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","has_upcoming_events","postal_code","id_venue","url_venue","state","name_v2","name","score_venue","extended_address","timezone","popularity_venue","country","address","slug","display_location","city","metro_code","num_upcoming_events","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347102,"https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102","Broncos at Cardinals","2018-10-19T00:20:00","2018-10-18T17:20:00","nfl",0.915,"Denver Broncos at Arizona Cardinals",FALSE,0.961,"normal","","2018-10-19T04:20:00","2018-04-20T00:47:51","2018-04-20T00:00:00",NA,110,67,396,209,68,136.47847,820,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"85305",43,"https://seatgeek.com/venues/state-farm-stadium/tickets","AZ","State Farm Stadium","State Farm Stadium",0.93402725,"Glendale, AZ 85305","America/Phoenix",0,"US","1 Cardinals Drive","state-farm-stadium","Glendale, AZ","Glendale",753,10,33.5294,-112.262,"2015-12-21T17:26:05Z",FALSE,"NONE"
"2","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4471322,"https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","2018-10-20T23:30:00","2018-10-20T18:30:00","sports",0.344,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball",FALSE,0.57,"normal","","2018-10-21T03:30:00","2018-08-01T16:01:33","2018-08-01T00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"72401",4081,"https://seatgeek.com/venues/asu-convocation-center-1/tickets","AR","ASU Convocation Center","ASU Convocation Center",0.5808074,"Jonesboro, AR 72401","America/Chicago",0,"US","217 Olympic Drive","asu-convocation-center-1","Jonesboro, AR","Jonesboro",734,40,35.8438,-90.6691,NA,NA,NA
"3","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347008,"https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008","Patriots at Bears","2018-10-21T17:00:00","2018-10-21T12:00:00","nfl",0.984,"New England Patriots at Chicago Bears",FALSE,1.004,"normal","","2018-10-21T21:00:00","2018-04-20T00:47:33","2018-04-20T00:00:00",NA,947,325,1688,27,436,943.62964,411,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"60605",31,"https://seatgeek.com/venues/soldier-field/tickets","IL","Soldier Field","Soldier Field",0.940013,"Chicago, IL 60605","America/Chicago",0,"US","1410 S. Museum Campus Drive","soldier-field","Chicago, IL","Chicago",602,8,41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"4","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346960,"https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960","Bills at Colts","2018-10-21T17:00:00","2018-10-21T13:00:00","nfl",0.847,"Buffalo Bills at Indianapolis Colts",FALSE,0.905,"normal","","2018-10-21T21:00:00","2018-04-20T00:47:22","2018-04-20T00:00:00",NA,68,23,345,585,23,80.30257,1158,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"46225",1130,"https://seatgeek.com/venues/lucas-oil-stadium/tickets","IN","Lucas Oil Stadium","Lucas Oil Stadium",0.9071682,"Indianapolis, IN 46225","America/Indiana/Indianapolis",0,"US","500 South Capitol Avenue","lucas-oil-stadium","Indianapolis, IN","Indianapolis",527,12,39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"5","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346975,"https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","Vikings at Jets","2018-10-21T17:00:00","2018-10-21T13:00:00","nfl",0.955,"Minnesota Vikings at New York Jets",FALSE,0.986,"normal","","2018-10-21T21:00:00","2018-04-20T00:47:26","2018-04-20T00:00:00",NA,160,69,753,424,84,183.875,1202,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"07073",1587,"https://seatgeek.com/venues/metlife-stadium/tickets","NJ","MetLife Stadium","MetLife Stadium",0.94873494,"East Rutherford, NJ 07073","America/New_York",0,"US","1 MetLife Stadium Drive","metlife-stadium","East Rutherford, NJ","East Rutherford",501,12,40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"6","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347084,"https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","Lions at Dolphins","2018-10-21T17:00:00","2018-10-21T13:00:00","nfl",0.899,"Detroit Lions at Miami Dolphins",FALSE,0.945,"normal","","2018-10-21T21:00:00","2018-04-20T00:47:47","2018-04-20T00:00:00",NA,120,48,295,115,50,129.69565,1640,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"33056",29,"https://seatgeek.com/venues/hard-rock-stadium/tickets","FL","Hard Rock Stadium","Hard Rock Stadium",0.8378203,"Miami Gardens, FL 33056","America/New_York",0,"US","347 Don Shula Dr.","hard-rock-stadium","Miami Gardens, FL","Miami Gardens",528,32,25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"7","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346931,"https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","Browns at Buccaneers","2018-10-21T17:00:00","2018-10-21T13:00:00","nfl",0.874,"Cleveland Browns at Tampa Bay Buccaneers",FALSE,0.923,"normal","","2018-10-21T21:00:00","2018-04-20T00:47:16","2018-04-20T00:00:00",NA,193,79,450,13,89,226.23077,629,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"33607",39,"https://seatgeek.com/venues/raymond-james-stadium/tickets","FL","Raymond James Stadium","Raymond James Stadium",0.86513025,"Tampa, FL 33607","America/New_York",0,"US","4201 North Dale Mabry Highway","raymond-james-stadium","Tampa, FL","Tampa",539,14,27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"8","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346948,"https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948","Texans at Jaguars","2018-10-21T17:00:00","2018-10-21T13:00:00","nfl",0.796,"Houston Texans at Jacksonville Jaguars",FALSE,0.87,"normal","","2018-10-21T21:00:00","2018-04-20T00:47:19","2018-04-20T00:00:00",NA,60,32,489,378,31,78.94974,1152,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"32202",5178,"https://seatgeek.com/venues/tiaa-bank-field/tickets","FL","TIAA Bank Field","TIAA Bank Field",0.83759147,"Jacksonville, FL 32202","America/New_York",0,"US","1 Everbank Field Dr","tiaa-bank-field","Jacksonville, FL","Jacksonville",561,7,30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"9","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347036,"https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036","Panthers at Eagles","2018-10-21T17:00:00","2018-10-21T13:00:00","nfl",0.95,"Carolina Panthers at Philadelphia Eagles",FALSE,0.976,"normal","","2018-10-21T21:00:00","2018-04-20T00:47:39","2018-04-20T00:00:00",NA,289,117,2245,160,147,323.8625,1171,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"19148",330,"https://seatgeek.com/venues/lincoln-financial-field/tickets","PA","Lincoln Financial Field","Lincoln Financial Field",0.90542686,"Philadelphia, PA 19148","America/New_York",0,"US","1020 Pattison Ave","lincoln-financial-field","Philadelphia, PA","Philadelphia",504,13,39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"10","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347071,"https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071","Saints at Ravens","2018-10-21T20:05:00","2018-10-21T16:05:00","nfl",0.877,"New Orleans Saints at Baltimore Ravens",FALSE,0.925,"normal","","2018-10-22T00:05:00","2018-04-20T00:47:45","2018-04-20T00:00:00",NA,111,81,599,218,81,134.68808,1347,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"21230",1121,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","MD","M&T Bank Stadium","M&T Bank Stadium",0.8927189,"Baltimore, MD 21230","America/New_York",0,"US","1101 Russell St","m-t-bank-stadium","Baltimore, MD","Baltimore",512,6,39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"11","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346941,"https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941","Cowboys at Redskins","2018-10-21T20:25:00","2018-10-21T16:25:00","nfl",0.986,"Dallas Cowboys at Washington Redskins",FALSE,1.006,"normal","","2018-10-22T00:25:00","2018-04-20T00:47:18","2018-04-20T00:00:00",NA,233,154,717,166,154,249.01205,959,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"20785",35,"https://seatgeek.com/venues/fedex-field/tickets","MD","FedEx Field","FedEx Field",0.9333444,"Landover, MD 20785","America/New_York",0,"US","1600 Fedex Way","fedex-field","Landover, MD","Landover",511,5,38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"12","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347118,"https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118","Rams at 49ers","2018-10-21T20:25:00","2018-10-21T13:25:00","nfl",0.922,"Los Angeles Rams at San Francisco 49ers",FALSE,0.956,"normal","","2018-10-22T00:25:00","2018-04-20T00:47:54","2018-04-20T00:00:00",NA,123,48,572,192,48,145.23958,2121,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"95054",58670,"https://seatgeek.com/venues/levi-s-stadium/tickets","CA","Levi's Stadium","Levi's Stadium",0.95768774,"Santa Clara, CA 95054","America/Los_Angeles",0,"US","4900 Marie P DeBartolo Way","levi-s-stadium","Santa Clara, CA","Santa Clara",0,10,37.4023,-121.969,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"13","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4346982,"https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982","Bengals at Chiefs","2018-10-22T00:20:00","2018-10-21T19:20:00","nfl",0.895,"Cincinnati Bengals at Kansas City Chiefs",FALSE,0.937,"normal","","2018-10-22T04:20:00","2018-04-20T00:47:27","2018-04-20T00:00:00",NA,136,83,533,295,83,145.5322,1186,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"64129",1128,"https://seatgeek.com/venues/arrowhead-stadium/tickets","MO","Arrowhead Stadium","Arrowhead Stadium",0.8827867,"Kansas City, MO 64129","America/Chicago",0,"US","1 Arrowhead Drive","arrowhead-stadium","Kansas City, MO","Kansas City",616,6,39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"14","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347050,"https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050","Giants at Falcons","2018-10-23T00:15:00","2018-10-22T20:15:00","nfl",0.95,"New York Giants at Atlanta Falcons",FALSE,0.966,"normal","","2018-10-23T04:15:00","2018-04-20T00:47:42","2018-04-20T00:00:00",NA,182,74,742,555,74,195.6919,2294,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"30313",419590,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","GA","Mercedes-Benz Stadium","Mercedes-Benz Stadium",0.76958936,"Atlanta, GA 30313","America/New_York",0,"US","441 M.L.K. Jr Dr NW","mercedes-benz-stadium","Atlanta, GA","Atlanta",0,16,33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"15","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4281985,"https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985","Troy at South Alabama","2018-10-24T00:00:00","2018-10-23T19:00:00","ncaa_football",0.304,"Troy Trojans at South Alabama Jaguars Football",FALSE,0.515,"normal","","2018-10-24T04:00:00","2018-02-28T15:00:17","2018-02-28T00:00:00",NA,20,10,93,30,10,31.366667,9,NA,NA,NA,TRUE,"36604",3716,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets","AL","Ladd Peebles Stadium","Ladd Peebles Stadium",0.50177634,"Mobile, AL 36604","America/Chicago",0,"US","1621 Virginia St.","ladd-peebles-stadium","Mobile, AL","Mobile",686,4,30.6748,-88.0761,NA,NA,NA
"16","2018-10-16","2018-10-16_16.00.43",FALSE,FALSE,FALSE,4347018,"https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018","Dolphins at Texans","2018-10-26T00:20:00","2018-10-25T19:20:00","nfl",0.895,"Miami Dolphins at Houston Texans",FALSE,0.915,"normal","","2018-10-26T04:20:00","2018-04-20T00:47:36","2018-04-20T00:00:00",NA,116,54,505,658,54,147.43921,1943,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,"77054",41,"https://seatgeek.com/venues/nrg-stadium/tickets","TX","NRG Stadium","NRG Stadium",0.8624192,"Houston, TX 77054","America/Chicago",0,"US","1 Reliant Park","nrg-stadium","Houston, TX","Houston",618,43,29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
