"","date","timestamp","status","date_tbd","type","id","score","datetime_tbd","datetime_local","visible_until_utc","url","created_at","description","popularity","is_open","announce_date","datetime_utc","short_title","title","time_tbd","general_admission","highest_price","average_price","lowest_price_good_deals","lowest_price","listing_count","median_price","visible_listing_count","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","num_upcoming_events","popularity_venue","name","score_venue","slug","city","extended_address","metro_code","has_upcoming_events","name_v2","country","address","postal_code","display_location","url_venue","state","timezone","id_venue","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"1","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347102,0.915,FALSE,"2018-10-18T17:20:00","2018-10-19T04:20:00","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102","2018-04-20T00:47:51","",0.961,FALSE,"2018-04-20T00:00:00","2018-10-19T00:20:00","Broncos at Cardinals","Denver Broncos at Arizona Cardinals",FALSE,NA,395,129.8631,65,65,168,109,795,"QRCODE",FALSE,"2018-08-24T21:53:38Z",10,0,"State Farm Stadium",0.93402725,"state-farm-stadium","Glendale","Glendale, AZ 85305",753,TRUE,"State Farm Stadium","US","1 Cardinals Drive","85305","Glendale, AZ","https://seatgeek.com/venues/state-farm-stadium/tickets","AZ","America/Phoenix",43,-112.262,33.5294,"NONE",FALSE,"2015-12-21T17:26:05Z"
"2","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"sports",4471322,0.344,FALSE,"2018-10-20T18:30:00","2018-10-21T03:30:00","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322","2018-08-01T16:01:33","",0.57,FALSE,"2018-08-01T00:00:00","2018-10-20T23:30:00","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T21:53:38Z",40,0,"ASU Convocation Center",0.5808074,"asu-convocation-center-1","Jonesboro","Jonesboro, AR 72401",734,TRUE,"ASU Convocation Center","US","217 Olympic Drive","72401","Jonesboro, AR","https://seatgeek.com/venues/asu-convocation-center-1/tickets","AR","America/Chicago",4081,-90.6691,35.8438,NA,NA,NA
"3","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347008,0.984,FALSE,"2018-10-21T12:00:00","2018-10-21T21:00:00","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008","2018-04-20T00:47:33","",1.004,FALSE,"2018-04-20T00:00:00","2018-10-21T17:00:00","Patriots at Bears","New England Patriots at Chicago Bears",FALSE,NA,1688,890.7714,348,374,35,894,400,"QRCODE",FALSE,"2018-08-24T21:53:38Z",8,0,"Soldier Field",0.940013,"soldier-field","Chicago","Chicago, IL 60605",602,TRUE,"Soldier Field","US","1410 S. Museum Campus Drive","60605","Chicago, IL","https://seatgeek.com/venues/soldier-field/tickets","IL","America/Chicago",31,-87.6159,41.8623,"NONE",FALSE,"2018-06-02T00:44:08Z"
"4","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4346960,0.847,FALSE,"2018-10-21T13:00:00","2018-10-21T21:00:00","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960","2018-04-20T00:47:22","",0.905,FALSE,"2018-04-20T00:00:00","2018-10-21T17:00:00","Bills at Colts","Buffalo Bills at Indianapolis Colts",FALSE,NA,345,77.336266,17,21,568,62,1133,"QRCODE",FALSE,"2018-08-24T21:53:38Z",12,0,"Lucas Oil Stadium",0.9071682,"lucas-oil-stadium","Indianapolis","Indianapolis, IN 46225",527,TRUE,"Lucas Oil Stadium","US","500 South Capitol Avenue","46225","Indianapolis, IN","https://seatgeek.com/venues/lucas-oil-stadium/tickets","IN","America/Indiana/Indianapolis",1130,-86.1639,39.7601,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"5","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4346975,0.955,FALSE,"2018-10-21T13:00:00","2018-10-21T21:00:00","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","2018-04-20T00:47:26","",0.986,FALSE,"2018-04-20T00:00:00","2018-10-21T17:00:00","Vikings at Jets","Minnesota Vikings at New York Jets",FALSE,NA,790,179.0176,69,83,398,154,1247,"QRCODE",FALSE,"2018-08-24T21:53:38Z",12,0,"MetLife Stadium",0.94873494,"metlife-stadium","East Rutherford","East Rutherford, NJ 07073",501,TRUE,"MetLife Stadium","US","1 MetLife Stadium Drive","07073","East Rutherford, NJ","https://seatgeek.com/venues/metlife-stadium/tickets","NJ","America/New_York",1587,-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"6","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4346931,0.874,FALSE,"2018-10-21T13:00:00","2018-10-21T21:00:00","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","2018-04-20T00:47:16","",0.923,FALSE,"2018-04-20T00:00:00","2018-10-21T17:00:00","Browns at Buccaneers","Cleveland Browns at Tampa Bay Buccaneers",FALSE,NA,450,232.61539,79,89,13,188,627,"QRCODE",FALSE,"2018-08-24T21:53:38Z",14,0,"Raymond James Stadium",0.86513025,"raymond-james-stadium","Tampa","Tampa, FL 33607",539,TRUE,"Raymond James Stadium","US","4201 North Dale Mabry Highway","33607","Tampa, FL","https://seatgeek.com/venues/raymond-james-stadium/tickets","FL","America/New_York",39,-82.5034,27.9753,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"7","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347084,0.899,FALSE,"2018-10-21T13:00:00","2018-10-21T21:00:00","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","2018-04-20T00:47:47","",0.945,FALSE,"2018-04-20T00:00:00","2018-10-21T17:00:00","Lions at Dolphins","Detroit Lions at Miami Dolphins",FALSE,NA,276,121.471695,44,51,106,111,1681,"QRCODE",FALSE,"2018-08-24T21:53:38Z",32,0,"Hard Rock Stadium",0.8378203,"hard-rock-stadium","Miami Gardens","Miami Gardens, FL 33056",528,TRUE,"Hard Rock Stadium","US","347 Don Shula Dr.","33056","Miami Gardens, FL","https://seatgeek.com/venues/hard-rock-stadium/tickets","FL","America/New_York",29,-80.24,25.96,"NONE",FALSE,"2017-10-03T18:58:44Z"
"8","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4346948,0.796,FALSE,"2018-10-21T13:00:00","2018-10-21T21:00:00","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948","2018-04-20T00:47:19","",0.87,FALSE,"2018-04-20T00:00:00","2018-10-21T17:00:00","Texans at Jaguars","Houston Texans at Jacksonville Jaguars",FALSE,NA,399,77.86441,30,30,354,60,1163,"QRCODE",FALSE,"2018-08-24T21:53:38Z",7,0,"TIAA Bank Field",0.83759147,"tiaa-bank-field","Jacksonville","Jacksonville, FL 32202",561,TRUE,"TIAA Bank Field","US","1 Everbank Field Dr","32202","Jacksonville, FL","https://seatgeek.com/venues/tiaa-bank-field/tickets","FL","America/New_York",5178,-81.6373,30.3239,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
"9","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347036,0.95,FALSE,"2018-10-21T13:00:00","2018-10-21T21:00:00","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036","2018-04-20T00:47:39","",0.976,FALSE,"2018-04-20T00:00:00","2018-10-21T17:00:00","Panthers at Eagles","Carolina Panthers at Philadelphia Eagles",FALSE,NA,2245,323.14893,108,142,141,295,1179,"QRCODE",FALSE,"2018-08-24T21:53:38Z",13,0,"Lincoln Financial Field",0.90542686,"lincoln-financial-field","Philadelphia","Philadelphia, PA 19148",504,TRUE,"Lincoln Financial Field","US","1020 Pattison Ave","19148","Philadelphia, PA","https://seatgeek.com/venues/lincoln-financial-field/tickets","PA","America/New_York",330,-75.1675,39.9046,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"10","2018-10-17","2018-10-17_11.03.14","normal",FALSE,"nfl",4347071,0.877,FALSE,"2018-10-21T16:05:00","2018-10-22T00:05:00","https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071","2018-04-20T00:47:45","",0.925,FALSE,"2018-04-20T00:00:00","2018-10-21T20:05:00","Saints at Ravens","New Orleans Saints at Baltimore Ravens",FALSE,NA,453,136.83186,79,79,113,109,1275,"QRCODE",FALSE,"2018-08-24T21:53:38Z",6,0,"M&T Bank Stadium",0.8927189,"m-t-bank-stadium","Baltimore","Baltimore, MD 21230",512,TRUE,"M&T Bank Stadium","US","1101 Russell St","21230","Baltimore, MD","https://seatgeek.com/venues/m-t-bank-stadium/tickets","MD","America/New_York",1121,-76.623,39.2774,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
