"","date","timestamp","title","datetime_local","created_at","type","url","visible_until_utc","description","date_tbd","score","datetime_utc","popularity","short_title","announce_date","datetime_tbd","id","is_open","status","time_tbd","general_admission","average_price","highest_price","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","name_v2","url_venue","extended_address","slug","display_location","has_upcoming_events","address","timezone","score_venue","popularity_venue","city","state","id_venue","num_upcoming_events","name","postal_code","country","metro_code","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"1","2018-10-18","2018-10-18_16.00.59","Denver Broncos at Arizona Cardinals","2018-10-18T17:20:00","2018-04-20T00:47:51","nfl","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102","2018-10-19T04:20:00","",FALSE,0.933,"2018-10-19T00:20:00",0.917,"Broncos at Cardinals","2018-04-20T00:00:00",FALSE,4347102,FALSE,"normal",FALSE,NA,172.46153,577,127,130,119,81,52,"2018-08-24T21:53:38Z",FALSE,"QRCODE","State Farm Stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","Glendale, AZ 85305","state-farm-stadium","Glendale, AZ",TRUE,"1 Cardinals Drive","America/Phoenix",0.93402725,0,"Glendale","AZ",43,10,"State Farm Stadium","85305","US",753,33.5294,-112.262,"2015-12-21T17:26:05Z",FALSE,"NONE"
"2","2018-10-18","2018-10-18_16.00.59","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","2018-10-20T18:30:00","2018-08-01T16:01:33","sports","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322","2018-10-21T03:30:00","",FALSE,0.337,"2018-10-20T23:30:00",0.555,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","2018-08-01T00:00:00",FALSE,4471322,FALSE,"normal",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-24T21:53:38Z",FALSE,"QRCODE","ASU Convocation Center","https://seatgeek.com/venues/asu-convocation-center-1/tickets","Jonesboro, AR 72401","asu-convocation-center-1","Jonesboro, AR",TRUE,"217 Olympic Drive","America/Chicago",0.5808074,0,"Jonesboro","AR",4081,41,"ASU Convocation Center","72401","US",734,35.8438,-90.6691,NA,NA,NA
"3","2018-10-18","2018-10-18_16.00.59","Buffalo Bills at Indianapolis Colts","2018-10-21T13:00:00","2018-04-20T00:47:22","nfl","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960","2018-10-21T21:00:00","",FALSE,0.865,"2018-10-21T17:00:00",0.871,"Bills at Colts","2018-04-20T00:00:00",FALSE,4346960,FALSE,"normal",FALSE,NA,70.8719,338,22,55,1068,24,484,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Indianapolis, IN 46225","lucas-oil-stadium","Indianapolis, IN",TRUE,"500 South Capitol Avenue","America/Indiana/Indianapolis",0.9071682,0,"Indianapolis","IN",1130,12,"Lucas Oil Stadium","46225","US",527,39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"4","2018-10-18","2018-10-18_16.00.59","New England Patriots at Chicago Bears","2018-10-21T12:00:00","2018-04-20T00:47:33","nfl","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008","2018-10-21T21:00:00","",FALSE,1.002,"2018-10-21T17:00:00",0.967,"Patriots at Bears","2018-04-20T00:00:00",FALSE,4347008,FALSE,"normal",FALSE,NA,75435.47,1219292,384,810,299,387,49,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","Chicago, IL 60605","soldier-field","Chicago, IL",TRUE,"1410 S. Museum Campus Drive","America/Chicago",0.940013,0,"Chicago","IL",31,8,"Soldier Field","60605","US",602,41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"5","2018-10-18","2018-10-18_16.00.59","Minnesota Vikings at New York Jets","2018-10-21T13:00:00","2018-04-20T00:47:26","nfl","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","2018-10-21T21:00:00","",FALSE,0.97,"2018-10-21T17:00:00",0.951,"Vikings at Jets","2018-04-20T00:00:00",FALSE,4346975,FALSE,"normal",FALSE,NA,176.29411,823,69,143,1263,73,391,"2018-08-24T21:53:38Z",FALSE,"QRCODE","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ 07073","metlife-stadium","East Rutherford, NJ",TRUE,"1 MetLife Stadium Drive","America/New_York",0.94873494,0,"East Rutherford","NJ",1587,12,"MetLife Stadium","07073","US",501,40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"6","2018-10-18","2018-10-18_16.00.59","Cleveland Browns at Tampa Bay Buccaneers","2018-10-21T13:00:00","2018-04-20T00:47:16","nfl","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","2018-10-21T21:00:00","",FALSE,0.887,"2018-10-21T17:00:00",0.891,"Browns at Buccaneers","2018-04-20T00:00:00",FALSE,4346931,FALSE,"normal",FALSE,NA,203.85715,450,87,187,639,89,21,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Raymond James Stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","Tampa, FL 33607","raymond-james-stadium","Tampa, FL",TRUE,"4201 North Dale Mabry Highway","America/New_York",0.86513025,0,"Tampa","FL",39,14,"Raymond James Stadium","33607","US",539,27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"7","2018-10-18","2018-10-18_16.00.59","Detroit Lions at Miami Dolphins","2018-10-21T13:00:00","2018-04-20T00:47:47","nfl","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","2018-10-21T21:00:00","",FALSE,0.907,"2018-10-21T17:00:00",0.907,"Lions at Dolphins","2018-04-20T00:00:00",FALSE,4347084,FALSE,"normal",FALSE,NA,123.3871,272,45,116,1633,47,93,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","Miami Gardens, FL 33056","hard-rock-stadium","Miami Gardens, FL",TRUE,"347 Don Shula Dr.","America/New_York",0.8378203,0,"Miami Gardens","FL",29,32,"Hard Rock Stadium","33056","US",528,25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"8","2018-10-18","2018-10-18_16.00.59","Carolina Panthers at Philadelphia Eagles","2018-10-21T13:00:00","2018-04-20T00:47:39","nfl","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036","2018-10-21T21:00:00","",FALSE,0.965,"2018-10-21T17:00:00",0.941,"Panthers at Eagles","2018-04-20T00:00:00",FALSE,4347036,FALSE,"normal",FALSE,NA,317.01834,2245,117,282,1133,153,109,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","Philadelphia, PA 19148","lincoln-financial-field","Philadelphia, PA",TRUE,"1020 Pattison Ave","America/New_York",0.90542686,0,"Philadelphia","PA",330,13,"Lincoln Financial Field","19148","US",504,39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"9","2018-10-18","2018-10-18_16.00.59","Houston Texans at Jacksonville Jaguars","2018-10-21T13:00:00","2018-04-20T00:47:19","nfl","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948","2018-10-21T21:00:00","",FALSE,0.811,"2018-10-21T17:00:00",0.839,"Texans at Jaguars","2018-04-20T00:00:00",FALSE,4346948,FALSE,"normal",FALSE,NA,70.3125,251,24,60,1135,24,272,"2018-08-24T21:53:38Z",FALSE,"QRCODE","TIAA Bank Field","https://seatgeek.com/venues/tiaa-bank-field/tickets","Jacksonville, FL 32202","tiaa-bank-field","Jacksonville, FL",TRUE,"1 Everbank Field Dr","America/New_York",0.83759147,0,"Jacksonville","FL",5178,7,"TIAA Bank Field","32202","US",561,30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"10","2018-10-18","2018-10-18_16.00.59","New Orleans Saints at Baltimore Ravens","2018-10-21T16:05:00","2018-04-20T00:47:45","nfl","https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071","2018-10-22T00:05:00","",FALSE,0.89,"2018-10-21T20:05:00",0.891,"Saints at Ravens","2018-04-20T00:00:00",FALSE,4347071,FALSE,"normal",FALSE,NA,127.00513,481,78,108,1231,78,195,"2018-08-24T21:53:38Z",FALSE,"QRCODE","M&T Bank Stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","Baltimore, MD 21230","m-t-bank-stadium","Baltimore, MD",TRUE,"1101 Russell St","America/New_York",0.8927189,0,"Baltimore","MD",1121,6,"M&T Bank Stadium","21230","US",512,39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
