"","date","timestamp","event_promotion","is_open","id","title","announce_date","score","type","status","description","datetime_local","visible_until_utc","time_tbd","date_tbd","url","created_at","popularity","short_title","datetime_utc","general_admission","datetime_tbd","visible_listing_count","average_price","lowest_price_good_deals","median_price","listing_count","lowest_price","highest_price","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","metro_code","postal_code","timezone","has_upcoming_events","id_venue","city","extended_address","display_location","state","score_venue","num_upcoming_events","address","slug","name","url_venue","country","popularity_venue","name_v2","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"1","2018-11-11","2018-11-11_21.05.14",NA,FALSE,4500554,"Alex G with Half Waif","2018-08-23T00:00:00",0.439,"concert","normal","","2018-11-11T19:00:00","2018-11-12T04:00:00",FALSE,FALSE,"https://seatgeek.com/alex-g-with-half-waif-tickets/tampa-florida-crowbar-2-2018-11-11-7-pm/concert/4500554","2018-08-23T20:13:51",0.688,"Alex G with Half Waif","2018-11-12T00:00:00",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,"33605","America/New_York",TRUE,3160,"Tampa","Tampa, FL 33605","Tampa, FL","FL",0.42424366,19,"1812 North 17th Street","crowbar-2","Crowbar","https://seatgeek.com/venues/crowbar-2/tickets","US",0,"Crowbar",27.9608,-82.4406,NA,NA,NA
"2","2018-11-11","2018-11-11_21.05.14",NA,FALSE,4347031,"Dallas Cowboys at Philadelphia Eagles","2018-04-20T00:00:00",0.878,"nfl","normal","","2018-11-11T20:20:00","2018-11-12T05:20:00",FALSE,FALSE,"https://seatgeek.com/cowboys-at-eagles-tickets/11-11-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347031","2018-04-20T00:47:38",0.926,"Cowboys at Eagles","2018-11-12T01:20:00",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,"2018-08-24T21:53:40Z","QRCODE",504,"19148","America/New_York",TRUE,330,"Philadelphia","Philadelphia, PA 19148","Philadelphia, PA","PA",0.90542686,11,"1020 Pattison Ave","lincoln-financial-field","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","US",0,"Lincoln Financial Field",39.9046,-75.1675,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
"3","2018-11-11","2018-11-11_21.05.14",NA,FALSE,4347117,"New York Giants at San Francisco 49ers","2018-04-20T00:00:00",0.843,"nfl","normal","","2018-11-12T17:15:00","2018-11-13T05:15:00",FALSE,FALSE,"https://seatgeek.com/giants-at-49ers-tickets/11-12-2018-santa-clara-california-levi-s-stadium/nfl/4347117","2018-04-20T00:47:54",0.957,"Giants at 49ers","2018-11-13T01:15:00",NA,FALSE,1959,132,34,105,496,34,503,FALSE,"2018-08-24T21:53:40Z","QRCODE",0,"95054","America/Los_Angeles",TRUE,58670,"Santa Clara","Santa Clara, CA 95054","Santa Clara, CA","CA",0.95768774,8,"4900 Marie P DeBartolo Way","levi-s-stadium","Levi's Stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","US",0,"Levi's Stadium",37.4023,-121.969,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
"4","2018-11-11","2018-11-11_21.05.14",NA,FALSE,4347126,"Green Bay Packers at Seattle Seahawks","2018-04-20T00:00:00",0.88,"nfl","normal","","2018-11-15T17:20:00","2018-11-16T05:20:00",FALSE,FALSE,"https://seatgeek.com/packers-at-seahawks-tickets/11-15-2018-seattle-washington-centurylink-field/nfl/4347126","2018-04-20T00:47:56",0.959,"Packers at Seahawks","2018-11-16T01:20:00",NA,FALSE,1346,456,203,421,127,203,1091,FALSE,"2018-08-24T21:53:40Z","QRCODE",819,"98134","America/Los_Angeles",TRUE,339,"Seattle","Seattle, WA 98134","Seattle, WA","WA",0.87232786,6,"800 Occidental Ave S","centurylink-field","CenturyLink Field","https://seatgeek.com/venues/centurylink-field/tickets","US",0,"CenturyLink Field",47.5948,-122.332,FALSE,"2018-03-02T22:54:54Z","QRCODE"
"5","2018-11-11","2018-11-11_21.05.14",NA,FALSE,4281956,"South Alabama Jaguars at Louisiana Ragin Cajuns Football","2018-02-28T00:00:00",0.447,"ncaa_football","normal","","2018-11-17T16:00:00","2018-11-18T02:00:00",FALSE,FALSE,"https://seatgeek.com/south-alabama-jaguars-at-louisiana-ragin-cajuns-football-tickets/ncaa-football/2018-11-17-4-pm/4281956","2018-02-28T15:00:12",0.638,"South Alabama at Louisiana","2018-11-17T22:00:00",NA,FALSE,48,65.81061,39,71,132,36,76,NA,NA,NA,642,"70506","America/Chicago",TRUE,2796,"Lafayette","Lafayette, LA 70506","Lafayette, LA","LA",0.43303972,1,"201 Reinhardt Dr","cajun-field","Cajun Field","https://seatgeek.com/venues/cajun-field/tickets","US",0,"Cajun Field",30.22,-92.04,NA,NA,NA
"6","2018-11-11","2018-11-11_21.05.14",NA,FALSE,4347068,"Cincinnati Bengals at Baltimore Ravens","2018-04-20T00:00:00",0.781,"nfl","normal","","2018-11-18T13:00:00","2018-11-18T22:00:00",FALSE,FALSE,"https://seatgeek.com/bengals-at-ravens-tickets/11-18-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347068","2018-04-20T00:47:45",0.875,"Bengals at Ravens","2018-11-18T18:00:00",NA,FALSE,2030,116,40,100,473,40,460,FALSE,"2018-08-24T21:53:40Z","QRCODE",512,"21230","America/New_York",TRUE,1121,"Baltimore","Baltimore, MD 21230","Baltimore, MD","MD",0.8927189,4,"1101 Russell St","m-t-bank-stadium","M&T Bank Stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","US",0,"M&T Bank Stadium",39.2774,-76.623,FALSE,"2015-08-04T00:00:00Z","QRCODE_TM"
"7","2018-11-11","2018-11-11_21.05.14",NA,FALSE,4346947,"Pittsburgh Steelers at Jacksonville Jaguars","2018-04-20T00:00:00",0.793,"nfl","normal","","2018-11-18T13:00:00","2018-11-18T22:00:00",FALSE,FALSE,"https://seatgeek.com/steelers-at-jaguars-tickets/11-18-2018-jacksonville-florida-tiaa-bank-field/nfl/4346947","2018-04-20T00:47:19",0.886,"Steelers at Jaguars","2018-11-18T18:00:00",NA,FALSE,1124,220,111,203,19,113,389,FALSE,"2018-08-24T21:53:40Z","QRCODE",561,"32202","America/New_York",TRUE,5178,"Jacksonville","Jacksonville, FL 32202","Jacksonville, FL","FL",0.83759147,5,"1 TIAA Bank Field Drive","tiaa-bank-field","TIAA Bank Field","https://seatgeek.com/venues/tiaa-bank-field/tickets","US",0,"TIAA Bank Field",30.32,-81.64,FALSE,"2015-10-17T20:03:42Z","QRCODE_TM"
"8","2018-11-11","2018-11-11_21.05.14",NA,FALSE,4347025,"Carolina Panthers at Detroit Lions","2018-04-20T00:00:00",0.84,"nfl","normal","","2018-11-18T13:00:00","2018-11-18T22:00:00",FALSE,FALSE,"https://seatgeek.com/panthers-at-lions-tickets/11-18-2018-detroit-michigan-ford-field/nfl/4347025","2018-04-20T00:47:37",0.927,"Panthers at Lions","2018-11-18T18:00:00",NA,FALSE,873,112,51,90,281,49,421,FALSE,"2018-08-24T21:53:40Z","QRCODE",505,"48226","America/Detroit",TRUE,346,"Detroit","Detroit, MI 48226","Detroit, MI","MI",0.9029952,9,"2000 Brush St.","ford-field","Ford Field","https://seatgeek.com/venues/ford-field/tickets","US",0,"Ford Field",42.34,-83.0459,FALSE,"2015-11-04T17:31:52Z","NONE"
"9","2018-11-11","2018-11-11_21.05.14",NA,FALSE,4347049,"Dallas Cowboys at Atlanta Falcons","2018-04-20T00:00:00",0.882,"nfl","normal","","2018-11-18T13:00:00","2018-11-18T22:00:00",FALSE,FALSE,"https://seatgeek.com/cowboys-at-falcons-tickets/11-18-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347049","2018-04-20T00:47:41",0.958,"Cowboys at Falcons","2018-11-18T18:00:00",NA,FALSE,2126,334,161,260,557,161,1259,FALSE,"2018-08-24T21:53:40Z","QRCODE",0,"30313","America/New_York",TRUE,419590,"Atlanta","Atlanta, GA 30313","Atlanta, GA","GA",0.76958936,14,"441 M.L.K. Jr Dr NW","mercedes-benz-stadium","Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","US",0,"Mercedes-Benz Stadium",33.7547,-84.404,FALSE,"2018-08-23T20:14:46Z","QRCODE"
"10","2018-11-11","2018-11-11_21.05.14",NA,FALSE,4346929,"Tampa Bay Buccaneers at New York Giants","2018-04-20T00:00:00",0.837,"nfl","normal","","2018-11-18T13:00:00","2018-11-18T22:00:00",FALSE,FALSE,"https://seatgeek.com/buccaneers-at-giants-tickets/11-18-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346929","2018-04-20T00:47:16",0.925,"Buccaneers at Giants","2018-11-18T18:00:00",NA,FALSE,1875,207,65,153,237,62,1761,FALSE,"2018-08-24T21:53:40Z","QRCODE",501,"07073","America/New_York",TRUE,1587,"East Rutherford","East Rutherford, NJ 07073","East Rutherford, NJ","NJ",0.94873494,10,"1 MetLife Stadium Drive","metlife-stadium","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US",0,"MetLife Stadium",40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
