"","timestamp","datetime_tbd","is_open","created_at","popularity","type","time_tbd","score","title","short_title","datetime_utc","url","date_tbd","status","visible_until_utc","datetime_local","description","id","announce_date","general_admission","lowest_price","lowest_price_good_deals","listing_count","average_price","highest_price","employee_only","method","created_at","postal_code","name_v2","popularity","timezone","city","score","address","url","has_upcoming_events","display_location","name","num_upcoming_events","country","state","extended_address","id","slug","lon","lat","employee_only","method","created_at"
"1","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:42",1.012,"nfl",FALSE,0.909,"Atlanta Falcons at Philadelphia Eagles","Falcons at Eagles","2018-09-07T00:20:00","https://seatgeek.com/falcons-at-eagles-tickets/9-6-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347055",FALSE,"normal","2018-09-07T04:20:00","2018-09-06T20:20:00","",4347055,"2018-04-20T00:00:00",NA,201,201,793,426.98,1262,FALSE,"QRCODE","2018-08-24T16:51:23Z","19148","Lincoln Financial Field",0,"America/New_York","Philadelphia",0.90542686,"1020 Pattison Ave","https://seatgeek.com/venues/lincoln-financial-field/tickets",TRUE,"Philadelphia, PA","Lincoln Financial Field",18,"US","PA","Philadelphia, PA 19148",330,"lincoln-financial-field",-75.1675,39.9046,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
"2","2018-09-05_08.12.46",FALSE,FALSE,"2017-11-02T15:00:32",0.866,"ncaa_football",FALSE,0.711,"South Alabama Jaguars at Oklahoma State Cowboys Football","South Alabama at Oklahoma State","2018-09-09T00:00:00","https://seatgeek.com/south-alabama-jaguars-at-oklahoma-state-cowboys-football-tickets/ncaa-football/2018-09-08-7-pm/4109673",FALSE,"normal","2018-09-09T04:00:00","2018-09-08T19:00:00","",4109673,"2017-11-02T00:00:00",NA,32,32,737,71.52,560,NA,NA,NA,"74078","Boone Pickens Stadium",0,"America/Chicago","Stillwater",0.81559026,"422 Aquires","https://seatgeek.com/venues/boone-pickens-stadium/tickets",TRUE,"Stillwater, OK","Boone Pickens Stadium",6,"US","OK","Stillwater, OK 74078",2785,"boone-pickens-stadium",-97.0665,36.1257,NA,NA,NA
"3","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:23",0.957,"nfl",FALSE,0.841,"Cincinnati Bengals at Indianapolis Colts","Bengals at Colts","2018-09-09T17:00:00","https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964",FALSE,"normal","2018-09-09T21:00:00","2018-09-09T13:00:00","",4346964,"2018-04-20T00:00:00",NA,57,57,913,174.11,724,FALSE,"QRCODE","2018-08-24T16:52:49Z","46225","Lucas Oil Stadium",0,"America/Indiana/Indianapolis","Indianapolis",0.9071682,"500 South Capitol Avenue","https://seatgeek.com/venues/lucas-oil-stadium/tickets",TRUE,"Indianapolis, IN","Lucas Oil Stadium",15,"US","IN","Indianapolis, IN 46225",1130,"lucas-oil-stadium",-86.1639,39.7601,FALSE,"QRCODE_TM","2015-08-22T16:51:43Z"
"4","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:49",1.014,"nfl",FALSE,0.912,"Houston Texans at New England Patriots","Texans at Patriots","2018-09-09T17:00:00","https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091",FALSE,"normal","2018-09-09T21:00:00","2018-09-09T13:00:00","",4347091,"2018-04-20T00:00:00",NA,200,200,641,472,1776,FALSE,"QRCODE","2018-08-22T15:38:11Z","02035","Gillette Stadium",0,"America/New_York","Foxborough",0.8983344,"1 Patriot Place","https://seatgeek.com/venues/gillette-stadium/tickets",TRUE,"Foxborough, MA","Gillette Stadium",14,"US","MA","Foxborough, MA 02035",33,"gillette-stadium",-71.2674,42.0906,FALSE,"NONE","2018-08-22T15:36:58Z"
"5","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:20",1.009,"nfl",FALSE,0.896,"Jacksonville Jaguars at New York Giants","Jaguars at Giants","2018-09-09T17:00:00","https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952",FALSE,"normal","2018-09-09T21:00:00","2018-09-09T13:00:00","",4346952,"2018-04-20T00:00:00",NA,135,135,617,361.87,2300,FALSE,"QRCODE","2018-08-24T16:52:25Z","07073","MetLife Stadium",0,"America/New_York","East Rutherford",0.94873494,"1 MetLife Stadium Drive","https://seatgeek.com/venues/metlife-stadium/tickets",TRUE,"East Rutherford, NJ","MetLife Stadium",21,"US","NJ","East Rutherford, NJ 07073",1587,"metlife-stadium",-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"6","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:32",0.996,"nfl",FALSE,0.886,"Pittsburgh Steelers at Cleveland Browns","Steelers at Browns","2018-09-09T17:00:00","https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001",FALSE,"normal","2018-09-09T21:00:00","2018-09-09T13:00:00","",4347001,"2018-04-20T00:00:00",NA,133,133,742,272.35,1267,FALSE,"QRCODE","2018-08-24T16:53:01Z","44114","FirstEnergy Stadium",0,"America/New_York","Cleveland",0.86852187,"100 Alfred Lerner Way","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",TRUE,"Cleveland, OH","FirstEnergy Stadium",8,"US","OH","Cleveland, OH 44114",1123,"firstenergy-stadium-15",-81.7,41.5065,FALSE,"NONE","2015-11-11T20:55:31Z"
"7","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:45",0.96,"nfl",FALSE,0.842,"Buffalo Bills at Baltimore Ravens","Bills at Ravens","2018-09-09T17:00:00","https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073",FALSE,"normal","2018-09-09T21:00:00","2018-09-09T13:00:00","",4347073,"2018-04-20T00:00:00",NA,83,83,736,220.48,724,FALSE,"QRCODE","2018-08-24T16:58:09Z","21230","M&T Bank Stadium",0,"America/New_York","Baltimore",0.8927189,"1101 Russell St","https://seatgeek.com/venues/m-t-bank-stadium/tickets",TRUE,"Baltimore, MD","M&T Bank Stadium",9,"US","MD","Baltimore, MD 21230",1121,"m-t-bank-stadium",-76.623,39.2774,FALSE,"QRCODE_TM","2015-08-04T00:00:00Z"
"8","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:47",0.964,"nfl",FALSE,0.838,"Tennessee Titans at Miami Dolphins","Titans at Dolphins","2018-09-09T17:00:00","https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082",FALSE,"normal","2018-09-09T21:00:00","2018-09-09T13:00:00","",4347082,"2018-04-20T00:00:00",NA,48,48,1484,164.84,13364,FALSE,"QRCODE","2018-08-24T17:01:07Z","33056","Hard Rock Stadium",0,"America/New_York","Miami Gardens",0.8378203,"347 Don Shula Dr.","https://seatgeek.com/venues/hard-rock-stadium/tickets",TRUE,"Miami Gardens, FL","Hard Rock Stadium",39,"US","FL","Miami Gardens, FL 33056",29,"hard-rock-stadium",-80.24,25.96,FALSE,"NONE","2017-10-03T18:58:44Z"
"9","2018-09-05_08.12.46",FALSE,TRUE,"2018-04-20T00:47:25",0.95,"nfl",FALSE,0.834,"Tampa Bay Buccaneers at New Orleans Saints","Buccaneers at Saints","2018-09-09T17:00:00","https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974",FALSE,"normal","2018-09-09T21:00:00","2018-09-09T12:00:00","",4346974,"2018-04-20T00:00:00",NA,60,60,1192,210.06,1398,FALSE,"QRCODE","2018-05-29T20:38:44Z","70112","Mercedes-Benz Superdome",0,"America/Chicago","New Orleans",0.8966978,"1500 Sugar Bowl Drive","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",TRUE,"New Orleans, LA","Mercedes-Benz Superdome",20,"US","LA","New Orleans, LA 70112",128,"mercedes-benz-superdome",-90.0786,29.9515,FALSE,"QRCODE_TM","2018-08-27T20:46:59Z"
"10","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T01:04:06",0.998,"nfl",FALSE,0.89,"San Francisco 49ers at Minnesota Vikings","49ers at Vikings","2018-09-09T17:00:00","https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146",FALSE,"normal","2018-09-09T21:00:00","2018-09-09T12:00:00","",4347146,"2018-04-20T00:00:00",NA,114,114,614,295.41,1213,FALSE,"QRCODE","2018-08-24T17:02:13Z","55415","U.S. Bank Stadium",0,"America/Chicago","Minneapolis",0.88524246,"401 Chicago Avenue","https://seatgeek.com/venues/u-s-bank-stadium/tickets",TRUE,"Minneapolis, MN","U.S. Bank Stadium",14,"US","MN","Minneapolis, MN 55415",218451,"u-s-bank-stadium",-93.26,44.97,FALSE,"NONE","2018-08-22T15:34:15Z"
"11","2018-09-05_08.12.46",FALSE,FALSE,"2018-04-20T00:47:53",0.995,"nfl",FALSE,0.878,"Kansas City Chiefs at Los Angeles Chargers","Chiefs at Chargers","2018-09-09T20:05:00","https://seatgeek.com/chiefs-at-chargers-tickets/9-9-2018-carson-california-stubhub-center/nfl/4347113",FALSE,"normal","2018-09-10T00:05:00","2018-09-09T13:05:00","",4347113,"2018-04-20T00:00:00",NA,97,97,402,222.25,4227,FALSE,"QRCODE","2018-08-24T17:01:48Z","90746","StubHub Center",0,"America/Los_Angeles","Carson",0.7228164,"18400 Avalon Blvd","https://seatgeek.com/venues/stubhub-center/tickets",TRUE,"Carson, CA","StubHub Center",14,"US","CA","Carson, CA 90746",52,"stubhub-center",-118.261,33.8643,NA,NA,NA
