"","timestamp","time_tbd","title","announce_date","popularity","type","description","url","datetime_local","score","date_tbd","datetime_utc","status","created_at","short_title","datetime_tbd","id","visible_until_utc","is_open","general_admission","lowest_price_good_deals","median_price","lowest_price","average_price","listing_count","highest_price","visible_listing_count","employee_only","method","created_at","country","extended_address","address","popularity","url","display_location","timezone","has_upcoming_events","postal_code","score","name","id","num_upcoming_events","city","state","slug","name_v2","lon","lat","employee_only","method","created_at"
"1","2018-09-10_07.58.17",FALSE,"New York Jets at Detroit Lions","2018-04-20T00:00:00",0,"nfl","","https://seatgeek.com/jets-at-lions-tickets/9-10-2018-detroit-michigan-ford-field/nfl/4347029","2018-09-10T19:10:00",0.9,FALSE,"2018-09-10T23:10:00","normal","2018-04-20T00:47:37","Jets at Lions",FALSE,4347029,"2018-09-11T03:10:00",FALSE,NA,62,NA,62,120.87,242,406,NA,FALSE,"QRCODE","2018-08-23T16:09:50Z","US","Detroit, MI 48226","2000 Brush St.",0,"https://seatgeek.com/venues/ford-field/tickets","Detroit, MI","America/Detroit",TRUE,"48226",0.9029952,"Ford Field",346,10,"Detroit","MI","ford-field","Ford Field",-83.0459,42.34,FALSE,"NONE","2015-11-04T17:31:52Z"
"2","2018-09-10_07.58.17",FALSE,"Los Angeles Rams at Oakland Raiders","2018-04-20T00:00:00",0.702,"nfl","","https://seatgeek.com/rams-at-raiders-tickets/9-10-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347155","2018-09-10T19:20:00",0.844,FALSE,"2018-09-11T02:20:00","normal","2018-04-20T01:04:25","Rams at Raiders",FALSE,4347155,"2018-09-11T06:20:00",FALSE,NA,99,NA,99,191.21,177,418,NA,FALSE,"QRCODE","2018-08-24T17:02:44Z","US","Oakland, CA 94621","7000 Coliseum Way",0,"https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","Oakland, CA","America/Los_Angeles",TRUE,"94621",0.7817843,"Oakland-Alameda County Coliseum",14,27,"Oakland","CA","oakland-alameda-county-coliseum","Oakland-Alameda County Coliseum",-122.201,37.7469,FALSE,"PDF417","2015-06-24T00:00:00Z"
"3","2018-09-10_07.58.17",FALSE,"Baltimore Ravens at Cincinnati Bengals","2018-04-20T00:00:00",0.895,"nfl","","https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044","2018-09-13T20:20:00",0.831,FALSE,"2018-09-14T00:20:00","normal","2018-04-20T00:47:41","Ravens at Bengals",FALSE,4347044,"2018-09-14T04:20:00",FALSE,NA,41,NA,40,88.48,309,801,NA,FALSE,"QRCODE","2018-08-24T17:03:28Z","US","Cincinnati, OH 45202","1 Paul Brown Stadium",0,"https://seatgeek.com/venues/paul-brown-stadium/tickets","Cincinnati, OH","America/New_York",TRUE,"45202",0.86166537,"Paul Brown Stadium",1124,8,"Cincinnati","OH","paul-brown-stadium","Paul Brown Stadium",-84.5177,39.0961,FALSE,"QRCODE_TM","2015-10-09T16:14:37Z"
"4","2018-09-10_07.58.17",FALSE,"Texas State Bobcats at South Alabama Jaguars Football","2018-02-28T00:00:00",0.528,"ncaa_football","","https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986","2018-09-15T18:00:00",0.319,FALSE,"2018-09-15T23:00:00","normal","2018-02-28T15:00:17","Texas State at South Alabama",FALSE,4281986,"2018-09-16T03:00:00",FALSE,NA,11,NA,11,32.22,22,93,NA,NA,NA,NA,"US","Mobile, AL 36604","1621 Virginia St.",0,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets","Mobile, AL","America/Chicago",TRUE,"36604",0.50177634,"Ladd Peebles Stadium",3716,7,"Mobile","AL","ladd-peebles-stadium","Ladd Peebles Stadium",-88.0761,30.6748,NA,NA,NA
"5","2018-09-10_07.58.17",FALSE,"Houston Texans at Tennessee Titans","2018-04-20T00:00:00",0.879,"nfl","","https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993","2018-09-16T12:00:00",0.828,FALSE,"2018-09-16T16:00:00","normal","2018-04-20T00:47:30","Texans at Titans",FALSE,4346993,"2018-09-16T20:00:00",FALSE,NA,64,NA,64,168.46,360,627,NA,FALSE,"QRCODE","2018-08-24T18:23:49Z","US","Nashville, TN 37213","1 Titans Way",0,"https://seatgeek.com/venues/nissan-stadium/tickets","Nashville, TN","America/New_York",TRUE,"37213",0.8546275,"Nissan Stadium",1126,16,"Nashville","TN","nissan-stadium","Nissan Stadium",-86.7713,36.1665,FALSE,"NONE","2015-10-19T15:09:39Z"
"6","2018-09-10_07.58.17",FALSE,"Carolina Panthers at Atlanta Falcons","2018-04-20T00:00:00",0.928,"nfl","","https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054","2018-09-16T13:00:00",0.9,FALSE,"2018-09-16T17:00:00","normal","2018-04-20T00:47:42","Panthers at Falcons",FALSE,4347054,"2018-09-16T21:00:00",FALSE,NA,104,NA,104,241.08,730,982,NA,FALSE,"QRCODE","2018-08-23T20:14:46Z","US","Atlanta, GA 30313","441 M.L.K. Jr Dr NW",0,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Atlanta, GA","America/New_York",TRUE,"30313",0.76958936,"Mercedes-Benz Stadium",419590,15,"Atlanta","GA","mercedes-benz-stadium","Mercedes-Benz Stadium",-84.4,33.76,FALSE,"QRCODE","2018-08-23T20:14:46Z"
"7","2018-09-10_07.58.17",FALSE,"Indianapolis Colts at Washington Redskins","2018-04-20T00:00:00",0.948,"nfl","","https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944","2018-09-16T13:00:00",0.92,FALSE,"2018-09-16T17:00:00","normal","2018-04-20T00:47:18","Colts at Redskins",FALSE,4346944,"2018-09-16T21:00:00",FALSE,NA,98,NA,98,165.25,121,400,NA,FALSE,"QRCODE","2018-08-24T18:23:09Z","US","Landover, MD 20785","1600 Fedex Way",0,"https://seatgeek.com/venues/fedex-field/tickets","Landover, MD","America/New_York",TRUE,"20785",0.9333444,"FedEx Field",35,9,"Landover","MD","fedex-field","FedEx Field",-76.8658,38.9071,FALSE,"QRCODE_TM","2015-09-12T14:13:58Z"
"8","2018-09-10_07.58.17",FALSE,"Philadelphia Eagles at Tampa Bay Buccaneers","2018-04-20T00:00:00",0.882,"nfl","","https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933","2018-09-16T13:00:00",0.833,FALSE,"2018-09-16T17:00:00","normal","2018-04-20T00:47:16","Eagles at Buccaneers",FALSE,4346933,"2018-09-16T21:00:00",FALSE,NA,150,NA,150,320.05,38,792,NA,FALSE,"QRCODE","2018-08-24T17:04:19Z","US","Tampa, FL 33607","4201 North Dale Mabry Highway",0,"https://seatgeek.com/venues/raymond-james-stadium/tickets","Tampa, FL","America/New_York",TRUE,"33607",0.86513025,"Raymond James Stadium",39,15,"Tampa","FL","raymond-james-stadium","Raymond James Stadium",-82.5034,27.9753,FALSE,"QRCODE_TM","2015-08-24T14:44:53Z"
"9","2018-09-10_07.58.17",FALSE,"Kansas City Chiefs at Pittsburgh Steelers","2018-04-20T00:00:00",0.916,"nfl","","https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074","2018-09-16T13:00:00",0.883,FALSE,"2018-09-16T17:00:00","normal","2018-04-20T00:47:45","Chiefs at Steelers",FALSE,4347074,"2018-09-16T21:00:00",FALSE,NA,131,NA,126,315.16,195,974,NA,FALSE,"QRCODE","2018-08-24T18:24:29Z","US","Pittsburgh, PA 15212","100 Art Rooney Avenue",0,"https://seatgeek.com/venues/heinz-field/tickets","Pittsburgh, PA","America/New_York",TRUE,"15212",0.9033526,"Heinz Field",1119,12,"Pittsburgh","PA","heinz-field","Heinz Field",-80.0158,40.4468,FALSE,"QRCODE_TM","2015-12-08T15:36:23Z"
"10","2018-09-10_07.58.17",FALSE,"Cleveland Browns at New Orleans Saints","2018-04-20T00:00:00",0.895,"nfl","","https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973","2018-09-16T12:00:00",0.853,FALSE,"2018-09-16T17:00:00","normal","2018-04-20T00:47:25","Browns at Saints",FALSE,4346973,"2018-09-16T21:00:00",TRUE,NA,48,NA,48,193.76,1418,1800,NA,FALSE,"QRCODE","2018-05-29T20:38:49Z","US","New Orleans, LA 70112","1500 Sugar Bowl Drive",0,"https://seatgeek.com/venues/mercedes-benz-superdome/tickets","New Orleans, LA","America/Chicago",TRUE,"70112",0.8966978,"Mercedes-Benz Superdome",128,19,"New Orleans","LA","mercedes-benz-superdome","Mercedes-Benz Superdome",-90.0786,29.9515,FALSE,"QRCODE_TM","2018-08-27T20:46:59Z"
