id,datetime_local,time_tbd,url,score,short_title,status,description,title,datetime_tbd,is_open,created_at,date_tbd,announce_date,type,datetime_utc,popularity,visible_until_utc,general_admission,lowest_price_good_deals,listing_count,average_price,visible_listing_count,median_price,lowest_price,highest_price,method,created_at,employee_only,slug,id,postal_code,timezone,url,score,state,name,display_location,metro_code,name_v2,address,num_upcoming_events,country,city,has_upcoming_events,extended_address,popularity,lon,lat,method,created_at,employee_only
4346993,2018-09-16T12:00:00,FALSE,https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993,0.841,Texans at Titans,normal,,Houston Texans at Tennessee Titans,FALSE,FALSE,2018-04-20T00:47:30,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T16:00:00,0,2018-09-16T20:00:00,NA,47,75,104.613335,236,107,47,186,QRCODE,2018-08-24T18:23:49Z,FALSE,nissan-stadium,1126,37213,America/New_York,https://seatgeek.com/venues/nissan-stadium/tickets,0.8546275,TN,Nissan Stadium,"Nashville, TN",659,Nissan Stadium,1 Titans Way,15,US,Nashville,TRUE,"Nashville, TN 37213",0,-86.7713,36.1665,NONE,2015-10-19T15:09:39Z,FALSE
4346944,2018-09-16T13:00:00,FALSE,https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944,0.933,Colts at Redskins,normal,,Indianapolis Colts at Washington Redskins,FALSE,FALSE,2018-04-20T00:47:18,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T17:00:00,0,2018-09-16T21:00:00,NA,83,24,137.08333,542,129,84,188,QRCODE,2018-08-24T18:23:09Z,FALSE,fedex-field,35,20785,America/New_York,https://seatgeek.com/venues/fedex-field/tickets,0.9333444,MD,FedEx Field,"Landover, MD",511,FedEx Field,1600 Fedex Way,8,US,Landover,TRUE,"Landover, MD 20785",0,-76.8658,38.9071,QRCODE_TM,2015-09-12T14:13:58Z,FALSE
4347054,2018-09-16T13:00:00,FALSE,https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054,0.917,Panthers at Falcons,normal,,Carolina Panthers at Atlanta Falcons,FALSE,FALSE,2018-04-20T00:47:42,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T17:00:00,0,2018-09-16T21:00:00,NA,74,381,159.59842,580,138,74,703,QRCODE,2018-08-23T20:14:46Z,FALSE,mercedes-benz-stadium,419590,30313,America/New_York,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,0.76958936,GA,Mercedes-Benz Stadium,"Atlanta, GA",0,Mercedes-Benz Stadium,35 Northside Dr NW,20,US,Atlanta,TRUE,"Atlanta, GA 30313",0,-84.4,33.76,QRCODE,2018-08-23T20:14:46Z,FALSE
4347074,2018-09-16T13:00:00,FALSE,https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074,0.913,Chiefs at Steelers,normal,,Kansas City Chiefs at Pittsburgh Steelers,FALSE,FALSE,2018-04-20T00:47:45,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T17:00:00,0,2018-09-16T21:00:00,NA,109,54,229.05556,302,219,109,542,QRCODE,2018-08-24T18:24:29Z,FALSE,heinz-field,1119,15212,America/New_York,https://seatgeek.com/venues/heinz-field/tickets,0.9033526,PA,Heinz Field,"Pittsburgh, PA",508,Heinz Field,100 Art Rooney Avenue,11,US,Pittsburgh,TRUE,"Pittsburgh, PA 15212",0,-80.0158,40.4468,QRCODE_TM,2015-12-08T15:36:23Z,FALSE
4346933,2018-09-16T13:00:00,FALSE,https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933,0.897,Eagles at Buccaneers,normal,,Philadelphia Eagles at Tampa Bay Buccaneers,FALSE,FALSE,2018-04-20T00:47:16,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T17:00:00,0,2018-09-16T21:00:00,NA,143,23,283.43478,152,278,147,527,QRCODE,2018-08-24T17:04:19Z,FALSE,raymond-james-stadium,39,33607,America/New_York,https://seatgeek.com/venues/raymond-james-stadium/tickets,0.86513025,FL,Raymond James Stadium,"Tampa, FL",539,Raymond James Stadium,4201 North Dale Mabry Highway,15,US,Tampa,TRUE,"Tampa, FL 33607",0,-82.5034,27.9753,QRCODE_TM,2015-08-24T14:44:53Z,FALSE
4346973,2018-09-16T12:00:00,FALSE,https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973,0.864,Browns at Saints,normal,,Cleveland Browns at New Orleans Saints,FALSE,TRUE,2018-04-20T00:47:25,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T17:00:00,0,2018-09-16T21:00:00,NA,48,875,159.344,793,145,48,780,QRCODE,2018-05-29T20:38:49Z,FALSE,mercedes-benz-superdome,128,70112,America/Chicago,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,0.8966978,LA,Mercedes-Benz Superdome,"New Orleans, LA",622,Mercedes-Benz Superdome,1500 Sugar Bowl Drive,18,US,New Orleans,TRUE,"New Orleans, LA 70112",0,-90.0786,29.9515,QRCODE_TM,2018-08-27T20:46:59Z,FALSE
4346915,2018-09-16T12:00:00,FALSE,https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915,0.934,Vikings at Packers,normal,,Minnesota Vikings at Green Bay Packers,FALSE,FALSE,2018-04-20T00:47:14,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T17:00:00,0,2018-09-16T21:00:00,NA,272,38,366.44736,136,341,271,701,QRCODE,2018-08-24T17:03:48Z,FALSE,lambeau-field,1125,54304,America/Chicago,https://seatgeek.com/venues/lambeau-field/tickets,0.92909414,WI,Lambeau Field,"Green Bay, WI",658,Lambeau Field,1265 Lombardi Avenue,7,US,Green Bay,TRUE,"Green Bay, WI 54304",0,-88.0622,44.5013,QRCODE_TM,2015-09-02T22:43:34Z,FALSE
4346953,2018-09-16T13:00:00,FALSE,https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953,0.94,Dolphins at Jets,normal,,Miami Dolphins at New York Jets,FALSE,FALSE,2018-04-20T00:47:20,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T17:00:00,0,2018-09-16T21:00:00,NA,120,56,348.25,180,245,136,1548,QRCODE,2018-08-24T18:23:39Z,FALSE,metlife-stadium,1587,07073,America/New_York,https://seatgeek.com/venues/metlife-stadium/tickets,0.94873494,NJ,MetLife Stadium,"East Rutherford, NJ",501,MetLife Stadium,1 MetLife Stadium Drive,18,US,East Rutherford,TRUE,"East Rutherford, NJ 07073",0,-74.0737,40.8142,QRCODE_TM,2015-09-12T14:14:07Z,FALSE
4347064,2018-09-16T13:00:00,FALSE,https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064,0.886,Chargers at Bills,normal,,Los Angeles Chargers at Buffalo Bills,FALSE,FALSE,2018-04-20T00:47:44,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T17:00:00,0,2018-09-16T21:00:00,NA,92,67,148.67165,140,137,100,287,QRCODE,2018-08-24T18:24:17Z,FALSE,new-era-field,1135,14127,America/New_York,https://seatgeek.com/venues/new-era-field/tickets,0.8815085,NY,New Era Field,"Orchard Park, NY",514,New Era Field,1 Bills Drive,8,US,Orchard Park,TRUE,"Orchard Park, NY 14127",0,-78.7874,42.7737,QRCODE_TM,2015-08-12T16:52:53Z,FALSE
4347119,2018-09-16T13:05:00,FALSE,https://seatgeek.com/lions-at-49ers-tickets/9-16-2018-santa-clara-california-levi-s-stadium/nfl/4347119,0.931,Lions at 49ers,normal,,Detroit Lions at San Francisco 49ers,FALSE,FALSE,2018-04-20T00:47:54,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T20:05:00,0,2018-09-17T00:05:00,NA,75,204,280.55392,403,157,80,12126,QRCODE,2018-08-24T18:24:41Z,FALSE,levi-s-stadium,58670,95054,America/Los_Angeles,https://seatgeek.com/venues/levi-s-stadium/tickets,0.95768774,CA,Levi's Stadium,"Santa Clara, CA",0,Levi's Stadium,4900 Marie P DeBartolo Way,13,US,Santa Clara,TRUE,"Santa Clara, CA 95054",0,-121.969,37.4023,QRCODE_TM,2015-07-10T00:00:00Z,FALSE
4346924,2018-09-16T13:05:00,FALSE,https://seatgeek.com/cardinals-at-rams-tickets/9-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346924,0.861,Cardinals at Rams,normal,,Arizona Cardinals at Los Angeles Rams,FALSE,FALSE,2018-04-20T00:47:15,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T20:05:00,0,2018-09-17T00:05:00,NA,12,663,35.060333,857,25,12,253,QRCODE,2018-08-24T17:04:03Z,FALSE,los-angeles-memorial-coliseum-1,51012,90037,America/Los_Angeles,https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,0.86898464,CA,Los Angeles Memorial Coliseum,"Los Angeles, CA",0,Los Angeles Memorial Coliseum,3911 S Figueroa St,12,US,Los Angeles,TRUE,"Los Angeles, CA 90037",0,-118.288,34.0138,QRCODE,2018-08-23T17:59:28Z,FALSE
4347149,2018-09-16T14:25:00,FALSE,https://seatgeek.com/raiders-at-broncos-tickets/9-16-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347149,0.909,Raiders at Broncos,normal,,Oakland Raiders at Denver Broncos,FALSE,FALSE,2018-04-20T01:04:06,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T20:25:00,0,2018-09-17T00:25:00,NA,116,62,268.9516,519,269,114,537,QRCODE,2018-08-24T18:24:52Z,FALSE,sports-authority-field-at-mile-high,1131,80204,America/Denver,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,0.9028296,CO,Sports Authority Field at Mile High,"Denver, CO",751,Sports Authority Field at Mile High,1701 Bryant St.,7,US,Denver,TRUE,"Denver, CO 80204",0,-105.02,39.74,QRCODE_TM,2015-08-07T18:39:02Z,FALSE
4346951,2018-09-16T16:25:00,FALSE,https://seatgeek.com/patriots-at-jaguars-tickets/9-16-2018-jacksonville-florida-everbank-field/nfl/4346951,0.898,Patriots at Jaguars,normal,,New England Patriots at Jacksonville Jaguars,FALSE,FALSE,2018-04-20T00:47:19,FALSE,2018-04-20T00:00:00,nfl,2018-09-16T20:25:00,0,2018-09-17T00:25:00,NA,105,71,194.76056,512,156,113,826,QRCODE,2018-08-24T18:23:21Z,FALSE,everbank-field,5178,32202,America/New_York,https://seatgeek.com/venues/everbank-field/tickets,0.83759147,FL,EverBank Field,"Jacksonville, FL",561,EverBank Field,1 Everbank Field Dr,10,US,Jacksonville,TRUE,"Jacksonville, FL 32202",0,-81.6373,30.3239,QRCODE_TM,2015-10-17T20:03:42Z,FALSE
4327925,2018-09-16T19:20:00,FALSE,https://seatgeek.com/giants-at-cowboys-tickets/9-16-2018-arlington-texas-at-t-stadium/nfl/4327925,0.96,Giants at Cowboys,normal,,New York Giants at Dallas Cowboys,FALSE,TRUE,2018-04-05T23:08:47,FALSE,2018-04-05T00:00:00,nfl,2018-09-17T00:20:00,0.81,2018-09-17T04:20:00,NA,21,1478,247.9222,1277,183,29,3000,QRCODE,2018-04-17T22:02:33Z,FALSE,at-t-stadium,4965,76011,America/Chicago,https://seatgeek.com/venues/at-t-stadium/tickets,0.9751414,TX,AT&T Stadium,"Arlington, TX",623,AT&T Stadium,1 AT&T Way,22,US,Arlington,TRUE,"Arlington, TX 76011",0,-97.0957,32.7459,QRCODE,2018-04-17T22:02:33Z,FALSE
4347010,2018-09-17T19:15:00,FALSE,https://seatgeek.com/seahawks-at-bears-tickets/9-17-2018-chicago-illinois-soldier-field/nfl/4347010,0.927,Seahawks at Bears,normal,,Seattle Seahawks at Chicago Bears,FALSE,FALSE,2018-04-20T00:47:34,FALSE,2018-04-20T00:00:00,nfl,2018-09-18T00:15:00,0.97,2018-09-18T04:15:00,NA,138,46,363.82608,354,346,138,1200,QRCODE,2018-08-24T18:25:05Z,FALSE,soldier-field,31,60605,America/Chicago,https://seatgeek.com/venues/soldier-field/tickets,0.940013,IL,Soldier Field,"Chicago, IL",602,Soldier Field,1410 S. Museum Campus Drive,11,US,Chicago,TRUE,"Chicago, IL 60605",0,-87.6159,41.8623,NONE,2018-06-02T00:44:08Z,FALSE
4347000,2018-09-20T20:20:00,FALSE,https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000,0.852,Jets at Browns,normal,,New York Jets at Cleveland Browns,FALSE,FALSE,2018-04-20T00:47:31,FALSE,2018-04-20T00:00:00,nfl,2018-09-21T00:20:00,0.913,2018-09-21T04:20:00,NA,42,461,99.63123,794,79,44,595,QRCODE,2018-08-24T18:25:16Z,FALSE,firstenergy-stadium-15,1123,44114,America/New_York,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,0.86852187,OH,FirstEnergy Stadium,"Cleveland, OH",510,FirstEnergy Stadium,100 Alfred Lerner Way,7,US,Cleveland,TRUE,"Cleveland, OH 44114",0,-81.7,41.5065,NONE,2015-11-11T20:55:31Z,FALSE
4241762,2018-09-22T19:00:00,FALSE,https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762,0.502,South Alabama at Memphis,normal,,South Alabama Jaguars at Memphis Tigers Football,FALSE,FALSE,2018-01-31T15:00:53,FALSE,2018-01-31T00:00:00,ncaa_football,2018-09-23T00:00:00,0.659,2018-09-23T04:00:00,NA,23,165,58.121212,119,43,23,245,NA,NA,NA,liberty-bowl-stadium,2827,38104,America/Chicago,https://seatgeek.com/venues/liberty-bowl-stadium/tickets,0.6733288,TN,Liberty Bowl Stadium,"Memphis, TN",640,Liberty Bowl Stadium,335 South Hollywood St,6,US,Memphis,TRUE,"Memphis, TN 38104",0,-89.98,35.12,NA,NA,NA
4346963,2018-09-23T13:00:00,FALSE,https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963,0.93,Colts at Eagles,normal,,Indianapolis Colts at Philadelphia Eagles,FALSE,FALSE,2018-04-20T00:47:23,FALSE,2018-04-20T00:00:00,nfl,2018-09-23T17:00:00,0.956,2018-09-23T21:00:00,NA,153,244,382.4959,662,341,205,1186,QRCODE,2018-08-24T18:26:28Z,FALSE,lincoln-financial-field,330,19148,America/New_York,https://seatgeek.com/venues/lincoln-financial-field/tickets,0.90542685999999994,PA,Lincoln Financial Field,"Philadelphia, PA",504,Lincoln Financial Field,1020 Pattison Ave,16,US,Philadelphia,TRUE,"Philadelphia, PA 19148",0,-75.1675,39.9046,QRCODE_TM,2015-07-10T00:00:00Z,FALSE
4347088,2018-09-23T13:00:00,FALSE,https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088,0.898,Raiders at Dolphins,normal,,Oakland Raiders at Miami Dolphins,FALSE,FALSE,2018-04-20T00:47:48,FALSE,2018-04-20T00:00:00,nfl,2018-09-23T17:00:00,0.936,2018-09-23T21:00:00,NA,54,143,156.83217,857,148,55,452,QRCODE,2018-08-24T20:34:12Z,FALSE,hard-rock-stadium,29,33056,America/New_York,https://seatgeek.com/venues/hard-rock-stadium/tickets,0.8378203,FL,Hard Rock Stadium,"Miami Gardens, FL",528,Hard Rock Stadium,347 Don Shula Dr.,38,US,Miami Gardens,TRUE,"Miami Gardens, FL 33056",0,-80.24,25.96,NONE,2017-10-03T18:58:44Z,FALSE
4347142,2018-09-23T12:00:00,FALSE,https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142,0.902,Bills at Vikings,normal,,Buffalo Bills at Minnesota Vikings,FALSE,FALSE,2018-04-20T01:04:05,FALSE,2018-04-20T00:00:00,nfl,2018-09-23T17:00:00,0.935,2018-09-23T21:00:00,NA,90,451,244.81152,705,222,91,945,QRCODE,2018-08-23T16:03:24Z,FALSE,u-s-bank-stadium,218451,55415,America/Chicago,https://seatgeek.com/venues/u-s-bank-stadium/tickets,0.88524246,MN,U.S. Bank Stadium,"Minneapolis, MN",0,U.S. Bank Stadium,401 Chicago Avenue,13,US,Minneapolis,TRUE,"Minneapolis, MN 55415",0,-93.26,44.97,NONE,2018-08-22T15:34:15Z,FALSE
