"","timestamp","datetime_tbd","popularity","url","is_open","datetime_local","visible_until_utc","score","datetime_utc","created_at","announce_date","description","type","short_title","title","status","time_tbd","date_tbd","id","general_admission","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","average_price","highest_price","listing_count","created_at","employee_only","method","city","name_v2","url","timezone","has_upcoming_events","score","metro_code","display_location","slug","country","postal_code","state","extended_address","address","name","popularity","num_upcoming_events","id","lat","lon","created_at","employee_only","method"
"1","2018-09-26_08.06.25",FALSE,0.982,"https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922",FALSE,"2018-09-27T17:20:00","2018-09-28T04:20:00",0.876,"2018-09-28T00:20:00","2018-04-20T00:47:14","2018-04-20T00:00:00","","nfl","Vikings at Rams","Minnesota Vikings at Los Angeles Rams","normal",FALSE,FALSE,4346922,NA,57,119,699,59,138.05719,665,542,"2018-09-05T22:17:16Z",FALSE,"QRCODE","Los Angeles","Los Angeles Memorial Coliseum","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","America/Los_Angeles",TRUE,0.86898464,0,"Los Angeles, CA","los-angeles-memorial-coliseum-1","US","90037","CA","Los Angeles, CA 90037","3911 S Figueroa St","Los Angeles Memorial Coliseum",0,9,51012,34.0138,-118.288,"2018-08-23T17:59:28Z",FALSE,"QRCODE"
"2","2018-09-26_08.06.25",FALSE,0.622,"https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810",FALSE,"2018-09-28T19:00:00","2018-09-29T03:00:00",0.34,"2018-09-28T23:00:00","2018-06-05T16:00:59","2018-06-05T00:00:00","","sports","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball","normal",FALSE,FALSE,4401810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lexington","Memorial Coliseum","https://seatgeek.com/venues/memorial-coliseum-1/tickets","America/New_York",TRUE,0.4125833,541,"Lexington, KY","memorial-coliseum-1","US","40506","KY","Lexington, KY 40506","201 Avenue of Champions","Memorial Coliseum",0,26,5102,38.04,-84.5,NA,NA,NA
"3","2018-09-26_08.06.25",FALSE,0.978,"https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969",TRUE,"2018-09-29T11:00:00","2018-09-29T20:00:00",0.886,"2018-09-29T16:00:00","2017-12-05T15:00:24","2017-12-05T00:00:00","*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.","ncaa_football","Southwest Classic: Arkansas vs Texas A&M","Southwest Classic: Arkansas vs Texas A&M","normal",FALSE,FALSE,4163969,NA,98,182,552,98,302.90244,12405,861,"2018-04-17T22:02:33Z",FALSE,"QRCODE","Arlington","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets","America/Chicago",TRUE,0.9751414,623,"Arlington, TX","at-t-stadium","US","76011","TX","Arlington, TX 76011","1 AT&T Way","AT&T Stadium",0,20,4965,32.7459,-97.0957,"2018-04-17T22:02:33Z",FALSE,"QRCODE"
"4","2018-09-26_08.06.25",FALSE,0.69,"https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951",FALSE,"2018-09-29T15:30:00","2018-09-29T23:30:00",0.481,"2018-09-29T19:30:00","2018-02-28T15:00:11","2018-02-28T00:00:00","","ncaa_football","South Alabama at Appalachian State","South Alabama Jaguars at Appalachian State Mountaineers Football","normal",FALSE,FALSE,4281951,NA,48,71,76,48,72.62814,129,199,NA,NA,NA,"Boone","Kidd Brewer Stadium","https://seatgeek.com/venues/kidd-brewer-stadium/tickets","America/New_York",TRUE,0.57884717,517,"Boone, NC","kidd-brewer-stadium","US","28607","NC","Boone, NC 28607","1 Kidd Brewer Stadium","Kidd Brewer Stadium",0,4,3723,36.2116,-81.6856,NA,NA,NA
"5","2018-09-26_08.06.25",FALSE,0.977,"https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992",FALSE,"2018-09-30T12:00:00","2018-09-30T20:00:00",0.879,"2018-09-30T16:00:00","2018-04-20T00:47:30","2018-04-20T00:00:00","","nfl","Eagles at Titans","Philadelphia Eagles at Tennessee Titans","normal",FALSE,FALSE,4346992,NA,138,282,392,152,326.80878,5815,251,"2018-08-24T20:47:49Z",FALSE,"QRCODE","Nashville","Nissan Stadium","https://seatgeek.com/venues/nissan-stadium/tickets","America/New_York",TRUE,0.8546275,659,"Nashville, TN","nissan-stadium","US","37213","TN","Nashville, TN 37213","1 Titans Way","Nissan Stadium",0,16,1126,36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"6","2018-09-26_08.06.25",FALSE,0.974,"https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911",FALSE,"2018-09-30T12:00:00","2018-09-30T21:00:00",0.893,"2018-09-30T17:00:00","2018-04-20T00:47:13","2018-04-20T00:00:00","","nfl","Bills at Packers","Buffalo Bills at Green Bay Packers","normal",FALSE,FALSE,4346911,NA,186,323,344,208,347.5801,910,181,"2018-08-24T20:38:24Z",FALSE,"QRCODE","Green Bay","Lambeau Field","https://seatgeek.com/venues/lambeau-field/tickets","America/Chicago",TRUE,0.92909414,658,"Green Bay, WI","lambeau-field","US","54304","WI","Green Bay, WI 54304","1265 Lombardi Avenue","Lambeau Field",0,6,1125,44.5013,-88.0622,"2015-09-02T22:43:34Z",FALSE,"QRCODE_TM"
"7","2018-09-26_08.06.25",FALSE,0.979,"https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009",FALSE,"2018-09-30T12:00:00","2018-09-30T21:00:00",0.879,"2018-09-30T17:00:00","2018-04-20T00:47:33","2018-04-20T00:00:00","","nfl","Buccaneers at Bears","Tampa Bay Buccaneers at Chicago Bears","normal",FALSE,FALSE,4347009,NA,162,337,283,162,387.5238,819,63,"2018-08-24T20:48:11Z",FALSE,"QRCODE","Chicago","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","America/Chicago",TRUE,0.940013,602,"Chicago, IL","soldier-field","US","60605","IL","Chicago, IL 60605","1410 S. Museum Campus Drive","Soldier Field",0,9,31,41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"8","2018-09-26_08.06.25",FALSE,0.929,"https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962",FALSE,"2018-09-30T13:00:00","2018-09-30T21:00:00",0.818,"2018-09-30T17:00:00","2018-04-20T00:47:22","2018-04-20T00:00:00","","nfl","Texans at Colts","Houston Texans at Indianapolis Colts","normal",FALSE,FALSE,4346962,NA,24,105,824,27,106.405304,483,528,"2018-08-24T20:46:39Z",FALSE,"QRCODE","Indianapolis","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","America/Indiana/Indianapolis",TRUE,0.9071682,527,"Indianapolis, IN","lucas-oil-stadium","US","46225","IN","Indianapolis, IN 46225","500 South Capitol Avenue","Lucas Oil Stadium",0,14,1130,39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"9","2018-09-26_08.06.25",FALSE,0.921,"https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949",FALSE,"2018-09-30T13:00:00","2018-09-30T21:00:00",0.799,"2018-09-30T17:00:00","2018-04-20T00:47:19","2018-04-20T00:00:00","","nfl","Jets at Jaguars","New York Jets at Jacksonville Jaguars","normal",FALSE,FALSE,4346949,NA,45,84,494,48,102.21829,393,339,"2018-08-24T20:38:35Z",FALSE,"QRCODE","Jacksonville","EverBank Field","https://seatgeek.com/venues/everbank-field/tickets","America/New_York",TRUE,0.83759147,561,"Jacksonville, FL","everbank-field","US","32202","FL","Jacksonville, FL 32202","1 Everbank Field Dr","EverBank Field",0,8,5178,30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"10","2018-09-26_08.06.25",FALSE,0.977,"https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052",FALSE,"2018-09-30T13:00:00","2018-09-30T21:00:00",0.88,"2018-09-30T17:00:00","2018-04-20T00:47:42","2018-04-20T00:00:00","","nfl","Bengals at Falcons","Cincinnati Bengals at Atlanta Falcons","normal",FALSE,FALSE,4347052,NA,66,156,775,66,168.37555,718,687,"2018-08-23T20:14:46Z",FALSE,"QRCODE","Atlanta","Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","America/New_York",TRUE,0.76958936,0,"Atlanta, GA","mercedes-benz-stadium","US","30313","GA","Atlanta, GA 30313","441 M.L.K. Jr Dr NW","Mercedes-Benz Stadium",0,19,419590,33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
