time_tbd,status,is_open,short_title,announce_date,datetime_tbd,popularity,id,description,visible_until_utc,score,datetime_utc,date_tbd,datetime_local,title,url,type,created_at,general_admission,visible_listing_count,lowest_price,lowest_price_good_deals,median_price,highest_price,average_price,listing_count,method,created_at,employee_only,name,postal_code,metro_code,country,city,popularity,timezone,id,num_upcoming_events,state,address,has_upcoming_events,score,name_v2,extended_address,slug,display_location,url,lon,lat,method,created_at,employee_only
FALSE,normal,FALSE,Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball,2018-06-05T00:00:00,FALSE,0.556,4401810,,2018-09-29T03:00:00,0.307,2018-09-28T23:00:00,FALSE,2018-09-28T19:00:00,Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball,https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810,sports,2018-06-05T16:00:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memorial Coliseum,40506,541,US,Lexington,0,America/New_York,5102,26,KY,201 Avenue of Champions,TRUE,0.4125833,Memorial Coliseum,"Lexington, KY 40506",memorial-coliseum-1,"Lexington, KY",https://seatgeek.com/venues/memorial-coliseum-1/tickets,-84.5,38.04,NA,NA,NA
FALSE,normal,TRUE,Southwest Classic: Arkansas vs Texas A&M,2017-12-05T00:00:00,FALSE,0.971,4163969,"*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.",2018-09-29T20:00:00,0.878,2018-09-29T16:00:00,FALSE,2018-09-29T11:00:00,Southwest Classic: Arkansas vs Texas A&M,https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969,ncaa_football,2017-12-05T15:00:24,NA,410,102,102,150,11532,202.524,479,QRCODE,2018-04-17T22:02:33Z,FALSE,AT&T Stadium,76011,623,US,Arlington,0,America/Chicago,4965,20,TX,1 AT&T Way,TRUE,0.9751414,AT&T Stadium,"Arlington, TX 76011",at-t-stadium,"Arlington, TX",https://seatgeek.com/venues/at-t-stadium/tickets,-97.0957,32.7459,QRCODE,2018-04-17T22:02:33Z,FALSE
FALSE,normal,FALSE,South Alabama at Appalachian State,2018-02-28T00:00:00,FALSE,0.657,4281951,,2018-09-29T23:30:00,0.481,2018-09-29T19:30:00,FALSE,2018-09-29T15:30:00,South Alabama Jaguars at Appalachian State Mountaineers Football,https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951,ncaa_football,2018-02-28T15:00:11,NA,63,37,37,50,122,56.316093,174,NA,NA,NA,Kidd Brewer Stadium,28607,517,US,Boone,0,America/New_York,3723,4,NC,1 Kidd Brewer Stadium,TRUE,0.57884717,Kidd Brewer Stadium,"Boone, NC 28607",kidd-brewer-stadium,"Boone, NC",https://seatgeek.com/venues/kidd-brewer-stadium/tickets,-81.6856,36.2116,NA,NA,NA
FALSE,normal,FALSE,Eagles at Titans,2018-04-20T00:00:00,FALSE,0.971,4346992,,2018-09-30T20:00:00,0.872,2018-09-30T16:00:00,FALSE,2018-09-30T12:00:00,Philadelphia Eagles at Tennessee Titans,https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992,nfl,2018-04-20T00:47:30,NA,299,124,111,246,565,268.80475,169,QRCODE,2018-08-24T20:47:49Z,FALSE,Nissan Stadium,37213,659,US,Nashville,0,America/New_York,1126,16,TN,1 Titans Way,TRUE,0.8546275,Nissan Stadium,"Nashville, TN 37213",nissan-stadium,"Nashville, TN",https://seatgeek.com/venues/nissan-stadium/tickets,-86.7713,36.1665,NONE,2015-10-19T15:09:39Z,FALSE
FALSE,normal,FALSE,Bills at Packers,2018-04-20T00:00:00,FALSE,0.956,4346911,,2018-09-30T21:00:00,0.874,2018-09-30T17:00:00,FALSE,2018-09-30T12:00:00,Buffalo Bills at Green Bay Packers,https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911,nfl,2018-04-20T00:47:13,NA,377,175,160,284,819,298.80304,198,QRCODE,2018-08-24T20:38:24Z,FALSE,Lambeau Field,54304,658,US,Green Bay,0,America/Chicago,1125,6,WI,1265 Lombardi Avenue,TRUE,0.92909414,Lambeau Field,"Green Bay, WI 54304",lambeau-field,"Green Bay, WI",https://seatgeek.com/venues/lambeau-field/tickets,-88.0622,44.5013,QRCODE_TM,2015-09-02T22:43:34Z,FALSE
FALSE,normal,FALSE,Buccaneers at Bears,2018-04-20T00:00:00,FALSE,0.971,4347009,,2018-09-30T21:00:00,0.87,2018-09-30T17:00:00,FALSE,2018-09-30T12:00:00,Tampa Bay Buccaneers at Chicago Bears,https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009,nfl,2018-04-20T00:47:33,NA,292,156,156,305,862,357.16418,67,QRCODE,2018-08-24T20:48:11Z,FALSE,Soldier Field,60605,602,US,Chicago,0,America/Chicago,31,9,IL,1410 S. Museum Campus Drive,TRUE,0.940013,Soldier Field,"Chicago, IL 60605",soldier-field,"Chicago, IL",https://seatgeek.com/venues/soldier-field/tickets,-87.6159,41.8623,NONE,2018-06-02T00:44:08Z,FALSE
FALSE,normal,TRUE,Lions at Cowboys,2018-04-05T00:00:00,FALSE,1.005,4327924,,2018-09-30T21:00:00,0.92,2018-09-30T17:00:00,FALSE,2018-09-30T12:00:00,Detroit Lions at Dallas Cowboys,https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924,nfl,2018-04-05T23:08:47,NA,1677,NA,NA,156,6034,201.21799,2124,QRCODE,2018-04-17T22:02:33Z,FALSE,AT&T Stadium,76011,623,US,Arlington,0,America/Chicago,4965,20,TX,1 AT&T Way,TRUE,0.9751414,AT&T Stadium,"Arlington, TX 76011",at-t-stadium,"Arlington, TX",https://seatgeek.com/venues/at-t-stadium/tickets,-97.0957,32.7459,QRCODE,2018-04-17T22:02:33Z,FALSE
FALSE,normal,FALSE,Dolphins at Patriots,2018-04-20T00:00:00,FALSE,1.003,4347092,,2018-09-30T21:00:00,0.914,2018-09-30T17:00:00,FALSE,2018-09-30T13:00:00,Miami Dolphins at New England Patriots,https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092,nfl,2018-04-20T00:47:49,NA,241,194,194,310,1069,419.30768,65,QRCODE,2018-08-24T20:51:36Z,FALSE,Gillette Stadium,02035,506,US,Foxborough,0,America/New_York,33,15,MA,1 Patriot Place,TRUE,0.8983344,Gillette Stadium,"Foxborough, MA 02035",gillette-stadium,"Foxborough, MA",https://seatgeek.com/venues/gillette-stadium/tickets,-71.2674,42.0906,NONE,2018-08-22T15:36:58Z,FALSE
FALSE,normal,FALSE,Texans at Colts,2018-04-20T00:00:00,FALSE,0.915,4346962,,2018-09-30T21:00:00,0.809,2018-09-30T17:00:00,FALSE,2018-09-30T13:00:00,Houston Texans at Indianapolis Colts,https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962,nfl,2018-04-20T00:47:22,NA,724,22,22,75,465,91.255585,403,QRCODE,2018-08-24T20:46:39Z,FALSE,Lucas Oil Stadium,46225,527,US,Indianapolis,0,America/Indiana/Indianapolis,1130,13,IN,500 South Capitol Avenue,TRUE,0.9071682,Lucas Oil Stadium,"Indianapolis, IN 46225",lucas-oil-stadium,"Indianapolis, IN",https://seatgeek.com/venues/lucas-oil-stadium/tickets,-86.1639,39.7601,QRCODE_TM,2018-09-13T22:29:37Z,FALSE
FALSE,normal,FALSE,Bengals at Falcons,2018-04-20T00:00:00,FALSE,0.966,4347052,,2018-09-30T21:00:00,0.867,2018-09-30T17:00:00,FALSE,2018-09-30T13:00:00,Cincinnati Bengals at Atlanta Falcons,https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052,nfl,2018-04-20T00:47:42,NA,615,65,65,149,598,162.92679,519,QRCODE,2018-08-23T20:14:46Z,FALSE,Mercedes-Benz Stadium,30313,0,US,Atlanta,0,America/New_York,419590,20,GA,35 Northside Dr NW,TRUE,0.76958936,Mercedes-Benz Stadium,"Atlanta, GA 30313",mercedes-benz-stadium,"Atlanta, GA",https://seatgeek.com/venues/mercedes-benz-stadium/tickets,-84.4,33.76,QRCODE,2018-08-23T20:14:46Z,FALSE
