datetime_utc,type,title,is_open,date_tbd,url,short_title,datetime_local,visible_until_utc,created_at,announce_date,score,description,datetime_tbd,time_tbd,status,id,popularity,general_admission,lowest_price,average_price,visible_listing_count,listing_count,median_price,lowest_price_good_deals,highest_price,method,employee_only,created_at,url,state,slug,country,score,name_v2,display_location,city,has_upcoming_events,timezone,address,name,postal_code,id,metro_code,extended_address,num_upcoming_events,popularity,lon,lat,method,employee_only,created_at
2018-10-02T00:15:00,nfl,Kansas City Chiefs at Denver Broncos,FALSE,FALSE,https://seatgeek.com/chiefs-at-broncos-tickets/10-1-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347139,Chiefs at Broncos,2018-10-01T18:15:00,2018-10-02T04:15:00,2018-04-20T01:04:05,2018-04-20T00:00:00,0.895,,FALSE,FALSE,normal,4347139,0.932,NA,122,290.55554,202,45,259,122,680,QRCODE,FALSE,2018-08-24T20:57:25Z,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,CO,sports-authority-field-at-mile-high,US,0.9028296,Sports Authority Field at Mile High,"Denver, CO",Denver,TRUE,America/Denver,1701 Bryant Street,Sports Authority Field at Mile High,80204,1131,751,"Denver, CO 80204",7,0,-105.02,39.74,QRCODE_TM,FALSE,2015-08-07T18:39:02Z
2018-10-05T00:20:00,nfl,Indianapolis Colts at New England Patriots,FALSE,FALSE,https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096,Colts at Patriots,2018-10-04T20:20:00,2018-10-05T04:20:00,2018-04-20T00:47:50,2018-04-20T00:00:00,0.933,,FALSE,FALSE,normal,4347096,0.941,NA,113,263.96875,389,128,240,113,620,QRCODE,FALSE,2018-08-24T21:03:24Z,https://seatgeek.com/venues/gillette-stadium/tickets,MA,gillette-stadium,US,0.8983344,Gillette Stadium,"Foxborough, MA",Foxborough,TRUE,America/New_York,1 Patriot Place,Gillette Stadium,02035,33,506,"Foxborough, MA 02035",14,0,-71.2674,42.0906,NONE,FALSE,2018-08-22T15:36:58Z
2018-10-06T19:30:00,ncaa_football,South Alabama Jaguars at Georgia Southern Eagles Football,FALSE,FALSE,https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989,South Alabama at Georgia Southern,2018-10-06T15:30:00,2018-10-06T23:30:00,2018-02-28T15:00:17,2018-02-28T00:00:00,0.462,,FALSE,FALSE,normal,4281989,0.58,NA,29,45.608696,11,23,43,NA,69,NA,NA,NA,https://seatgeek.com/venues/allen-e-paulson-stadium/tickets,GA,allen-e-paulson-stadium,US,0.41380084,Allen E. Paulson Stadium,"Statesboro, GA",Statesboro,TRUE,America/New_York,225 Lanier Drive,Allen E. Paulson Stadium,30460,2352,507,"Statesboro, GA 30460",3,0,-81.7832,32.4488,NA,NA,NA
2018-10-07T17:00:00,nfl,Atlanta Falcons at Pittsburgh Steelers,FALSE,FALSE,https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079,Falcons at Steelers,2018-10-07T13:00:00,2018-10-07T21:00:00,2018-04-20T00:47:47,2018-04-20T00:00:00,0.914,,FALSE,FALSE,normal,4347079,0.915,NA,144,390.77975,312,168,355,142,985,QRCODE,FALSE,2018-08-24T21:16:40Z,https://seatgeek.com/venues/heinz-field/tickets,PA,heinz-field,US,0.9033526,Heinz Field,"Pittsburgh, PA",Pittsburgh,TRUE,America/New_York,100 Art Rooney Avenue,Heinz Field,15212,1119,508,"Pittsburgh, PA 15212",9,0,-80.0158,40.4468,QRCODE_TM,FALSE,2015-12-08T15:36:23Z
2018-10-07T17:00:00,nfl,Green Bay Packers at Detroit Lions,FALSE,FALSE,https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027,Packers at Lions,2018-10-07T13:00:00,2018-10-07T21:00:00,2018-04-20T00:47:37,2018-04-20T00:00:00,0.934,,FALSE,FALSE,normal,4347027,0.937,NA,138,233.89966,405,299,203,139,2372,QRCODE,FALSE,2018-08-24T21:05:06Z,https://seatgeek.com/venues/ford-field/tickets,MI,ford-field,US,0.9029952,Ford Field,"Detroit, MI",Detroit,TRUE,America/Detroit,2000 Brush St.,Ford Field,48226,346,505,"Detroit, MI 48226",11,0,-83.0459,42.34,NONE,FALSE,2015-11-04T17:31:52Z
2018-10-07T17:00:00,nfl,New York Giants at Carolina Panthers,FALSE,FALSE,https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032,Giants at Panthers,2018-10-07T13:00:00,2018-10-07T21:00:00,2018-04-20T00:47:38,2018-04-20T00:00:00,0.929,,FALSE,FALSE,normal,4347032,0.934,NA,151,347.07956,309,176,287,148,962,QRCODE,FALSE,2018-08-24T21:15:58Z,https://seatgeek.com/venues/bank-of-america-stadium/tickets,NC,bank-of-america-stadium,US,0.8968222,Bank of America Stadium,"Charlotte, NC",Charlotte,TRUE,America/New_York,800 South Mint Street,Bank of America Stadium,28202,1122,517,"Charlotte, NC 28202",9,0,-80.8524,35.2243,QRCODE_TM,FALSE,2015-09-25T18:23:51Z
2018-10-07T17:00:00,nfl,Denver Broncos at New York Jets,FALSE,FALSE,https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011,Broncos at Jets,2018-10-07T13:00:00,2018-10-07T21:00:00,2018-04-20T00:47:34,2018-04-20T00:00:00,0.94,,FALSE,FALSE,normal,4347011,0.942,NA,55,151.88614,797,685,132,47,780,QRCODE,FALSE,2018-09-05T19:53:41Z,https://seatgeek.com/venues/metlife-stadium/tickets,NJ,metlife-stadium,US,0.94873494,MetLife Stadium,"East Rutherford, NJ",East Rutherford,TRUE,America/New_York,1 MetLife Stadium Drive,MetLife Stadium,07073,1587,501,"East Rutherford, NJ 07073",15,0,-74.0737,40.8142,QRCODE_TM,FALSE,2015-09-12T14:14:07Z
2018-10-07T17:00:00,nfl,Miami Dolphins at Cincinnati Bengals,FALSE,FALSE,https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043,Dolphins at Bengals,2018-10-07T13:00:00,2018-10-07T21:00:00,2018-04-20T00:47:40,2018-04-20T00:00:00,0.875,,FALSE,FALSE,normal,4347043,0.891,NA,71,118.82123,424,179,108,75,356,QRCODE,FALSE,2018-08-24T21:16:15Z,https://seatgeek.com/venues/paul-brown-stadium/tickets,OH,paul-brown-stadium,US,0.86166537,Paul Brown Stadium,"Cincinnati, OH",Cincinnati,TRUE,America/New_York,1 Paul Brown Stadium,Paul Brown Stadium,45202,1124,515,"Cincinnati, OH 45202",7,0,-84.5177,39.0961,QRCODE_TM,FALSE,2015-10-09T16:14:37Z
2018-10-07T17:00:00,nfl,Tennessee Titans at Buffalo Bills,FALSE,FALSE,https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063,Titans at Bills,2018-10-07T13:00:00,2018-10-07T21:00:00,2018-04-20T00:47:44,2018-04-20T00:00:00,0.87,,FALSE,FALSE,normal,4347063,0.881,NA,82,140.1602,572,387,125,71,440,QRCODE,FALSE,2018-08-24T21:16:26Z,https://seatgeek.com/venues/new-era-field/tickets,NY,new-era-field,US,0.8815085,New Era Field,"Orchard Park, NY",Orchard Park,TRUE,America/New_York,1 Bills Drive,New Era Field,14127,1135,514,"Orchard Park, NY 14127",7,0,-78.7874,42.7737,QRCODE_TM,FALSE,2015-08-12T16:52:53Z
2018-10-07T17:00:00,nfl,Baltimore Ravens at Cleveland Browns,FALSE,FALSE,https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999,Ravens at Browns,2018-10-07T13:00:00,2018-10-07T21:00:00,2018-04-20T00:47:31,2018-04-20T00:00:00,0.862,,FALSE,FALSE,normal,4346999,0.881,NA,67,154.99771,592,437,124,69,875,QRCODE,FALSE,2018-08-24T21:04:01Z,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,OH,firstenergy-stadium-15,US,0.86852187,FirstEnergy Stadium,"Cleveland, OH",Cleveland,TRUE,America/New_York,100 Alfred Lerner Way,FirstEnergy Stadium,44114,1123,510,"Cleveland, OH 44114",6,0,-81.7,41.5065,NONE,FALSE,2015-11-11T20:55:31Z
