short_title,visible_until_utc,id,created_at,score,date_tbd,datetime_local,popularity,datetime_utc,time_tbd,announce_date,url,title,status,datetime_tbd,description,type,is_open,general_admission,listing_count,visible_listing_count,lowest_price_good_deals,average_price,lowest_price,highest_price,median_price,created_at,method,employee_only,state,slug,name_v2,city,extended_address,metro_code,id,postal_code,display_location,score,has_upcoming_events,timezone,popularity,address,url,country,num_upcoming_events,name,lat,lon,created_at,method,employee_only
Colts at Patriots,2018-10-05T04:20:00,4347096,2018-04-20T00:47:50,0.937,FALSE,2018-10-04T20:20:00,0.936,2018-10-05T00:20:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096,Indianapolis Colts at New England Patriots,normal,FALSE,,nfl,FALSE,NA,88,419,104,284.64774,104,563,271,2018-08-24T21:03:24Z,QRCODE,FALSE,MA,gillette-stadium,Gillette Stadium,Foxborough,"Foxborough, MA 02035",506,33,02035,"Foxborough, MA",0.8983344,TRUE,America/New_York,0,1 Patriot Place,https://seatgeek.com/venues/gillette-stadium/tickets,US,14,Gillette Stadium,42.0906,-71.2674,2018-08-22T15:36:58Z,NONE,FALSE
South Alabama at Georgia Southern,2018-10-06T23:30:00,4281989,2018-02-28T15:00:17,0.569,FALSE,2018-10-06T15:30:00,0.662,2018-10-06T19:30:00,FALSE,2018-02-28T00:00:00,https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989,South Alabama Jaguars at Georgia Southern Eagles Football,normal,FALSE,,ncaa_football,FALSE,NA,21,5,NA,42.857143,29,69,40,NA,NA,NA,GA,allen-e-paulson-stadium,Allen E. Paulson Stadium,Statesboro,"Statesboro, GA 30460",507,2352,30460,"Statesboro, GA",0.41380084,TRUE,America/New_York,0,225 Lanier Drive,https://seatgeek.com/venues/allen-e-paulson-stadium/tickets,US,3,Allen E. Paulson Stadium,32.4488,-81.7832,NA,NA,NA
Falcons at Steelers,2018-10-07T21:00:00,4347079,2018-04-20T00:47:47,0.921,FALSE,2018-10-07T13:00:00,0.916,2018-10-07T17:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079,Atlanta Falcons at Pittsburgh Steelers,normal,FALSE,,nfl,FALSE,NA,135,256,116,311.85925,121,864,281,2018-08-24T21:16:40Z,QRCODE,FALSE,PA,heinz-field,Heinz Field,Pittsburgh,"Pittsburgh, PA 15212",508,1119,15212,"Pittsburgh, PA",0.9033526,TRUE,America/New_York,0,100 Art Rooney Avenue,https://seatgeek.com/venues/heinz-field/tickets,US,9,Heinz Field,40.4468,-80.0158,2015-12-08T15:36:23Z,QRCODE_TM,FALSE
Packers at Lions,2018-10-07T21:00:00,4347027,2018-04-20T00:47:37,0.939,FALSE,2018-10-07T13:00:00,0.935,2018-10-07T17:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027,Green Bay Packers at Detroit Lions,normal,FALSE,,nfl,FALSE,NA,277,364,128,224.27437,133,2379,199,2018-08-24T21:05:06Z,QRCODE,FALSE,MI,ford-field,Ford Field,Detroit,"Detroit, MI 48226",505,346,48226,"Detroit, MI",0.9029952,TRUE,America/Detroit,0,2000 Brush St.,https://seatgeek.com/venues/ford-field/tickets,US,11,Ford Field,42.34,-83.0459,2015-11-04T17:31:52Z,NONE,FALSE
Giants at Panthers,2018-10-07T21:00:00,4347032,2018-04-20T00:47:38,0.931,FALSE,2018-10-07T13:00:00,0.927,2018-10-07T17:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032,New York Giants at Carolina Panthers,normal,FALSE,,nfl,FALSE,NA,194,294,138,310.35052,138,960,245,2018-08-24T21:15:58Z,QRCODE,FALSE,NC,bank-of-america-stadium,Bank of America Stadium,Charlotte,"Charlotte, NC 28202",517,1122,28202,"Charlotte, NC",0.8968222,TRUE,America/New_York,0,800 South Mint Street,https://seatgeek.com/venues/bank-of-america-stadium/tickets,US,8,Bank of America Stadium,35.2243,-80.8524,2015-09-25T18:23:51Z,QRCODE_TM,FALSE
Broncos at Jets,2018-10-07T21:00:00,4347011,2018-04-20T00:47:34,0.949,FALSE,2018-10-07T13:00:00,0.946,2018-10-07T17:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011,Denver Broncos at New York Jets,normal,FALSE,,nfl,FALSE,NA,659,747,53,143.9044,59,619,129,2018-09-05T19:53:41Z,QRCODE,FALSE,NJ,metlife-stadium,MetLife Stadium,East Rutherford,"East Rutherford, NJ 07073",501,1587,07073,"East Rutherford, NJ",0.94873494,TRUE,America/New_York,0,1 MetLife Stadium Drive,https://seatgeek.com/venues/metlife-stadium/tickets,US,15,MetLife Stadium,40.8142,-74.0737,2015-09-12T14:14:07Z,QRCODE_TM,FALSE
Dolphins at Bengals,2018-10-07T21:00:00,4347043,2018-04-20T00:47:40,0.866,FALSE,2018-10-07T13:00:00,0.883,2018-10-07T17:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043,Miami Dolphins at Cincinnati Bengals,normal,FALSE,,nfl,FALSE,NA,131,366,64,123.381676,71,357,105,2018-08-24T21:16:15Z,QRCODE,FALSE,OH,paul-brown-stadium,Paul Brown Stadium,Cincinnati,"Cincinnati, OH 45202",515,1124,45202,"Cincinnati, OH",0.86166537,TRUE,America/New_York,0,1 Paul Brown Stadium,https://seatgeek.com/venues/paul-brown-stadium/tickets,US,7,Paul Brown Stadium,39.0961,-84.5177,2015-10-09T16:14:37Z,QRCODE_TM,FALSE
Ravens at Browns,2018-10-07T21:00:00,4346999,2018-04-20T00:47:31,0.874,FALSE,2018-10-07T13:00:00,0.887,2018-10-07T17:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999,Baltimore Ravens at Cleveland Browns,normal,FALSE,,nfl,FALSE,NA,426,586,56,139.18544,57,641,110,2018-08-24T21:04:01Z,QRCODE,FALSE,OH,firstenergy-stadium-15,FirstEnergy Stadium,Cleveland,"Cleveland, OH 44114",510,1123,44114,"Cleveland, OH",0.86852187,TRUE,America/New_York,0,100 Alfred Lerner Way,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,US,6,FirstEnergy Stadium,41.5065,-81.7,2015-11-11T20:55:31Z,NONE,FALSE
Jaguars at Chiefs,2018-10-07T21:00:00,4346983,2018-04-20T00:47:28,0.888,FALSE,2018-10-07T12:00:00,0.896,2018-10-07T17:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983,Jacksonville Jaguars at Kansas City Chiefs,normal,FALSE,,nfl,FALSE,NA,538,713,85,192.86246,96,505,182,2018-08-24T21:03:49Z,QRCODE,FALSE,MO,arrowhead-stadium,Arrowhead Stadium,Kansas City,"Kansas City, MO 64129",616,1128,64129,"Kansas City, MO",0.8827867,TRUE,America/Chicago,0,1 Arrowhead Drive,https://seatgeek.com/venues/arrowhead-stadium/tickets,US,8,Arrowhead Stadium,39.0489,-94.4839,2015-08-20T16:20:51Z,QRCODE_TM,FALSE
Titans at Bills,2018-10-07T21:00:00,4347063,2018-04-20T00:47:44,0.872,FALSE,2018-10-07T13:00:00,0.879,2018-10-07T17:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063,Tennessee Titans at Buffalo Bills,normal,FALSE,,nfl,FALSE,NA,318,480,74,132.21384,74,417,118,2018-08-24T21:16:26Z,QRCODE,FALSE,NY,new-era-field,New Era Field,Orchard Park,"Orchard Park, NY 14127",514,1135,14127,"Orchard Park, NY",0.8815085,TRUE,America/New_York,0,1 Bills Drive,https://seatgeek.com/venues/new-era-field/tickets,US,7,New Era Field,42.7737,-78.7874,2015-08-12T16:52:53Z,QRCODE_TM,FALSE
