short_title,announce_date,title,type,id,is_open,popularity,datetime_utc,created_at,status,url,time_tbd,datetime_local,score,date_tbd,datetime_tbd,description,visible_until_utc,general_admission,lowest_price_good_deals,highest_price,visible_listing_count,median_price,lowest_price,average_price,listing_count,created_at,employee_only,method,num_upcoming_events,extended_address,id,city,name,state,popularity,has_upcoming_events,address,url,slug,postal_code,name_v2,timezone,score,country,display_location,metro_code,lon,lat,created_at,employee_only,method
South Alabama at Georgia Southern,2018-02-28T00:00:00,South Alabama Jaguars at Georgia Southern Eagles Football,ncaa_football,4281989,FALSE,0.705,2018-10-06T19:30:00,2018-02-28T15:00:17,normal,https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989,FALSE,2018-10-06T15:30:00,0.589,FALSE,FALSE,,2018-10-06T23:30:00,NA,NA,50,4,39,27,39,13,NA,NA,NA,3,"Statesboro, GA 30460",2352,Statesboro,Allen E. Paulson Stadium,GA,0,TRUE,225 Lanier Drive,https://seatgeek.com/venues/allen-e-paulson-stadium/tickets,allen-e-paulson-stadium,30460,Allen E. Paulson Stadium,America/New_York,0.41380084,US,"Statesboro, GA",507,-81.7832,32.4488,NA,NA,NA
Falcons at Steelers,2018-04-20T00:00:00,Atlanta Falcons at Pittsburgh Steelers,nfl,4347079,FALSE,0.948,2018-10-07T17:00:00,2018-04-20T00:47:47,normal,https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079,FALSE,2018-10-07T13:00:00,0.929,FALSE,FALSE,,2018-10-07T21:00:00,NA,89,591,323,226,89,252.5463,108,2018-08-24T21:16:40Z,FALSE,QRCODE,9,"Pittsburgh, PA 15212",1119,Pittsburgh,Heinz Field,PA,0,TRUE,100 Art Rooney Avenue,https://seatgeek.com/venues/heinz-field/tickets,heinz-field,15212,Heinz Field,America/New_York,0.9033526,US,"Pittsburgh, PA",508,-80.0158,40.4468,2018-10-04T12:42:28Z,FALSE,QRCODE
Giants at Panthers,2018-04-20T00:00:00,New York Giants at Carolina Panthers,nfl,4347032,FALSE,0.964,2018-10-07T17:00:00,2018-04-20T00:47:38,normal,https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032,FALSE,2018-10-07T13:00:00,0.946,FALSE,FALSE,,2018-10-07T21:00:00,NA,125,769,347,231,125,293.34195,155,2018-08-24T21:15:58Z,FALSE,QRCODE,9,"Charlotte, NC 28202",1122,Charlotte,Bank of America Stadium,NC,0,TRUE,800 South Mint Street,https://seatgeek.com/venues/bank-of-america-stadium/tickets,bank-of-america-stadium,28202,Bank of America Stadium,America/New_York,0.8968222,US,"Charlotte, NC",517,-80.8524,35.2243,2015-09-25T18:23:51Z,FALSE,QRCODE_TM
Packers at Lions,2018-04-20T00:00:00,Green Bay Packers at Detroit Lions,nfl,4347027,FALSE,0.971,2018-10-07T17:00:00,2018-04-20T00:47:37,normal,https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027,FALSE,2018-10-07T13:00:00,0.953,FALSE,FALSE,,2018-10-07T21:00:00,NA,130,2339,407,195,133,211.125,264,2018-08-24T21:05:06Z,FALSE,QRCODE,11,"Detroit, MI 48226",346,Detroit,Ford Field,MI,0,TRUE,2000 Brush St.,https://seatgeek.com/venues/ford-field/tickets,ford-field,48226,Ford Field,America/Detroit,0.9029952,US,"Detroit, MI",505,-83.0459,42.34,2015-11-04T17:31:52Z,FALSE,NONE
Broncos at Jets,2018-04-20T00:00:00,Denver Broncos at New York Jets,nfl,4347011,FALSE,0.982,2018-10-07T17:00:00,2018-04-20T00:47:34,normal,https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011,FALSE,2018-10-07T13:00:00,0.959,FALSE,FALSE,,2018-10-07T21:00:00,NA,59,672,709,113,59,128.68268,479,2018-09-05T19:53:41Z,FALSE,QRCODE,15,"East Rutherford, NJ 07073",1587,East Rutherford,MetLife Stadium,NJ,0,TRUE,1 MetLife Stadium Drive,https://seatgeek.com/venues/metlife-stadium/tickets,metlife-stadium,07073,MetLife Stadium,America/New_York,0.94873494,US,"East Rutherford, NJ",501,-74.0737,40.8142,2015-09-12T14:14:07Z,FALSE,QRCODE_TM
Dolphins at Bengals,2018-04-20T00:00:00,Miami Dolphins at Cincinnati Bengals,nfl,4347043,FALSE,0.921,2018-10-07T17:00:00,2018-04-20T00:47:40,normal,https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043,FALSE,2018-10-07T13:00:00,0.884,FALSE,FALSE,,2018-10-07T21:00:00,NA,77,308,286,114,77,134.18645,59,2018-08-24T21:16:15Z,FALSE,QRCODE,7,"Cincinnati, OH 45202",1124,Cincinnati,Paul Brown Stadium,OH,0,TRUE,1 Paul Brown Stadium,https://seatgeek.com/venues/paul-brown-stadium/tickets,paul-brown-stadium,45202,Paul Brown Stadium,America/New_York,0.86166537,US,"Cincinnati, OH",515,-84.5177,39.0961,2015-10-09T16:14:37Z,FALSE,QRCODE_TM
Ravens at Browns,2018-04-20T00:00:00,Baltimore Ravens at Cleveland Browns,nfl,4346999,FALSE,0.922,2018-10-07T17:00:00,2018-04-20T00:47:31,normal,https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999,FALSE,2018-10-07T13:00:00,0.888,FALSE,FALSE,,2018-10-07T21:00:00,NA,51,559,587,100,56,124.11074,298,2018-08-24T21:04:01Z,FALSE,QRCODE,6,"Cleveland, OH 44114",1123,Cleveland,FirstEnergy Stadium,OH,0,TRUE,100 Alfred Lerner Way,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,firstenergy-stadium-15,44114,FirstEnergy Stadium,America/New_York,0.86852187,US,"Cleveland, OH",510,-81.7,41.5065,2015-11-11T20:55:31Z,FALSE,NONE
Titans at Bills,2018-04-20T00:00:00,Tennessee Titans at Buffalo Bills,nfl,4347063,FALSE,0.915,2018-10-07T17:00:00,2018-04-20T00:47:44,normal,https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063,FALSE,2018-10-07T13:00:00,0.883,FALSE,FALSE,,2018-10-07T21:00:00,NA,65,363,466,110,67,123.41284,218,2018-08-24T21:16:26Z,FALSE,QRCODE,7,"Orchard Park, NY 14127",1135,Orchard Park,New Era Field,NY,0,TRUE,1 Bills Drive,https://seatgeek.com/venues/new-era-field/tickets,new-era-field,14127,New Era Field,America/New_York,0.8815085,US,"Orchard Park, NY",514,-78.7874,42.7737,2015-08-12T16:52:53Z,FALSE,QRCODE_TM
Jaguars at Chiefs,2018-04-20T00:00:00,Jacksonville Jaguars at Kansas City Chiefs,nfl,4346983,FALSE,0.936,2018-10-07T17:00:00,2018-04-20T00:47:28,normal,https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983,FALSE,2018-10-07T12:00:00,0.907,FALSE,FALSE,,2018-10-07T21:00:00,NA,77,455,712,162,77,160.73509,453,2018-08-24T21:03:49Z,FALSE,QRCODE,8,"Kansas City, MO 64129",1128,Kansas City,Arrowhead Stadium,MO,0,TRUE,1 Arrowhead Drive,https://seatgeek.com/venues/arrowhead-stadium/tickets,arrowhead-stadium,64129,Arrowhead Stadium,America/Chicago,0.8827867,US,"Kansas City, MO",616,-94.4839,39.0489,2015-08-20T16:20:51Z,FALSE,QRCODE_TM
Raiders at Chargers,2018-04-20T00:00:00,Oakland Raiders at Los Angeles Chargers,nfl,4347111,FALSE,0.981,2018-10-07T20:05:00,2018-04-20T00:47:52,normal,https://seatgeek.com/raiders-at-chargers-tickets/10-7-2018-carson-california-stubhub-center/nfl/4347111,FALSE,2018-10-07T13:05:00,0.96,FALSE,FALSE,,2018-10-08T00:05:00,NA,174,509,253,247,174,261.39417,137,2018-08-24T21:17:06Z,FALSE,QRCODE,12,"Carson, CA 90746",52,Carson,StubHub Center,CA,0,TRUE,18400 Avalon Blvd,https://seatgeek.com/venues/stubhub-center/tickets,stubhub-center,90746,StubHub Center,America/Los_Angeles,0.7228164,US,"Carson, CA",803,-118.261,33.8643,NA,NA,NA
