"","timestamp","score","datetime_local","url","datetime_utc","date_tbd","announce_date","time_tbd","title","description","type","popularity","is_open","short_title","status","created_at","visible_until_utc","id","datetime_tbd","general_admission","median_price","lowest_price_good_deals","visible_listing_count","average_price","listing_count","highest_price","lowest_price","employee_only","method","created_at","score","url","timezone","metro_code","extended_address","country","display_location","popularity","address","slug","has_upcoming_events","city","state","name_v2","name","postal_code","num_upcoming_events","id","lat","lon","employee_only","method","created_at"
"1","2018-10-15_08.10.38",0.875,"2018-10-15T19:15:00","https://seatgeek.com/49ers-at-packers-tickets/10-15-2018-green-bay-wisconsin-lambeau-field/nfl/4346914","2018-10-16T00:15:00",FALSE,"2018-04-20T00:00:00",FALSE,"San Francisco 49ers at Green Bay Packers","","nfl",0.9,FALSE,"49ers at Packers","normal","2018-04-20T00:47:13","2018-10-16T04:15:00",4346914,FALSE,NA,155,88,787,164.71213,66,353,97,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.92909414,"https://seatgeek.com/venues/lambeau-field/tickets","America/Chicago",658,"Green Bay, WI 54304","US","Green Bay, WI",0,"1265 Lombardi Avenue","lambeau-field",TRUE,"Green Bay","WI","Lambeau Field","Lambeau Field","54304",5,1125,44.5013,-88.0622,FALSE,"QRCODE_TM","2015-09-02T22:43:34Z"
"2","2018-10-15_08.10.38",0.864,"2018-10-18T17:20:00","https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102","2018-10-19T00:20:00",FALSE,"2018-04-20T00:00:00",FALSE,"Denver Broncos at Arizona Cardinals","","nfl",0.9,FALSE,"Broncos at Cardinals","normal","2018-04-20T00:47:51","2018-10-19T04:20:00",4347102,FALSE,NA,128,57,926,157.16727,281,600,57,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.93402725,"https://seatgeek.com/venues/state-farm-stadium/tickets","America/Phoenix",753,"Glendale, AZ 85305","US","Glendale, AZ",0,"1 Cardinals Drive","state-farm-stadium",TRUE,"Glendale","AZ","State Farm Stadium","State Farm Stadium","85305",10,43,33.5294,-112.262,FALSE,"NONE","2015-12-21T17:26:05Z"
"3","2018-10-15_08.10.38",0.323,"2018-10-20T18:30:00","https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322","2018-10-20T23:30:00",FALSE,"2018-08-01T00:00:00",FALSE,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","","sports",0.52,FALSE,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","normal","2018-08-01T16:01:33","2018-10-21T03:30:00",4471322,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.5808074,"https://seatgeek.com/venues/asu-convocation-center-1/tickets","America/Chicago",734,"Jonesboro, AR 72401","US","Jonesboro, AR",0,"217 Olympic Drive","asu-convocation-center-1",TRUE,"Jonesboro","AR","ASU Convocation Center","ASU Convocation Center","72401",41,4081,35.8438,-90.6691,NA,NA,NA
"4","2018-10-15_08.10.38",0.923,"2018-10-21T12:00:00","https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008","2018-10-21T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"New England Patriots at Chicago Bears","","nfl",0.927,FALSE,"Patriots at Bears","normal","2018-04-20T00:47:33","2018-10-21T21:00:00",4347008,FALSE,NA,653,301,417,776.0333,30,1688,436,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.940013,"https://seatgeek.com/venues/soldier-field/tickets","America/Chicago",602,"Chicago, IL 60605","US","Chicago, IL",0,"1410 S. Museum Campus Drive","soldier-field",TRUE,"Chicago","IL","Soldier Field","Soldier Field","60605",8,31,41.8623,-87.6159,FALSE,"NONE","2018-06-02T00:44:08Z"
"5","2018-10-15_08.10.38",0.797,"2018-10-21T13:00:00","https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960","2018-10-21T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"Buffalo Bills at Indianapolis Colts","","nfl",0.836,FALSE,"Bills at Colts","normal","2018-04-20T00:47:22","2018-10-21T21:00:00",4346960,FALSE,NA,82,27,1110,92.4899,594,421,28,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.9071682,"https://seatgeek.com/venues/lucas-oil-stadium/tickets","America/Indiana/Indianapolis",527,"Indianapolis, IN 46225","US","Indianapolis, IN",0,"500 South Capitol Avenue","lucas-oil-stadium",TRUE,"Indianapolis","IN","Lucas Oil Stadium","Lucas Oil Stadium","46225",12,1130,39.7601,-86.1639,FALSE,"QRCODE_TM","2018-09-13T22:29:37Z"
"6","2018-10-15_08.10.38",0.891,"2018-10-21T13:00:00","https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","2018-10-21T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"Minnesota Vikings at New York Jets","","nfl",0.907,FALSE,"Vikings at Jets","normal","2018-04-20T00:47:26","2018-10-21T21:00:00",4346975,FALSE,NA,166,69,1125,201.80899,356,782,76,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.94873494,"https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York",501,"East Rutherford, NJ 07073","US","East Rutherford, NJ",0,"1 MetLife Stadium Drive","metlife-stadium",TRUE,"East Rutherford","NJ","MetLife Stadium","MetLife Stadium","07073",12,1587,40.8142,-74.0737,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"7","2018-10-15_08.10.38",0.815,"2018-10-21T13:00:00","https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","2018-10-21T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"Cleveland Browns at Tampa Bay Buccaneers","","nfl",0.847,FALSE,"Browns at Buccaneers","normal","2018-04-20T00:47:16","2018-10-21T21:00:00",4346931,FALSE,NA,300,79,551,287.2857,14,450,94,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.86513025,"https://seatgeek.com/venues/raymond-james-stadium/tickets","America/New_York",539,"Tampa, FL 33607","US","Tampa, FL",0,"4201 North Dale Mabry Highway","raymond-james-stadium",TRUE,"Tampa","FL","Raymond James Stadium","Raymond James Stadium","33607",14,39,27.9753,-82.5034,FALSE,"QRCODE_TM","2015-08-24T14:44:53Z"
"8","2018-10-15_08.10.38",0.838,"2018-10-21T13:00:00","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","2018-10-21T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"Detroit Lions at Miami Dolphins","","nfl",0.864,FALSE,"Lions at Dolphins","normal","2018-04-20T00:47:47","2018-10-21T21:00:00",4347084,FALSE,NA,141,48,1631,146.77686,121,301,62,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.8378203,"https://seatgeek.com/venues/hard-rock-stadium/tickets","America/New_York",528,"Miami Gardens, FL 33056","US","Miami Gardens, FL",0,"347 Don Shula Dr.","hard-rock-stadium",TRUE,"Miami Gardens","FL","Hard Rock Stadium","Hard Rock Stadium","33056",32,29,25.96,-80.24,FALSE,"NONE","2017-10-03T18:58:44Z"
"9","2018-10-15_08.10.38",0.884,"2018-10-21T13:00:00","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036","2018-10-21T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"Carolina Panthers at Philadelphia Eagles","","nfl",0.898,FALSE,"Panthers at Eagles","normal","2018-04-20T00:47:39","2018-10-21T21:00:00",4347036,FALSE,NA,321,155,1097,345.58694,184,706,155,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.90542686,"https://seatgeek.com/venues/lincoln-financial-field/tickets","America/New_York",504,"Philadelphia, PA 19148","US","Philadelphia, PA",0,"1020 Pattison Ave","lincoln-financial-field",TRUE,"Philadelphia","PA","Lincoln Financial Field","Lincoln Financial Field","19148",13,330,39.9046,-75.1675,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
"10","2018-10-15_08.10.38",0.757,"2018-10-21T13:00:00","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948","2018-10-21T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"Houston Texans at Jacksonville Jaguars","","nfl",0.808,FALSE,"Texans at Jaguars","normal","2018-04-20T00:47:19","2018-10-21T21:00:00",4346948,FALSE,NA,69,36,1089,90.9798,396,489,36,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.83759147,"https://seatgeek.com/venues/tiaa-bank-field/tickets","America/New_York",561,"Jacksonville, FL 32202","US","Jacksonville, FL",0,"1 Everbank Field Dr","tiaa-bank-field",TRUE,"Jacksonville","FL","TIAA Bank Field","TIAA Bank Field","32202",7,5178,30.3239,-81.6373,FALSE,"QRCODE_TM","2015-10-17T20:03:42Z"
"11","2018-10-15_08.10.38",0.819,"2018-10-21T16:05:00","https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071","2018-10-21T20:05:00",FALSE,"2018-04-20T00:00:00",FALSE,"New Orleans Saints at Baltimore Ravens","","nfl",0.852,FALSE,"Saints at Ravens","normal","2018-04-20T00:47:45","2018-10-22T00:05:00",4347071,FALSE,NA,117,81,1424,139.19916,236,597,81,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.8927189,"https://seatgeek.com/venues/m-t-bank-stadium/tickets","America/New_York",512,"Baltimore, MD 21230","US","Baltimore, MD",0,"1101 Russell St","m-t-bank-stadium",TRUE,"Baltimore","MD","M&T Bank Stadium","M&T Bank Stadium","21230",6,1121,39.2774,-76.623,FALSE,"QRCODE_TM","2015-08-04T00:00:00Z"
"12","2018-10-15_08.10.38",0.924,"2018-10-21T16:25:00","https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941","2018-10-21T20:25:00",FALSE,"2018-04-20T00:00:00",FALSE,"Dallas Cowboys at Washington Redskins","","nfl",0.93,FALSE,"Cowboys at Redskins","normal","2018-04-20T00:47:18","2018-10-22T00:25:00",4346941,FALSE,NA,247,177,970,272.93805,113,740,181,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.9333444,"https://seatgeek.com/venues/fedex-field/tickets","America/New_York",511,"Landover, MD 20785","US","Landover, MD",0,"1600 Fedex Way","fedex-field",TRUE,"Landover","MD","FedEx Field","FedEx Field","20785",5,35,38.9071,-76.8658,FALSE,"QRCODE_TM","2015-09-12T14:13:58Z"
"13","2018-10-15_08.10.38",0.877,"2018-10-21T13:25:00","https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118","2018-10-21T20:25:00",FALSE,"2018-04-20T00:00:00",FALSE,"Los Angeles Rams at San Francisco 49ers","","nfl",0.891,FALSE,"Rams at 49ers","normal","2018-04-20T00:47:54","2018-10-22T00:25:00",4347118,FALSE,NA,138,47,2100,166.33562,146,572,59,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.95768774,"https://seatgeek.com/venues/levi-s-stadium/tickets","America/Los_Angeles",0,"Santa Clara, CA 95054","US","Santa Clara, CA",0,"4900 Marie P DeBartolo Way","levi-s-stadium",TRUE,"Santa Clara","CA","Levi's Stadium","Levi's Stadium","95054",10,58670,37.4023,-121.969,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
"14","2018-10-15_08.10.38",0.848,"2018-10-21T19:20:00","https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982","2018-10-22T00:20:00",FALSE,"2018-04-20T00:00:00",FALSE,"Cincinnati Bengals at Kansas City Chiefs","","nfl",0.871,FALSE,"Bengals at Chiefs","normal","2018-04-20T00:47:27","2018-10-22T04:20:00",4346982,FALSE,NA,139,84,1128,154.56702,194,569,84,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.8827867,"https://seatgeek.com/venues/arrowhead-stadium/tickets","America/Chicago",616,"Kansas City, MO 64129","US","Kansas City, MO",0,"1 Arrowhead Drive","arrowhead-stadium",TRUE,"Kansas City","MO","Arrowhead Stadium","Arrowhead Stadium","64129",6,1128,39.0489,-94.4839,FALSE,"QRCODE_TM","2015-08-20T16:20:51Z"
"15","2018-10-15_08.10.38",0.881,"2018-10-22T20:15:00","https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050","2018-10-23T00:15:00",FALSE,"2018-04-20T00:00:00",FALSE,"New York Giants at Atlanta Falcons","","nfl",0.887,FALSE,"Giants at Falcons","normal","2018-04-20T00:47:42","2018-10-23T04:15:00",4347050,FALSE,NA,172,74,2284,213.80487,574,892,74,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.76958936,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","America/New_York",0,"Atlanta, GA 30313","US","Atlanta, GA",0,"35 Northside Dr NW","mercedes-benz-stadium",TRUE,"Atlanta","GA","Mercedes-Benz Stadium","Mercedes-Benz Stadium","30313",16,419590,33.76,-84.4,FALSE,"QRCODE","2018-08-23T20:14:46Z"
"16","2018-10-15_08.10.38",0.336,"2018-10-23T19:00:00","https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985","2018-10-24T00:00:00",FALSE,"2018-02-28T00:00:00",FALSE,"Troy Trojans at South Alabama Jaguars Football","","ncaa_football",0.506,FALSE,"Troy at South Alabama","normal","2018-02-28T15:00:17","2018-10-24T04:00:00",4281985,FALSE,NA,33,10,10,36.756756,37,93,10,NA,NA,NA,0.50177634,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets","America/Chicago",686,"Mobile, AL 36604","US","Mobile, AL",0,"1621 Virginia St.","ladd-peebles-stadium",TRUE,"Mobile","AL","Ladd Peebles Stadium","Ladd Peebles Stadium","36604",4,3716,30.6748,-88.0761,NA,NA,NA
"17","2018-10-15_08.10.38",0.834,"2018-10-25T19:20:00","https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018","2018-10-26T00:20:00",FALSE,"2018-04-20T00:00:00",FALSE,"Miami Dolphins at Houston Texans","","nfl",0.844,FALSE,"Dolphins at Texans","normal","2018-04-20T00:47:36","2018-10-26T04:20:00",4347018,FALSE,NA,123,53,1924,155.14458,664,505,53,FALSE,"QRCODE","2018-08-24T21:53:38Z",0.8624192,"https://seatgeek.com/venues/nrg-stadium/tickets","America/Chicago",618,"Houston, TX 77054","US","Houston, TX",0,"1 Reliant Park","nrg-stadium",TRUE,"Houston","TX","NRG Stadium","NRG Stadium","77054",43,41,29.6847,-95.4107,FALSE,"QRCODE_TM","2015-11-04T18:42:27Z"
"18","2018-10-15_08.10.38",0.811,"2018-10-28T13:00:00","https://seatgeek.com/buccaneers-at-bengals-tickets/10-28-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347041","2018-10-28T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"Tampa Bay Buccaneers at Cincinnati Bengals","","nfl",0.824,FALSE,"Buccaneers at Bengals","normal","2018-04-20T00:47:40","2018-10-28T21:00:00",4347041,FALSE,NA,105,57,947,114.1649,473,332,57,FALSE,"QRCODE","2018-08-24T21:53:39Z",0.86166537,"https://seatgeek.com/venues/paul-brown-stadium/tickets","America/New_York",515,"Cincinnati, OH 45202","US","Cincinnati, OH",0,"1 Paul Brown Stadium","paul-brown-stadium",TRUE,"Cincinnati","OH","Paul Brown Stadium","Paul Brown Stadium","45202",5,1124,39.0961,-84.5177,FALSE,"QRCODE_TM","2015-10-09T16:14:37Z"
"19","2018-10-15_08.10.38",0.867,"2018-10-28T13:00:00","https://seatgeek.com/seahawks-at-lions-tickets/10-28-2018-detroit-michigan-ford-field/nfl/4347026","2018-10-28T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"Seattle Seahawks at Detroit Lions","","nfl",0.869,FALSE,"Seahawks at Lions","normal","2018-04-20T00:47:37","2018-10-28T21:00:00",4347026,FALSE,NA,113,74,509,146.59859,284,601,78,FALSE,"QRCODE","2018-08-24T21:53:39Z",0.9029952,"https://seatgeek.com/venues/ford-field/tickets","America/Detroit",505,"Detroit, MI 48226","US","Detroit, MI",0,"2000 Brush St.","ford-field",TRUE,"Detroit","MI","Ford Field","Ford Field","48226",11,346,42.34,-83.0459,FALSE,"NONE","2015-11-04T17:31:52Z"
"20","2018-10-15_08.10.38",0.879,"2018-10-28T13:00:00","https://seatgeek.com/redskins-at-giants-tickets/10-28-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346940","2018-10-28T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"Washington Redskins at New York Giants","","nfl",0.875,FALSE,"Redskins at Giants","normal","2018-04-20T00:47:17","2018-10-28T21:00:00",4346940,FALSE,NA,308,122,1476,357.9875,80,1378,134,FALSE,"QRCODE","2018-08-24T21:53:39Z",0.94873494,"https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York",501,"East Rutherford, NJ 07073","US","East Rutherford, NJ",0,"1 MetLife Stadium Drive","metlife-stadium",TRUE,"East Rutherford","NJ","MetLife Stadium","MetLife Stadium","07073",12,1587,40.8142,-74.0737,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"21","2018-10-15_08.10.38",0.838,"2018-10-28T13:00:00","https://seatgeek.com/ravens-at-panthers-tickets/10-28-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347070","2018-10-28T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"Baltimore Ravens at Carolina Panthers","","nfl",0.844,FALSE,"Ravens at Panthers","normal","2018-04-20T00:47:45","2018-10-28T21:00:00",4347070,FALSE,NA,188,99,1354,249.59818,219,602,99,FALSE,"QRCODE","2018-08-24T21:53:39Z",0.8968222,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","America/New_York",517,"Charlotte, NC 28202","US","Charlotte, NC",0,"800 South Mint Street","bank-of-america-stadium",TRUE,"Charlotte","NC","Bank of America Stadium","Bank of America Stadium","28202",9,1122,35.2243,-80.8524,FALSE,"QRCODE_TM","2015-09-25T18:23:51Z"
"22","2018-10-15_08.10.38",0.866,"2018-10-28T12:00:00","https://seatgeek.com/broncos-at-chiefs-tickets/10-28-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346981","2018-10-28T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"Denver Broncos at Kansas City Chiefs","","nfl",0.866,FALSE,"Broncos at Chiefs","normal","2018-04-20T00:47:27","2018-10-28T21:00:00",4346981,FALSE,NA,271,176,929,289.39374,480,619,176,FALSE,"QRCODE","2018-08-24T21:53:39Z",0.8827867,"https://seatgeek.com/venues/arrowhead-stadium/tickets","America/Chicago",616,"Kansas City, MO 64129","US","Kansas City, MO",0,"1 Arrowhead Drive","arrowhead-stadium",TRUE,"Kansas City","MO","Arrowhead Stadium","Arrowhead Stadium","64129",6,1128,39.0489,-94.4839,FALSE,"QRCODE_TM","2015-08-20T16:20:51Z"
"23","2018-10-15_08.10.38",0.85,"2018-10-28T13:00:00","https://seatgeek.com/browns-at-steelers-tickets/10-28-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347078","2018-10-28T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"Cleveland Browns at Pittsburgh Steelers","","nfl",0.854,FALSE,"Browns at Steelers","normal","2018-04-20T00:47:46","2018-10-28T21:00:00",4347078,FALSE,NA,289,133,934,337.11005,209,944,139,FALSE,"QRCODE","2018-08-24T21:53:39Z",0.9033526,"https://seatgeek.com/venues/heinz-field/tickets","America/New_York",508,"Pittsburgh, PA 15212","US","Pittsburgh, PA",0,"100 Art Rooney Avenue","heinz-field",TRUE,"Pittsburgh","PA","Heinz Field","Heinz Field","15212",7,1119,40.4468,-80.0158,FALSE,"QRCODE","2018-10-04T12:42:28Z"
"24","2018-10-15_08.10.38",0.868,"2018-10-28T12:00:00","https://seatgeek.com/jets-at-bears-tickets/10-28-2018-chicago-illinois-soldier-field/nfl/4347007","2018-10-28T17:00:00",FALSE,"2018-04-20T00:00:00",FALSE,"New York Jets at Chicago Bears","","nfl",0.867,FALSE,"Jets at Bears","normal","2018-04-20T00:47:33","2018-10-28T21:00:00",4347007,FALSE,NA,331,186,913,381.05194,77,963,186,FALSE,"QRCODE","2018-08-24T21:53:39Z",0.940013,"https://seatgeek.com/venues/soldier-field/tickets","America/Chicago",602,"Chicago, IL 60605","US","Chicago, IL",0,"1410 S. Museum Campus Drive","soldier-field",TRUE,"Chicago","IL","Soldier Field","Soldier Field","60605",8,31,41.8623,-87.6159,FALSE,"NONE","2018-06-02T00:44:08Z"
"25","2018-10-15_08.10.38",0.827,"2018-10-28T13:05:00","https://seatgeek.com/colts-at-raiders-tickets/10-28-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347153","2018-10-28T20:05:00",FALSE,"2018-04-20T00:00:00",FALSE,"Indianapolis Colts at Oakland Raiders","","nfl",0.836,FALSE,"Colts at Raiders","normal","2018-04-20T01:04:25","2018-10-29T00:05:00",4347153,FALSE,NA,149,51,1803,159.84262,413,463,66,FALSE,"QRCODE","2018-08-24T21:53:39Z",0.7817843,"https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","America/Los_Angeles",807,"Oakland, CA 94621","US","Oakland, CA",0,"7000 Coliseum Way","oakland-alameda-county-coliseum",TRUE,"Oakland","CA","Oakland-Alameda County Coliseum","Oakland-Alameda County Coliseum","94621",9,14,37.7469,-122.201,FALSE,"PDF417","2015-06-24T00:00:00Z"
"26","2018-10-15_08.10.38",0.918,"2018-10-28T13:25:00","https://seatgeek.com/packers-at-rams-tickets/10-28-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346921","2018-10-28T20:25:00",FALSE,"2018-04-20T00:00:00",FALSE,"Green Bay Packers at Los Angeles Rams","","nfl",0.903,FALSE,"Packers at Rams","normal","2018-04-20T00:47:14","2018-10-29T00:25:00",4346921,FALSE,NA,430,214,1602,480.401,404,1385,214,FALSE,"QRCODE","2018-08-24T21:53:39Z",0.86898464,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","America/Los_Angeles",0,"Los Angeles, CA 90037","US","Los Angeles, CA",0,"3911 S Figueroa St","los-angeles-memorial-coliseum-1",TRUE,"Los Angeles","CA","Los Angeles Memorial Coliseum","Los Angeles Memorial Coliseum","90037",8,51012,34.0138,-118.288,FALSE,"QRCODE","2018-08-23T17:59:28Z"
"27","2018-10-15_08.10.38",0.853,"2018-10-28T13:25:00","https://seatgeek.com/49ers-at-cardinals-tickets/10-28-2018-glendale-arizona-state-farm-stadium/nfl/4347101","2018-10-28T20:25:00",FALSE,"2018-04-20T00:00:00",FALSE,"San Francisco 49ers at Arizona Cardinals","","nfl",0.857,FALSE,"49ers at Cardinals","normal","2018-04-20T00:47:51","2018-10-29T00:25:00",4347101,FALSE,NA,118,42,1225,140.10597,519,607,42,FALSE,"QRCODE","2018-08-24T21:53:39Z",0.93402725,"https://seatgeek.com/venues/state-farm-stadium/tickets","America/Phoenix",753,"Glendale, AZ 85305","US","Glendale, AZ",0,"1 Cardinals Drive","state-farm-stadium",TRUE,"Glendale","AZ","State Farm Stadium","State Farm Stadium","85305",10,43,33.5294,-112.262,FALSE,"NONE","2015-12-21T17:26:05Z"
"28","2018-10-15_08.10.38",0.863,"2018-10-28T19:20:00","https://seatgeek.com/saints-at-vikings-tickets/10-28-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347136","2018-10-29T00:20:00",FALSE,"2018-04-20T00:00:00",FALSE,"New Orleans Saints at Minnesota Vikings","","nfl",0.862,FALSE,"Saints at Vikings","normal","2018-04-20T01:04:04","2018-10-29T04:20:00",4347136,FALSE,NA,290,110,1409,349.59814,433,1313,110,FALSE,"QRCODE","2018-08-24T21:53:39Z",0.88524246,"https://seatgeek.com/venues/u-s-bank-stadium/tickets","America/Chicago",0,"Minneapolis, MN 55415","US","Minneapolis, MN",0,"900 South 5th Street","u-s-bank-stadium",TRUE,"Minneapolis","MN","U.S. Bank Stadium","U.S. Bank Stadium","55415",14,218451,44.97,-93.26,FALSE,"NONE","2018-08-22T15:34:15Z"
"29","2018-10-15_08.10.38",0.869,"2018-10-29T20:15:00","https://seatgeek.com/patriots-at-bills-tickets/10-29-2018-orchard-park-new-york-new-era-field/nfl/4347062","2018-10-30T00:15:00",FALSE,"2018-04-20T00:00:00",FALSE,"New England Patriots at Buffalo Bills","","nfl",0.864,FALSE,"Patriots at Bills","normal","2018-04-20T00:47:44","2018-10-30T04:15:00",4347062,FALSE,NA,143,84,1450,165.09482,675,548,84,FALSE,"QRCODE","2018-08-24T21:53:39Z",0.8815085,"https://seatgeek.com/venues/new-era-field/tickets","America/New_York",514,"Orchard Park, NY 14127","US","Orchard Park, NY",0,"1 Bills Drive","new-era-field",TRUE,"Orchard Park","NY","New Era Field","New Era Field","14127",6,1135,42.7737,-78.7874,FALSE,"QRCODE_TM","2015-08-12T16:52:53Z"
