"","timestamp","is_open","time_tbd","score","popularity","date_tbd","datetime_utc","description","status","visible_until_utc","created_at","title","short_title","datetime_local","type","announce_date","id","datetime_tbd","url","general_admission","visible_listing_count","highest_price","lowest_price","average_price","lowest_price_good_deals","median_price","listing_count","method","employee_only","created_at","state","score","popularity","extended_address","display_location","metro_code","has_upcoming_events","address","city","num_upcoming_events","name_v2","timezone","id","postal_code","slug","url","name","country","lon","lat","method","employee_only","created_at"
"1","2018-10-16_08.29.49",FALSE,FALSE,0.887,0.988,FALSE,"2018-10-19T00:20:00","","normal","2018-10-19T04:20:00","2018-04-20T00:47:51","Denver Broncos at Arizona Cardinals","Broncos at Cardinals","2018-10-18T17:20:00","nfl","2018-04-20T00:00:00",4347102,FALSE,"https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102",NA,881,426,70,139.51102,70,111,227,"QRCODE",FALSE,"2018-08-24T21:53:38Z","AZ",0.93402725,0,"Glendale, AZ 85305","Glendale, AZ",753,TRUE,"1 Cardinals Drive","Glendale",10,"State Farm Stadium","America/Phoenix",43,"85305","state-farm-stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","State Farm Stadium","US",-112.262,33.5294,"NONE",FALSE,"2015-12-21T17:26:05Z"
"2","2018-10-16_08.29.49",FALSE,FALSE,0.334,0.534,FALSE,"2018-10-20T23:30:00","","normal","2018-10-21T03:30:00","2018-08-01T16:01:33","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","2018-10-20T18:30:00","sports","2018-08-01T00:00:00",4471322,FALSE,"https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T21:53:38Z","AR",0.5808074,0,"Jonesboro, AR 72401","Jonesboro, AR",734,TRUE,"217 Olympic Drive","Jonesboro",40,"ASU Convocation Center","America/Chicago",4081,"72401","asu-convocation-center-1","https://seatgeek.com/venues/asu-convocation-center-1/tickets","ASU Convocation Center","US",-90.6691,35.8438,NA,NA,NA
"3","2018-10-16_08.29.49",FALSE,FALSE,0.831,0.927,FALSE,"2018-10-21T17:00:00","","normal","2018-10-21T21:00:00","2018-04-20T00:47:22","Buffalo Bills at Indianapolis Colts","Bills at Colts","2018-10-21T13:00:00","nfl","2018-04-20T00:00:00",4346960,FALSE,"https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960",NA,1138,409,22,85.44334,22,73,600,"QRCODE",FALSE,"2018-08-24T21:53:38Z","IN",0.9071682,0,"Indianapolis, IN 46225","Indianapolis, IN",527,TRUE,"500 South Capitol Avenue","Indianapolis",12,"Lucas Oil Stadium","America/Indiana/Indianapolis",1130,"46225","lucas-oil-stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Lucas Oil Stadium","US",-86.1639,39.7601,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"4","2018-10-16_08.29.49",FALSE,FALSE,0.941,1.022,FALSE,"2018-10-21T17:00:00","","normal","2018-10-21T21:00:00","2018-04-20T00:47:33","New England Patriots at Chicago Bears","Patriots at Bears","2018-10-21T12:00:00","nfl","2018-04-20T00:00:00",4347008,FALSE,"https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008",NA,424,1688,362,810.7,300,797,30,"QRCODE",FALSE,"2018-08-24T21:53:38Z","IL",0.940013,0,"Chicago, IL 60605","Chicago, IL",602,TRUE,"1410 S. Museum Campus Drive","Chicago",8,"Soldier Field","America/Chicago",31,"60605","soldier-field","https://seatgeek.com/venues/soldier-field/tickets","Soldier Field","US",-87.6159,41.8623,"NONE",FALSE,"2018-06-02T00:44:08Z"
"5","2018-10-16_08.29.49",FALSE,FALSE,0.912,1.001,FALSE,"2018-10-21T17:00:00","","normal","2018-10-21T21:00:00","2018-04-20T00:47:26","Minnesota Vikings at New York Jets","Vikings at Jets","2018-10-21T13:00:00","nfl","2018-04-20T00:00:00",4346975,FALSE,"https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975",NA,1193,6037,81,374.0115,68,165,435,"QRCODE",FALSE,"2018-08-24T21:53:38Z","NJ",0.94873494,0,"East Rutherford, NJ 07073","East Rutherford, NJ",501,TRUE,"1 MetLife Stadium Drive","East Rutherford",12,"MetLife Stadium","America/New_York",1587,"07073","metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets","MetLife Stadium","US",-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"6","2018-10-16_08.29.49",FALSE,FALSE,0.851,0.947,FALSE,"2018-10-21T17:00:00","","normal","2018-10-21T21:00:00","2018-04-20T00:47:47","Detroit Lions at Miami Dolphins","Lions at Dolphins","2018-10-21T13:00:00","nfl","2018-04-20T00:00:00",4347084,FALSE,"https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084",NA,1667,299,50,135.23967,47,121,121,"QRCODE",FALSE,"2018-08-24T21:53:38Z","FL",0.8378203,0,"Miami Gardens, FL 33056","Miami Gardens, FL",528,TRUE,"347 Don Shula Dr.","Miami Gardens",32,"Hard Rock Stadium","America/New_York",29,"33056","hard-rock-stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","Hard Rock Stadium","US",-80.24,25.96,"NONE",FALSE,"2017-10-03T18:58:44Z"
"7","2018-10-16_08.29.49",FALSE,FALSE,0.844,0.937,FALSE,"2018-10-21T17:00:00","","normal","2018-10-21T21:00:00","2018-04-20T00:47:16","Cleveland Browns at Tampa Bay Buccaneers","Browns at Buccaneers","2018-10-21T13:00:00","nfl","2018-04-20T00:00:00",4346931,FALSE,"https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931",NA,461,450,89,256.06668,164,265,15,"QRCODE",FALSE,"2018-08-24T21:53:38Z","FL",0.86513025,0,"Tampa, FL 33607","Tampa, FL",539,TRUE,"4201 North Dale Mabry Highway","Tampa",14,"Raymond James Stadium","America/New_York",39,"33607","raymond-james-stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","Raymond James Stadium","US",-82.5034,27.9753,"QRCODE_TM",FALSE,"2015-08-24T14:44:53Z"
"8","2018-10-16_08.29.49",FALSE,FALSE,0.903,0.986,FALSE,"2018-10-21T17:00:00","","normal","2018-10-21T21:00:00","2018-04-20T00:47:39","Carolina Panthers at Philadelphia Eagles","Panthers at Eagles","2018-10-21T13:00:00","nfl","2018-04-20T00:00:00",4347036,FALSE,"https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036",NA,1148,705,147,323.661,130,298,177,"QRCODE",FALSE,"2018-08-24T21:53:38Z","PA",0.90542686,0,"Philadelphia, PA 19148","Philadelphia, PA",504,TRUE,"1020 Pattison Ave","Philadelphia",13,"Lincoln Financial Field","America/New_York",330,"19148","lincoln-financial-field","https://seatgeek.com/venues/lincoln-financial-field/tickets","Lincoln Financial Field","US",-75.1675,39.9046,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"9","2018-10-16_08.29.49",FALSE,FALSE,0.772,0.879,FALSE,"2018-10-21T17:00:00","","normal","2018-10-21T21:00:00","2018-04-20T00:47:19","Houston Texans at Jacksonville Jaguars","Texans at Jaguars","2018-10-21T13:00:00","nfl","2018-04-20T00:00:00",4346948,FALSE,"https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948",NA,1119,489,34,82.59506,34,66,405,"QRCODE",FALSE,"2018-08-24T21:53:38Z","FL",0.83759147,0,"Jacksonville, FL 32202","Jacksonville, FL",561,TRUE,"1 Everbank Field Dr","Jacksonville",7,"TIAA Bank Field","America/New_York",5178,"32202","tiaa-bank-field","https://seatgeek.com/venues/tiaa-bank-field/tickets","TIAA Bank Field","US",-81.6373,30.3239,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
"10","2018-10-16_08.29.49",FALSE,FALSE,0.832,0.928,FALSE,"2018-10-21T20:05:00","","normal","2018-10-22T00:05:00","2018-04-20T00:47:45","New Orleans Saints at Baltimore Ravens","Saints at Ravens","2018-10-21T16:05:00","nfl","2018-04-20T00:00:00",4347071,FALSE,"https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071",NA,1386,596,74,136.61572,74,115,229,"QRCODE",FALSE,"2018-08-24T21:53:38Z","MD",0.8927189,0,"Baltimore, MD 21230","Baltimore, MD",512,TRUE,"1101 Russell St","Baltimore",6,"M&T Bank Stadium","America/New_York",1121,"21230","m-t-bank-stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","M&T Bank Stadium","US",-76.623,39.2774,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
