"","timestamp","title","short_title","date_tbd","id","status","time_tbd","description","announce_date","type","visible_until_utc","datetime_local","created_at","score","datetime_utc","popularity","datetime_tbd","is_open","url","general_admission","average_price","highest_price","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","listing_count","created_at","employee_only","method","name","address","state","id","num_upcoming_events","postal_code","extended_address","popularity","has_upcoming_events","country","score","metro_code","slug","display_location","name_v2","city","timezone","url","lat","lon","created_at","employee_only","method"
"1","2018-10-17_08.21.17","Denver Broncos at Arizona Cardinals","Broncos at Cardinals",FALSE,4347102,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-19T04:20:00","2018-10-18T17:20:00","2018-04-20T00:47:51",0.915,"2018-10-19T00:20:00",0.961,FALSE,FALSE,"https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102",NA,132.13954,395,65,109,802,65,172,"2018-08-24T21:53:38Z",FALSE,"QRCODE","State Farm Stadium","1 Cardinals Drive","AZ",43,10,"85305","Glendale, AZ 85305",0,TRUE,"US",0.93402725,753,"state-farm-stadium","Glendale, AZ","State Farm Stadium","Glendale","America/Phoenix","https://seatgeek.com/venues/state-farm-stadium/tickets",33.5294,-112.262,"2015-12-21T17:26:05Z",FALSE,"NONE"
"2","2018-10-17_08.21.17","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball",FALSE,4471322,"normal",FALSE,"","2018-08-01T00:00:00","sports","2018-10-21T03:30:00","2018-10-20T18:30:00","2018-08-01T16:01:33",0.344,"2018-10-20T23:30:00",0.57,FALSE,FALSE,"https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322",NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-24T21:53:38Z",FALSE,"QRCODE","ASU Convocation Center","217 Olympic Drive","AR",4081,40,"72401","Jonesboro, AR 72401",0,TRUE,"US",0.5808074,734,"asu-convocation-center-1","Jonesboro, AR","ASU Convocation Center","Jonesboro","America/Chicago","https://seatgeek.com/venues/asu-convocation-center-1/tickets",35.8438,-90.6691,NA,NA,NA
"3","2018-10-17_08.21.17","New England Patriots at Chicago Bears","Patriots at Bears",FALSE,4347008,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-21T21:00:00","2018-10-21T12:00:00","2018-04-20T00:47:33",0.984,"2018-10-21T17:00:00",1.004,FALSE,FALSE,"https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008",NA,921.75757,1688,345,913,402,441,33,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Soldier Field","1410 S. Museum Campus Drive","IL",31,8,"60605","Chicago, IL 60605",0,TRUE,"US",0.940013,602,"soldier-field","Chicago, IL","Soldier Field","Chicago","America/Chicago","https://seatgeek.com/venues/soldier-field/tickets",41.8623,-87.6159,"2018-06-02T00:44:08Z",FALSE,"NONE"
"4","2018-10-17_08.21.17","Buffalo Bills at Indianapolis Colts","Bills at Colts",FALSE,4346960,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-21T21:00:00","2018-10-21T13:00:00","2018-04-20T00:47:22",0.847,"2018-10-21T17:00:00",0.905,FALSE,FALSE,"https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960",NA,81.001785,345,23,72,1136,23,561,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Lucas Oil Stadium","500 South Capitol Avenue","IN",1130,12,"46225","Indianapolis, IN 46225",0,TRUE,"US",0.9071682,527,"lucas-oil-stadium","Indianapolis, IN","Lucas Oil Stadium","Indianapolis","America/Indiana/Indianapolis","https://seatgeek.com/venues/lucas-oil-stadium/tickets",39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"5","2018-10-17_08.21.17","Minnesota Vikings at New York Jets","Vikings at Jets",FALSE,4346975,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-21T21:00:00","2018-10-21T13:00:00","2018-04-20T00:47:26",0.955,"2018-10-21T17:00:00",0.986,FALSE,FALSE,"https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975",NA,181.5823,796,68,159,1217,84,407,"2018-08-24T21:53:38Z",FALSE,"QRCODE","MetLife Stadium","1 MetLife Stadium Drive","NJ",1587,12,"07073","East Rutherford, NJ 07073",0,TRUE,"US",0.94873494,501,"metlife-stadium","East Rutherford, NJ","MetLife Stadium","East Rutherford","America/New_York","https://seatgeek.com/venues/metlife-stadium/tickets",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"6","2018-10-17_08.21.17","Cleveland Browns at Tampa Bay Buccaneers","Browns at Buccaneers",FALSE,4346931,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-21T21:00:00","2018-10-21T13:00:00","2018-04-20T00:47:16",0.874,"2018-10-21T17:00:00",0.923,FALSE,FALSE,"https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931",NA,229.92308,450,79,188,622,89,13,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Raymond James Stadium","4201 North Dale Mabry Highway","FL",39,14,"33607","Tampa, FL 33607",0,TRUE,"US",0.86513025,539,"raymond-james-stadium","Tampa, FL","Raymond James Stadium","Tampa","America/New_York","https://seatgeek.com/venues/raymond-james-stadium/tickets",27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"7","2018-10-17_08.21.17","Detroit Lions at Miami Dolphins","Lions at Dolphins",FALSE,4347084,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-21T21:00:00","2018-10-21T13:00:00","2018-04-20T00:47:47",0.899,"2018-10-21T17:00:00",0.945,FALSE,FALSE,"https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084",NA,127.78505,295,44,115,1672,52,107,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Hard Rock Stadium","347 Don Shula Dr.","FL",29,32,"33056","Miami Gardens, FL 33056",0,TRUE,"US",0.8378203,528,"hard-rock-stadium","Miami Gardens, FL","Hard Rock Stadium","Miami Gardens","America/New_York","https://seatgeek.com/venues/hard-rock-stadium/tickets",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"8","2018-10-17_08.21.17","Houston Texans at Jacksonville Jaguars","Texans at Jaguars",FALSE,4346948,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-21T21:00:00","2018-10-21T13:00:00","2018-04-20T00:47:19",0.796,"2018-10-21T17:00:00",0.87,FALSE,FALSE,"https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948",NA,78.16156,399,28,60,1154,30,359,"2018-08-24T21:53:38Z",FALSE,"QRCODE","TIAA Bank Field","1 Everbank Field Dr","FL",5178,7,"32202","Jacksonville, FL 32202",0,TRUE,"US",0.83759147,561,"tiaa-bank-field","Jacksonville, FL","TIAA Bank Field","Jacksonville","America/New_York","https://seatgeek.com/venues/tiaa-bank-field/tickets",30.3239,-81.6373,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"9","2018-10-17_08.21.17","Carolina Panthers at Philadelphia Eagles","Panthers at Eagles",FALSE,4347036,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-21T21:00:00","2018-10-21T13:00:00","2018-04-20T00:47:39",0.95,"2018-10-21T17:00:00",0.976,FALSE,FALSE,"https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036",NA,319.9613,2245,152,292,1188,152,155,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Lincoln Financial Field","1020 Pattison Ave","PA",330,13,"19148","Philadelphia, PA 19148",0,TRUE,"US",0.90542686,504,"lincoln-financial-field","Philadelphia, PA","Lincoln Financial Field","Philadelphia","America/New_York","https://seatgeek.com/venues/lincoln-financial-field/tickets",39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"10","2018-10-17_08.21.17","New Orleans Saints at Baltimore Ravens","Saints at Ravens",FALSE,4347071,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-22T00:05:00","2018-10-21T16:05:00","2018-04-20T00:47:45",0.877,"2018-10-21T20:05:00",0.925,FALSE,FALSE,"https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071",NA,145.51587,479,79,109,1289,79,126,"2018-08-24T21:53:38Z",FALSE,"QRCODE","M&T Bank Stadium","1101 Russell St","MD",1121,6,"21230","Baltimore, MD 21230",0,TRUE,"US",0.8927189,512,"m-t-bank-stadium","Baltimore, MD","M&T Bank Stadium","Baltimore","America/New_York","https://seatgeek.com/venues/m-t-bank-stadium/tickets",39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"11","2018-10-17_08.21.17","Dallas Cowboys at Washington Redskins","Cowboys at Redskins",FALSE,4346941,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-22T00:25:00","2018-10-21T16:25:00","2018-04-20T00:47:18",0.986,"2018-10-21T20:25:00",1.006,FALSE,FALSE,"https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941",NA,248.84558,476,154,233,913,154,136,"2018-08-24T21:53:38Z",FALSE,"QRCODE","FedEx Field","1600 Fedex Way","MD",35,5,"20785","Landover, MD 20785",0,TRUE,"US",0.9333444,511,"fedex-field","Landover, MD","FedEx Field","Landover","America/New_York","https://seatgeek.com/venues/fedex-field/tickets",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"12","2018-10-17_08.21.17","Los Angeles Rams at San Francisco 49ers","Rams at 49ers",FALSE,4347118,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-22T00:25:00","2018-10-21T13:25:00","2018-04-20T00:47:54",0.922,"2018-10-21T20:25:00",0.956,FALSE,FALSE,"https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118",NA,142.20879,536,47,120,2122,47,182,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Levi's Stadium","4900 Marie P DeBartolo Way","CA",58670,10,"95054","Santa Clara, CA 95054",0,TRUE,"US",0.95768774,0,"levi-s-stadium","Santa Clara, CA","Levi's Stadium","Santa Clara","America/Los_Angeles","https://seatgeek.com/venues/levi-s-stadium/tickets",37.4023,-121.969,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"13","2018-10-17_08.21.17","Cincinnati Bengals at Kansas City Chiefs","Bengals at Chiefs",FALSE,4346982,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-22T04:20:00","2018-10-21T19:20:00","2018-04-20T00:47:27",0.895,"2018-10-22T00:20:00",0.937,FALSE,FALSE,"https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982",NA,140.23473,533,76,130,1160,82,311,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Arrowhead Stadium","1 Arrowhead Drive","MO",1128,6,"64129","Kansas City, MO 64129",0,TRUE,"US",0.8827867,616,"arrowhead-stadium","Kansas City, MO","Arrowhead Stadium","Kansas City","America/Chicago","https://seatgeek.com/venues/arrowhead-stadium/tickets",39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"14","2018-10-17_08.21.17","New York Giants at Atlanta Falcons","Giants at Falcons",FALSE,4347050,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-23T04:15:00","2018-10-22T20:15:00","2018-04-20T00:47:42",0.95,"2018-10-23T00:15:00",0.966,FALSE,FALSE,"https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050",NA,198.19275,842,80,192,2293,78,607,"2018-08-24T21:53:38Z",FALSE,"QRCODE","Mercedes-Benz Stadium","441 M.L.K. Jr Dr NW","GA",419590,16,"30313","Atlanta, GA 30313",0,TRUE,"US",0.76958936,0,"mercedes-benz-stadium","Atlanta, GA","Mercedes-Benz Stadium","Atlanta","America/New_York","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"15","2018-10-17_08.21.17","Troy Trojans at South Alabama Jaguars Football","Troy at South Alabama",FALSE,4281985,"normal",FALSE,"","2018-02-28T00:00:00","ncaa_football","2018-10-24T04:00:00","2018-10-23T19:00:00","2018-02-28T15:00:17",0.304,"2018-10-24T00:00:00",0.515,FALSE,FALSE,"https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985",NA,31.366667,93,10,20,9,10,30,NA,NA,NA,"Ladd Peebles Stadium","1621 Virginia St.","AL",3716,4,"36604","Mobile, AL 36604",0,TRUE,"US",0.50177634,686,"ladd-peebles-stadium","Mobile, AL","Ladd Peebles Stadium","Mobile","America/Chicago","https://seatgeek.com/venues/ladd-peebles-stadium/tickets",30.6748,-88.0761,NA,NA,NA
"16","2018-10-17_08.21.17","Miami Dolphins at Houston Texans","Dolphins at Texans",FALSE,4347018,"normal",FALSE,"","2018-04-20T00:00:00","nfl","2018-10-26T04:20:00","2018-10-25T19:20:00","2018-04-20T00:47:36",0.895,"2018-10-26T00:20:00",0.915,FALSE,FALSE,"https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018",NA,147.00307,505,54,116,1938,54,652,"2018-08-24T21:53:38Z",FALSE,"QRCODE","NRG Stadium","1 Reliant Park","TX",41,43,"77054","Houston, TX 77054",0,TRUE,"US",0.8624192,618,"nrg-stadium","Houston, TX","NRG Stadium","Houston","America/Chicago","https://seatgeek.com/venues/nrg-stadium/tickets",29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
