"","timestamp","popularity","datetime_utc","created_at","status","is_open","score","title","type","id","short_title","announce_date","date_tbd","datetime_tbd","url","visible_until_utc","description","datetime_local","time_tbd","general_admission","visible_listing_count","median_price","lowest_price","average_price","listing_count","lowest_price_good_deals","highest_price","created_at","employee_only","method","state","popularity","postal_code","city","name","extended_address","country","id","num_upcoming_events","timezone","score","address","display_location","metro_code","name_v2","url","slug","has_upcoming_events","lon","lat","created_at","employee_only","method"
"1","2018-10-18_08.11.41",0.951,"2018-10-19T00:20:00","2018-04-20T00:47:51","normal",FALSE,0.913,"Denver Broncos at Arizona Cardinals","nfl",4347102,"Broncos at Cardinals","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/broncos-at-cardinals-tickets/10-18-2018-glendale-arizona-state-farm-stadium/nfl/4347102","2018-10-19T04:20:00","","2018-10-18T17:20:00",FALSE,NA,515,101,76,138.5283,106,89,630,"2018-08-24T21:53:38Z",FALSE,"QRCODE","AZ",0,"85305","Glendale","State Farm Stadium","Glendale, AZ 85305","US",43,10,"America/Phoenix",0.93402725,"1 Cardinals Drive","Glendale, AZ",753,"State Farm Stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","state-farm-stadium",TRUE,-112.262,33.5294,"2015-12-21T17:26:05Z",FALSE,"NONE"
"2","2018-10-18_08.11.41",0.555,"2018-10-20T23:30:00","2018-08-01T16:01:33","normal",FALSE,0.337,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","sports",4471322,"Little Rock Trojans at Arkansas State Red Wolves Women's Volleyball","2018-08-01T00:00:00",FALSE,FALSE,"https://seatgeek.com/little-rock-trojans-at-arkansas-state-red-wolves-womens-volleyball-tickets/sport/2018-10-20-6-30-pm/4471322","2018-10-21T03:30:00","","2018-10-20T18:30:00",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-24T21:53:38Z",FALSE,"QRCODE","AR",0,"72401","Jonesboro","ASU Convocation Center","Jonesboro, AR 72401","US",4081,40,"America/Chicago",0.5808074,"217 Olympic Drive","Jonesboro, AR",734,"ASU Convocation Center","https://seatgeek.com/venues/asu-convocation-center-1/tickets","asu-convocation-center-1",TRUE,-90.6691,35.8438,NA,NA,NA
"3","2018-10-18_08.11.41",0.99,"2018-10-21T17:00:00","2018-04-20T00:47:33","normal",FALSE,0.971,"New England Patriots at Chicago Bears","nfl",4347008,"Patriots at Bears","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/patriots-at-bears-tickets/10-21-2018-chicago-illinois-soldier-field/nfl/4347008","2018-10-21T21:00:00","","2018-10-21T12:00:00",FALSE,NA,300,834,374,855.2273,44,374,1688,"2018-08-24T21:53:38Z",FALSE,"QRCODE","IL",0,"60605","Chicago","Soldier Field","Chicago, IL 60605","US",31,8,"America/Chicago",0.940013,"1410 S. Museum Campus Drive","Chicago, IL",602,"Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","soldier-field",TRUE,-87.6159,41.8623,"2018-06-02T00:44:08Z",FALSE,"NONE"
"4","2018-10-18_08.11.41",0.897,"2018-10-21T17:00:00","2018-04-20T00:47:22","normal",FALSE,0.846,"Buffalo Bills at Indianapolis Colts","nfl",4346960,"Bills at Colts","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/bills-at-colts-tickets/10-21-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346960","2018-10-21T21:00:00","","2018-10-21T13:00:00",FALSE,NA,1091,59,21,71.29423,520,21,329,"2018-08-24T21:53:38Z",FALSE,"QRCODE","IN",0,"46225","Indianapolis","Lucas Oil Stadium","Indianapolis, IN 46225","US",1130,12,"America/Indiana/Indianapolis",0.9071682,"500 South Capitol Avenue","Indianapolis, IN",527,"Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","lucas-oil-stadium",TRUE,-86.1639,39.7601,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"5","2018-10-18_08.11.41",0.978,"2018-10-21T17:00:00","2018-04-20T00:47:26","normal",FALSE,0.948,"Minnesota Vikings at New York Jets","nfl",4346975,"Vikings at Jets","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/vikings-at-jets-tickets/10-21-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346975","2018-10-21T21:00:00","","2018-10-21T13:00:00",FALSE,NA,1265,153,78,180.88776,392,68,721,"2018-08-24T21:53:38Z",FALSE,"QRCODE","NJ",0,"07073","East Rutherford","MetLife Stadium","East Rutherford, NJ 07073","US",1587,12,"America/New_York",0.94873494,"1 MetLife Stadium Drive","East Rutherford, NJ",501,"MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium",TRUE,-74.0737,40.8142,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"6","2018-10-18_08.11.41",0.932,"2018-10-21T17:00:00","2018-04-20T00:47:47","normal",FALSE,0.885,"Detroit Lions at Miami Dolphins","nfl",4347084,"Lions at Dolphins","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084","2018-10-21T21:00:00","","2018-10-21T13:00:00",FALSE,NA,1642,119,48,124.34737,95,45,275,"2018-08-24T21:53:38Z",FALSE,"QRCODE","FL",0,"33056","Miami Gardens","Hard Rock Stadium","Miami Gardens, FL 33056","US",29,32,"America/New_York",0.8378203,"347 Don Shula Dr.","Miami Gardens, FL",528,"Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets","hard-rock-stadium",TRUE,-80.24,25.96,"2017-10-03T18:58:44Z",FALSE,"NONE"
"7","2018-10-18_08.11.41",0.919,"2018-10-21T17:00:00","2018-04-20T00:47:16","normal",FALSE,0.873,"Cleveland Browns at Tampa Bay Buccaneers","nfl",4346931,"Browns at Buccaneers","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/browns-at-buccaneers-tickets/10-21-2018-tampa-florida-raymond-james-stadium/nfl/4346931","2018-10-21T21:00:00","","2018-10-21T13:00:00",FALSE,NA,475,248,89,250.3077,13,79,450,"2018-08-24T21:53:38Z",FALSE,"QRCODE","FL",0,"33607","Tampa","Raymond James Stadium","Tampa, FL 33607","US",39,14,"America/New_York",0.86513025,"4201 North Dale Mabry Highway","Tampa, FL",539,"Raymond James Stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","raymond-james-stadium",TRUE,-82.5034,27.9753,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"8","2018-10-18_08.11.41",0.961,"2018-10-21T17:00:00","2018-04-20T00:47:39","normal",FALSE,0.934,"Carolina Panthers at Philadelphia Eagles","nfl",4347036,"Panthers at Eagles","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036","2018-10-21T21:00:00","","2018-10-21T13:00:00",FALSE,NA,1155,296,154,335.63635,110,114,2245,"2018-08-24T21:53:38Z",FALSE,"QRCODE","PA",0,"19148","Philadelphia","Lincoln Financial Field","Philadelphia, PA 19148","US",330,13,"America/New_York",0.90542686,"1020 Pattison Ave","Philadelphia, PA",504,"Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","lincoln-financial-field",TRUE,-75.1675,39.9046,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"9","2018-10-18_08.11.41",0.871,"2018-10-21T17:00:00","2018-04-20T00:47:19","normal",FALSE,0.805,"Houston Texans at Jacksonville Jaguars","nfl",4346948,"Texans at Jaguars","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-tiaa-bank-field/nfl/4346948","2018-10-21T21:00:00","","2018-10-21T13:00:00",FALSE,NA,1148,61,32,74.86957,299,30,210,"2018-08-24T21:53:38Z",FALSE,"QRCODE","FL",0,"32202","Jacksonville","TIAA Bank Field","Jacksonville, FL 32202","US",5178,7,"America/New_York",0.83759147,"1 Everbank Field Dr","Jacksonville, FL",561,"TIAA Bank Field","https://seatgeek.com/venues/tiaa-bank-field/tickets","tiaa-bank-field",TRUE,-81.6373,30.3239,"2015-10-17T20:03:42Z",FALSE,"QRCODE_TM"
"10","2018-10-18_08.11.41",0.915,"2018-10-21T20:05:00","2018-04-20T00:47:45","normal",FALSE,0.869,"New Orleans Saints at Baltimore Ravens","nfl",4347071,"Saints at Ravens","2018-04-20T00:00:00",FALSE,FALSE,"https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071","2018-10-22T00:05:00","","2018-10-21T16:05:00",FALSE,NA,1274,110,78,133.01898,158,75,477,"2018-08-24T21:53:38Z",FALSE,"QRCODE","MD",0,"21230","Baltimore","M&T Bank Stadium","Baltimore, MD 21230","US",1121,6,"America/New_York",0.8927189,"1101 Russell St","Baltimore, MD",512,"M&T Bank Stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","m-t-bank-stadium",TRUE,-76.623,39.2774,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
