id,description,datetime_utc,date_tbd,popularity,datetime_tbd,url,time_tbd,status,title,announce_date,short_title,is_open,type,score,visible_until_utc,datetime_local,created_at,general_admission,lowest_price,highest_price,listing_count,average_price,lowest_price_good_deals,employee_only,created_at,method,num_upcoming_events,id,country,display_location,url,city,slug,extended_address,timezone,score,popularity,address,postal_code,has_upcoming_events,name_v2,name,state,lon,lat,employee_only,created_at,method
4347055,,2018-09-07T00:20:00,FALSE,0.791,FALSE,https://seatgeek.com/falcons-at-eagles-tickets/9-6-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347055,FALSE,normal,Atlanta Falcons at Philadelphia Eagles,2018-04-20T00:00:00,Falcons at Eagles,FALSE,nfl,0.96,2018-09-07T04:20:00,2018-09-06T20:20:00,2018-04-20T00:47:42,NA,178,14928,792,422.26,178,FALSE,2018-08-24T16:51:23Z,QRCODE,18,330,US,"Philadelphia, PA",https://seatgeek.com/venues/lincoln-financial-field/tickets,Philadelphia,lincoln-financial-field,"Philadelphia, PA 19148",America/New_York,0.90542685999999994,0,1020 Pattison Ave,19148,TRUE,Lincoln Financial Field,Lincoln Financial Field,PA,-75.1675,39.9046,FALSE,2015-07-10T00:00:00Z,QRCODE_TM
4109673,,2018-09-09T00:00:00,FALSE,0.865,FALSE,https://seatgeek.com/south-alabama-jaguars-at-oklahoma-state-cowboys-football-tickets/ncaa-football/2018-09-08-7-pm/4109673,FALSE,normal,South Alabama Jaguars at Oklahoma State Cowboys Football,2017-11-02T00:00:00,South Alabama at Oklahoma State,FALSE,ncaa_football,0.771,2018-09-09T04:00:00,2018-09-08T19:00:00,2017-11-02T15:00:32,NA,37,550,964,82.44,37,NA,NA,NA,6,2785,US,"Stillwater, OK",https://seatgeek.com/venues/boone-pickens-stadium/tickets,Stillwater,boone-pickens-stadium,"Stillwater, OK 74078",America/Chicago,0.81559026,0,422 Aquires,74078,TRUE,Boone Pickens Stadium,Boone Pickens Stadium,OK,-97.0665,36.1257,NA,NA,NA
4347091,,2018-09-09T17:00:00,FALSE,0.996,FALSE,https://seatgeek.com/texans-at-patriots-tickets/9-9-2018-foxborough-massachusetts-gillette-stadium/nfl/4347091,FALSE,normal,Houston Texans at New England Patriots,2018-04-20T00:00:00,Texans at Patriots,FALSE,nfl,0.965,2018-09-09T21:00:00,2018-09-09T13:00:00,2018-04-20T00:47:49,NA,182,1866,957,481.53,182,FALSE,2018-08-22T15:38:11Z,QRCODE,14,33,US,"Foxborough, MA",https://seatgeek.com/venues/gillette-stadium/tickets,Foxborough,gillette-stadium,"Foxborough, MA 02035",America/New_York,0.8983344,0,1 Patriot Place,02035,TRUE,Gillette Stadium,Gillette Stadium,MA,-71.2674,42.0906,FALSE,2018-08-22T15:36:58Z,NONE
4346964,,2018-09-09T17:00:00,FALSE,0.946,FALSE,https://seatgeek.com/bengals-at-colts-tickets/9-9-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346964,FALSE,normal,Cincinnati Bengals at Indianapolis Colts,2018-04-20T00:00:00,Bengals at Colts,FALSE,nfl,0.899,2018-09-09T21:00:00,2018-09-09T13:00:00,2018-04-20T00:47:23,NA,56,123659,1302,280.44,56,FALSE,2018-08-24T16:52:49Z,QRCODE,14,1130,US,"Indianapolis, IN",https://seatgeek.com/venues/lucas-oil-stadium/tickets,Indianapolis,lucas-oil-stadium,"Indianapolis, IN 46225",America/Indiana/Indianapolis,0.9071682,0,500 South Capitol Avenue,46225,TRUE,Lucas Oil Stadium,Lucas Oil Stadium,IN,-86.1639,39.7601,FALSE,2015-08-22T16:51:43Z,QRCODE_TM
4346952,,2018-09-09T17:00:00,FALSE,0.99,FALSE,https://seatgeek.com/jaguars-at-giants-tickets/9-9-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346952,FALSE,normal,Jacksonville Jaguars at New York Giants,2018-04-20T00:00:00,Jaguars at Giants,FALSE,nfl,0.944,2018-09-09T21:00:00,2018-09-09T13:00:00,2018-04-20T00:47:20,NA,135,2687,918,385.73,135,FALSE,2018-08-24T16:52:25Z,QRCODE,21,1587,US,"East Rutherford, NJ",https://seatgeek.com/venues/metlife-stadium/tickets,East Rutherford,metlife-stadium,"East Rutherford, NJ 07073",America/New_York,0.94873494,0,1 MetLife Stadium Drive,07073,TRUE,MetLife Stadium,MetLife Stadium,NJ,-74.0737,40.8142,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
4347082,,2018-09-09T17:00:00,FALSE,0.956,FALSE,https://seatgeek.com/titans-at-dolphins-tickets/9-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347082,FALSE,normal,Tennessee Titans at Miami Dolphins,2018-04-20T00:00:00,Titans at Dolphins,FALSE,nfl,0.897,2018-09-09T21:00:00,2018-09-09T13:00:00,2018-04-20T00:47:47,NA,41,1918,2131,148.81,41,FALSE,2018-08-24T17:01:07Z,QRCODE,39,29,US,"Miami Gardens, FL",https://seatgeek.com/venues/hard-rock-stadium/tickets,Miami Gardens,hard-rock-stadium,"Miami Gardens, FL 33056",America/New_York,0.8378203,0,347 Don Shula Dr.,33056,TRUE,Hard Rock Stadium,Hard Rock Stadium,FL,-80.24,25.96,FALSE,2017-10-03T18:58:44Z,NONE
4347001,,2018-09-09T17:00:00,FALSE,0.979,FALSE,https://seatgeek.com/steelers-at-browns-tickets/9-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347001,FALSE,normal,Pittsburgh Steelers at Cleveland Browns,2018-04-20T00:00:00,Steelers at Browns,FALSE,nfl,0.939,2018-09-09T21:00:00,2018-09-09T13:00:00,2018-04-20T00:47:32,NA,127,19571,868,305.92,127,FALSE,2018-08-24T16:53:01Z,QRCODE,8,1123,US,"Cleveland, OH",https://seatgeek.com/venues/firstenergy-stadium-15/tickets,Cleveland,firstenergy-stadium-15,"Cleveland, OH 44114",America/New_York,0.86852187,0,100 Alfred Lerner Way,44114,TRUE,FirstEnergy Stadium,FirstEnergy Stadium,OH,-81.7,41.5065,FALSE,2015-11-11T20:55:31Z,NONE
4346974,,2018-09-09T17:00:00,FALSE,0.932,FALSE,https://seatgeek.com/buccaneers-at-saints-tickets/9-9-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346974,FALSE,normal,Tampa Bay Buccaneers at New Orleans Saints,2018-04-20T00:00:00,Buccaneers at Saints,TRUE,nfl,0.885,2018-09-09T21:00:00,2018-09-09T12:00:00,2018-04-20T00:47:25,NA,62,1398,1234,196.71,62,FALSE,2018-05-29T20:38:44Z,QRCODE,20,128,US,"New Orleans, LA",https://seatgeek.com/venues/mercedes-benz-superdome/tickets,New Orleans,mercedes-benz-superdome,"New Orleans, LA 70112",America/Chicago,0.8966978,0,1500 Sugar Bowl Drive,70112,TRUE,Mercedes-Benz Superdome,Mercedes-Benz Superdome,LA,-90.0786,29.9515,FALSE,2018-08-27T20:46:59Z,QRCODE_TM
4347073,,2018-09-09T17:00:00,FALSE,0.944,FALSE,https://seatgeek.com/bills-at-ravens-tickets/9-9-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347073,FALSE,normal,Buffalo Bills at Baltimore Ravens,2018-04-20T00:00:00,Bills at Ravens,FALSE,nfl,0.893,2018-09-09T21:00:00,2018-09-09T13:00:00,2018-04-20T00:47:45,NA,75,836,888,238.88,75,FALSE,2018-08-24T16:58:09Z,QRCODE,9,1121,US,"Baltimore, MD",https://seatgeek.com/venues/m-t-bank-stadium/tickets,Baltimore,m-t-bank-stadium,"Baltimore, MD 21230",America/New_York,0.8927189,0,1101 Russell St,21230,TRUE,M&T Bank Stadium,M&T Bank Stadium,MD,-76.623,39.2774,FALSE,2015-08-04T00:00:00Z,QRCODE_TM
4347146,,2018-09-09T17:00:00,FALSE,0.98,FALSE,https://seatgeek.com/49ers-at-vikings-tickets/9-9-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347146,FALSE,normal,San Francisco 49ers at Minnesota Vikings,2018-04-20T00:00:00,49ers at Vikings,FALSE,nfl,0.942,2018-09-09T21:00:00,2018-09-09T12:00:00,2018-04-20T01:04:06,NA,111,1864,843,330.43,111,FALSE,2018-08-24T17:02:13Z,QRCODE,14,218451,US,"Minneapolis, MN",https://seatgeek.com/venues/u-s-bank-stadium/tickets,Minneapolis,u-s-bank-stadium,"Minneapolis, MN 55415",America/Chicago,0.88524246,0,401 Chicago Avenue,55415,TRUE,U.S. Bank Stadium,U.S. Bank Stadium,MN,-93.26,44.97,FALSE,2018-08-22T15:34:15Z,NONE
