date_tbd,created_at,score,datetime_utc,title,visible_until_utc,short_title,datetime_local,time_tbd,url,datetime_tbd,popularity,type,description,announce_date,status,id,is_open,general_admission,highest_price,average_price,median_price,visible_listing_count,listing_count,lowest_price,lowest_price_good_deals,employee_only,method,created_at,name,city,score,state,name_v2,popularity,country,has_upcoming_events,postal_code,num_upcoming_events,timezone,url,address,display_location,slug,extended_address,id,lon,lat,employee_only,method,created_at
FALSE,2018-04-20T00:47:41,0.838,2018-09-14T00:20:00,Baltimore Ravens at Cincinnati Bengals,2018-09-14T04:20:00,Ravens at Bengals,2018-09-13T20:20:00,FALSE,https://seatgeek.com/ravens-at-bengals-tickets/9-13-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347044,FALSE,0.905,nfl,,2018-04-20T00:00:00,normal,4347044,FALSE,NA,798,89.65,NA,NA,206,53,55,FALSE,QRCODE,2018-08-24T17:03:28Z,Paul Brown Stadium,Cincinnati,0.86166537,OH,Paul Brown Stadium,0,US,TRUE,45202,8,America/New_York,https://seatgeek.com/venues/paul-brown-stadium/tickets,1 Paul Brown Stadium,"Cincinnati, OH",paul-brown-stadium,"Cincinnati, OH 45202",1124,-84.5177,39.0961,FALSE,QRCODE_TM,2015-10-09T16:14:37Z
FALSE,2018-02-28T15:00:17,0.327,2018-09-15T23:00:00,Texas State Bobcats at South Alabama Jaguars Football,2018-09-16T03:00:00,Texas State at South Alabama,2018-09-15T18:00:00,FALSE,https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986,FALSE,0.54,ncaa_football,,2018-02-28T00:00:00,normal,4281986,FALSE,NA,63,26.15,NA,NA,24,9,9,NA,NA,NA,Ladd Peebles Stadium,Mobile,0.50177634,AL,Ladd Peebles Stadium,0,US,TRUE,36604,7,America/Chicago,https://seatgeek.com/venues/ladd-peebles-stadium/tickets,1621 Virginia St.,"Mobile, AL",ladd-peebles-stadium,"Mobile, AL 36604",3716,-88.0761,30.6748,NA,NA,NA
FALSE,2018-04-20T00:47:30,0.828,2018-09-16T16:00:00,Houston Texans at Tennessee Titans,2018-09-16T20:00:00,Texans at Titans,2018-09-16T12:00:00,FALSE,https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993,FALSE,0.885,nfl,,2018-04-20T00:00:00,normal,4346993,FALSE,NA,629,160.49,NA,NA,331,63,63,FALSE,QRCODE,2018-08-24T18:23:49Z,Nissan Stadium,Nashville,0.8546275,TN,Nissan Stadium,0,US,TRUE,37213,16,America/New_York,https://seatgeek.com/venues/nissan-stadium/tickets,1 Titans Way,"Nashville, TN",nissan-stadium,"Nashville, TN 37213",1126,-86.7713,36.1665,FALSE,NONE,2015-10-19T15:09:39Z
FALSE,2018-04-20T00:47:42,0.901,2018-09-16T17:00:00,Carolina Panthers at Atlanta Falcons,2018-09-16T21:00:00,Panthers at Falcons,2018-09-16T13:00:00,FALSE,https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054,FALSE,0.935,nfl,,2018-04-20T00:00:00,normal,4347054,FALSE,NA,844,230.64,NA,NA,680,88,88,FALSE,QRCODE,2018-08-23T20:14:46Z,Mercedes-Benz Stadium,Atlanta,0.76958936,GA,Mercedes-Benz Stadium,0,US,TRUE,30313,15,America/New_York,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,441 M.L.K. Jr Dr NW,"Atlanta, GA",mercedes-benz-stadium,"Atlanta, GA 30313",419590,-84.4,33.76,FALSE,QRCODE,2018-08-23T20:14:46Z
FALSE,2018-04-20T00:47:18,0.915,2018-09-16T17:00:00,Indianapolis Colts at Washington Redskins,2018-09-16T21:00:00,Colts at Redskins,2018-09-16T13:00:00,FALSE,https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944,FALSE,0.948,nfl,,2018-04-20T00:00:00,normal,4346944,FALSE,NA,401,161.18,NA,NA,120,91,91,FALSE,QRCODE,2018-08-24T18:23:09Z,FedEx Field,Landover,0.9333444,MD,FedEx Field,0,US,TRUE,20785,9,America/New_York,https://seatgeek.com/venues/fedex-field/tickets,1600 Fedex Way,"Landover, MD",fedex-field,"Landover, MD 20785",35,-76.8658,38.9071,FALSE,QRCODE_TM,2015-09-12T14:13:58Z
FALSE,2018-04-20T00:47:45,0.881,2018-09-16T17:00:00,Kansas City Chiefs at Pittsburgh Steelers,2018-09-16T21:00:00,Chiefs at Steelers,2018-09-16T13:00:00,FALSE,https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074,FALSE,0.918,nfl,,2018-04-20T00:00:00,normal,4347074,FALSE,NA,867,294.96,NA,NA,180,122,122,FALSE,QRCODE,2018-08-24T18:24:29Z,Heinz Field,Pittsburgh,0.9033526,PA,Heinz Field,0,US,TRUE,15212,12,America/New_York,https://seatgeek.com/venues/heinz-field/tickets,100 Art Rooney Avenue,"Pittsburgh, PA",heinz-field,"Pittsburgh, PA 15212",1119,-80.0158,40.4468,FALSE,QRCODE_TM,2015-12-08T15:36:23Z
FALSE,2018-04-20T00:47:16,0.865,2018-09-16T17:00:00,Philadelphia Eagles at Tampa Bay Buccaneers,2018-09-16T21:00:00,Eagles at Buccaneers,2018-09-16T13:00:00,FALSE,https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933,FALSE,0.912,nfl,,2018-04-20T00:00:00,normal,4346933,FALSE,NA,608,299.69,NA,NA,39,158,158,FALSE,QRCODE,2018-08-24T17:04:19Z,Raymond James Stadium,Tampa,0.86513025,FL,Raymond James Stadium,0,US,TRUE,33607,15,America/New_York,https://seatgeek.com/venues/raymond-james-stadium/tickets,4201 North Dale Mabry Highway,"Tampa, FL",raymond-james-stadium,"Tampa, FL 33607",39,-82.5034,27.9753,FALSE,QRCODE_TM,2015-08-24T14:44:53Z
FALSE,2018-04-20T00:47:14,0.902,2018-09-16T17:00:00,Minnesota Vikings at Green Bay Packers,2018-09-16T21:00:00,Vikings at Packers,2018-09-16T12:00:00,FALSE,https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915,FALSE,0.923,nfl,,2018-04-20T00:00:00,normal,4346915,FALSE,NA,1252,463.06,NA,NA,138,260,294,FALSE,QRCODE,2018-08-24T17:03:48Z,Lambeau Field,Green Bay,0.92909414,WI,Lambeau Field,0,US,TRUE,54304,7,America/Chicago,https://seatgeek.com/venues/lambeau-field/tickets,1265 Lombardi Avenue,"Green Bay, WI",lambeau-field,"Green Bay, WI 54304",1125,-88.0622,44.5013,FALSE,QRCODE_TM,2015-09-02T22:43:34Z
FALSE,2018-04-20T00:47:25,0.847,2018-09-16T17:00:00,Cleveland Browns at New Orleans Saints,2018-09-16T21:00:00,Browns at Saints,2018-09-16T12:00:00,FALSE,https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973,FALSE,0.897,nfl,,2018-04-20T00:00:00,normal,4346973,TRUE,NA,1800,185.38,NA,NA,1458,48,48,FALSE,QRCODE,2018-05-29T20:38:49Z,Mercedes-Benz Superdome,New Orleans,0.8966978,LA,Mercedes-Benz Superdome,0,US,TRUE,70112,19,America/Chicago,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,1500 Sugar Bowl Drive,"New Orleans, LA",mercedes-benz-superdome,"New Orleans, LA 70112",128,-90.0786,29.9515,FALSE,QRCODE_TM,2018-08-27T20:46:59Z
FALSE,2018-04-20T00:47:20,0.924,2018-09-16T17:00:00,Miami Dolphins at New York Jets,2018-09-16T21:00:00,Dolphins at Jets,2018-09-16T13:00:00,FALSE,https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953,FALSE,0.96,nfl,,2018-04-20T00:00:00,normal,4346953,FALSE,NA,11943,250.31,NA,NA,378,88,90,FALSE,QRCODE,2018-08-24T18:23:39Z,MetLife Stadium,East Rutherford,0.94873494,NJ,MetLife Stadium,0,US,TRUE,07073,19,America/New_York,https://seatgeek.com/venues/metlife-stadium/tickets,1 MetLife Stadium Drive,"East Rutherford, NJ",metlife-stadium,"East Rutherford, NJ 07073",1587,-74.0737,40.8142,FALSE,QRCODE_TM,2015-09-12T14:14:07Z
